حتى	ħ a t aː
كما	k a m aː
أيضا	ʔ a j dˤ aː
عليه	ʕ a l iː h
فى	f aː
ولا	w a l aː
الناس	a n n aː s
به	b a h h
فيه	f a j h
يكون	j a k uː n
كنت	k a n t
بأن	b a ʔ a n a
المتحدة	a l m u t a ħ d a
وهي	w a h i j j
العمل	a l ʕ a m a l a
أنها	ʔ a n h aː
الحياة	a l ħ i j aː h
بما	b a m aː
يتم	j a t a m a
يجب	j a d͡ʒ a b a
عليها	ʕ a l iː h aː
الأمر	a l ʔ a m a r a
عبر	ʕ a b a r a
يقول	j a q uː l
الثاني	a θ θ aː n i j j
العديد	a l ʕ a d iː d
بل	b a l l
عليك	ʕ a l iː k
الأولى	a l ʔ a w l aː
لنا	l a n aː
لهم	l a h a m a
الرئيس	a r r a ʔ iː s
لما	l a m aː
وذلك	w a ð l a k
وعلى	w a ʕ l aː
الدين	a d d iː n
بك	b a k k
اذا	i ð aː
الإنسان	a l ʔ i n s aː n
وما	w a m aː
انت	i n t a
عشر	ʕ a ʃ a r a
الخاصة	a l x aː sˤ a
الحكومة	a l ħ a k uː m a
العربي	a l ʕ a r a b i j j
الحرب	a l ħ a r a b a
عاما	ʕ aː m aː
علينا	ʕ a l iː n aː
منهم	m u n h a m
العامة	a l ʕ aː m a
المنطقة	a l m a n tˤ a q a
بي	b a j j
إنه	ʔ i n h
جديدة	d͡ʒ a d iː d a
السلام	a s s i l aː m
الملك	a l m a l a k a
الولايات	a l w a l aː j aː t
لكل	l a k a l a
بالنسبة	b i n n i s b a
لدى	l a d aː
العالمية	a l ʕ aː l a m i j j a
الجديد	a l d͡ʒ a d iː d
الجيش	a l d͡ʒ iː ʃ
النار	a n n aː r
تقول	t a q a w w a l a
كانوا	k aː n a w aː
بكل	b a k a l a
الشيخ	a ʃ ʃ iː x
الأخرى	a l ʔ a x r aː
المسلمين	a l m a s a l m iː n
عليهم	ʕ a l iː h a m
الثانية	a θ θ aː n i j j a
الكتاب	a l k i t aː b
الماضي	a l m aː dˤ i j j
المملكة	a l m a m l a k a
كذلك	k a ð l a k
وسلم	w a s l a m
أبي	ʔ a b i j j
الأمريكية	a l ʔ a m r iː k i j j a
بالإضافة	b i l ʔ i dˤ aː f a
وأنا	w a ʔ n aː
الفيلم	a l f iː l i m
أمر	ʔ a m a r a
الشرطة	a ʃ ʃ a r tˤ a
بواسطة	b a w aː s i tˤ a
نحو	n a ħ w
يبدو	j a b d uː
الأطفال	a l ʔ a tˤ f aː l
الرجال	a r r i d͡ʒ aː l
العرب	a l ʕ a r a b a
المرأة	a l m a r ʔ a
تقوم	t a q a w w a m a
القانون	a l q aː n uː n
بدأت	b a d a ʔ t
لمدة	l a m d a
فترة	f a t r a
وليس	w a l iː s
الان	a l aː n a
تعمل	t a ʕ a m m a l a
عنها	ʕ a n h aː
الحصول	a l ħ a sˤ uː l
معه	m a ʕ h
يوما	j uː m aː
الإسلامية	a l ʔ i s l aː m i j j a
باسم	b aː s i m
الأخيرة	a l ʔ a x iː r a
الأمن	a l ʔ a m a n a
الرغم	a r r a ɣ a m a
الطريق	a tˤ tˤ a r iː q
العمر	a l ʕ a m a r a
المزيد	a l m a z iː d
الواقع	a l w aː q i ʕ
حدث	ħ a d a θ a
مختلفة	m u x t a l a f a
السياسية	a s s i j aː s i j j a
الشباب	a ʃ ʃ i b aː b
المعلومات	a l m a ʕ l uː m aː t
بلا	b a l aː
الرجل	a r r a d͡ʒ a l a
الساعة	a s s aː ʕ a
وأنت	w a ʔ a n t
ومع	w a m a ʕ a
السابق	a s s aː b i q
وكانت	w a k aː n t
يعرف	j a ʕ r a f
أصبحت	ʔ a sˤ b a ħ t
التعليم	a t t a ʕ l iː m
السيد	a s s iː d
العلاقات	a l ʕ i l aː q aː t
انك	i n k a
حزب	ħ a z a b a
كنا	k a n aː
مباشرة	m u b aː ʃ i r a
يعد	j a ʕ a d a
الحكم	a l ħ a k a m a
السعودي	a s s u ʕ uː d i j j
حاليا	ħ aː l i j aː
يمكنك	j a m k a n k
الأعمال	a l ʔ a ʕ m aː l
التاريخ	a t t aː r iː x
الخارجية	a l x aː r a d͡ʒ i j j a
دي	d a j j
قوات	q a w aː t
أعضاء	ʔ a ʕ dˤ aː ʔ
الثالث	a θ θ aː l i θ
الدفاع	a d d i f aː ʕ
وكذلك	w a k ð a l a k
النبي	a n n a b i j j
تعرف	t a ʕ a r r a f a
وإن	w a ʔ i n
إعادة	ʔ i ʕ aː d a
الأمور	a l ʔ a m uː r
الحديث	a l ħ a d iː θ
