পর	p ɔ ɾ
একই	e k i
সহ	ʃ ɔ h o
এরপর	e ɾ p ɔ ɾ
ওপর	o p o ɾ
of	o f
অফ	ɔ f
আটক	a ʈ ɔ k
অব	ɔ b
to	t o
এম	e m
করব	k ɔ ɾ o b
by	b i
যত	d͡ʒ ɔ t̪ o
করল	k ɔ ɾ o l
কল	k ɔ l
ইন	i n
এরকম	e ɾ k o m
আই	a i̯
ওর	o ɾ
এইসব	e i̯ ʃ ɔ b
এল	e l
নন	n ɔ n
ফর	f ɔ ɾ
is	i s
বলল	b ɔ l o l
নই	n o i̯
বহন	b ɔ h o n
হযরত	h ɔ d͡ʒ ɾ ɔ t̪
আউট	a u̯ ʈ
তম	t̪ ɔ m
উপ	u p
ইউ	i u̯
আসন	a ʃ o n
আপ	a p
অন	ɔ n
ডট	ɖ ɔ ʈ
দমন	d̪ ɔ m o n
রঙ	r ɔ ŋ
এইচ	e i̯ t͡ʃ
এন	e n
পরও	p ɔ ɾ o
কখনই	k ɔ kʰ o n i
হব	h ɔ b
একমত	e k m ɔ t̪
ঘন	ɡʱ ɔ n
হও	h ɔ o̯
একদল	e k d̪ ɔ l
জনক	d͡ʒ ɔ n o k
বলব	b ɔ l o b
টন	ʈ ɔ n
ফসল	f ɔ ʃ o l
আগমন	a ɡ m o n
আজও	a d͡ʒ o
me	m e
মতই	m ɔ t̪ o i̯
no	n o
এরই	e ɾ o i̯
ইট	i ʈ
এফ	e f
de	d e
my	m i
যতই	d͡ʒ ɔ t̪ o i̯
be	b e
ডটকম	ɖ ɔ ʈ k ɔ m
যখনই	d͡ʒ ɔ kʰ o n i
এড	e ɖ
ডন	ɖ ɔ n
পল	p ɔ l
বরণ	b ɔ ɾ o n
as	a s
পরপরই	p ɔ ɾ p o ɾ o i̯
একর	e k o ɾ
অমর	ɔ m o ɾ
উঠল	u ʈʰ ɔ l
চল	t͡ʃ ɔ l
মতন	m ɔ t̪ o n
রইল	r o i̯ l
লস	l ɔ ʃ
আগত	a ɡ ɔ t̪ o
আহ	a h o
চর	t͡ʃ ɔ ɾ
টম	ʈ ɔ m
one	o n e
আন	a n
ইউএস	i u̯ e ʃ
হট	h ɔ ʈ
ইজ	i d͡ʒ
আছ	a t͡ʃʰ
টপ	ʈ ɔ p
la	l a
ততই	t̪ ɔ t̪ o i̯
ধরন	d̪ʱ ɔ ɾ o n
শট	ʃ ɔ ʈ
will	w i l
কমই	k ɔ m o i̯
চমক	t͡ʃ ɔ m o k
পরপর	p ɔ ɾ p ɔ ɾ
বব	b ɔ b
অবতরণ	ɔ b o t̪ ɔ ɾ o n
আইনগত	a i̯ n ɡ ɔ t̪ o
দর	d̪ ɔ ɾ
রহ	r ɔ h o
so	s o
এরও	e ɾ o
তরল	t̪ ɔ ɾ o l
ধর	d̪ʱ ɔ ɾ
পপ	p ɔ p
বদল	b ɔ d̪ o l
but	b u t
রক	r ɔ k
আমর	a m o ɾ
উইথ	u̯ i t̪ʰ
লগ	l ɔ ɡ
we	w e
আইএস	a i̯ e ʃ
মহৎ	m ɔ h o t̪
was	w a s
অর	ɔ ɾ
সচল	ʃ ɔ t͡ʃ o l
অবগত	ɔ b o ɡ ɔ t̪ o
জগত	d͡ʒ ɔ ɡ o t̪
নক	n ɔ k
ওসব	o ʃ ɔ b
কমন	k ɔ m o n
তর	t̪ ɔ ɾ
নও	n ɔ o̯
হজম	h ɔ d͡ʒ o m
টহল	ʈ ɔ h o l
বদর	b ɔ d̪ o ɾ
সরব	ʃ ɔ ɾ o b
অহ	ɔ h o
নট	n ɔ ʈ
মহল	m ɔ h o l
শন	ʃ ɔ n
dr	d e ɾ e
us	u s
হউক	h o u̯ k
অসৎ	ɔ ʃ ɔ t̪
এজ	e d͡ʒ
ধরণ	d̪ʱ ɔ ɾ o n
ফলন	f ɔ l o n
তৎপর	t̪ ɔ t̪ p ɔ ɾ
বলত	b ɔ l o t̪
pdf	p e d e ɛ f
হইল	h o i̯ l
ঘটল	ɡʱ ɔ ʈ o l
go	ɡ o
if	i f
গজ	ɡ ɔ d͡ʒ
রড	r ɔ ɖ
অসম	ɔ ʃ o m
জব	d͡ʒ ɔ b
এমএ	e m e
টস	ʈ ɔ ʃ
বকর	b ɔ k o ɾ
শওকত	ʃ ɔ o̯ k ɔ t̪
sex	s ɛ k s
উন	u n
bbc	b e b e s e
do	d o
লক	l ɔ k
উর	u ɾ
নদ	n ɔ d̪
ইবন	i b o n
ইমন	i m o n
উমর	u m o ɾ
গড	ɡ ɔ ɖ
কনডম	k ɔ n ɖ ɔ m
তপন	t̪ ɔ p o n
photo	f o t o
ঝলক	d͡ʒʱ ɔ l o k
city	s i t i
co	k o
photos	f o t o s
কমল	k ɔ m o l
its	i t s
একরকম	e k o ɾ k ɔ m
