af	a f
for	f ɔ r
du	d uːˀ
kan	k a n
om	ɔ m
da	d a
kunne	k o n ə
lige	l iː ə
op	ɔ p
bliver	b l iː v ə r
havde	h a v d ə
over	ɔ v ə r
hun	h o n
få	f ɔːˀ
kun	k o n
deres	d eː r ə s
kommer	k ɔ m ə r
må	m ɔː
denne	d ɛ n ə
dette	d ɛ t ə
flere	f l eː r ə
nok	n ɔ k
været	v ɛː r ə ð
igen	iː ə n
fik	f e k
hele	h eː l ə
sammen	s a m ə n
nye	n yː ə
tid	t i ð
sin	s iː n
danske	d a n s k ə
sådan	s ɔ d a n
kom	k ɔ m
del	d ɛ lˀ
nogen	n ɔː ɣ ə n
store	s t oː r ə
før	f øːˀ r
tror	t r oːˀ r
dit	d i t
gå	ɡ ɔːˀ
hos	h oː s
komme	k ɔ m ə
tre	t r eːˀ
giver	ɡ iː v ə r
dine	d iː n ə
disse	d i s ə
set	s ɛ t
fået	f ɔːˀ ə ð
hendes	h ɛ n ə s
inden	e n ə n
står	s t ɔːˀ r
give	ɡ iː v ə
synes	s yː n ə s
forskellige	f ɔ r s k ɛ l i ə
vej	v a jˀ
virkelig	v e r k ə l i
sige	s iː ə
gange	ɡ a n ɡ ə
hjem	j ɛ mˀ
lide	l iː ð ə
måde	m ɔː ð ə
gamle	ɡ a m l ə
verden	v ɛ r d ə n
ligger	l e ɡ ə r
mener	m eː n ə r
navn	n a vˀ n
the	t eːˀ
findes	f e n ə s
grund	ɡ r o nˀ
sit	s i t
tidligere	t i d l i ɡ eː r ə
kender	k ɛ n ə r
holde	h ɔ l ə
stort	s t ɔ r t
vist	v e s t
haft	h a f t
længere	l ɛ n ɡ ə r ə
væk	v ɛ k
senere	s e n eː r ə
stedet	s t eː ð ə ð
betyder	b e t yː d ə r
holder	h ɔ l ə r
ca	k a
kvinder	k v e n ə r
snart	s n a r t
sikkert	s e k ə r t
række	r ɛ k ə
byen	b yː ə n
døde	d øː ð ə
svært	s v ɛ r t
viser	v iː s ə r
lavet	l a v ə ð
fem	f ɛ mˀ
håber	h ɔː b ə r
fundet	f o n ə ð
kommune	k ɔ m uː n ə
hvert	v ɛ r t
kører	k øː r ə r
ligesom	l iː ə s ɔ m
virker	v e r k ə r
ses	s eː s
by	b yː
handler	h a n l ə r
købe	k øː b ə
lyder	l yː d ə r
sidder	s i d ə r
bruges	b r uː ə s
danmarks	d a n m a r k s
dele	d eː l ə
forbindelse	f ɔ r b e n ə l s ə
møde	m øː ð ə
sagt	s a k t
selvom	s ɛ l v ɔ m
fleste	f l ɛ s t ə
tænker	t ɛ n k ə r
usa	uː s a
imod	i m oː d
problemer	p r o b l eː m ə r
små	s m ɔː
stå	s t ɔːˀ
sætte	s ɛ t ə
vejen	v a j ə n
dagen	d aː ɣ ə n
følge	f ø l j ə
således	s ɔː l ə ð ə s
venner	v ɛ n ə r
blot	b l ɔ t
føler	f øː l ə r
kamp	k a m p
ok	ɔ k
alene	a l eː n ə
in	iː n
lade	l aː d ə
of	ɔ f
sikker	s e k ə r
skrevet	s k r eː v ə ð
læs	l ɛː s
netop	n e t ɔ p
sætter	s ɛ t ə r
landet	l a n ə ð
løbet	l øː b ə ð
stille	s t e l ə
bad	b a d
forbi	f ɔ r b iː
hus	h uː s
la	l a
samarbejde	s a m a r b a j d ə
desuden	d e s uː d ə n
lære	l ɛː r ə
mindst	m e n s t
rigtige	r e k t i ə
holdt	h ɔ l t
hører	h øː r ə r
sat	s a t
klart	k l a r t
mangler	m a n ɡ l ə r
stod	s t ɔ d
venstre	v ɛ n s t r ə
inde	e n ə
nummer	n o m ə r
resten	r ɛ s t ə n
års	ɔ r s
kræver	k r ɛː v ə r
område	ɔ m r ɔː ð ə
uger	uː ə r
begyndte	b e ɡ ø n t ə
derefter	d e r ɛ f t ə r
fc	ɛ f s eː
lande	l a n ə
arbejdet	a r b a j d ə t
danskere	d a n s k eː r ə
indenfor	e n ə n f ɔ r
it	i t
skriver	s k r iː v ə r
følgende	f ø l j ə n ə
givet	ɡ iː v ə ð
stop	s t ɔ p
ene	eː n ə
forældre	f ɔ r ɛ l d r ə
hørt	h ø r t
kendte	k ɛ n t ə
året	ɔː r ə ð
egne	a j n ə
rejse	r a j s ə
samlet	s a m l ə ð
ske	s k eːˀ
familien	f a m i l j ə n
nuværende	n u v ɛː r ə n ə
sagen	s aː ɣ ə n
super	s u p ə r
behøver	b e h øː v ə r
huske	h u s k ə
kampen	k a m p ə n
kæreste	k ɛː r ə s t ə
piger	p iː ə r
stærkt	s t ɛ r k t
vise	v iː s ə
hårdt	h ɔ r t
fælles	f ɛ l ə s
kalder	k a l ə r
kampe	k a m p ə
sende	s ɛ n ə
sgu	s ɡ uːˀ
vidste	v i s t ə
ekstra	ɛ k s t r a
lars	l a r s
sex	s ɛ k s
skolen	s k oː l ə n
tilfælde	t e l f ɛ l ə
grad	ɡ r a ð
mio	m iː o
nødt	n ø t
on	ɔ n
sikre	s e k r ə
sort	s ɔ r t
vis	v iːˀ s
dårlig	d ɔ r l i
fat	f a t
gælder	ɡ ɛ l ə r
hvide	v iː ð ə
stand	s t a nˀ
venter	v ɛ n t ə r
århus	ɔ r h uː s
lærer	l ɛː r ə r
meter	m eː t ə r
starter	s t a r t ə r
afsnit	a f s n i t
fortsat	f ɔ r t s a t
indeholder	e n ə h ɔ l ə r
politik	p o l i t i k
stykke	s t ø k ə
vigtig	v e k t i
erne	ɛ r n ə
født	f ø t
kommunen	k ɔ m uː n ə n
krig	k r iːˀ
nemt	n ɛ m t
områder	ɔ m r ɔː d ə r
prøver	p r øː v ə r
årig	ɔː r i
angreb	a n ɡ r eːˀ b
formand	f ɔ r m a nˀ
gruppe	ɡ r o p ə
lys	l yː s
oktober	ɔ k t oː b ə r
røde	r øː ð ə
syv	s yː v
færdig	f ɛ r d i
lægger	l ɛ ɡ ə r
samlede	s a m l eː ð ə
særligt	s ɛ r l i t
type	t yː p ə
vild	v i lˀ
dens	d ɛ n s
ondt	ɔ n t
randers	r a n ə r s
skete	s k eː t ə
start	s t a r t
børnene	b œ r n ə n ə
foregår	f ɔ r ə ɡ ɔː r
point	p o e n t
viste	v e s t ə
øvrigt	ø v r e k t
data	d aː t a
falder	f a l ə r
hey	h a jˀ
idé	i d e
kultur	k u l t uː r
martin	m a r t iː n
prøv	p r øːˀ v
ringe	r e n ɡ ə
sang	s a n ɡ
sidde	s i d ə
top	t ɔ p
bilen	b iː l ə n
ide	iː ð ə
lader	l aː d ə r
sad	s a d
stemme	s t ɛ m ə
stærk	s t ɛ r k
sælger	s ɛ l j ə r
søren	s øː r ə n
biler	b iː l ə r
faldt	f a l t
glæder	ɡ l ɛː d ə r
hellere	h ɛ l ə r ə
holdet	h ɔ l ə ð
køber	k øː b ə r
købt	k ø p t
midt	m i t
møder	m øː d ə r
nielsen	n i ə l s ə n
prisen	p r iː s ə n
prøvet	p r øː v ə ð
smukke	s m o k ə
sociale	s o s j aː l ə
sorte	s ɔ r t ə
spillede	s p e l ə ð ə
vejle	v a j l ə
anvendes	a n v ɛ n ə s
husker	h u s k ə r
kig	k iːˀ
kommende	k ɔ m ə n ə
online	ɔ n l iː n ə
pengene	p ɛ n ɡ ə n ə
rejser	r a j s ə r
styrke	s t y r k ə
team	t iː m
vigtigste	v e k t i s t ə
betaler	b e t aː l ə r
kone	k oː n ə
november	n ɔ v ɛ m b ə r
tænk	t ɛ n k
york	j ɔ r k
økonomisk	ø k o n oː m i s k
adgang	a d ɡ a n ɡ
banen	b aː n ə n
ender	ɛ n ə r
gider	ɡ iː d ə r
indsats	e n s a t s
klasse	k l a s ə
lagt	l a k t
lukket	l o k ə ð
pas	p a s
program	p r o ɡ r a m
rolle	r ɔ l ə
satte	s a t ə
vundet	v o n ə ð
an	a n
baby	b aː b i
fortsætter	f ɔ r t s ɛ t ə r
fører	f øː r ə r
guld	ɡ u lˀ
kirke	k i r k ə
kroner	k r oː n ə r
mente	m ɛ n t ə
