wo	v oː
leben	l eː b ə n
neue	n ɔ ɔʏ̯ ə
sei	z aɪ̯
grosse	g ʁ ɔ s z ə
grossen	g ʁ ɔ s z ə n
möchte	m œ ç t ə
heisst	h a eː s s t
usa	ʔ uː z a
us	ʔ uː s
eu	ɔ ɔʏ̯
strasse	ʃ t ʁ a s z ə
millionen	m ɪ l l ɪ oː n ə n
schliesslich	ʃ l iː s s l ɪ ç
and	ʔ a n t
erfolg	ʔ ɛː ɐ f ɔ l k
to	t oː
afd	ʔ a f t
ausser	ʔ a oː s z ɐ
cdu	t s d uː
na	n aː
scheisse	ʃ a eː s z ə
st	ʃ t
new	n eː v
grosser	g ʁ ɔ s z ɐ
michael	m ɪ ç a eː l
medien	m eː d iː ə n
la	l aː
nen	n eː n
fussball	f ʊ s s b a l l
situation	z iː t uː a t s ɪ oː n
offen	ʔ ɔ f f ə n
europäischen	ɔ ɔʏ̯ ʁ oː p ɛ ɪ ʃ ə n
sowas	z oː v a s
grösste	g ʁ œ z s t ə
grössten	g ʁ œ z s t ə n
erneut	ʔ ɛː ɐ n ɔ ɔʏ̯ t
it	iː t
samstag	z a m s t a k
freuen	f ʁ ɔ ɔʏ̯ ə n
scheiss	ʃ a eː s s
nix	n iː k s
no	n oː
grosses	g ʁ ɔ s z ə s
york	j ɔ ʁ k
freude	f ʁ ɔ ɔʏ̯ d ə
jungs	j ʊ ŋ s
regelmässig	ʁ eː g ɛ l m ɛ s z ɪ ç
sag	z aː k
grösse	g ʁ œ s z ə
website	v ɛ p z iː t ə
al	ʔ aː l
arsch	ʔ a ʁ ʃ
videos	v iː d eː oː s
aktuelle	ʔ a k t uː ɛ l l ə
anschliessend	ʔ a n ʃ l iː s z ɛ n t
heissen	h a eː s z ə n
naja	n aː j a
quelle	k v ɛ l l ə
studie	ʃ t uː d iː j ə
technik	t ɛ ç n iː k
weisst	v a eː s s t
draussen	d ʁ a oː s z ə n
massnahmen	m a s s n a m ə n
patienten	p a t iː ɛ n t ə n
aktuellen	ʔ a k t uː ɛ l l ə n
merkel	m ɛ ʁ k eː l
app	ʔ a p p
ausschliesslich	ʔ a oː s ʃ l iː s s l ɪ ç
cool	k uː l
grössere	g ʁ œ s z ɐ ə
un	ʔ ʊ n
zuhause	t s uː h a oː z ə
weissen	v a eː s z ə n
grösser	g ʁ œ s z ɐ
strassen	ʃ t ʁ a s z ə n
andreas	ʔ a n d ʁ ə a s
aussen	ʔ a oː s z ə n
schliessen	ʃ l iː s z ə n
unglaublich	ʔ ʊ n g l a oː p l ɪ ç
waffen	v a f f ə n
by	b yː
find	f ɪ n t
neun	n ɔ ɔʏ̯ n
wow	v oː v
europäische	ɔ ɔʏ̯ ʁ oː p ɛ ɪ ʃ ə
grösseren	g ʁ œ s z ɐ ə n
trump	t ʁ ʊ m p
milliarden	m ɪ l l iː a ʁ d ə n
weisse	v a eː s z ə
dauert	d a ʔ uː ɐ t
ha	h aː
ma	m aː
sorry	z ɔ ʁ ʁ yː
twitter	t v ɪ t ɐ
at	aː t
di	d iː
generation	g ə n eː ʁ a t s ɪ oː n
hoffen	h ɔ f f ə n
mail	m aɪ̯ l
sogenannten	z oː g eː n a n n t ə n
spanien	ʃ p a n iː ə n
wär	v ɛː ɐ
ah	ʔ aː
main	m aɪ̯ n
mio	m iː oː
offiziell	ʔ ɔ f f iː t s iː l l
pc	p s
up	ʔ uː p
ps	p s
red	ʁ eː t
amazon	ʔ aː m a t s oː n
gibts	g ɪ p t s
information	ʔ ɪ n f ɔ ʁ m a t s ɪ oː n
league	l ə a g uː ə
me	m eː
training	t ʁ a ɪ n ɪ ŋ
steuern	ʃ t ɔ ɔʏ̯ ɐ n
geniessen	g ə n iː s z ə n
nrw	n ʁ v
west	v ɛ s t
heisse	h a eː s z ə
my	m yː
sogenannte	z oː g eː n a n n t ə
with	v ɪ t
anhänger	ʔ a n h ɛ ŋ ɐ
as	ʔ aː s
big	b ɪ ç
schliesst	ʃ l iː s s t
äusserst	ɔ ɔʏ̯ s z ɛ ʁ s t
do	d oː
hi	h iː
high	h ɪ k
single	z ɪ ŋ l ə
that	t aː t
black	b l a k
grossartig	g ʁ ɔ s z a ʁ t ɪ ç
mainz	m a ɪ n t s
media	m eː d iː a
revolution	ʁ eː v oː l uː t s ɪ oː n
tja	t j aː
