να	n a
του	t u
την	t i n
τησ	t i s
για	ʝ a
που	p u
τα	t a
από	a p o
σε	s e
μου	m u
τη	t i
τουσ	t u s
μασ	m a s
τι	t i
σασ	s a s
σου	s u
αν	a n
πωσ	p o s
όπωσ	o p o s
ωσ	o s
μπορεί	b o ɾ i
όχι	o ç i
στουσ	s t u s
κάνει	k a n i
χωρίσ	x o ɾ i s
ένασ	e n a s
όμωσ	o m o s
ναι	n e
προσ	p ɾ o s
οποία	o p i a
έναν	e n a n
καθώσ	k a θ o s
όλοι	o l i
επίσησ	e p i s i s
έχεισ	e ç i s
πάνω	p a n o
ασ	a s
μέροσ	m e ɾ o s
πολλά	p o l a
φορά	f o ɾ a
απο	a p o
όπου	o p u
όσο	o s o
άλλο	a l o
έγινε	e ʝ i n e
εκεί	e c i
πρώτη	p ɾ o t i
άλλη	a l i
οποίο	o p i o
γίνει	ʝ i n i
λεσ	l e s
μεγάλη	m e ɣ a l i
μεταξύ	m e t a k s i
σύμφωνα	s i ɱ f o n a
αυτόσ	a f t o s
ενόσ	e n o s
πώσ	p o s
ειναι	i n e
τέλοσ	t e l o s
είπε	i p e
όλουσ	o l u s
έκανε	e k a n e
εκτόσ	e k t o s
ακόμη	a k o m i
κόσμο	k o z m o
δυο	ð i o
πόσο	p o s o
χρόνο	x ɾ o n o
αυτέσ	a f t e s
κάνουν	k a n u n
φορέσ	f o ɾ e s
θέλει	θ e l i
κυβέρνηση	c i v e ɾ n i s i
πάλι	p a l i
έωσ	e o s
ίδιο	i ð i o
εμείσ	e m i s
μόλισ	m o l i s
άλλα	a l a
αφού	a f u
μεγάλο	m e ɣ a l o
πάει	p a i
πω	p o
κάνεισ	k a n i s
ποιοσ	p i o s
άνθρωποι	a n θ ɾ o p i
κανείσ	k a n i s
λένε	l e n e
όλεσ	o l e s
οτι	o t i
πρώτο	p ɾ o t o
όλη	o l i
τελικά	t e l i k a
τρόπο	t ɾ o p o
ώρεσ	o ɾ e s
μέρεσ	m e ɾ e s
πολιτική	p o l i t i c i
πράγματα	p ɾ a ɣ m a t a
δείτε	ð i t e
θεσ	θ e s
στοιχεία	s t i ç i a
ανθρώπουσ	a n θ ɾ o p u s
εσείσ	e s i s
ελληνική	e l i n i c i
καλύτερα	k a l i t e ɾ a
σχέση	s ç e s i
τρεισ	t ɾ i s
επί	e p i
μάλιστα	m a l i s t a
κάνουμε	k a n u m e
πει	p i
άλλεσ	a l e s
μπορείτε	b o ɾ i t e
φαίνεται	f e n e t e
ίσωσ	i s o s
αυτούσ	a f t u s
σχεδόν	s ç e ð o n
δω	ð o
πρώτα	p ɾ o t a
άνθρωποσ	a n θ ɾ o p o s
αποτελεί	a p o t e l i
εκ	e k
μπροστά	b ɾ o s t a
αρκετά	a ɾ c e t a
γύρω	ʝ i ɾ o
λάθοσ	l a θ o s
βάση	v a s i
ελλάδασ	e l a ð a s
μπορείσ	b o ɾ i s
πάρει	p a ɾ i
σειρά	s i ɾ a
πρόεδροσ	p ɾ o e ð ɾ o s
σημαίνει	s i m e n i
υπό	i p o
έλληνεσ	e l i n e s
ζωήσ	z o i s
κάνετε	k a n e t e
καμία	k a m i a
πάμε	p a m e
πασ	p a s
τμήμα	t m i m a
άτομα	a t o m a
εαυτό	e a f t o
πια	p ç a
πρώην	p ɾ o i n
χρήση	x ɾ i s i
όσα	o s a
άλλουσ	a l u s
δει	ð i
δικό	ð i k o
κυρίωσ	c i ɾ i o s
μήνεσ	m i n e s
φίλε	f i l e
ακριβώσ	a k ɾ i v o s
αγώνα	a ɣ o n a
δρόμο	ð ɾ o m o
πεσ	p e s
αυτήν	a f t i n
είτε	i t e
ενα	e n a
ετών	e t o n
χώρασ	x o ɾ a s
θέλουν	θ e l u n
κόσμοσ	k o z m o s
σημαντικό	s i m a n d i k o
λεπτά	l e p t a
χθεσ	x θ e s
κανένα	k a n e n a
μέλη	m e l i
μήπωσ	m i p o s
ανάμεσα	a n a m e s a
γεγονόσ	ʝ e ɣ o n o s
καιρό	c e ɾ o
μουσική	m u s i c i
τέτοια	t e t i a
άλλων	a l o n
εάν	e a n
θέλετε	θ e l e t e
μικρή	m i k ɾ i
παιχνίδι	p e x n i ð i
συμφωνία	s i ɱ f o n i a
σχέδιο	s ç e ð i o
άλλοι	a l i
δήμου	ð i m u
δεισ	ð i s
καλύτερο	k a l i t e ɾ o
οποίεσ	o p i e s
πλευρά	p l e v ɾ a
ξέρει	k s e ɾ i
πατέρασ	p a t e ɾ a s
χώρο	x o ɾ o
άλλοσ	a l o s
εμένα	e m e n a
βέβαια	v e v e a
δική	ð i c i
έδωσε	e ð o s e
αμέσωσ	a m e s o s
ανάπτυξη	a n a p t i k s i
δίνει	ð i n i
εθνική	e θ n i c i
εκλογέσ	e k l o ʝ e s
επόμενη	e p o m e n i
ηταν	i t a n
μεγαλύτερη	m e ɣ a l i t e ɾ i
φίλοι	f i l i
αυτο	a f t o
δούμε	ð u m e
θέσεισ	θ e s i s
