ok	ˈɑ k
uk	ˈʌ k
usa	j ˈu s ə
dont	d ˈɑ n t
ll	ˈɛ l
mm	ˈɛ m ə m
eu	j ˈu
haha	h ˈɑ h ə
ft	ˈɛ f t
thats	θ ˈæ t s
ceo	s ˈi oʊ
ny	n ˈaɪ
vol	v ˈɑ l
ap	ˈæ p
km	k ˈɛ m
mp	ˈɛ m p i
cm	s ˈɛ m
va	v ˈɑ
ac	ˈæ k
gop	ɡ ˈɑ p
ep	ˈɛ p
fa	f ˈɑ
th	θ
sc	ˈɛ s k
hiv	h ˈɪ v
idk	ˈɪ d k
gm	d͡ʒ ˈɛ m
mps	ˈɛ m p s
pics	p ˈɪ k s
ba	b ˈɑ
prof	p ɹ ˈɑ f
sri	s ɹ ˈi
ss	ˈɛ s ɪ s
wi	w ˈaɪ
organised	ˈɔ ɹ ɡ ə n ˌaɪ z d
programmes	p ɹ ˈoʊ ɡ ɹ ˌæ m z
btw	b ˈeɪ t ˌu
nyc	n ˈɪ k
fm	ˈɛ f ə m
ive	ˈaɪ v
tl	t ˈɛ l
aa	ˈɑ
tx	t ˈɛ k s
af	ˈæ f
wwe	w ˈi
hes	h ˈɛ z
offence	ˈɑ f ə n s
ch	t͡ʃ
col	k ˈoʊ l
espn	ˈɛ s p ə n
ibm	ˈɪ b ə m
def	d ˈɛ f
cs	s ˈɛ s
epa	ˈi p ə
mins	m ˈɪ n z
cuz	k ˈʌ z
isnt	ˈɪ z ə n t
dem	d ˈɛ m
dm	d ˈɛ m
gf	d͡ʒ ˈɛ f
pl	p ˈɛ l
sf	ˈɛ s ɪ f
midfielder	m ˈɪ d f ˌi l d ɚ
nsa	ˈɛ n s ə
url	ˈɚ l
youre	j ˈʊ ɹ
atm	ˈæ t ə m
cf	s ˈɛ f
dems	d ˈɛ m z
ce	s ˈi
ge	d͡ʒ ˈi
ea	ˈi
hahaha	h ə h ˈɑ h ə
diy	d ˈaɪ
thrones	θ ɹ ˈoʊ n z
ussr	ˈʌ s ɚ
bf	b ˈɛ f
brexit	b ɹ ˈɛ k s ɪ t
int	ˈɪ n t
nz	ˈɛ n z
ff	ˈɛ f
mb	ˈɛ m b i
ky	k ˈaɪ
messi	m ˈɛ s i
eds	ˈɛ d z
vip	v ˈɪ p
bayern	b ˈeɪ ɚ n
blu	b l ˈu
café	k ə f ˈeɪ
govt	ɡ ˈɑ v t
maths	m ˈæ θ s
uae	j ˈu i
xx	ˈɛ k s
ak	ˈæ k
flavour	f l ˈeɪ v ɚ
mn	ˈɛ m ə n
usc	ˈʌ s k
gi	d͡ʒ ˈi
pe	p ˈi
ut	ˈʌ t
vp	v ˈeɪ p i
capt	k ˈæ p t
dept	d ˈɛ p t
ls	ˈɛ l z
sm	ˈɛ s ə m
tn	t ˈɛ n
ec	ˈɛ k
sb	ˈɛ s b i
footballer	f ˈʊ t b ˌɔ l ɚ
ix	ˈɪ k s
pls	p ˈɛ l z
ri	ɹ ˈi
az	ˈæ z
refs	ɹ ˈɛ f s
xl	ˈɛ k s ə l
acc	ˈæ k
aww	ˈɔ w
dl	d ˈɛ l
ts	t ˈɛ s
criticised	k ɹ ˈɪ t ɪ s ˌaɪ z d
exp	ˈɛ k s p
ppl	p ˈeɪ p ə l
fo	f ˈoʊ
hrs	h ˈɚ z
jp	d͡ʒ ˈeɪ p i
var	v ˈɑ ɹ
favourites	f ˈeɪ v ɚ ˌaɪ t s
icc	ˈɪ k
jul	d͡ʒ ˈʌ l
av	ˈæ v
ig	ˈɪ ɡ
nigga	n ˈɪ ɡ ə
eg	ˈɛ ɡ
mf	ˈɛ m ɛ f
midfield	m ˈɪ d f ˌi l d
tha	θ ˈɑ
tm	t ˈɛ m
ui	j ˈu i
authorised	ˈɔ θ ɚ ˌaɪ z d
cv	s ˈi v i
nsfw	ˈɛ n ɪ s ɛ f ˌu
sl	ˈɛ s ə l
benghazi	b ɛ ŋ h ˈɑ z i
cis	s ˈɪ s
fla	f l ˈɑ
meds	m ˈɛ d z
oc	ˈɑ k
ew	j ˈu
gs	d͡ʒ ˈi z
ukip	j ˈu k ɪ p
woah	w ˈoʊ ə
eps	ˈɛ p s
hai	h ˈaɪ
ind	ˈaɪ n d
oo	ˈu
aleppo	ə l ˈɛ p oʊ
mri	m ɹ ˈi
nh	ˈɛ n h ˌu
tf	t ˈɛ f
colourful	k ˈʌ l ɚ f ə l
cu	k j ˈu
esp	ˈɛ s p
ic	ˈɪ k
atleast	ˈæ t l ˌi s t
cw	k ˈu
tweeting	t w ˈi t ɪ ŋ
bu	b ˈu
imf	ˈɪ m f
amd	ˈæ m d
fam	f ˈæ m
fyi	f ˈaɪ i
ieee	ˈi i
ks	k ˈɛ s
nl	ˈɛ n ə l
yrs	ˈɚ z
fandom	f ˈæ n d ə m
iot	ˈaɪ ə t
millennials	m ɪ l ˈɛ n i ə l z
sourced	s ˈɔ ɹ s t
faa	f ˈɑ
havent	h ˈeɪ v ə n t
ke	k ˈi
litre	l ˈaɪ t ɚ
organise	ˈɔ ɹ ɡ ə n ˌaɪ z
edt	ˈɛ d t
eur	j ˈʊ ɹ
juventus	d͡ʒ u v ˈɛ n t ə s
liga	l ˈi ɡ ə
organising	ˈɔ ɹ ɡ ə n ˌaɪ z ɪ ŋ
ser	s ˈɚ
webcam	w ˈɛ b k ˌæ m
ama	ˈɑ m ə
analysed	ˈæ n ə l ˌaɪ z d
naruto	n ɑ ɹ ˈu t oʊ
podcasts	p ˈɑ d k ˌæ s t s
sooo	s ˈu
ufo	j ˈu f oʊ
aap	ˈɑ p
doping	d ˈoʊ p ɪ ŋ
kb	k ˈeɪ b i
ain	ˈeɪ n
motorway	m ˈoʊ t ɚ w ˌeɪ
npr	ˈɛ n p ɚ
anc	ˈæ ŋ k
counselling	k ˈaʊ n s ˌɛ l ɪ ŋ
footballers	f ˈʊ t b ˌɔ l ɚ z
iss	ˈɪ s
nra	ˈɛ n ɹ ə
usda	ˈʌ s d ə
uss	ˈʌ s
vols	v ˈoʊ l z
ageing	ˈeɪ d͡ʒ ɪ ŋ
defences	d ɪ f ˈɛ n s ɪ z
ooo	ˈu
xiii	z ˈi i
centric	s ˈɛ n t ɹ ɪ k
dre	d ɹ ˈeɪ
irl	ˈɚ l
nr	ˈɛ n ɚ
ob	ˈɑ b
relegation	ɹ ˌɛ l ə ɡ ˈeɪ ʃ ə n
cosplay	k ˈɑ s p l ˌeɪ
fri	f ɹ ˈaɪ
wigan	w ˈɪ ɡ ə n
io	ˈaɪ oʊ
ipswich	ˈɪ p s w ɪ t͡ʃ
mindfulness	m ˈaɪ n d f ə l n ə s
realising	ɹ ˈi ə l ˌaɪ z ɪ ŋ
batsman	b ˈæ t s m ə n
boi	b ˈɔɪ
hoodie	h ˈʊ d i
meh	m ˈɛ
playable	p l ˈeɪ ə b ə l
vid	v ˈɪ d
womens	w ˈʊ m ə n z
ceos	s ˈi oʊ z
eff	ˈɛ f
lv	ˈɛ l v i
milf	m ˈɪ l f
od	ˈɑ d
tumour	t ˈu m ɚ
xiv	ʃ ˈɪ v
amc	ˈæ m k
ao	ˈaʊ
det	d ˈɛ t
doncaster	d ˈɑ ŋ k ˌæ s t ɚ
flavours	f l ˈeɪ v ɚ z
hms	h ˈɛ m z
zac	z ˈæ k
bl	b ˈɛ l
crore	k ɹ ˈɔ ɹ
div	d ˈɪ v
freakin	f ɹ ˈi k ɪ n
nb	ˈɛ n b i
assange	ə s ˈeɪ n d͡ʒ
bm	b ˈɛ m
cms	s ˈɛ m z
ems	ˈɛ m z
ids	ˈɪ d z
metadata	m ˌɛ t ə d ˈɑ t ə
png	p ˈɛ ŋ
afp	ˈæ f p
dui	d ˈu i
hella	h ˈɛ l ə
ist	ˈɪ s t
obi	ˈoʊ b i
ramen	ɹ ˈeɪ m ə n
synth	s ˈɪ n θ
aint	ˈeɪ n t
armoured	ˈɑ ɹ m ɚ d
dod	d ˈɑ d
elon	ˈɛ l ə n
gon	ɡ ˈɑ n
ik	ˈɪ k
insanely	ɪ n s ˈeɪ n l i
jojo	d͡ʒ ˈoʊ d͡ʒ oʊ
middlesbrough	m ˈɪ d ə l z b ɹ ˌaʊ
mixtape	m ˈɪ k s t ˌeɪ p
mods	m ˈɑ d z
mx	m ˈɛ k s
pune	p j ˈu n
une	j ˈu n
cunts	k ˈʌ n t s
hb	h ˈɑ b i
ict	ˈɪ k t
jonny	d͡ʒ ˈɑ n i
ofthe	ˈɔ f θ
saviour	s ˈeɪ v j ɚ
unc	ˈʌ ŋ k
aba	ˈɑ b ə
apa	ˈeɪ p ə
behavioural	b ɪ h ˈeɪ v j ɚ ə l
crowdfunding	k ɹ ˈaʊ d f ˌʌ n d ɪ ŋ
dawg	d ˈɔ ɡ
df	d ˈɛ f
dodgy	d ˈɑ d͡ʒ i
eq	ˈɛ k
ohhh	ˈoʊ
skincare	s k ˈɪ ŋ k ˌɛ ɹ
soc	s ˈɑ k
ans	ˈæ n z
corbyn	k ˈɔ ɹ b ɪ n
fracking	f ɹ ˈæ k ɪ ŋ
jax	d͡ʒ ˈæ k s
oem	ˈoʊ m
raja	ɹ ˈɑ d͡ʒ ə
shite	ʃ ˈaɪ t
smackdown	s m ˈæ k d ˌaʊ n
thc	θ ˈɛ k
tnt	t ˈɛ n t
abi	ˈɑ b i
cryptocurrency	k ɹ ˌɪ p t ə k ˈɚ ə n s i
dans	d ˈæ n z
ecommerce	ˈi k ə m ɚ s
maga	m ˈɑ ɡ ə
pov	p ˈɑ v
veg	v ˈɛ ɡ
wha	w ˈɑ
boko	b ˈoʊ k oʊ
chilli	t͡ʃ ˈɪ l i
dei	d ˈaɪ
didn	d ˈɪ d ə n
ey	ˈeɪ
fortnite	f ˈɔ ɹ t n ˌaɪ t
gui	ɡ ˈi
idf	ˈɪ d ɪ f
iggy	ˈɪ ɡ i
kart	k ˈɑ ɹ t
kolkata	k oʊ l k ˈɑ t ə
ppp	p ˈeɪ p ˌeɪ
sorta	s ˈɔ ɹ t ə
cena	s ˈi n ə
ef	ˈɛ f
esa	ˈi s ə
hwy	h w ˈaɪ
insta	ˈɪ n s t ə
narendra	n ɚ ˈɛ n d ɹ ə
situ	s ˈi t u
ua	j ˈu ə
bts	b ˈeɪ t s
cont	k ˈɑ n t
faq	f ˈæ k
lenovo	l ɛ n ˈoʊ v oʊ
loki	l ˈoʊ k i
odi	ˈoʊ d i
adverts	ˈæ d v ɚ t s
fol	f ˈoʊ l
gloucestershire	ɡ l ˈaʊ s t ɚ ʃ ˌaɪ ɚ
homie	h ˈoʊ m i
ips	ˈɪ p s
plz	p ˈɛ l z
bundesliga	b ˌʌ n d ɪ s l ˈi ɡ ə
customization	k ˌʌ s t ə m ə z ˈeɪ ʃ ə n
dw	d ˈu
frat	f ɹ ˈæ t
immersive	ɪ m ˈɚ s ɪ v
isp	ˈɪ s p
kev	k ˈɛ v
modelled	m ˈɑ d ə l d
rowling	ɹ ˈoʊ l ɪ ŋ
scrum	s k ɹ ˈʌ m
sem	s ˈɛ m
ssr	ˈɛ s ɚ
vettel	v ˈɛ t ə l
abt	ˈæ b t
aclu	ˈæ k l u
cpa	s ˈeɪ p ˌeɪ
deadpool	d ˈɛ d p ˌu l
dns	d ˈɛ n z
dx	d ˈɛ k s
eachother	ˈi t͡ʃ ˌɑ ð ɚ
ez	ˈɛ z
lakh	l ˈæ k
loc	l ˈɑ k
nf	ˈɛ n ɛ f
offside	ˈɔ f s ˌaɪ d
titties	t ˈɪ t i z
bw	b ˈu
emoji	ɪ m ˈoʊ d͡ʒ i
fav	f ˈæ v
girly	ɡ ˈɚ l i
hahahaha	h ɑ h ɑ h ˈɑ h ə
hf	h ˈɛ f
nyt	n ˈɪ t
ryu	ɹ ˈaɪ u
untitled	ʌ n t ˈaɪ t ə l d
analysing	ˈæ n ə l ˌaɪ z ɪ ŋ
ars	ˈɑ ɹ z
att	ˈæ t
erm	ˈɚ m
farage	f ˈɛ ɹ ɪ d͡ʒ
hentai	h ˈɛ n t ˌaɪ
incl	ˈɪ ŋ k ə l
kiddo	k ˈɪ d oʊ
lds	ˈɛ l d z
litres	l ˈaɪ t ɚ z
merch	m ˈɚ t͡ʃ
nadu	n ˈɑ d u
nyse	n ˈaɪ z
osu	ˈoʊ s u
scrubs	s k ɹ ˈʌ b z
uttar	ˈʌ t ɚ
aswell	ˈæ s w ˌɛ l
bling	b l ˈɪ ŋ
calibre	k ˈæ l ə b ɚ
croydon	k ɹ ˈɔɪ d ə n
edm	ˈɛ d ə m
esports	ɪ s p ˈɔ ɹ t s
eth	ˈɛ θ
kink	k ˈɪ ŋ k
organisers	ˈɔ ɹ ɡ ə n ˌaɪ z ɚ z
proc	p ɹ ˈɑ k
rin	ɹ ˈɪ n
salford	s ˈæ l f ɚ d
upto	ˈʌ p t oʊ
yall	j ˈɔ l
youll	j ˈu l
yt	ˈaɪ t
andhra	ˈæ n d ɹ ə
gis	d͡ʒ ˈɪ s
hertfordshire	h ˈɚ t f ɚ d ʃ ˌaɪ ɚ
huskies	h ˈʌ s k i z
midfielders	m ˈɪ d f ˌi l d ɚ z
mrna	m ˈɚ n ə
oxfordshire	ˈɑ k s f ɚ d ʃ ˌaɪ ɚ
paralympics	p ˌɛ ɹ ə l ˈɪ m p ɪ k s
vids	v ˈɪ d z
zu	z ˈu
bst	b ˈɛ s t
cir	s ˈɚ
cumbria	k ˈʌ m b ɹ i ə
dystopian	d ɪ s t ˈoʊ p i ə n
evo	ˈi v oʊ
farts	f ˈɑ ɹ t s
fremantle	f ɹ ˈɛ m ə n t ə l
oa	ˈoʊ ə
oculus	ˈɑ k j ə l ə s
viz	v ˈɪ z
adm	ˈæ d ə m
aeroplane	ˈɛ ɹ ə p l ˌeɪ n
bai	b ˈaɪ
codex	k ˈoʊ d ɛ k s
fei	f ˈaɪ
heres	h ˈɪ ɹ z
kimi	k ˈi m i
lvl	ˈɛ l v ə l
msu	m ˈɛ s u
pikachu	p i k ˈɑ t͡ʃ u
shouldnt	ʃ ˈaʊ l d ə n t
spelt	s p ˈɛ l t
ud	ˈʌ d
usps	ˈʌ s p s
xs	ˈɛ k s ɪ z
aws	ˈɔ z
bama	b ˈɑ m ə
chakra	t͡ʃ ˈæ k ɹ ə
concordia	k ə ŋ k ˈɔ ɹ d i ə
friggin	f ɹ ˈɪ ɡ ɪ n
frontman	f ɹ ˈɑ n t m ə n
goku	ɡ ˈoʊ k u
ironman	ˈaɪ ɹ ə n m ə n
libs	l ˈɪ b z
minimise	m ˈɪ n ə m ˌaɪ z
motorsport	m ˈoʊ t ɚ s p ˌɔ ɹ t
personalised	p ˈɚ s ə n ə l ˌaɪ z d
selector	s ə l ˈɛ k t ɚ
sn	ˈɛ s ə n
sooooo	s ˈu u
ux	ˈʌ k s
aunty	ˈɔ n t i
camo	k ˈɑ m oʊ
carers	k ˈɛ ɹ ɚ z
crossfit	k ɹ ˈɔ s f ɪ t
ei	ˈaɪ
ffa	f ˈɑ
