ها	h ɒː
یه	j e̞
اون	o n
داره	d ɒː ɾ e̞
باشه	b ɒː ʃ e̞
كه	k e̞
اول	o l
چی	t͡ʃ iː
بچه	b e̞ t͡ʃ e̞
توسط	t uː s e̞ t
واسه	v ɒː s e̞
اين	e̞ j n
دیگه	d iː g e̞
نداره	n æ d ɒː ɾ e̞
خب	x æ b
منم	m æ n æ m
چیزی	t͡ʃ iː z iː
بشه	b e̞ ʃ e̞
توی	t æ v iː
خونه	x o n e̞
محمد	m æ h m æ d
میشه	m iː ʃ e̞
دارن	d ɒː ɾ æ n
اولین	o l iː n
سلام	s æ l ɒː m
همون	h æ m uː n
خودت	x o d æ t
خوبه	x o b e̞
جای	d͡ʒ ɒː j
بابا	b ɒː b ɒː
بگم	b e̞ g æ m
بهم	b e̞ h æ m
مگه	m æ g e̞
شورای	ʃ uː ɾ ɒː j
مدت	m æ d æ t
ترین	t æ ɾ iː n
کجا	k e̞ d͡ʒ ɒː
کی	k iː
آهنگ	ɒː h æ n g
اند	æ n d
هستن	h æ s t æ n
معرفی	m æ ʔ ɾ æ f iː
طراحی	t æ ɾ ɒː h iː
دلم	d æ l æ m
سوم	s uː m
هاي	h ɒː j
بخاطر	b e̞ x ɒː t e̞ ɾ
عاشق	ɒː ʃ e̞ ɢ
هی	h iː
وضعیت	v æ z ʔ iː t
آره	ɒː ɾ e̞
تموم	t æ m uː m
میخوام	m iː x ɒː m
حداقل	h e̞ d ɒː ɢ e̞ l
مدیریت	m æ d iː ɾ iː t
زنگ	z æ n g
سریال	s o ɾ j ɒː l
بله	b e̞ l e̞
مال	m ɒː l
مدل	m æ d æ l
براي	b e̞ ɾ ɒː j
جون	d͡ʒ uː n
رسمی	ɾ æ s æ m iː
ست	s e̞ t
شه	ʃ e̞
متوجه	m æ t uː d͡ʒ e̞
هایی	h ɒː j iː
فضای	f e̞ z ɒː j
اینه	iː n e̞
کشورهای	k e̞ ʃ uː ɾ e̞ iː
خنده	x æ n d e̞
سگ	s e̞ g
سید	s iː d
باد	b ɒː d
برادر	b æ ɾ ɒː d æ ɾ
جایی	d͡ʒ ɒː j iː
حالی	h ɒː l iː
علت	æ l t
کد	k æ d
اونا	o n ɒː
اونجا	o n d͡ʒ ɒː
اونم	o n æ m
باهاش	b ɒː h ɒː ʃ
فعال	f e̞ ʔ ɒː l
ماست	m ɒː s t
گفتن	g o f t æ n
زود	z uː d
همش	h æ m e̞ ʃ
همچین	h æ m t͡ʃ iː n
بالای	b ɒː l ɒː j
بدی	b e̞ d iː
براش	b e̞ ɾ ɒː ʃ
يك	j e̞ k
and	æ n d
تاریخی	t ɒː ɾ iː x iː
خورده	x o ɾ d e̞
يا	j ɒː
چک	t͡ʃ e̞ k
باشن	b ɒː ʃ æ n
خسته	x o s t e̞
خواننده	x ɒː n æ n d e̞
یکم	j e̞ k æ m
آبی	ɒː b iː
شدت	ʃ o d æ t
مجازی	m æ d͡ʒ ɒː z iː
نگه	n æ g e̞
گوشی	g uː ʃ iː
دنیای	d æ n j ɒː j
دوتا	d uː t ɒː
سپاه	s e̞ p ɒː h
جاده	d͡ʒ ɒː d e̞
ورزشی	v æ ɾ z e̞ ʃ iː
بدست	b e̞ d æ s t
برنده	b e̞ ɾ æ n d e̞
جدی	d͡ʒ o d iː
خاصی	x ɒː s iː
خلاصه	x æ l ɒː s e̞
قرمز	ɢ æ ɾ m æ z
چپ	t͡ʃ æ p
ترانه	t æ ɾ ɒː n e̞
خراب	x æ ɾ ɒː b
دم	d æ m
عباس	æ b ɒː s
لینک	l iː n e̞ k
تمامی	t æ m ɒː m iː
تولد	t uː l æ d
خوردن	x o ɾ d æ n
فناوری	f æ n ɒː v æ ɾ iː
اهمیت	æ h m iː t
روحانی	ɾ uː h ɒː n iː
ولایت	v æ l ɒː j æ t
اولیه	o l iː j e̞
بزنه	b e̞ z æ n e̞
تنگ	t æ n g
توش	t uː ʃ
شاد	ʃ ɒː d
عزیزم	æ z iː z æ m
مجله	m æ d͡ʒ l e̞
میخوای	m iː x ɒː j
هوای	h æ v ɒː j
باند	b ɒː n æ d
بايد	b ɒː j æ d
ترامپ	t æ ɾ ɒː m æ p
تصاویر	t æ s ɒː v iː ɾ
جور	d͡ʒ uː ɾ
دیوار	d iː v ɒː ɾ
محلی	m æ h l iː
وسط	v æ s e̞ t
چیکار	t͡ʃ iː k ɒː ɾ
کانال	k ɒː n ɒː l
آموزشی	ɒː m uː z e̞ ʃ iː
خواهر	x ɒː h e̞ ɾ
قراره	ɢ æ ɾ ɒː ɾ e̞
لیست	l iː s t
موتور	m uː t uː ɾ
میدم	m iː d æ m
میگم	m iː g æ m
هیئت	h iː ʔ æ t
کنکور	k o n k uː ɾ
باهم	b ɒː h æ m
سنتی	s æ n t iː
عجیب	æ d͡ʒ iː b
تجاری	t æ d͡ʒ ɒː ɾ iː
شک	ʃ e̞ k
مغز	m æ ɢ z
ايران	iː ɾ ɒː n
بشم	b e̞ ʃ æ m
تحمل	t æ h m æ l
تخت	t æ x t
جی	d͡ʒ iː
دستی	d æ s t iː
عرض	æ ɾ z
مامان	m ɒː m ɒː n
نباشه	n æ b ɒː ʃ e̞
نقاشی	n æ ɢ ɒː ʃ iː
نمیشه	n e̞ m iː ʃ e̞
وب	v æ b
وطن	v æ t æ n
پوست	p uː s t
آخه	ɒː x e̞
برگزاری	b æ ɾ g o z ɒː ɾ iː
ترس	t æ ɾ s
درخت	d e̞ ɾ æ x t
دریا	d æ ɾ j ɒː
اي	e̞ j
تخم	t æ x æ m
تصور	t æ s uː ɾ
مسخره	m æ s x æ ɾ e̞
موفقیت	m uː f æ ɢ iː t
کیفیت	k iː f iː t
تیر	t iː ɾ
روایت	ɾ æ v ɒː j æ t
عدد	æ d æ d
قهوه	ɢ æ h v e̞
مازندران	m ɒː z n æ d æ ɾ ɒː n
پهلوی	p æ h l æ v iː
باب	b ɒː b
جو	d͡ʒ uː
عزیز	æ z iː z
فنی	f æ n iː
هتل	h e̞ t æ l
گم	g æ m
گوشت	g uː ʃ t
اینا	iː n ɒː
بابت	b ɒː b æ t
بازیگر	b ɒː z iː g æ ɾ
جدیدی	d͡ʒ o d iː d iː
حاج	h ɒː d͡ʒ
خان	x ɒː n
خشک	x o ʃ k
داداش	d ɒː d ɒː ʃ
روزهای	ɾ uː z e̞ iː
شام	ʃ ɒː m
نمیتونم	n e̞ m iː t uː n æ m
کردستان	k æ ɾ d æ s t ɒː n
کرمانشاه	k æ ɾ m ɒː n e̞ ʃ ɒː h
اسکار	æ s k ɒː ɾ
براساس	b æ ɾ ɒː s ɒː s
بگه	b e̞ g e̞
سخته	s o x t e̞
معنای	m æ ʔ n ɒː j
میتونی	m iː t uː n iː
نماز	n æ m ɒː z
هیچوقت	h iː t͡ʃ uː ɢ æ t
پشتیبانی	p o ʃ t iː b ɒː n iː
اسمش	æ s m e̞ ʃ
حسینی	h æ s iː n iː
رها	ɾ æ h ɒː
كرده	k æ ɾ d e̞
لعنت	l æ ʔ n æ t
محرم	m æ h ɾ æ m
نظرم	n æ z æ ɾ æ m
وای	v ɒː j
کارهای	k ɒː ɾ e̞ iː
خانوم	x ɒː n æ v æ m
راجع	ɾ ɒː d͡ʒ e̞ ʔ
سوار	s æ v ɒː ɾ
شیعه	ʃ iː ʔ e̞
عجب	æ d͡ʒ æ b
مطمئن	m æ t m æ ʔ æ n
معلم	m æ ʔ l æ m
