ovat	o ʋ ɑ t
mitään	m i t æː n
tulee	t u l eː
vuoden	ʋ u o̯ d e n
jossa	j o sː ɑ
tämän	t æ m æ n
onko	o ŋ k o
jotain	j o t ɑ i̯ n
suomessa	s u o̯ m e sː ɑ
jonka	j o ŋ k ɑ
pitäisi	p i t æ i̯ s i
tätä	t æ t æ
vuotta	ʋ u o̯ tː ɑ
niitä	n iː t æ
olivat	o l i ʋ ɑ t
tekee	t e k eː
olet	o l e t
hyvää	h y ʋ æː
menee	m e n eː
tiedä	t i e̯ d æˣ
muun	m uː n
ihmiset	i h m i s e t
haluaa	h ɑ l u ɑː
uuden	uː d e n
voit	ʋ o i̯ t
olin	o l i n
saanut	s ɑː n u t
suurin	s uː r i n
tullut	t u lː u t
yhden	y h d e n
tuntuu	t u n t uː
katso	k ɑ t s o
kertoo	k e r t oː
löytyy	l ø y̯ t yː
tule	t u l eˣ
muut	m uː t
toimii	t o i̯ m iː
sanoo	s ɑ n oː
tarvitse	t ɑ r ʋ i t s eˣ
kuuluu	k uː l uː
kaiken	k ɑ i̯ k e n
meni	m e n i
toisen	t o i̯ s e n
ihmisiä	i h m i s i æˣ
osaa	o s ɑː
rahaa	r ɑ h ɑː
samaa	s ɑ m ɑː
mieltä	m i e̯ l t æ
tavalla	t ɑ ʋ ɑ lː ɑ
euroopan	e u̯ r oː p ɑ n
josta	j o s t ɑ
niistä	n iː s t æˣ
päivän	p æ i̯ ʋ æ n
uutta	uː tː ɑ
voivat	ʋ o i̯ ʋ ɑ t
mun	m u n
tehnyt	t e h n y t
venäjän	ʋ e n æ j æ n
alkoi	ɑ l k o i̯
euroa	e u̯ r o ɑˣ
naisten	n ɑ i̯ s t e n
eikö	e i̯ k ø
joiden	j o i̯ d e n
of	o f
kaikkien	k ɑ i̯ kː i e n
muista	m u i̯ s t ɑˣ
minkä	m i ŋ k æ
tuon	t u o̯ n
kauden	k ɑ u̯ d e n
hetkellä	h e t k e lː æˣ
kaikille	k ɑ i̯ k i lː eˣ
enkä	e ŋ k æ
onkin	o ŋ k i n
sain	s ɑ i̯ n
suomeen	s u o̯ m eː n
ihmisten	i h m i s t e n
miehen	m i e̯ h e n
ruotsin	r u o̯ t s i n
tapahtuu	t ɑ p ɑ h t uː
viikon	ʋ iː k o n
luvun	l u ʋ u n
monet	m o n e t
suomalaiset	s u o̯ m ɑ l ɑ i̯ s e t
avulla	ɑ ʋ u lː ɑ
ensimmäisen	e n s i mː æ i̯ s e n
hallituksen	h ɑ lː i t u k s e n
kaikkea	k ɑ i̯ kː e ɑ
kaupungin	k ɑ u̯ p u ŋː i n
tietoa	t i e̯ t o ɑˣ
voin	ʋ o i̯ n
asiat	ɑ s i ɑ t
kotiin	k o t iː n
lasten	l ɑ s t e n
pohjois	p o h j o i̯ s
valtion	ʋ ɑ l t i o n
alussa	ɑ l u sː ɑ
pääsee	p æː s eː
samaan	s ɑ m ɑː n
tulisi	t u l i s i
uutiset	uː t i s e t
asian	ɑ s i ɑ n
johon	j o h o n
jonkun	j o ŋ k u n
miesten	m i e̯ s t e n
kävi	k æ ʋ i
miljoonaa	m i l j oː n ɑː
omaa	o m ɑː
prosenttia	p r o s e n tː i ɑ
siltä	s i l t æ
alueella	ɑ l u eː lː ɑˣ
klo	k l o
päivänä	p æ i̯ ʋ æ n æ
ihmisen	i h m i s e n
käyttöön	k æ y̯ tː øː n
syytä	s yː t æ
tekemään	t e k e m æː n
hienoa	h i e̯ n o ɑˣ
kyseessä	k y s eː sː æ
saavat	s ɑː ʋ ɑ t
tulossa	t u l o sː ɑ
voinut	ʋ o i̯ n u t
ymmärrä	y mː æ rː æ
helsingissä	h e l s i ŋː i sː æ
saman	s ɑ m ɑ n
tapauksessa	t ɑ p ɑ u k s e sː ɑ
vaatii	ʋ ɑː t iː
jossain	j o sː ɑ i̯ n
muutaman	m uː t ɑ m ɑ n
pitänyt	p i t æ n y t
auton	ɑ u̯ t o n
hyvät	h y ʋ æ t
nuorten	n u o̯ r t e n
näistä	n æ i̯ s t æˣ
olisin	o l i s i n
sellaista	s e lː ɑ i̯ s t ɑˣ
tarvitaan	t ɑ r ʋ i t ɑː n
and	ɑ n d
kertoi	k e r t o i̯
lapsen	l ɑ p s e n
alan	ɑ l ɑ n
kaikkia	k ɑ i̯ kː i ɑˣ
tunnin	t u nː i n
vuodessa	ʋ u o̯ d e sː ɑ
käytössä	k æ y̯ t ø sː æ
mennään	m e nː æː n
näkyy	n æ k yː
kaudella	k ɑ u̯ d e lː ɑˣ
mielestäni	m i e̯ l e s t æ n i
nousi	n o u̯ s i
omat	o m ɑ t
oon	oː n
puolella	p u o̯ l e lː ɑˣ
voitti	ʋ o i̯ tː i
antoi	ɑ n t o i̯
eihän	e i̯ h æ n
haluavat	h ɑ l u ɑ ʋ ɑ t
kuvan	k u ʋ ɑ n
ongelmia	o ŋː e l m i ɑ
otti	o tː i
työn	t y ø̯ n
asiassa	ɑ s i ɑ sː ɑ
haluan	h ɑ l u ɑ n
haluat	h ɑ l u ɑ t
nähnyt	n æ h n y t
aiheesta	ɑ i̯ h eː s t ɑˣ
ihmistä	i h m i s t æˣ
maassa	m ɑː sː ɑ
onhan	o n h ɑ n
pelin	p e l i n
pääsi	p æː s i
toimintaa	t o i̯ m i n t ɑːˣ
turun	t u r u n
töissä	t ø i̯ sː æ
vuosina	ʋ u o̯ s i n ɑ
elämää	e l æ m æː
miestä	m i e̯ s t æˣ
oletko	o l e t k o
sopii	s o p iː
suuntaan	s uː n t ɑː n
teen	t eː n
tekevät	t e k e ʋ æ t
vuotias	ʋ u o̯ t i ɑ s
alueen	ɑ l u eː n
jotkut	j o t k u t
keski	k e s k i
ketään	k e t æː n
kolmen	k o l m e n
näkee	n æ k eː
sarjan	s ɑ r j ɑ n
tampereen	t ɑ m p e r eː n
tiedot	t i e̯ d o t
tiedän	t i e̯ d æ n
toiseen	t o i̯ s eː n
töihin	t ø i̯ h i n
uudet	uː d e t
viikkoa	ʋ iː kː o ɑˣ
elämän	e l æ m æ n
kuvaa	k u ʋ ɑː
poliisin	p o l iː s i n
ruotsissa	r u o̯ t s i sː ɑ
suomalaisen	s u o̯ m ɑ l ɑ i̯ s e n
suomea	s u o̯ m e ɑ
tapahtui	t ɑ p ɑ h t u i̯
pääse	p æː s eˣ
saksan	s ɑ k s ɑ n
vettä	ʋ e tː æ
vuoteen	ʋ u o̯ t eː n
erilaisia	e r i l ɑ i̯ s i ɑ
hetken	h e t k e n
itseään	i t s e æː n
joutuu	j o u̯ t uː
kannata	k ɑ nː ɑ t ɑˣ
kuukauden	k uː k ɑ u̯ d e n
lapsia	l ɑ p s i ɑ
mene	m e n eˣ
rahat	r ɑ h ɑ t
ruokaa	r u o̯ k ɑː
suomalaisten	s u o̯ m ɑ l ɑ i̯ s t e n
tarvitsee	t ɑ r ʋ i t s eː
