km	k a ɛ m
post	p ɔ s t
blog	b l ɔ ɡ
by	b i
apple	a p l
with	w i t
kg	k a ʒ e
ali	a l i
fc	ɛ f s e
mike	m i k
out	u
haha	a a
world	w ɔ ʁ l d
éthique	e t i k
irak	i ʁ a k
onu	ɔ n y
clip	k l i p
québécoise	k e b e k w a z
porno	p ɔ ʁ n o
smartphone	s m a ʁ f ɔ n
netflix	n ɛ t f l i k s
sexuelles	s ɛ k s ɥ ɛ l
psg	p e ɛ ʒ e
pib	p i b
white	w i t
gang	ɡ ɑ̃
tirs	t i ʁ
will	w i l
etes	ɛ t
fifa	f i f a
matt	m a t
ottawa	ɔ t a w a
collecte	k ɔ l ɛ k t
guinée	ɡ i n e
thread	t ʁ ɛ d
xixe	k s i k s
back	b a k
matches	m a t ʃ
avère	a v ɛ ʁ
monétaire	m ɔ n e t ɛ ʁ
cc	s e s e
audio	o d j o
cannabis	k a n a b i
carburant	k a ʁ b y ʁ ɑ̃
dc	d e s e
inflation	ɛ̃ f l a s j ɔ̃
intégralité	ɛ̃ t e ɡ ʁ a l i t e
united	y n i t ɛ d
carl	k a ʁ l
digital	d i ʒ i t a l
dédiée	d e d j e
group	ɡ ʁ u
hello	ɛ l o
jeff	ʒ ɛ f
jimmy	ʒ i m i
archevêque	a ʁ ʃ ə v ɛ k
attribution	a t ʁ i b y s j ɔ̃
bye	b a j
music	m y z i k
chelsea	ʃ ɛ l s a
just	ʒ y s t
media	m e d j a
nazis	n a z i
nick	n i k
oeufs	œ f
saga	s a ɡ a
serveurs	s ɛ ʁ v œ ʁ
sida	s i d a
élimination	e l i m i n a s j ɔ̃
afghanistan	a f ɡ a n i s t ɑ̃
aviation	a v j a s j ɔ̃
diffusée	d i f y z e
start	s t a ʁ
instagram	ɛ̃ s t a ɡ ʁ a m
jay	ʒ ɛ
opposant	ɔ p o z ɑ̃
press	p ʁ ɛ s
tweet	t w i t
alan	a l ɑ̃
buteur	b y t œ ʁ
internautes	ɛ̃ t ɛ ʁ n o t
more	m ɔ ʁ
oise	w a z
ong	ɔ̃ ɡ
otan	ɔ t ɑ̃
party	p a ʁ t i
sex	s ɛ k s
urss	y ʁ s
young	j u ŋ
instar	ɛ̃ s t a ʁ
juridiction	ʒ y ʁ i d i k s j ɔ̃
nelson	n ɛ l s ɔ̃
sony	s ɔ n i
vladimir	v l a d i m i ʁ
annulation	a n y l a s j ɔ̃
datant	d a t ɑ̃
ie	i
may	m ɛ
palmarès	p a l m a ʁ ɛ s
svp	ɛ s v e p e
und	œ̃ d
vatican	v a t i k ɑ̃
dévoile	d e v w a l
intégrale	ɛ̃ t e ɡ ʁ a l
baseball	b a z b o l
candidate	k ɑ̃ d i d a t
dead	d i d
fuck	f y k
gouvernance	ɡ u v ɛ ʁ n ɑ̃ s
implantation	ɛ̃ p l ɑ̃ t a s j ɔ̃
réalisations	ʁ e a l i z a s j ɔ̃
agisse	a ʒ i s
opportunités	ɔ p ɔ ʁ t y n i t e
politiciens	p ɔ l i t i s j ɛ̃
transferts	t ʁ ɑ̃ s f ɛ ʁ
appli	a p l i
casting	k a s t i ŋ
center	s ɑ̃ t e
couillard	k u j a ʁ
flandre	f l ɑ̃ d ʁ
infanterie	ɛ̃ f ɑ̃ t ʁ i
juppé	ʒ y p e
pakistan	p a k i s t ɑ̃
qualifie	k a l i f i
émergence	e m ɛ ʁ ʒ ɑ̃ s
alberta	a l b ɛ ʁ t a
avortement	a v ɔ ʁ t ə m ɑ̃
dave	d a v
full	f y l
gold	ɡ ɔ l d
mafia	m a f j a
obtention	ɔ p t ɑ̃ s j ɔ̃
brunswick	b ʁ œ̃ s w i k
dark	d a ʁ k
diplômé	d i p l o m e
finlande	f ɛ̃ l ɑ̃ d
francfort	f ʁ ɑ̃ f ɔ ʁ
radar	ʁ a d a ʁ
slogan	s l ɔ ɡ ɑ̃
abolition	a b ɔ l i s j ɔ̃
ajout	a ʒ u
call	k a l
ep	ɛ p
ian	j ɑ̃
ipad	i p a d
online	ɔ̃ l i n
smartphones	s m a ʁ f ɔ n
titulaires	t i t y l ɛ ʁ
cameron	k a m ʁ ɔ̃
carter	k a ʁ t e
elysée	e l i z e
food	f u d
insertion	ɛ̃ s ɛ ʁ s j ɔ̃
planification	p l a n i f i k a s j ɔ̃
tl	t e ɛ l
virtuelle	v i ʁ t ɥ ɛ l
économiste	e k ɔ n ɔ m i s t
aéronautique	a e ʁ ɔ n o t i k
cup	k y p
edition	e d i s j ɔ̃
firme	f i ʁ m
get	ʒ ɛ
hill	i l
module	m ɔ d y l
rick	ʁ i k
stratégiques	s t ʁ a t e ʒ i k
yo	j o
gays	ɡ ɛ
linux	l i n y k s
mp	ɛ m p e
oliver	ɔ l i v e
qualifiée	k a l i f j e
staff	s t a f
stan	s t ɑ̃
unesco	y n ɛ s k o
about	a b u
admission	a d m i s j ɔ̃
appliquent	a p l i k
barry	b a ʁ i
caq	k a k
composants	k ɔ̃ p o z ɑ̃
fast	f a s t
girls	ʒ i ʁ l
impliquant	ɛ̃ p l i k ɑ̃
islamiste	i s l a m i s t
lgbt	ɛ l ʒ e b e t e
london	l ɔ̃ d ɔ̃
minorités	m i n ɔ ʁ i t e
phil	f i l
ratio	ʁ a s j o
édit	e d i
bcp	b e s e p e
connecté	k ɔ n ɛ k t e
equipe	ɛ k i p
estimations	ɛ s t i m a s j ɔ̃
low	l o
luke	l y k
opus	ɔ p y
plq	p e ɛ l k y
fair	f ɛ ʁ
francophonie	f ʁ ɑ̃ k ɔ f ɔ n i
missile	m i s i l
pdf	p e d e ɛ f
préliminaire	p ʁ e l i m i n ɛ ʁ
see	s i
tag	t a ɡ
allen	a l ɛ n
bayern	b ɛ j ɛ ʁ n
contrer	k ɔ̃ t ʁ e
editions	e d i s j ɔ̃
emprise	ɑ̃ p ʁ i z
first	f i ʁ s t
oscars	ɔ s k a ʁ
pokémon	p ɔ k e m ɔ̃
russell	ʁ y s ɛ l
trudeau	t ʁ y d o
was	w a
watch	w a t ʃ
antisémitisme	ɑ̃ t i z e m i t i s m
christopher	k ʁ i s t ɔ f e
cocktail	k ɔ k t a j
connectés	k ɔ n ɛ k t e
dallas	d a l a
danny	d a n i
fbi	ɛ f b i
graphiques	ɡ ʁ a f i k
probleme	p ʁ ɔ b l ə m
tommy	t ɔ m i
way	w ɛ
auteure	o t œ ʁ
avocate	a v ɔ k a t
infractions	ɛ̃ f ʁ a k s j ɔ̃
jerry	ʒ ɛ ʁ i
moon	m u n
