אבל	a v a l
כי	k i
שלי	ʃ a l i
לך	l a χ
הזה	h a z a
שלא	ʃ a l a
זו	z o
שהוא	ʃ a h u
אך	a χ
אותי	o t i
לנו	l a n u
היום	h i j u m
ידי	j a d i
להם	l a h a m
יהיה	j e h i j a
רוצה	ʁ o t͡s a
אותה	o t a
שני	ʃ a n i
ביותר	b i j u t e ʁ
לאחר	l e a χ a ʁ
שיש	ʃ i ʃ
אחר	a χ a ʁ
אנשים	a n ʃ i m
אומר	o m e ʁ
שלנו	ʃ a l a n u
נראה	n i ʁ a
שהיא	ʃ a h i
שזה	ʃ a z a
שלה	ʃ a l a
אמר	a m a ʁ
בה	b a
פה	p a
שהם	ʃ a h a m
פשוט	p ʃ u t
וגם	v a ɡ a m
לפי	l a f i
עושה	o ʃ a
עליו	a l j u
רבים	ʁ a v i m
הרב	h a ʁ a v
ללא	l a l a
קצת	k a t͡s a t
בלי	b a l i
מן	m a n
ביום	b i j u m
הדבר	h i d b e ʁ
המדינה	h i m d i n a
אי	a j
בגלל	b a ɡ l a l
האלה	h e e l a
הספר	h i s p e ʁ
וזה	v a z a
שהיה	ʃ a h i j a
שום	ʃ o m
כזה	k a z a
ניתן	n i t e n
העיר	h e i ʁ
טובה	t o v a
עבור	a v u ʁ
שאין	ʃ a i n
בזה	b a z a
הגדול	h i ɡ d u l
ילדים	j a l a d i m
מזה	m a z a
השני	h i ʃ n i
אחרת	a χ a ʁ a t
די	d i
לקבל	l i k b e l
בתוך	b a t u χ
יחד	j a χ a d
לומר	l o m e ʁ
שתי	ʃ a t i
בעלי	b a a l i
הממשלה	h i m m a ʃ l a
בלבד	b a l b a d
העבודה	e e v u d a
לדעת	l a d a a t
שונים	ʃ o n i m
לבית	l a v i t
מול	m o l
מכל	m a χ a l
יודעת	j o d a a t
לדבר	l i d b e ʁ
לזה	l a z a
צריכה	t͡s ʁ i χ a
תוך	t o χ
השנה	h i ʃ n a
חושב	χ o ʃ e v
מאז	m a a z
יהודים	j e h u d i m
כפי	k a f i
מדי	m a d i
חייב	χ a j a v
בעיקר	b e i k e ʁ
למרות	l i m ʁ u t
לתת	l a t a t
הכנסת	h i χ n e s e t
ולכן	v a l χ a n
ממנו	m a m a n u
פחות	p a χ u t
לשם	l a ʃ a m
הדברים	h i d b a ʁ i m
הולך	h o l e χ
הזו	h a z u
מיליון	m i l j o n
הבא	h a v a
והיא	v e h i
עלי	a l i
קודם	k o d e m
בי	b i
גדולה	ɡ a d u l a
רבה	ʁ a v a
הדין	h a d i n
יודעים	j o d a i m
מעט	m a a t
עושים	o ʃ i m
כמובן	k a m u v a n
שר	ʃ a ʁ
האמת	h e e m e t
הרי	h a ʁ i
זהו	z a h u
למשל	l i m ʃ e l
מאד	m a a d
אלי	a l i
כגון	k a ɡ o n
מחדש	m a χ d e ʃ
מצד	m a t͡s a d
עליה	a l j a
עובד	o v e d
בעיר	b a i ʁ
אינה	i n a
כלי	k a l i
מלא	m a l a
עבר	a v a ʁ
בעת	b a a t
עולה	o l a
שכן	ʃ a χ a n
היהודים	h i h u d i m
למען	l a m a n
בראש	b a ʁ a ʃ
היהודי	h i h u d i
חודשים	χ o d e ʃ i m
בידי	b i d i
ביחד	b i χ e d
המשפחה	h i m ʃ p a χ a
לבד	l a v a d
לחזור	l a χ z u ʁ
בנו	b a n u
חדשה	χ a d a ʃ a
מיד	m i d
סוג	s o ɡ
ספק	s a f a k
פני	p a n i
מפני	m a f a n i
עצמי	a t͡s m i
שאם	ʃ a a m
שבה	ʃ a v a
אתכם	a t χ a m
חדשים	χ a d a ʃ i m
כהן	k a h a n
מדינת	m a d i n e t
שמו	ʃ a m u
דווקא	d a v a k a
השנים	h i ʃ n i m
חיי	χ a j
ממני	m a m a n i
עומד	o m e d
קורה	k o ʁ a
שונה	ʃ o n a
אמרה	a m ʁ a
היחיד	h i χ i d
דומה	d o m a
האיש	h e i ʃ
הברית	h i v ʁ i t
חשבתי	χ a ʃ b a t i
מדוע	m a d u a
פרק	p a ʁ a k
אה	a
אינם	i n e m
איתך	i t e χ
בתור	b a t u ʁ
הים	h i m
הללו	h i l l u
המלחמה	h i m l a χ m a
ורק	v a ʁ a k
כה	k a
מכן	m a χ a n
סיפור	s i p u ʁ
עצמה	a t͡s m a
בקרב	b a k ʁ a v
העליון	e e l j o n
קטנה	k a t a n a
ימי	j a m i
ממנה	m a m a n a
מקווה	m a k v a
בהן	b a h a n
היחידה	h i χ i d a
להשתמש	l e h i ʃ t a m e ʃ
שימוש	ʃ i m u ʃ
in	i n
the	t e
הגדולה	h i ɡ d u l a
הילד	h i l e d
והיה	v e h i j a
חזק	χ a z a k
מיוחד	m i j u χ a d
עליך	a l i χ
שאתם	ʃ e a t e m
צוות	t͡s a v a t
אבי	a v i
בתל	b a t a l
הנשיא	h i n ʃ i
הסיפור	h i s i p u ʁ
חסר	χ a s a ʁ
ממה	m a m a
ממך	m a m a χ
אחי	a χ i
באה	b a a
היהודית	h i h u d i t
התורה	h i t u ʁ a
יורק	j o ʁ e k
נכנס	n i χ n e s
נשמע	n i ʃ m a
עצמם	a t͡s m a m
רואים	ʁ o i m
שמח	ʃ a m a χ
אתר	a t a ʁ
גדולים	ɡ a d u l i m
הלב	h a l a v
השאלה	h i ʃ a l a
חוזר	χ o z e ʁ
ידוע	j a d u a
למי	l a m i
מרגיש	m a ʁ ɡ i ʃ
בך	b a χ
הסרט	h i s ʁ e t
השנייה	h i ʃ n i j a
כעת	k a a t
סרט	s a ʁ a t
המשטרה	h i m ʃ t a ʁ a
לשעבר	l i ʃ a v e ʁ
עליי	a l a j
שצריך	ʃ a t͡s ʁ i χ
אביו	a v j u
