अब	ə b
अलग	ə l ə ɡ
नए	n ə eː
एस	eː s
आर	ɑː ɾ
आजकल	ɑː d͡ʒ k ə l
aap	ɑː p
एम	eː m
कप	k ə p
जगत	d͡ʒ ə ɡ ə t̪
सह	s ə ɦ
परम	p ə ɾ ə m
उप	ʊ p
बटन	b ə ʈ ə n
सफर	s ə pʰ ə ɾ
एयर	eː j ə ɾ
अकबर	ə k b ə ɾ
अप	ə p
अल	ə l
ऑन	ɔ n
ओपन	oː p ə n
ओम	oː m
भगत	bʱ ə ɡ ə t̪
वजन	ʋ ə d͡ʒ ə n
आरएसएस	ɑː ɾ eː s eː s
उपर	ʊ p ə ɾ
ओवर	oː ʋ ə ɾ
टन	ʈ ə n
बह	b ə ɦ
free	f r eː
एन	eː n
एल	eː l
कवर	k ə ʋ ə ɾ
शरद	ʃ ə ɾ ə d̪
अत	ə t̪
बदलकर	b ə d̪ ə l k ə ɾ
हसन	ɦ ə s ə n
मच	m ə t͡ʃ
app	ɑ p
बगल	b ə ɡ ə l
can	t͡ʃ æ n
गन	ɡ ə n
महज	m ə ɦ ə d͡ʒ
हट	ɦ ə ʈ
rs	ɛ r ɛ s
मकसद	m ə k s ə d̪
जबरन	d͡ʒ ə b ɾ ə n
ऑल	ɔ l
कण	k ə ɳ
भटक	bʱ ə ʈ ə k
उनपर	ʊ n p ə ɾ
नकल	n ə k ə l
उसपर	ʊ s p ə ɾ
रकम	ɾ ə k ə m
रमन	ɾ ə m ə n
वध	ʋ ə d̪ʱ
सनम	s ə n ə m
सईद	s ə iː d̪
एच	eː t͡ʃ
जनम	d͡ʒ ə n ə m
गजब	ɡ ə d͡ʒ ə b
एड	eː ɖ
ऐप	ɛː p
ओह	oː ɦ
back	b æ k
text	t ɛ k s t
आजतक	ɑː d͡ʒ t̪ ə k
एवम	eː ʋ ə m
ईयर	iː j ə ɾ
एट	eː ʈ
इनकम	ɪ n k ə m
अलवर	ə l ʋ ə ɾ
लत	l ə t̪
औऱ	ɔː r
कद	k ə d̪
अबतक	ə b t̪ ə k
आजम	ɑː d͡ʒ ə m
ईस	iː s
बज	b ə d͡ʒ
मदर	m ə d̪ ə ɾ
उल	ʊ l
हजरत	ɦ ə d͡ʒ ɾ ə t̪
एफआईआर	eː pʰ ɑː iː ɑː ɾ
वश	ʋ ə ʃ
अपन	ə p ə n
धवन	d̪ʱ ə ʋ ə n
आयरन	ɑː j ɾ ə n
दफन	d̪ ə pʰ ə n
रण	ɾ ə ɳ
उभर	ʊ bʱ ə ɾ
ऑफर	ɔ pʰ ə ɾ
test	t ɛ s t
करन	k ə ɾ ə n
कतई	k ə t̪ ə iː
खतम	kʰ ə t̪ ə m
घटक	ɡʱ ə ʈ ə k
भगवन	bʱ ə ɡ ʋ ə n
इट	ɪ ʈ
उछल	ʊ t͡ʃʰ ə l
थम	t̪ʰ ə m
बढ	b ə ɖʱ
भव	bʱ ə ʋ
bank	b ɑ ŋ k
नकद	n ə k ə d̪
आल	ɑː l
आवरण	ɑː ʋ ɾ ə ɳ
पढ	p ə ɖʱ
हस	ɦ ə s
आइ	ɑː ɪ
रच	ɾ ə t͡ʃ
कलश	k ə l ə ʃ
बक	b ə k
women	w oː m ə n
हटकर	ɦ ə ʈ k ə ɾ
इज	ɪ d͡ʒ
ऐड	ɛː ɖ
आइटम	ɑː ɪ ʈ ə m
बट	b ə ʈ
रबर	ɾ ə b ə ɾ
अर	ə ɾ
धरम	d̪ʱ ə ɾ ə m
पट	p ə ʈ
सजग	s ə d͡ʒ ə ɡ
एव	eː ʋ
ऑयल	ɔ j ə l
सडक	s ə ɖ ə k
जनमत	d͡ʒ ə n m ə t̪
दखल	d̪ ə kʰ ə l
पड	p ə ɖ
मनन	m ə n ə n
ऐक	ɛː k
अकसर	ə k s ə ɾ
आमजन	ɑː m d͡ʒ ə n
बहल	b ə ɦ ə l
जबतक	d͡ʒ ə b t̪ ə k
ढक	ɖʱ ə k
रहन	ɾ ə ɦ ə n
कलर	k ə l ə ɾ
अनवर	ə n ʋ ə ɾ
आपन	ɑː p ə n
हब	ɦ ə b
पग	p ə ɡ
लख	l ə kʰ
led	l eː d
अस	ə s
एज	eː d͡ʒ
need	n eː d
shri	ʃ r iː
अनवरत	ə n ʋ ə ɾ ə t̪
ईट	iː ʈ
रत	ɾ ə t̪
सहगल	s ə ɦ ɡ ə l
टच	ʈ ə t͡ʃ
तहस	t̪ ə ɦ ə s
थलग	t̪ʰ ə l ə ɡ
आईएनएस	ɑː iː eː n eː s
एप	eː p
नहस	n ə ɦ ə s
फतह	pʰ ə t̪ ə ɦ
कपट	k ə p ə ʈ
बसर	b ə s ə ɾ
लड	l ə ɖ
उर	ʊ ɾ
ओन	oː n
करत	k ə ɾ ə t̪
गल	ɡ ə l
end	ɛ n d
oh	oː
आईएसआई	ɑː iː eː s ɑː iː
एलबम	eː l b ə m
नन	n ə n
नट	n ə ʈ
एमए	eː m eː
मगध	m ə ɡ ə d̪ʱ
ऑनर	ɔ n ə ɾ
street	s t r eː t
अज	ə d͡ʒ
अदर	ə d̪ ə ɾ
एसएमएस	eː s eː m eː s
कटऑफ	k ə ʈ ɔː pʰ
कथक	k ə t̪ʰ ə k
जद	d͡ʒ ə d̪
फर	pʰ ə ɾ
भगवत	bʱ ə ɡ ʋ ə t̪
al	ɑ l
green	ɡ r eː n
रहमत	ɾ ə ɦ m ə t̪
एमएम	eː m eː m
ढह	ɖʱ ə ɦ
पकड	p ə k ə ɖ
est	e s t
soon	s oː n
एकमत	eː k m ə t̪
एह	eː ɦ
ठप	ʈʰ ə p
पठन	p ə ʈʰ ə n
वरन	ʋ ə ɾ ə n
