að	aː ð
með	m ɛː ð
eru	ɛː r ʏ
hefur	h ɛː v ʏ r
verið	v ɛː r ɪ ð
þetta	θ ɛ h t a
voru	v ɔː r ʏ
þeirra	θ e i rː a
einnig	e i t n ɪ ɣ
hans	h a n s
þeim	θ e iː m
getur	c ɛː t ʏ r
inn	ɪ nː
hafi	h aː v ɪ
undir	ʏ n t ɪ r
bara	p aː r a
væri	v a iː r ɪ
saman	s aː m a n
dag	t aː ɣ
kemur	cʰ ɛː m ʏ r
kom	kʰ ɔː m
skal	s k aː l
heldur	h ɛ l t ʏ r
tíma	tʰ iː m a
hafði	h a v ð ɪ
sama	s aː m a
fer	f ɛː r
sínum	s iː n ʏ m
fór	f o uː r
meira	m e iː r a
segir	s e iː j ɪ r
mun	m ʏː n
allir	a t l ɪ r
gert	c ɛ r̥ t
hvort	kʰ v ɔ r̥ t
varð	v a r ð
þann	θ a nː
alla	a t l a
bæði	p a iː ð ɪ
hennar	h ɛ nː a r
fyrsta	f ɪ r̥ s t a
hef	h ɛː v
sína	s iː n a
hins	h ɪ n s
gegn	c ɛ k n
stað	s t aː ð
henni	h ɛ nː ɪ
öðrum	œ ð r ʏ m
menn	m ɛ nː
öll	œ t l
oft	ɔ f t
tók	tʰ o uː k
alveg	a l v ɛː ɣ
auk	ø yː k
hægt	h a i x t
komið	kʰ ɔː m ɪ ð
orðið	ɔ r ð ɪ ð
öllum	œ t l ʏ m
þessum	θ ɛ sː ʏ m
fyrst	f ɪ r̥ s t
sú	s uː
vegar	v ɛː ɣ a r
árum	a uː r ʏ m
fékk	f j ɛ h k
erum	ɛː r ʏ m
annað	a nː a ð
hélt	ç ɛ l̥ t
þátt	θ a u h t
reykjavík	r e iː c a v iː k
sitt	s ɪ h t
eina	e iː n a
fyrr	f ɪ rː
fyrstu	f ɪ r̥ s t ʏ
the	tʰ ɛː
betur	p ɛː t ʏ r
finnst	f ɪ n s t
heim	h e iː m
sagði	s a ɣ ð ɪ
fleiri	f l e iː r ɪ
hluta	l̥ ʏː t a
sagt	s a x t
hverju	kʰ v ɛ r j ʏ
kannski	kʰ a nː s c ɪ
tekið	tʰ ɛː c ɪ ð
öllu	œ t l ʏ
önnur	œ nː ʏ r
hefði	h ɛ v ð ɪ
gerir	c ɛː r ɪ r
gæti	c a iː t ɪ
mín	m iː n
sín	s iː n
síðar	s iː ð a r
samt	s a m̥ t
tvö	tʰ v œː
þessu	θ ɛ sː ʏ
gegnum	c ɛ k n ʏ m
höfum	h œː v ʏ m
margir	m a r c ɪ r
vill	v ɪ t l
sett	s ɛ h t
sínu	s iː n ʏ
tekur	tʰ ɛː k ʏ r
hátt	h a u h t
höfðu	h œ v ð ʏ
nýja	n iː j a
máli	m a uː l ɪ
stendur	s t ɛ n t ʏ r
allar	a t l a r
komu	kʰ ɔː m ʏ
mikil	m ɪː c ɪ l
sex	s ɛ k s
hvers	kʰ v ɛ r̥ s
nær	n a iː r
engin	e i ɲ c ɪ n
landsins	l a n t s ɪ n s
tvær	tʰ v a iː r
nóvember	n o uː v ɛ m p ɛː r
september	s ɛ f tʰ ɛ m p ɛː r
síðustu	s iː ð ʏ s t ʏ
sögu	s œː ɣ ʏ
allan	a t l a n
jafnvel	j a p n v ɛː l
myndi	m ɪ n t ɪ
veit	v e iː t
þrátt	θ r a u h t
þótt	θ o u h t
daga	t aː ɣ a
frekar	f r ɛː k a r
lagi	l a iː j ɪ
móti	m o uː t ɪ
farið	f aː r ɪ ð
leita	l e iː t a
lengi	l e i ɲ c ɪ
lítið	l iː t ɪ ð
mörgum	m œ r k ʏ m
ágúst	a uː k u s t
árinu	a uː r ɪː n ʏ
þessa	θ ɛ sː a
fyrri	f ɪ rː ɪ
komst	kʰ ɔ m s t
nokkrum	n ɔ h k r ʏ m
apríl	aː p r iː l
besta	p ɛ s t a
