the	t eː
beste	b ɛ s t ə
elke	ɛ l k ə
krijgt	k r ɛ i̯ x t
amerikaanse	aː m eː r i k aː n s ə
bestaat	b ə s t aː t
echte	ɛ x t ə
kreeg	k r eː x
waarbij	ʋ aː r b ɛ i̯
minuten	m i n y t ə
problemen	p r oː b l eː m ə
wilde	ʋ ɪ l d ə
meeste	m eː s t ə
twitter	t ʋ ɪ t ə r
to	t oː
hoge	ɦ oː ɣ ə
and	ɑ n t
belangrijke	b ə l ɑ ŋ r ɛ i̯ k ə
huidige	ɦ œ y̯ d ə ɣ ə
km	k aː ɛ m
nationale	n aː t ʃ oː n aː l ə
inwoners	ɪ n ʋ oː n ə r s
genoemd	ɣ ə n u m t
waarvan	ʋ aː r v ɑ n
europese	øː r oː p eː z ə
korte	k ɔ r t ə
gebeurt	ɣ ə b øː r t
gehouden	ɣ ə ɦ ɑ u̯ d ə
langer	l ɑ ŋ ə r
vorige	v oː r ə ɣ ə
waarop	ʋ aː r ɔ p
belangrijkste	b ə l ɑ ŋ r ɛ i̯ k s t ə
blijf	b l ɛ i̯ f
genomen	ɣ ə n oː m ə
veilig	v ɛ i̯ l ə x
waaronder	ʋ aː r ɔ n d ə r
sociale	s oː s i aː l ə
volgt	v ɔ l x t
trots	t r ɔ t s
vrije	v r ɛ i̯ ə
on	ɔ n
partijen	p ɑ r t ɛ i̯ ə
bepaalde	b ə p aː l d ə
brengt	b r ɛ ŋ t
dr	d eː ɛ r
for	f ɔ r
blijkt	b l ɛ i̯ k t
john	j oː n
york	j ɔ r k
juiste	j œ y̯ s t ə
geheel	ɣ ə ɦ eː l
fc	ɛ f s eː
speciale	s p eː ʃ aː l ə
activiteiten	ɑ k t i v i t ɛ i̯ t ə
gekozen	ɣ ə k oː z ə
resultaten	r eː z ʏ l t aː t ə
snap	s n ɑ p
lokale	l oː k aː l ə
geweldige	ɣ ə ʋ ɛ l d ə ɣ ə
moesten	m u s t ə
stelt	s t ɛ l t
bekijk	b ə k ɛ i̯ k
jongeren	j ɔ ŋ ə r ə
persoonlijke	p ɛ r s oː n l ə k ə
verkiezingen	v ə r k i z ɪ ŋ ə
gewone	ɣ ə ʋ oː n ə
tevens	t eː v ə n s
films	f ɪ l m s
studenten	s t y d ɛ n t ə
vermoord	v ə r m oː r t
voormalige	v oː r m aː l ə ɣ ə
vorig	v oː r ə x
bevat	b ə v ɑ t
bracht	b r ɑ x t
britse	b r ɪ t s ə
verleden	v ə r l eː d ə
betreft	b ə t r ɛ f t
bleef	b l eː f
soorten	s oː r t ə
zware	z ʋ aː r ə
deelnemers	d eː l n eː m ə r s
hieronder	ɦ iː r ɔ n d ə r
probeert	p r oː b eː r t
spelers	s p eː l ə r s
straks	s t r ɑ k s
hiermee	ɦ iː r m eː
kregen	k r eː ɣ ə
militaire	m i l i t ɛː r ə
algemene	ɑ l ɣ ə m eː n ə
groter	ɣ r oː t ə r
it	ɪ t
enorme	eː n ɔ r m ə
lieve	l i v ə
probeer	p r oː b eː r
bestaande	b ə s t aː n d ə
economische	eː k oː n oː m i s ə
opleiding	ɔ p l ɛ i̯ d ɪ ŋ
rechten	r ɛ x t ə
voorzitter	v oː r z ɪ t ə r
world	ʋ ɔ r l t
zorgt	z ɔ r x t
hoogste	ɦ oː x s t ə
openbaar	oː p ə b aː r
vertelde	v ə r t ɛ l d ə
bedoeld	b ə d u l t
by	b i
duurt	d yː r t
gebruikte	ɣ ə b r œ y̯ k t ə
groepen	ɣ r u p ə
historische	ɦ ɪ s t oː r i s ə
san	s ɑ n
wilden	ʋ ɪ l d ə
artikelen	ɑ r t i k ə l ə
bereikt	b ə r ɛ i̯ k t
cijfers	s ɛ i̯ f ə r s
digitale	d i ɣ i t aː l ə
gedachten	ɣ ə d ɑ x t ə
gespeeld	ɣ ə s p eː l t
momenteel	m oː m ɛ n t eː l
nr	ɛ n ɛ r
wijze	ʋ ɛ i̯ z ə
sterke	s t ɛ r k ə
favoriete	f aː v oː r i t ə
geniet	ɣ ə n i t
georganiseerd	ɣ ə ɔ r ɣ aː n i z eː r t
hierbij	ɦ iː r b ɛ i̯
bewoners	b ə ʋ oː n ə r s
heren	ɦ eː r ə
medewerkers	m eː d ə ʋ ɛ r k ə r s
mogelijke	m oː ɣ ə l ə k ə
omstandigheden	ɔ m s t ɑ n d ə x ɦ eː d ə
onderwerp	ɔ n d ə r ʋ ɛ r p
bezoekers	b ə z u k ə r s
hiervan	ɦ iː r v ɑ n
noemt	n u m t
reacties	r eː ɑ k s i s
tijden	t ɛ i̯ d ə
tips	t ɪ p s
gedood	ɣ ə d oː t
geopend	ɣ ə oː p ə n t
hiervoor	ɦ iː r v oː r
leerlingen	l eː r l ɪ ŋ ə
michael	m i x aː l
one	oː n ə
openbare	oː p ə b aː r ə
uitgebreid	œ y̯ t x ə b r ɛ i̯ t
japanse	j aː p ɑ n s ə
maatregelen	m aː t r eː ɣ ə l ə
organisaties	ɔ r ɣ aː n i z aː s i s
toegevoegd	t u ɣ ə v u x t
tom	t ɔ m
gevolgd	ɣ ə v ɔ l x t
harde	ɦ ɑ r d ə
hey	ɦ ɛ i̯
klanten	k l ɑ n t ə
leidde	l ɛ i̯ d ə
ontwerp	ɔ n t ʋ ɛ r p
stukje	s t ʏ k j ə
vandaan	v ɑ n d aː n
gebouwen	ɣ ə b ɑ u̯ ə
geraakt	ɣ ə r aː k t
mogelijkheden	m oː ɣ ə l ə k ɦ eː d ə
producten	p r oː d ʏ k t ə
voorbeelden	v oː r b eː l d ə
waarvoor	ʋ aː r v oː r
zogenaamde	z oː ɣ ə n aː m d ə
besloot	b ə s l oː t
cm	s eː ɛ m
mooiste	m oː i̯ s t ə
slachtoffers	s l ɑ x t ɔ f ə r s
tijdje	t ɛ i̯ t j ə
verwachten	v ə r ʋ ɑ x t ə
vrouwelijke	v r ɑ u̯ ə l ə k ə
wens	ʋ ɛ n s
bijzondere	b ɛ i̯ z ɔ n d ə r ə
city	s i t i
gebruikers	ɣ ə b r œ y̯ k ə r s
heerlijke	ɦ eː r l ə k ə
hopelijk	ɦ oː p ə l ə k
inzet	ɪ n z ɛ t
moslims	m ɔ s l ɪ m s
nl	ɛ n ɛ l
verbonden	v ə r b ɔ n d ə
verdient	v ə r d i n t
bronnen	b r ɔ n ə
eentje	eː n t j ə
james	j aː m ə s
ontwikkeld	ɔ n t ʋ ɪ k ə l t
projecten	p r oː j ɛ k t ə
troepen	t r u p ə
volle	v ɔ l ə
vormt	v ɔ r m t
kaarten	k aː r t ə
medische	m eː d i s ə
omhoog	ɔ m ɦ oː x
soldaten	s ɔ l d aː t ə
vrijwilligers	v r ɛ i̯ ʋ ɪ l ə ɣ ə r s
all	ɑ l
olympische	oː l ɪ m p i s ə
onzin	ɔ n z ɪ n
probeerde	p r oː b eː r d ə
veroorzaakt	v ə r oː r z aː k t
wapens	ʋ aː p ə n s
werknemers	ʋ ɛ r k n eː m ə r s
én	eː n
fouten	f ɑ u̯ t ə
geile	ɣ ɛ i̯ l ə
meiden	m ɛ i̯ d ə
mobiele	m oː b i l ə
politici	p oː l i t i s i
raakte	r aː k t ə
simpel	s ɪ m p ə l
social	s oː s i ɑ l
tenminste	t ɛ m ɪ n s t ə
unieke	y n i k ə
verzoek	v ə r z u k
voornamelijk	v oː r n aː m ə l ə k
wedstrijden	ʋ ɛ t s t r ɛ i̯ d ə
winkels	ʋ ɪ ŋ k ə l s
gedeelte	ɣ ə d eː l t ə
gevoelens	ɣ ə v u l ə n s
natuurlijke	n aː t yː r l ə k ə
ontzettend	ɔ n t z ɛ t ə n t
traditionele	t r aː d i ʃ oː n eː l ə
verschenen	v ə r s x eː n ə
verwijderd	v ə r ʋ ɛ i̯ d ə r t
diensten	d i n s t ə
life	l i f ə
vluchtelingen	v l ʏ x t ə l ɪ ŋ ə
art	ɑ r t
details	d eː t eː l s
excuses	ɛ k s k y z ɛ s
geholpen	ɣ ə ɦ ɔ l p ə
gemist	ɣ ə m ɪ s t
gesprekken	ɣ ə s p r ɛ k ə
kader	k aː d ə r
stukken	s t ʏ k ə
technische	t ɛ x n i s ə
teksten	t ɛ k s t ə
ervaringen	ɛ r v aː r ɪ ŋ ə
gehele	ɣ ə ɦ eː l ə
gevestigd	ɣ ə v ɛ s t ə x t
landelijke	l ɑ n d ə l ə k ə
rondom	r ɔ n d ɔ m
schatje	s x ɑ t j ə
speelde	s p eː l d ə
stadion	s t aː d i ɔ n
vlaamse	v l aː m s ə
agenten	aː ɣ ɛ n t ə
black	b l ɑ k
ca	k aː
gestart	ɣ ə s t ɑ r t
graden	ɣ r aː d ə
levert	l eː v ə r t
snelle	s n ɛ l ə
tijdelijk	t ɛ i̯ d ə l ə k
websites	ʋ ɛ p s i t ə s
be	b ə
beschreven	b ə s x r eː v ə
dagelijkse	d aː ɣ ə l ə k s ə
harry	ɦ ɑ r i
mate	m aː t ə
plekken	p l ɛ k ə
verandert	v ə r ɑ n d ə r t
verdeeld	v ə r d eː l t
lekkere	l ɛ k ə r ə
liefst	l i f s t
menselijke	m ɛ n s ə l ə k ə
noemde	n u m d ə
normale	n ɔ r m aː l ə
street	s t r eː t
trekt	t r ɛ k t
verscheen	v ə r s x eː n
cc	s eː s eː
gelooft	ɣ ə l oː f t
gestolen	ɣ ə s t oː l ə
jack	j ɑ k
kansen	k ɑ n s ə
kende	k ɛ n d ə
ontworpen	ɔ n t ʋ ɔ r p ə
overige	oː v ə r ə ɣ ə
trainer	t r eː n ə r
da	d aː
geprobeerd	ɣ ə p r oː b eː r t
honderden	ɦ ɔ n d ə r d ə
perfecte	p ɛ r f ɛ k t ə
populaire	p oː p y l ɛː r ə
publieke	p y b l i k ə
regionale	r eː ɣ i oː n aː l ə
sterker	s t ɛ r k ə r
vertel	v ə r t ɛ l
vreselijk	v r eː z ə l ə k
with	ʋ ɪ t
acties	ɑ k s i s
avonds	aː v ɔ n t s
culturele	k ʏ l t y r eː l ə
dubbele	d ʏ b ə l ə
fans	f ɑ n s
fantastische	f ɑ n t ɑ s t i s ə
gisteravond	ɣ ɪ s t ə r aː v ɔ n t
jaarlijkse	j aː r l ə k s ə
miljoenen	m ɪ l j u n ə
moeders	m u d ə r s
opzichte	ɔ p z ɪ x t ə
uitgezonden	œ y̯ t x ə z ɔ n d ə
gelukt	ɣ ə l ʏ k t
hierover	ɦ iː r oː v ə r
maatschappelijke	m aː t s x ɑ p ə l ə k ə
martin	m ɑ r t ɪ n
ontslagen	ɔ n t s l aː ɣ ə
workshop	ʋ ɔ r k ʃ ɔ p
an	ɑ n
apple	ɑ p ə l
begrepen	b ə ɣ r eː p ə
bekeken	b ə k eː k ə
betaalt	b ə t aː l t
duurzame	d yː r z aː m ə
elektrische	eː l ɛ k t r i s ə
roept	r u p t
waarna	ʋ aː r n aː
gebeurtenissen	ɣ ə b øː r t ə n ɪ s ə
klassieke	k l ɑ s i k ə
ontwikkelingen	ɔ n t ʋ ɪ k ə l ɪ ŋ ə
sindsdien	s ɪ n t s d i n
testen	t ɛ s t ə
toevallig	t u v ɑ l ə x
waarden	ʋ aː r d ə
washington	ʋ ɑ ʃ ɪ ŋ t ɔ n
armen	ɑ r m ə
bv	b eː v eː
geleverd	ɣ ə l eː v ə r t
madrid	m aː d r ɪ t
mannelijke	m ɑ n ə l ə k ə
momenten	m oː m ɛ n t ə
national	n aː t ʃ oː n ɑ l
richt	r ɪ x t
sex	s ɛ k s
volgde	v ɔ l x d ə
bevestigd	b ə v ɛ s t ə x t
dating	d aː t ɪ ŋ
free	f r eː
herinneringen	ɦ ɛ r ɪ n ə r ɪ ŋ ə
makkelijker	m ɑ k ə l ə k ə r
rio	r i oː
stopt	s t ɔ p t
us	ʏ s
veranderingen	v ə r ɑ n d ə r ɪ ŋ ə
vn	v eː ɛ n
warme	ʋ ɑ r m ə
broers	b r u r s
geïnteresseerd	ɣ ə ɪ n t ə r ɛ s eː r t
islamitische	ɪ s l aː m i t i s ə
nachts	n ɑ x t s
uitzending	œ y̯ t s ɛ n d ɪ ŋ
zetels	z eː t ə l s
banden	b ɑ n d ə
bedreigd	b ə d r ɛ i̯ x t
belangrijker	b ə l ɑ ŋ r ɛ i̯ k ə r
beroemde	b ə r u m d ə
bleven	b l eː v ə
dient	d i n t
documenten	d oː k y m ɛ n t ə
duidelijke	d œ y̯ d ə l ə k ə
eenvoudige	eː n v ɑ u̯ d ə ɣ ə
enz	ɛ n s
games	ɣ aː m ə s
gearresteerd	ɣ ə ɑ r ə s t eː r t
geheime	ɣ ə ɦ ɛ i̯ m ə
instellingen	ɪ n s t ɛ l ɪ ŋ ə
teams	t iː m s
this	t ɪ s
tientallen	t i n t ɑ l ə
vastgesteld	v ɑ s t x ə s t ɛ l t
begrijpt	b ə ɣ r ɛ i̯ p t
evenementen	eː v ə n ə m ɛ n t ə
naties	n aː s i s
opeens	oː p eː n s
overgenomen	oː v ə r ɣ ə n oː m ə
uitgebreide	œ y̯ t x ə b r ɛ i̯ d ə
vanmorgen	v ɑ n m ɔ r ɣ ə
woningen	ʋ oː n ɪ ŋ ə
