seg	s æ ɪ̯
dette	d ɛ tː ə
skal	s k ɑː l
ble	b l eː
også	ɔ k s ɔ
ut	ʉː t
da	d ɑː
etter	ɛ tː ə r
eller	ɛ lː ə r
blir	b l iː r
når	n oː ɾ
må	m oː
få	f oː
litt	l ɪ tː
denne	d ɛ nː ə
hvis	ʋ iː s
før	f øː r
fikk	f ɪ kː
alt	ɑ l t
vel	ʋ eː l
jo	j uː
uten	ʉː t n̩
siden	s iː d n̩
sin	s iː n
tror	t r uː r
folk	f ɔ l k
sier	s iː ə r
første	f œ ʂ t ə
godt	ɡ ɔ tː
hele	h eː l ə
gang	ɡ ɑ ŋː
sammen	s a mː n̩
vet	ʋ eː t
disse	d ɪ sː ə
tar	t ɑː r
blitt	b l ɪ tː
ville	² ʋ ɪ lː ə
sett	s ɛ tː
tid	t iː
rundt	r ʉ n t
trenger	t ɾ ɛ ŋː ə r
hans	h ɑ n s
ned	n eː
ting	t ɪ ŋ
del	d eː l
bør	b øː r
gir	j iː r
mest	m ɛ s t
alltid	ɑ l t iː
tilbake	t ɪ l b ɑː k ə
både	b oː d ə
finnes	f ɪ nː ə s
gjort	j u ʈ
beste	b ɛ s t ə
mens	m ɛ n s
ønsker	ø n s k ə r
ny	n yː
tidligere	t iː d l ɪ ɡ eː r ə
liker	l iː k ə r
tok	t uː k
bruker	b r ʉː k ə r
menn	m ɛ nː
frem	f ɾ ɛ m
ute	ʉː t ə
egentlig	eː ɡ ɛ n t l ɪ
grunn	ɡ r ʉ n
kvinner	k ʋ ɪ nː ə r
mindre	m ɪ n d r ə
livet	l iː ʋ ə
sånn	s ɔ nː
tiden	t iː d n̩
egen	eː ɡ n̩
finner	f ɪ nː ə r
sa	s ɑː
ditt	d ɪ tː
kun	k ʉ n
større	² s t œ rː ə
viser	ʋ iː s ə r
holde	h ɔ l d ə
jobb	j ɔ bː
langt	l ɑ ŋ t
ligger	l ɪ ɡː ə r
greit	ɡ r æ ɪ̯ t
betyr	b ə t yː r
bruk	b r ʉː k
liten	l iː t n̩
satt	s a tː
synes	s yː n ə s
prøver	p r øː ʋ ə r
vei	ʋ æ ɪ̯
videre	ʋ iː d ə r ə
brukt	b r ʉ k t
norges	n ɔ r ɡ ə s
årene	oː ɾ ə n ə
gjelder	j ɛ l d ə r
landet	l ɑ n d ə
stort	s t u ʈ
svært	s ʋ æ ʈ
enda	ɛ n d ɑ
hjelp	j ɛ l p
hjem	j ɛ m
håper	h oː p ə r
kjenner	ç ɛ nː ə r
klarer	k l ɑː r ə r
saken	s ɑː k n̩
dagen	d ɑː ɡ n̩
tv	t eː ʋ eː
bort	b u ʈ
føler	f øː l ə r
jenter	j ɛ n t ə r
per	p eː r
brukes	b r ʉː k ə s
deler	d eː l ə r
gitt	j ɪ tː
gått	ɡ ɔ tː
holder	h ɔ l d ə r
prøve	p r øː ʋ ə
hjelpe	j ɛ l p ə
jobber	j ɔ bː ə r
klar	k l ɑː r
tenke	² t ɛ ŋ k ə
tenker	t ɛ ŋ k ə r
snart	s n ɑ ʈ
venner	ʋ ɛ nː ə r
forhold	f ɔ r h ɔ l
lang	l ɑ ŋː
lenger	l ɛ ŋ ə r
ord	uː r
særlig	s æː ɭ ɪ
året	oː ɾ ə
best	b ɛ s t
millioner	m ɪ l j uː n ə r
spiller	s p ɪ lː ə r
veien	ʋ æ ɪ n̩
virker	ʋ ɪ r k ə r
én	eː n
byen	b yː n̩
høy	h œ ʏ̯
sitter	s ɪ tː ə r
fram	f r a m
timer	t iː m ə r
utrolig	ʉː t r uː l ɪ
døde	d øː d ə
hverandre	ʋ ɛ r ɑ n d r ə
leder	l eː d ə r
tallet	t ɑ lː ə
vant	ʋ ɑ n t
vise	² ʋ iː s ə
innen	ɪ nː n̩
løpet	l øː p ə
sagt	s a k t
sverige	s ʋ æ ɾ j ə
fant	f ɑ n t
skolen	s k uː l n̩
støtte	² s t œ tː ə
unge	² ʊ ŋː ə
dagens	d ɑː ɡ ɛ n s
setter	s ɛ tː ə r
skriver	s k r iː ʋ ə r
stå	s t oː
helst	h ɛ l s t
høyere	h œ ʏ̯ ə r ə
jobbe	j ɔ bː ə
minst	m ɪ n s t
begynte	b ə j ʏ n t ə
ferdig	f æ ɖ ɪ
hvilken	ʋ ɪ l k n̩
minutter	m ɪ n ʉ tː ə r
par	p ɑː r
politikk	p u l i t i k
følger	f œ l ɡ ə r
gammel	ɡ a mː ə l
små	s m oː
trodde	t r ɔ dː ə
ulike	ʉː l iː k ə
unna	ʉ nː ɑ
dra	d r ɑː
ga	ɡ ɑː
kroner	k r uː n ə r
stille	² s t ɪ lː ə
ti	t iː
via	² ʋ iː ɑ
alene	ɑː l ə n ə
hjelper	j ɛ l p ə r
inne	² ɪ nː ə
grad	ɡ r ɑː
husker	h ʉ s k ə r
hører	h øː r ə r
jobben	j ɔ bː n̩
lever	l eː ʋ ə r
resten	r ɛ s t n̩
tur	tʰ ʉː r
fast	f a s t
holdt	h ɔ l t
høyt	h œ ʏ̯ t
svar	s ʋ ɑː r
hodet	h uː d ə
in	iː n
spør	s p øː r
direkte	d ɪ r ɛ k t ə
fin	f iː n
kjører	ç øː r ə r
sak	s ɑː k
tenk	t ɛ ŋ k
ap	ɑː p
bilen	b iː l n̩
startet	s t a ʁ t ə
barna	b ɑː ɳ ɑ
seks	s ɛ k s
steder	s t eː d ə r
driver	d r iː ʋ ə r
forstå	f ɔ ʂ t oː
imot	ɪ m uː t
is	iː s
musikk	m ʉ s i k
pris	p r iː s
venstre	ʋ ɛ n s t r ə
ekstra	ɛ k s t r a
heter	h eː t ə r
innenfor	ɪ nː ə n f ɔ r
kjente	ç ɛ n t ə
kultur	k ʉ l t ʉː r
sende	s ɛ n d ə
gutter	ɡ ʉ tː ə r
skje	ʃ eː
spennende	s p ɛ nː ə n d ə
uker	ʉː k ə r
viktigste	ʋ ɪ k t ɪ ɡ s t ə
as	ɑː s
betale	b ə t ɑː l ə
sist	s ɪ s t
ansvar	ɑ n s ʋ ɑː r
familie	f a m iː l j ə
