the	t e
of	ɔ f
estados	e s t a d o s
pontos	p õ t o s
unidos	u n i d o s
minutos	m i n u t o s
sociais	s o s i a j s
membros	m ẽ b ɾ o s
cidades	s i d a d e s
grupos	ɡ ɾ u p o s
acredito	a k ɾ e d͡ʒ i t o
principais	p ɾ ĩ s i p a j s
pública	p u b l i k a
significa	s i ɡ i n i f i k a
on	õ
serviços	s e ɻ v i s u s
resultados	ʁ e z u w t a d o s
recursos	ʁ e k u ɻ s u s
humanos	u m ɐ n o s
tentando	t ẽ t ɐ̃ d o
brasileiros	b ɾ a z i l e j ɾ o s
importantes	ĩ p o ɻ t ɐ̃ t͡ʃ i s
projetos	p ɾ o ʒ e t o s
encontra	ĩ k õ t ɾ a
estudos	e s t u d o s
importa	ĩ p ɔ ɻ t ɐ
notícias	n o t͡ʃ i s i a s
recebeu	ʁ e s e b e w
ações	a s õ j̃ s
imagens	i m a ʒ ẽ j̃ s
atividades	a t͡ʃ i v i d a d e s
ensino	ĩ s i n o
votos	v ɔ t o s
you	j o
us	u j s
acredita	a k ɾ e d͡ʒ i t a
usuários	u z u a ɾ i o s
ganhou	ɡ ɐ ɲ o
alunos	a l u n o s
dólares	d ɔ l a ɾ e s
eleições	e l e j s õ j̃ s
escreveu	e s k ɾ e v e w
americanos	a m e ɾ i k ɐ n o s
momentos	m o m ẽ t o s
mudou	m u d o
realizado	ʁ e a l i z a d o
seguida	s e ɡ i d a
programas	p ɾ o ɡ ɾ ɐ m a s
publicado	p u b l i k a d o
nao	n a w
tipos	t͡ʃ i p o s
artistas	a ɻ t͡ʃ i s t ɐ s
mudanças	m u d ɐ̃ s a s
one	o n e
políticas	p o l i t͡ʃ i k a s
políticos	p o l i t͡ʃ i k o s
pré	p ɾ ɛ
regras	ʁ ɛ ɡ ɾ a s
comentários	k o m ẽ t a ɾ i o s
planos	p l ɐ n o s
vice	v i s e
permite	p e ɻ m i t͡ʃ i
públicos	p u b l i k o s
sistemas	s i s t e m a s
realizada	ʁ e a l i z a d a
trabalhadores	t ɾ a b a ʎ a d o ɾ e s
vídeos	v i d e o s
documentos	d o k u m ẽ t o s
ficam	f i k ɐ̃ w̃
fontes	f õ t e s
jogadores	ʒ o ɡ a d o ɾ e s
participantes	p a ɻ t͡ʃ i s i p ɐ̃ t͡ʃ i s
profissionais	p ɾ o f i s i o n a j s
afirma	a f i ɻ m ɐ
drogas	d ɾ ɔ ɡ a s
estudantes	e s t u d ɐ̃ t e s
ii	i j
instituições	ĩ s t͡ʃ i t u i s õ j̃ s
provas	p ɾ ɔ v a s
regiões	ʁ e ʒ i õ j̃ s
michael	m i ʃ a ɛ w
my	m i
oficiais	o f i s i a j s
públicas	p u b l i k a s
internacionais	ĩ t e ɻ n a s i o n a j s
medidas	m e d͡ʒ i d a s
so	s o
deputados	d e p u t a d o s
explica	e s p l i k a
luiz	l u j s
efeitos	e f e j t o s
médicos	m ɛ d͡ʒ i k o s
nacionais	n a s i o n a j s
anunciou	a n ũ s i o
artigos	a ɻ t͡ʃ i ɡ u s
funcionários	f ũ s i o n a ɾ i o s
lançado	l ɐ̃ s a d o
pede	p ɛ d e
acabei	a k a b e j
criou	k ɾ i o
seguintes	s e ɡ ĩ t e s
agentes	a ʒ ẽ t e s
candidatos	k ɐ̃ d͡ʒ i d a t o s
começaram	k o m e s a ɾ ɐ̃ w̃
george	ʒ e ɔ ɻ ʒ i
ciências	s i ẽ s i a s
especiais	e s p e s i a j s
naturais	n a t u ɾ a j s
oh	o
operações	o p e ɾ a s õ j̃ s
temas	t e m a s
del	d ɛ w
pedindo	p e d͡ʒ ĩ d o
personagens	p e ɻ s o n a ʒ ẽ j̃ s
policiais	p o l i s i a j s
possuem	p o s u ẽ j̃
sentimentos	s ẽ t͡ʃ i m ẽ t o s
times	t͡ʃ i m e s
unidades	u n i d a d e s
veículos	v e i k u l o s
assuntos	a s ũ t o s
autores	a w t o ɾ e s
caras	k a ɾ a s
serve	s ɛ ɻ v i
video	v i d e o
comecei	k o m e s e j
econômica	e k o n o m i k a
meios	m e j o s
processos	p ɾ o s ɛ s o s
vítimas	v i t͡ʃ i m a s
ótima	ɔ t͡ʃ i m a
bilhões	b i ʎ õ j̃ s
depende	d e p ẽ d e
devemos	d e v e m o s
possam	p ɔ s ɐ̃ w̃
páginas	p a ʒ i n a s
soldados	s o w d a d o s
cenas	s e n a s
crimes	k ɾ i m e s
love	l ɔ v e
mail	m a j w
pessoais	p e s o a j s
tentou	t ẽ t o
ferramentas	f e ʁ a m ẽ t a s
municípios	m u n i s i p i o s
passei	p a s e j
sites	s i t e s
clientes	k l i ẽ t e s
confira	k õ f i ɾ a
habitantes	a b i t ɐ̃ t e s
oferece	o f e ɾ ɛ s e
peter	p e t e
respostas	ʁ e s p ɔ s t a s
san	s ɐ̃
segura	s e ɡ u ɾ a
arquivos	a ɻ k i v u s
chegaram	ʃ e ɡ a ɾ ɐ̃ w̃
críticas	k ɾ i t͡ʃ i k a s
encontram	ĩ k õ t ɾ ɐ̃ w̃
experiências	e s p e ɾ i ẽ s i a s
pesquisas	p e s k i z a s
quantas	k w ɐ̃ t a s
refere	ʁ e f ɛ ɾ e
all	a w
apresentou	a p ɾ e z ẽ t o
encontrou	ĩ k õ t ɾ o
from	f ɾ õ
le	l e
odeio	o d e j o
perfeita	p e ɻ f e j t ɐ
começando	k o m e s ɐ̃ d o
culturais	k u w t u ɾ a j s
dificuldades	d͡ʒ i f i k u w d a d e s
disponíveis	d͡ʒ i s p o n i v e j s
décadas	d ɛ k a d a s
mostrou	m o s t ɾ o
publicada	p u b l i k a d a
senti	s ẽ t͡ʃ i
up	u p e
agricultura	a ɡ ɾ i k u w t u ɾ a
dúvidas	d u v i d a s
fatos	f a t o s
go	ɡ o
indivíduos	ĩ d͡ʒ i v i d u o s
materiais	m a t e ɾ i a j s
modelos	m o d ɛ l o s
publicou	p u b l i k o
visitantes	v i z i t ɐ̃ t e s
disputa	d͡ʒ i s p u t a
funções	f ũ s õ j̃ s
línguas	l ĩ ɡ w a s
níveis	n i v e j s
pretende	p ɾ e t ẽ d e
práticas	p ɾ a t͡ʃ i k a s
representantes	ʁ e p ɾ e z ẽ t ɐ̃ t e s
rápida	ʁ a p i d a
brasileiras	b ɾ a z i l e j ɾ a s
danos	d ɐ n o s
familiares	f a m i l i a ɾ e s
interesses	ĩ t e ɾ ɛ s e s
quilômetros	k i l o m e t ɾ o s
situações	s i t u a s õ j̃ s
voce	v ɔ s e
atuais	a t u a j s
ben	b ẽ j̃
canais	k a n a j s
continue	k õ t͡ʃ i n u e
desculpas	d e s k u w p a s
louis	l o j s
passam	p a s ɐ̃ w̃
relacionados	ʁ e l a s i o n a d o s
rj	ɛ ʁ e ʒ e
will	w i w
centenas	s ẽ t e n a s
colegas	k o l ɛ ɡ a s
fundos	f ũ d o s
objetivos	o b i ʒ e t͡ʃ i v o s
oportunidades	o p o ɻ t u n i d a d͡ʒ i s
possíveis	p o s i v e j s
presos	p ɾ e z o s
técnicas	t ɛ k i n i k a s
órgãos	ɔ ɻ ɡ ɐ̃ w̃ s
digitais	d͡ʒ i ʒ i t a j s
line	l i n e
mortes	m ɔ ɻ t͡ʃ i s
pedi	p e d͡ʒ i
comerciais	k o m e ɻ s i a j s
comunidades	k o m u n i d a d e s
considerando	k õ s i d e ɾ ɐ̃ d o
encontrei	ĩ k õ t ɾ e j
errada	e ʁ a d a
indica	ĩ d͡ʒ i k a
livres	l i v ɾ e s
luis	l u j s
populares	p o p u l a ɾ e s
siga	s i ɡ a
cursos	k u ɻ s u s
deseja	d e z e ʒ a
feminina	f e m i n i n a
inimigos	i n i m i ɡ o s
testes	t ɛ s t e s
tradicionais	t ɾ a d͡ʒ i s i o n a j s
urbana	u ɻ b ɐ̃ n ɐ
usados	u z a d o s
acerca	a s ɛ ɻ k ɐ
advogados	a d͡ʒ i v o ɡ a d o s
alex	a l ɛ k s
científica	s i ẽ t͡ʃ i f i k a
deveriam	d e v e ɾ i ɐ̃ w̃
dicas	d͡ʒ i k a s
partidos	p a ɻ t͡ʃ i d u s
espaços	e s p a s o s
médica	m ɛ d͡ʒ i k a
perdendo	p e ɻ d ẽ d u
bancos	b ɐ̃ k o s
big	b i ɡ e
conhecidos	k o ɲ e s i d o s
equipes	e k i p e s
ligações	l i ɡ a s õ j̃ s
localizada	l o k a l i z a d a
necessidades	n e s e s i d a d e s
propostas	p ɾ o p ɔ s t a s
revela	ʁ e v ɛ l a
soluções	s o l u s õ j̃ s
souza	s o w z a
arthur	a ɻ t u ɻ
católica	k a t ɔ l i k a
chris	ʃ ɾ i s
criando	k ɾ i ɐ̃ d o
especialistas	e s p e s i a l i s t a s
famosa	f a m ɔ z a
histórica	i s t ɔ ɾ i k a
jogou	ʒ o ɡ o
max	m a k s
métodos	m ɛ t o d o s
negros	n ɛ ɡ ɾ o s
shows	ʃ o w s
sofreu	s o f ɾ e w
descobri	d e s k o b ɾ i
enviou	ĩ v i o
envolvendo	ĩ v o w v ẽ d o
estrangeiros	e s t ɾ ɐ̃ ʒ e j ɾ o s
fifa	f i f a
house	o w z e
joga	ʒ ɔ ɡ a
marcas	m a ɻ k ɐ s
matou	m a t o
passageiros	p a s a ʒ e j ɾ o s
baseada	b a z e a d a
centros	s ẽ t ɾ o s
ha	a
jogando	ʒ o ɡ ɐ̃ d o
lançada	l ɐ̃ s a d a
lojas	l o ʒ a s
maravilhosa	m a ɾ a v i ʎ ɔ z a
montanhas	m õ t ɐ ɲ a s
propriedades	p ɾ o p ɾ i e d a d e s
robert	ʁ o b ɛ ɻ
unidas	u n i d a s
agradeço	a ɡ ɾ a d e s o
cd	s e d e
conflitos	k õ f l i t o s
equipamentos	e k i p a m ẽ t o s
fazê	f a z e
fc	ɛ f e s e
moderna	m o d ɛ ɻ n ɐ
padrões	p a d ɾ õ j̃ s
parem	p a ɾ ẽ j̃
realizados	ʁ e a l i z a d o s
relacionadas	ʁ e l a s i o n a d a s
responde	ʁ e s p õ d e
sentem	s ẽ t ẽ j̃
vizinhos	v i z i ɲ o s
an	ɐ̃
bairros	b a j ʁ o s
chamadas	ʃ a m a d a s
comprei	k õ p ɾ e j
cresceu	k ɾ e s e w
estruturas	e s t ɾ u t u ɾ a s
jornalistas	ʒ o ɻ n a l i s t ɐ s
percebi	p e ɻ s e b i
revelou	ʁ e v e l o
tropas	t ɾ ɔ p a s
acabaram	a k a b a ɾ ɐ̃ w̃
causas	k a w z a s
enviado	ĩ v i a d o
envolvidos	ĩ v o w v i d o s
financeira	f i n ɐ̃ s e j ɾ a
habilidades	a b i l i d a d e s
ja	ʒ a
juan	ʒ u ɐ̃
posições	p o z i s õ j̃ s
realizadas	ʁ e a l i z a d a s
tornaram	t o ɻ n a ɾ ɐ̃ w̃
antigas	ɐ̃ t͡ʃ i ɡ a s
city	s i t͡ʃ i
defende	d e f ẽ d e
deixaram	d e j ʃ a ɾ ɐ̃ w̃
encontrada	ĩ k õ t ɾ a d a
espécies	e s p ɛ s i e s
indicado	ĩ d͡ʒ i k a d o
interna	ĩ t ɛ ɻ n ɐ
lembre	l ẽ b ɾ e
marcou	m a ɻ k o
martin	m a ɻ t͡ʃ ĩ
ministros	m i n i s t ɾ o s
news	n i w s
publicações	p u b l i k a s õ j̃ s
recentes	ʁ e s ẽ t e s
usadas	u z a d a s
adolescentes	a d o l e s ẽ t e s
be	b e
chamam	ʃ ɐ m ɐ̃ w̃
conversas	k õ v ɛ ɻ s ɐ s
corinthians	k o ɾ ĩ t͡ʃ i ɐ̃ s
esqueça	e s k ɛ s a
ficamos	f i k ɐ m o s
intitulado	ĩ t͡ʃ i t u l a d o
lee	l e e
life	l i f e
recebi	ʁ e s e b i
retirada	ʁ e t͡ʃ i ɾ a d a
títulos	t͡ʃ i t u l o s
center	s ẽ t e
chances	ʃ ɐ̃ s e s
comprou	k õ p ɾ o
europeus	e w ɾ o p e w s
ganhando	ɡ ɐ ɲ ɐ̃ d o
iniciou	i n i s i o
instalações	ĩ s t a l a s õ j̃ s
off	ɔ f
opções	o p i s õ j̃ s
participaram	p a ɻ t͡ʃ i s i p a ɾ ɐ̃ w̃
piores	p i ɔ ɾ e s
pronta	p ɾ õ t a
registros	ʁ e ʒ i s t ɾ o s
vagas	v a ɡ a s
campanhas	k ɐ̃ p ɐ ɲ a s
chamando	ʃ a m ɐ̃ d o
individuais	ĩ d͡ʒ i v i d u a j s
judeus	ʒ u d e w s
memórias	m e m ɔ ɾ i a s
miss	m i s
necessária	n e s e s a ɾ i a
realizou	ʁ e a l i z o
venceu	v ẽ s e w
versões	v e ɻ s õ j̃ s
we	w e
aparecem	a p a ɾ ɛ s ẽ j̃
aprendi	a p ɾ ẽ d͡ʒ i
benefícios	b e n e f i s i o s
consiste	k õ s i s t e
continuam	k õ t͡ʃ i n u ɐ̃ w̃
custos	k u s t o s
células	s ɛ l u l a s
fiquem	f i k ẽ j̃
garotas	ɡ a ɾ ɔ t a s
incluem	ĩ k l u ẽ j̃
olimpíadas	o l ĩ p i a d a s
pedidos	p e d͡ʒ i d o s
permanece	p e ɻ m a n ɛ s i
regionais	ʁ e ʒ i o n a j s
semelhantes	s e m e ʎ ɐ̃ t e s
tentei	t ẽ t e j
acreditam	a k ɾ e d͡ʒ i t ɐ̃ w̃
atores	a t o ɾ e s
baixos	b a j ʃ o s
desenhos	d e z e ɲ o s
estradas	e s t ɾ a d a s
fotografias	f o t o ɡ ɾ a f i a s
indígenas	ĩ d͡ʒ i ʒ e n a s
recebendo	ʁ e s e b ẽ d o
