deus	d ew s
site	s i t ʃ i
twitter	t ʃ w i t ʃ t e ɹ
ideia	i d ej ɐ
facebook	f ɐ s e b o o k
http	t ʃ t ʃ p
blog	b l o ɡ
cristo	k ɾ i s t u
web	w e b
ideias	i d ej ɐ s
google	ɡ o o ɡ l i
youtube	j ow t u b i
assembleia	ɐ s ẽ b l ej ɐ
nº	n u
sites	s i t ʃ i s
europeia	ew ɾ o p ej ɐ
vc	v k
estreia	e s t ɾ ej ɐ
projecto	p ɾ o ʒ e k t u
https	t ʃ t ʃ p s
euros	ew ɾ u s
links	l ĩ k s
voo	v o u
website	w e b s i t ʃ i
instagram	ĩ s t ɐ ɡ ɾ ɐ̃w̃
antónio	ɐ̃ t ɔ n i u
dvd	d ʒ v d ʒ
download	d ow n l o ɐ d ʒ
postou	p o s t ow
acção	ɐ k s ɐ̃w̃
direcção	d ʒ i ɾ e k s ɐ̃w̃
email	e m ɐj w
prémio	p ɾ ɛ m i u
whatsapp	w ɐ t ʃ s ɐ p p
género	ʒ ɛ n e ɾ u
objectivo	o b ʒ e k t ʃ i v u
onu	o n u
sms	s m s
tweets	t ʃ w e e t ʃ s
android	ɐ̃ d ɾ oj d ʒ
nd	n d ʒ
actualmente	ɐ k t u ɐw m ẽ t ʃ i
protecção	p ɾ o t e k s ɐ̃w̃
videos	v i d e u s
actual	ɐ k t u ɐw
iphone	i f õ n i
anime	ɐ n ĩ m i
app	ɐ p p
eh	e
lgbt	w ɡ b t ʃ
nomeadamente	n o m e ɐ d ɐ m ẽ t ʃ i
petrobras	p e t ɾ o b ɾ ɐ s
acesse	ɐ s e s i
pdf	p d ʒ f
ate	ɐ t ʃ i
coreia	k o ɾ ej ɐ
posts	p o s t ʃ s
registo	ʁ e ʒ i s t u
vadia	v ɐ d ʒ i ɐ
actividade	ɐ k t ʃ i v i d ɐ d ʒ i
actividades	ɐ k t ʃ i v i d ɐ d ʒ i s
blogs	b l o ɡ s
gajo	ɡ ɐ ʒ u
queres	k e ɾ i s
hd	d ʒ
económica	e k o n ɔ m i k ɐ
rousseff	ʁ ow s e f f
telemóvel	t e l e m ɔ v ew
obama	o b ɐ̃ m ɐ
concelho	k õ s e ʎ u
marte	m ɐ ɹ t ʃ i
netflix	n e t ʃ f l i k s
sector	s e k t o ɹ
tags	t ɐ ɡ s
linux	l ĩ n u k s
mails	m ɐj w s
directamente	d ʒ i ɾ e k t ɐ m ẽ t ʃ i
ios	i u s
voos	v o u s
itunes	i t ũ n i s
veem	v e ẽj̃
visualizações	v i z u ɐ l i z ɐ s õj̃ s
wi	w i
xvi	ʃ v i
acções	ɐ k s õj̃ s
novinha	n o v ĩ ɲ ɐ
tb	t ʃ b
património	p ɐ t ɾ ĩ m ɔ n i u
utilizador	u t ʃ i l i z ɐ d o ɹ
voces	v o s i s
dem	d ẽj̃
dubai	d u b ɐj
económico	e k o n ɔ m i k u
equipas	e k j p ɐ s
quilómetros	k j l ɔ m e t ɾ u s
xbox	ʃ b o k s
gêmeos	ʒ e m e u s
plateia	p l ɐ t ej ɐ
pokémon	p o k ɛ m õ
projectos	p ɾ o ʒ e k t u s
uol	u ɔ w
utilizadores	u t ʃ i l i z ɐ d o ɾ i s
acto	ɐ k t u
agradecemos	ɐ ɡ ɾ ɐ d e s ẽ m u s
beyoncé	b ej õ s ɛ
merdas	m e ʁ d ɐ s
buceta	b u s e t ɐ
europeias	ew ɾ o p ej ɐ s
rss	ʁ s
tweet	t ʃ w e e t ʃ
varias	v ɐ ɾ i ɐ s
alguem	ɐw ɡ ẽj̃
carácter	k ɐ ɾ ɐ k t e ɹ
covid	k o v i d ʒ
directo	d ʒ i ɾ e k t u
serie	s e ɾ i
enem	ẽ n ẽj̃
neymar	n e i m ɐ ɹ
ni	n i
vcs	v k s
yang	j ɐ̃ ɡ
postando	p o s t ɐ̃ d u
ss	s
vossos	v o s u s
factos	f ɐ k t u s
okay	o k ɐ i
pec	p e k
postagens	p o s t ɐ ʒ ẽ s
banner	b ɐ̃ n e ɹ
bebé	b e b ɛ
futsal	f u t ʃ s ɐw
podcast	p o d ʒ k ɐ s t ʃ
algarve	ɐw ɡ ɐ ʁ v i
ceo	s e u
compartilhe	k õ p ɐ ɹ t ʃ i ʎ i
dificil	d ʒ i f i s iw
disponibiliza	d ʒ i s p o n i b i l i z ɐ
disponibilizado	d ʒ i s p o n i b i l i z ɐ d u
fazes	f ɐ z i s
ny	n i
raparigas	ʁ ɐ p ɐ ɾ i ɡ ɐ s
