на	n a
да	d a
за	z a
си	s i
че	t͡ɕʰ ɛ
са	s a
ми	m i
но	n o
има	i m a
му	m u
съм	s ɔ m
ти	tʰ i
само	s a m o
няма	nʲ a m a
аз	a z
ни	n i
ги	ɡ i
им	i m
софия	s ɔ f i j a
ден	d e n
мен	m e n
над	n a d
чрез	t͡ɕʰ rʲ ɛ z
би	b i
нас	n a s
the	tʰ e
дни	d n i
иска	i s k a
сащ	s a ɕ
мисля	m i s ɮʲ a
пък	p ɔ k
русия	r u s i j a
каза	k a z a
център	t͡sʰ e n t ʊ r
било	b i ɮ o
града	k r a d a
месеца	m e s e t͡sʰ a
име	i m e
имаше	i m a ɕ e
що	ɕ ɔ
имаш	i m a ɕ
филм	f i ɮ m
ами	a m i
гърция	ɡ ɔ r t͡sʰ i j a
искаш	i s k a ɕ
месец	m e s e t͡sʰ
нощ	n ɔ ɕ
зад	z a d
намира	n a m i r a
съд	s ɔ d
димитър	d i m i t ʊ r
рано	r a n o
сила	s i ɮ a
информация	i n f ɔ r m a t͡sʰ i j a
цена	t͡sʰ e n a
ама	a m a
ес	j ɛ s
сам	s a m
думи	d u m i
къща	k ɕ a
храна	x r a n a
дума	d u m a
игра	i ɡ r a
цял	t͡sʰ j a ɮ
юли	j u ɮ i
дом	d ɔ m
ръка	r ɔ k a
щом	ɕ ɔ m
юни	j u n i
мария	m a r i j a
бих	b i x
to	t o
деня	d e n j a
права	p r a w a
игри	i ɡ r i
нямаше	nʲ a m a ɕ e
нашия	n a ɕ i j a
сутрин	s u t r i n
ню	nʲ u
сами	s a m i
лица	ɮ i t͡sʰ a
търси	t ɔ r s i
случи	s ɮ u t͡ɕʰ i
фирма	f i r m a
франция	f r a n t͡sʰ i j a
шанс	ɕ a n s
румъния	r u m n i j a
цени	t͡sʰ e n i
защита	z a ɕ i tʰ a
кара	k a r a
велико	ʋ e l i k o
лице	l i t͡sʰ e
зала	z a ɮ a
имена	i m e n a
магазин	m a ɣ a z i n
оръжие	ɔ r ʊ d͡ʑ i j ɛ
маса	m a s a
македония	m a kʲ e d o n i j a
армия	a r m i j a
