de	d e
la	l a
el	ɛ l
per	p e ɾ
un	u n
els	ɛ l s
una	u n a
no	n o
va	v a
és	e s
al	a l
es	e s
com	k o m
ser	s e ɾ
si	s i
però	p e ɾ ɔ
als	a l s
van	v a n
seva	s e v a
ens	ɛ n s
se	s e
cap	k a p
estat	e s t a t
sobre	s o b ɾ e
ara	a ɾ a
fa	f a
fins	f i n s
què	k ɛ
pel	p ɛ l
perquè	p e ɾ k ɛ
des	d e s
després	d e s p ɾ e s
està	e s t a
fet	f ɛ t
gran	ɡ ɾ a n
persones	p e ɾ s o n e s
sense	s ɛ n s e
pot	p o t
té	t e
encara	e n k a ɾ a
part	p a ɾ t
seus	s e u s
li	l i
havia	a v j a
dos	d o s
dir	d i ɾ
qui	k i
ni	n i
contra	k o n t ɾ a
us	u s
jo	ʒ o
cada	k a d a
catalunya	k a t a l u n j a
manera	m a n e ɾ a
govern	ɡ o v ɛ ɾ n
pels	p ɛ l s
bé	b e
ciutat	t͡ʃ u t a t
sempre	s e m p ɾ e
vida	v i d a
seves	s e v e s
tan	t a n
nostra	n ɔ s t ɾ a
aquí	a k i
país	p a i s
abans	a b a n s
et	e t
casa	k a s a
estan	e s t a n
qual	k w a l
història	i s t ɔ ɾ j a
dones	d o n e s
avui	a v ɥ i
grup	ɡ ɾ u p
totes	t o t e s
bona	b o n a
cosa	k o s a
tenim	t e n i m
tota	t o t a
cas	k a s
altra	a l t ɾ a
dues	d u e s
forma	f o ɾ m a
lo	l o
sí	s i
tenen	t e n ɛ n
poden	p o d ɛ n
serà	s e ɾ a
cal	k a l
tenia	t e n j a
alguns	a l ɡ u n s
som	s o m
ben	b ɛ n
coses	k o s e s
nit	n i t
nom	n ɔ m
nos	n o s
punt	p u n t
sembla	s e m b l a
català	k a t a l a
dins	d i n s
família	f a m i l j a
tu	t u
vegada	v e ɡ a d a
espanya	e s p a n j a
feina	f e i n a
moltes	m o l t e s
homes	o m e s
los	l o s
me	m e
política	p o l i t i k a
sota	s o t a
tal	t a l
dona	d o n a
final	f i n a l
poc	p o k
te	t e
menys	m e n i s
tothom	t o t o m
trobar	t ɾ o b a ɾ
vam	v a m
web	w ɛ b
dades	d a d e s
mes	m e s
nord	n ɔ ɾ d
algunes	a l ɡ u n e s
escola	e s k o l a
general	d͡ʒ e n e ɾ a l
clar	k l a ɾ
meva	m e v a
setmana	s e t m a n a
fan	f a n
unes	u n e s
març	m a ɾ s
pas	p a s
tipus	t i p u s
treball	t ɾ e b o l
hores	o ɾ e s
programa	p ɾ o ɡ ɾ a m a
quatre	k w a t ɾ e
setembre	s e t e m b ɾ e
aigua	a j ɡ w a
banda	b a n d a
públic	p u b l i k
quina	k i n a
sistema	s i s t e m a
tinc	t i n k
cultura	k u l t u ɾ a
mateixa	m a t e j ʃ a
algú	a l ɡ u
força	f o ɾ s a
octubre	o k t u b ɾ e
partir	p a ɾ t i ɾ
quals	k w a l s
través	t ɾ a v e s
vegades	v e ɡ a d e s
catalana	k a t a l a n a
compte	k o m p t e
fill	f i l
mesos	m e s o s
mi	m i
persona	p e ɾ s o n a
sinó	s i n ɔ
abril	a b ɾ i l
costat	k o s t a t
eren	e ɾ ɛ n
europa	e w ɾ o p a
quin	k i n
sol	s o l
algun	a l ɡ u n
alguna	a l ɡ u n a
segona	s e ɡ o n a
teu	t e u
major	m a ʒ o ɾ
camí	k a m i
juliol	ʒ u l j ɔ l
universitat	u n i v e ɾ s i t a t
amics	a m i k s
article	a ɾ t i k l e
camp	k a m p
empresa	e m p ɾ e s a
mica	m i k a
música	m u s i k a
sud	s u d
home	o m e
juny	ʒ u n i
passa	p a s s a
favor	f a v o ɾ
madrid	m a d ɾ i d
massa	m a s s a
països	p a i s o s
polítics	p o l i t i k s
sols	s o l s
vídeo	v i d e o
foto	f o t o
mare	m a ɾ e
viure	v j u ɾ e
ús	u s
campanya	k a m p a n j a
diversos	d i v e ɾ s o s
fills	f i l s
matí	m a t i
molta	m o l t a
por	p o ɾ
pública	p u b l i k a
realitat	r e a l i t a t
diverses	d i v e ɾ s e s
empreses	e m p ɾ e s e s
mostra	m o s t ɾ a
pare	p a ɾ e
vos	v o s
agost	a ɡ o s t
agrada	a ɡ ɾ a d a
art	a ɾ t
dit	d i t
pla	p l a
prop	p ɾ ɔ p
seguretat	s e ɡ u ɾ e t a t
veritat	v e ɾ i t a t
mar	m a ɾ
obra	o b ɾ a
segon	s e ɡ ɔ n
teva	t e v a
cos	k o s
diners	d i n e ɾ s
espai	e s p a j
idea	i d e a
resta	r e s t a
tracta	t ɾ a k t a
acabar	a k a b a ɾ
alumnes	a l u m n e s
futur	f u t u ɾ
grups	ɡ ɾ u p s
