se	s e
na	n a
je	d͡ʒ e
to	t o
si	s i
do	d o
tak	t a k
pro	p ɾ o
za	s a
jako	d͡ʒ a k o
jak	d͡ʒ a k
po	p o
jen	d͡ʒ e n
nebo	n e b o
byl	b a j l
já	d͡ʒ a
má	m a
které	k t e ɾ e
jeho	d͡ʒ e h o
který	k t e ɾ i
není	n e n i
bylo	b a j l o
ze	s e
byla	b a j l a
být	b i t
také	t a k e
ani	ʔ a n i
pak	p a k
při	p ʃ i
tam	t a m
toho	t o h o
ten	t e n
mám	m a m
která	k t e ɾ a
ho	h o
ne	n e
před	p ʃ e d
protože	p ɾ o t o ʒ e
tu	t u
pokud	p o k u d
tom	t o m
další	d a l ʃ i
nic	n i k
mezi	m e s i
nás	n a s
bez	b e s
moc	m o k
proč	p ɾ o t͡ʃ
tomu	t o m u
ji	d͡ʒ i
měl	m ɪ l
ti	t i
více	b i s e
roku	ɾ o k u
či	t͡ʃ i
mít	m i t
no	n o
nám	n a m
díky	d i k i
již	d͡ʒ i ʒ
nad	n a d
jestli	d͡ʒ e s t l i
mají	m a d͡ʒ i
pod	p o d
ta	t a
třeba	t ʃ e b a
den	d e n
praha	p ɾ a h a
tady	t a d i
taky	t a k i
ke	k e
přes	p ʃ e s
české	t͡ʃ e s k e
proti	p ɾ o t i
proto	p ɾ o t o
místo	m i s t o
nikdy	n i k d i
musí	m u s i
někdo	n ɪ k d o
dobře	d o b ʃ e
kteří	k t e ʃ i
zde	s d e
lidí	l i d i
měla	m ɪ l a
jim	d͡ʒ i m
každý	k a ʒ d i
tedy	t e d i
řekl	ʃ e k l
ano	ʔ a n o
lidé	l i d e
možná	m o ʒ n a
tento	t e n t o
budu	b u d u
hodně	h o d n ɪ
poslední	p o s l e d n i
rok	ɾ o k
tři	t ʃ i
jo	d͡ʒ o
této	t e t o
moje	m o h e
pár	p a ɾ
čas	t͡ʃ a s
nikdo	n i k d o
dost	d o s t
naše	n a ʃ e
pořád	p o ʃ a d
sebe	s e b e
lidi	l i d i
například	n a p ʃ i k l a d
celý	s e l i
myslím	m i s l i m
té	t e
někdy	n ɪ k d i
problém	p ɾ o b l e m
snad	s n a d
vlastní	b l a s t n i
