un	u n
no	n o
es	e s
to	t o
ko	k o
pēc	p eː t͡s
pie	p i e
tu	t u
vēl	v eː l
būs	b uː s
jo	j o
ļoti	ʎ o t i
ne	n e
viņš	v i ɲ ʃ
tik	t i k
nu	n u
šo	ʃ o
mēs	m eː s
kur	k u r
esmu	e s m u
mums	m u m s
mūsu	m uː s u
viss	v i sː
būtu	b uː t u
jūs	j uː s
būt	b uː t
cik	t͡s i k
viņu	v i ɲ u
tur	t u r
kurš	k u r ʃ
pret	p r e t
šī	ʃ iː
pirms	p i r m s
tie	t i e
kopā	k o p ɑː
esi	e s i
šis	ʃ i s
jūsu	j uː s u
kuru	k u r u
vien	v i eˀ n
pats	p ɑ t s
nē	n eː
lūdzu	l uː d͡z u
te	t e
cilvēki	t͡s i l v eː k i
neko	n e k o
trīs	t r iː s
kuri	k u r i
kurā	k u r ɑː
dēļ	d eː ʎ
cilvēku	t͡s i l v eː k u
šeit	ʃ e i t
dienu	d i e n u
cilvēks	t͡s i l v eː k s
šīs	ʃ iː s
vietu	v i e t u
pirmo	p i r m o
spēles	s p eː l e s
reizi	r e i z i
noteikti	n o t e i k t i
nevis	n e v i s
visus	v i s u s
it	i t
nezinu	n e z i n u
nozīmē	n o z iː m eː
biju	b i j u
gribu	ɡ r i b u
kopš	k o p ʃ
nebūs	n e b uː s
vēlāk	v eː l ɑː k
ilgi	i l ɡ i
notiks	n o t i k s
nebūtu	n e b uː t u
tiks	t i k s
pilnīgi	p i l n iː ɡ i
grūti	ɡ r uː t i
tikko	t i kː o
spēlē	s p eː l eː
tikt	t i k t
mūs	m uː s
ceļu	t͡s e ʎ u
drīz	d r iː z
eiro	e i r o
nāk	n ɑː k
septembrī	s e p t e m b r iː
šie	ʃ i e
reizes	r e i z e s
teikt	t e i k t
in	i n
rīt	r iː t
žēl	ʒ eː l
kļūst	k ʎ uː s t
sieviešu	s i e v i e ʃ u
ceru	t͡s e r u
video	v i d e o
cits	t͡s i t s
lūk	l uː k
zinu	z i n u
kurām	k u r ɑː m
spēj	s p eː j
dēls	d eː l s
īsti	iː s t i
kurus	k u r u s
miris	m i r i s
novembrī	n o v e m b r iː
skolā	s k o l ɑː
cilvēkus	t͡s i l v eː k u s
filmu	f i l m u
meitene	m e i t e n e
spēle	s p eː l e
vidū	v i d uː
visām	v i s ɑː m
viņus	v i ɲ u s
šoreiz	ʃ o r e i z
maijā	m ɑ i j ɑː
otro	o t r o
otru	o t r u
sāk	s ɑː k
sen	s e n
pusē	p u s eː
puses	p u s e s
spēku	s p eː k u
gribētu	ɡ r i b eː t u
neesi	n eː s i
tevis	t e v i s
ziņu	z i ɲ u
meklē	m e k l eː
spēli	s p eː l i
spēļu	s p eː ʎ u
divu	d i v u
nedrīkst	n e d r iː k s t
reizēm	r e i z eː m
vecāki	v e t͡s ɑː k i
būšu	b uː ʃ u
reiz	r e i z
būsi	b uː s i
kļūt	k ʎ uː t
nopietni	n o p i e t n i
vērts	v eː r t s
divus	d i v u s
kino	k i n o
spēlēs	s p eː l eː s
tēvs	t eː v s
vispirms	v i s p i r m s
zināms	z i n ɑː m s
slikti	s l i k t i
mīlu	m iː l u
roku	r o k u
veido	v e i d o
ministru	m i n i s t r u
pils	p i l s
uzņēmums	u z ɲ eː m u m s
virs	v i r s
ceļš	t͡s e ʎ ʃ
citus	t͡s i t u s
desmit	d e s m i t
vēlreiz	v eː l r e i z
brīdī	b r iː d iː
deju	d e j u
pilsētu	p i l s eː t u
stundu	s t u n d u
tūlīt	t uː l iː t
iegūt	i e ɡ uː t
centru	t͡s e n t r u
forši	f o r ʃ i
oktobrī	o k t o b r iː
pietiek	p i e t i e k
trešo	t r e ʃ o
ik	i k
līgumu	l iː ɡ u m u
nāc	n ɑː t͡s
punktu	p u n k t u
spēlēt	s p eː l eː t
tirgus	t i r ɡ u s
vērā	v eː r ɑː
vēstures	v eː s t u r e s
cēsu	t͡s eː s u
de	d e
sistēmu	s i s t eː m u
uzņēmumu	u z ɲ eː m u m u
dzirdēt	d͡z i r d eː t
foto	f o t o
svētku	s v eː t k u
jēzus	j eː z u s
nedēļu	n e d eː ʎ u
nespēj	n e s p eː j
vīrs	v iː r s
ūdeni	uː d e n i
meklēt	m e k l eː t
puiši	p u i ʃ i
seko	s e k o
līmenī	l iː m e n iː
maksā	m ɑ k s ɑː
mierīgi	m i e r iː ɡ i
psrs	p s r̩ s
svētki	s v eː t k i
iešu	i e ʃ u
izvēle	i z v eː l e
likumu	l i k u m u
top	t o p
vēsturē	v eː s t u r eː
lu	l u
lēmumu	l eː m u m u
numuru	n u m u r u
pretī	p r e t iː
problēmu	p r o b l eː m u
re	r e
grupu	ɡ r u p u
mīlestību	m iː l e s t iː b u
projektu	p r o j e k t u
tiktu	t i k t u
vienīgi	v i e n iː ɡ i
šīm	ʃ iː m
meiteni	m e i t e n i
reti	r e t i
veiksmīgi	v e i k s m iː ɡ i
veikt	v e i k t
gribēju	ɡ r i b eː j u
gulēt	ɡ u l eː t
likt	l i k t
nekur	n e k u r
redzēju	r e d͡z eː j u
ēst	eː s t
netiek	n e t i e k
puse	p u s e
līmenis	l iː m e n i s
sezonā	s e z o n ɑː
visur	v i s u r
mīl	m iː l
nespēju	n e s p eː j u
pilnu	p i l n u
plāns	p l ɑː n s
reizē	r e i z eː
rēzeknes	r eː z e k n e s
iemeslu	i e m e s l u
izvēles	i z v eː l e s
nozīme	n o z iː m e
puisis	p u i s i s
veidu	v e i d u
zinātnes	z i n ɑː t n e s
eju	e j u
mēnešus	m eː n e ʃ u s
nopirkt	n o p i r k t
sirdi	s i r d i
spēju	s p eː j u
dzimis	d͡z i m i s
mūziku	m uː z i k u
spēks	s p eː k s
godu	ɡ o d u
ideju	i d e j u
meklēju	m e k l eː j u
miljonus	m i l j o n u s
mūžu	m uː ʒ u
punkti	p u n k t i
vīrieši	v iː r i e ʃ i
ēku	eː k u
likums	l i k u m s
mēnesi	m eː n e s i
nozīmes	n o z iː m e s
slikts	s l i k t s
zemē	z e m eː
četri	t͡ʃ e t r i
jūtu	j uː t u
koku	k o k u
kļūs	k ʎ uː s
numurs	n u m u r s
putnu	p u t n u
spēlēm	s p eː l eː m
stipri	s t i p r i
virsū	v i r s uː
vēlu	v eː l u
būsim	b uː s i m
kļuvis	k ʎ u v i s
minūtēm	m i n uː t eː m
nenozīmē	n e n o z iː m eː
smieklīgi	s m i e k l iː ɡ i
drīkst	d r iː k s t
izglītību	i z ɡ l iː t iː b u
nezini	n e z i n i
rudenī	r u d e n iː
vīru	v iː r u
ciet	t͡s i e t
der	d e r
logu	l o ɡ u
lomu	l o m u
rīgu	r iː ɡ u
seju	s e j u
turpinās	t u r p i n ɑː s
vecs	v e t͡s s
īsts	iː s t s
ņemt	ɲ e m t
citur	t͡s i t u r
hei	h e i
konkurss	k o n k u r sː
punktus	p u n k t u s
trūkst	t r uː k s t
uzņēmumi	u z ɲ eː m u m i
zīmes	z iː m e s
ilgu	i l ɡ u
interesē	i n t e r e s eː
upes	u p e s
vēsture	v eː s t u r e
domu	d o m u
for	f o r
komandā	k o m ɑ n d ɑː
proti	p r o t i
spēkā	s p eː k ɑː
veidi	v e i d i
veiksmi	v e i k s m i
jūrā	j uː r ɑː
melnā	m e l n ɑː
preses	p r e s e s
treneris	t r e n e r i s
vietnē	v i e t n eː
ēd	eː d
dziļi	d͡z i ʎ i
juris	j u r i s
notikumi	n o t i k u m i
sveiki	s v e i k i
tekstu	t e k s t u
zīme	z iː m e
šorīt	ʃ o r iː t
ūdenī	uː d e n iː
kristus	k r i s t u s
lēmums	l eː m u m s
mainās	m ɑ i n ɑː s
mirusi	m i r u s i
muti	m u t i
noteikumi	n o t e i k u m i
produktu	p r o d u k t u
septembris	s e p t e m b r i s
sevī	s e v iː
seši	s e ʃ i
veco	v e t͡s o
veselību	v e s e l iː b u
vējš	v eː j ʃ
guļ	ɡ u ʎ
nelielu	n e l i e l u
pienācis	p i e n ɑː t͡s i s
you	j o u
cieņu	t͡s i e ɲ u
cīnīties	t͡s iː n iː t i e s
cīņu	t͡s iː ɲ u
soli	s o l i
solis	s o l i s
sāc	s ɑː t͡s
tēmu	t eː m u
vēsturi	v eː s t u r i
zobu	z o b u
metru	m e t r u
nereti	n e r e t i
sk	s k
skolēnu	s k o l eː n u
sēdi	s eː d i
ventspilī	v e n t s p i l iː
koncertu	k o n t͡s e r t u
preču	p r e t͡ʃ u
tīklu	t iː k l u
vecumu	v e t͡s u m u
zirgu	z i r ɡ u
formu	f o r m u
kļuvusi	k ʎ u v u s i
malā	m ɑ l ɑː
mēnesī	m eː n e s iː
nes	n e s
netiks	n e t i k s
procesu	p r o t͡s e s u
sirdī	s i r d iː
tikmēr	t i k m eː r
vis	v i s
minūšu	m i n uː ʃ u
mēnešu	m eː n e ʃ u
nonāk	n o n ɑː k
piekrītu	p i e k r iː t u
politiku	p o l i t i k u
super	s u p e r
ēkā	eː k ɑː
brīvu	b r iː v u
ietver	i e t v e r
ikvienu	i k v i eˀ n u
kungu	k u n ɡ u
politisko	p o l i t i s k o
vērtību	v eː r t iː b u
brīvi	b r iː v i
pēteris	p eː t e r i s
somu	s o m u
sāks	s ɑː k s
teiktu	t e i k t u
tirgū	t i r ɡ uː
vēlme	v eː l m e
zinām	z i n ɑː m
bumbu	b u m b u
dēlu	d eː l u
is	i s
līmeni	l iː m e n i
posmu	p o s m u
pērn	p eː r n
sekundes	s e k u n d e s
slimību	s l i m iː b u
teju	t e j u
tips	t i p s
tēju	t eː j u
tēvu	t eː v u
veselu	v e s e l u
virtuves	v i r t u v e s
četru	t͡ʃ e t r u
cēsīs	t͡s eː s iː s
ietilpst	i e t i l p s t
kustību	k u s t iː b u
notikumu	n o t i k u m u
spēkus	s p eː k u s
suņu	s u ɲ u
ziņojumu	z i ɲ o j u m u
līniju	l iː n i j u
mirst	m i r s t
mīli	m iː l i
noteikt	n o t e i k t
objektu	o b j e k t u
olimpisko	o l i m p i s k o
sliktu	s l i k t u
dzert	d͡z e r t
kultūru	k u l t uː r u
kļūdu	k ʎ uː d u
lēnām	l eː n ɑː m
robežu	r o b e ʒ u
spētu	s p eː t u
telpu	t e l p u
trūkums	t r uː k u m s
klubu	k l u b u
milzīgs	m i l z iː ɡ s
mēneši	m eː n e ʃ i
nebūt	n e b uː t
pietrūkst	p i e t r uː k s t
pētījumu	p eː t iː j u m u
zēnu	z eː n u
britu	b r i t u
ieguldījumu	i e ɡ u l d iː j u m u
pietiks	p i e t i k s
skolās	s k o l ɑː s
ziņo	z i ɲ o
iegūtu	i e ɡ uː t u
ies	i e s
kursu	k u r s u
miruši	m i r u ʃ i
mērā	m eː r ɑː
reize	r e i z e
reāli	r e ɑː l i
svēto	s v eː t o
sēdēt	s eː d eː t
turēt	t u r eː t
zemu	z e m u
zonā	z o n ɑː
kopējo	k o p eː j o
kļūtu	k ʎ uː t u
lēmumus	l eː m u m u s
me	m e
st	s t
vēstules	v eː s t u l e s
četrus	t͡ʃ e t r u s
ceļojums	t͡s e ʎ o j u m s
fināls	f i n ɑː l s
kopīgi	k o p iː ɡ i
melo	m e l o
notikt	n o t i k t
poļu	p o ʎ u
teikts	t e i k t s
treneri	t r e n e r i
dzirdēju	d͡z i r d eː j u
noteiktu	n o t e i k t u
pētījumi	p eː t iː j u m i
rēzeknē	r eː z e k n eː
zāli	z ɑː l i
ceļi	t͡s e ʎ i
intereses	i n t e r e s e s
mačā	m ɑ t͡ʃ ɑː
noteikumus	n o t e i k u m u s
nozīmi	n o z iː m i
pirkt	p i r k t
publicēts	p u b l i t͡s eː t s
vidē	v i d eː
vīri	v iː r i
zēni	z eː n i
interese	i n t e r e s e
koris	k o r i s
milzu	m i l z u
mīlēt	m iː l eː t
neiet	n e i e t
olu	o l u
pilī	p i l iː
plus	p l u s
puisi	p u i s i
titulu	t i t u l u
zīmi	z iː m i
īsi	iː s i
šūnu	ʃ uː n u
drusku	d r u s k u
durvju	d u r v j u
