iš	i ʃ
ar	a r
buvo	b u v o
tik	t i k
ne	n e
per	p e r
gali	ɡ a l i
po	p o
iki	i k i
jis	d͡ʒ i s
to	t o
būti	b uː t i
turi	t u r i
bus	b u s
metu	m e t u
ji	d͡ʒ i
be	b e
mes	m e s
vis	v i s
dabar	d a b a r
kuris	k u r i s
man	m a n
visi	v i z i
jūs	j uː s
kuri	k u r i
gal	ɡ a l
tada	t a d a
ten	t ɛ n
kol	k o l
šis	ʃ i s
šios	ʃ i o s
dalis	d a l i s
visus	v i z u s
galima	ɡ a l i m a
ko	k o
kurį	k u r i
žmogus	ʒ m o ɡ u s
mums	m u m s
metus	m e t u s
oro	o r o
vandens	v ɑ n d ɛ n s
kurio	k u r j o
jav	j a f
juk	j u k
nebuvo	n e b u v o
kiti	k i t i
ši	ʃ i
mokyklos	m o k i k l o s
bent	b ɛ n t
šiuo	ʃ i w o
šio	ʃ i o
mus	m u s
negali	n e ɡ a l i
dvi	d v i
kada	k a d a
tu	t u
viso	v i z o
padaryti	p a d a r i t i
esu	e z u
sūnus	s uː n u s
būtent	b uː t ɛ n t
galite	ɡ a l i t e
vyko	v i k o
the	t e
neturi	n e t u r i
pinigų	p i n i ɡ o
gana	ɡ a n a
kitos	k i t o s
meno	m e n o
tos	t o s
žmona	ʒ m o n a
visos	v i z o s
kovo	k o v o
sistemos	s i s t e m o s
trys	t r i s
istorijos	i s t o r i j o s
kino	k i n o
tris	t r i s
universiteto	u n i v e r s i t e t o
liko	l i k o
kito	k i t o
kūno	k uː n o
didelis	d i d e l i s
prekybos	p r e k i b o s
nebus	n e b u s
tipo	t i p o
mokykloje	m o k i k l o j ə
būdu	b uː d u
jūros	j uː r o s
pagrindinis	p a ɡ r i n d i n i s
turiu	t u r j u
gi	ɡ i
teatro	t e a t r o
galiu	ɡ a l j u
daktaras	d a k t a r a s
virš	v i r ʃ
krepšinio	k r e p ʃ i n j o
medicinos	m e d i t͡ʃ i n o s
negalima	n e ɡ a l i m a
pinigus	p i n i ɡ u s
žino	ʒ i n o
esate	e z a t e
motina	m o t i n a
de	d e
gamybos	ɡ a m i b o s
knygos	k n i ɡ o s
kokį	k o k i
link	l i ŋ k
kelis	k e l i s
klubo	k l u b o
sukurti	s u k u r t i
gavo	ɡ a v o
in	i n
kitus	k i t u s
mintis	m i n t i s
policijos	p o l i t͡ʃ i j o s
kovos	k o v o s
ministerijos	m i n i s t e r i j o s
politikos	p o l i t i k o s
deja	d e j a
kokių	k o k i o
studijų	s t u d i j o
jokio	j o k i o
miško	m i ʃ k o
netoli	n e t o l i
sužinoti	s u ʒ i n o t i
ligos	l i ɡ o s
asociacijos	a z o t͡ʃ a t͡ʃ i j o s
dalys	d a l i s
mergina	m e r d͡ʒ i n a
itin	i t i n
gale	ɡ a l e
keli	k e l i
liga	l i ɡ a
teks	t ɛ k s
žuvo	ʒ u v o
departamento	d e p a r t a m e n t o
galo	ɡ a l o
technikos	t e k n i k o s
kitose	k i t o s e
kurti	k u r t i
min	m i n
mokymo	m o k i m o
programos	p r o ɡ r a m o s
toli	t o l i
filmo	f i l m o
is	i s
teko	t e k o
it	i t
modelis	m o d e l i s
pora	p o r a
radijo	r a d i j o
telefono	t e l e f o n o
graži	ɡ r a ʒ i
kitu	k i t u
lygos	l i ɡ o s
es	e s
keliu	k e l j u
visko	v i s k o
dalykus	d a l i k u s
komiteto	k o m i t e t o
merginos	m e r d͡ʒ i n o s
programa	p r o ɡ r a m a
ryto	r i t o
sritis	s r i t i s
tol	t o l
gamyba	ɡ a m i b a
regiono	r e d͡ʒ o n o
skyrius	s k i r i u s
kilo	k i l o
ha	h a
programas	p r o ɡ r a m a s
asmens	a z m ɛ n s
ilgio	i l d͡ʒ o
tyrimo	t i r i m o
metams	m e t a m s
negaliu	n e ɡ a l j u
telefonu	t e l e f o n u
abi	a b i
dalimi	d a l i m i
dešimt	d e ʃ i m t
didysis	d i d i s i s
greta	ɡ r e t a
ministro	m i n i s t r o
odos	o d o s
for	f o r
galimybę	ɡ a l i m i b ɛ
instituto	i n s t i t u t o
interneto	i n t e r n e t o
la	l a
nacionalinio	n a t͡ʃ o n a l i n j o
dovana	d o v a n a
terminas	t e r m i n a s
čempionato	t͡ʃ e m p j o n a t o
balta	b a l t a
festivalis	f e s t i v a l i s
kovoti	k o v o t i
studijos	s t u d i j o s
kinijos	k i n i j o s
motinos	m o t i n o s
prisiminti	p r i z i m i n t i
tikri	t i k r i
vidutinio	v i d u t i n j o
kūrybos	k uː r i b o s
linijos	l i n i j o s
serijos	s e r i j o s
teritorijos	t e r i t o r i j o s
turintis	t u r i n t i s
video	v i d e o
fondo	f o n d o
keturi	k e t u r i
akmens	a k m ɛ n s
mokymosi	m o k i m o s i
proceso	p r o t͡ʃ e z o
administracijos	a d m i n i s t r a t͡ʃ i j o s
oji	o d͡ʒ i
vyno	v i n o
čempionate	t͡ʃ e m p j o n a t e
akys	a k i s
jūrų	j uː r oː
