на	n a
со	s ɔ
ги	ɡ i
си	s i
ми	m i
но	n ɔ
само	s a m ɔ
има	i m a
им	i m
ни	n i
она	ɔ n a
имам	i m a m
нас	n a s
мора	m ɔ r a
сè	s ɛ
сам	s a m
мир	m i r
мамо	m a m ɔ
and	a n d
in	i n
de	d ɛ
ана	a n a
сцена	s t͡sʰ ɛ n a
ум	ʊ m
la	l a
имаа	i m aː
рим	r i m
шеф	ʃ ɛ f
носам	n ɔ s a m
нè	n ɛ
ма	m a
ха	x a
срам	s r a m
хари	x a r i
умира	ʊ m i r a
формира	f ɔ r m i r a
шеќер	ʃ ɛ l ɛ r
is	i s
ах	a x
исхрана	i s x r a n a
сара	s a r a
алфа	a ɮ f a
мини	m i n i
сцени	s t͡sʰ ɛ n i
умрам	ʊ m r a m
it	i t
сина	s i n a
мирис	m i r i s
нам	n a m
me	m ɛ
оф	ɔ f
храм	x r a m
рана	r a n a
они	ɔ n i
фифа	f i f a
sa	s a
сос	s ɔ s
химна	x i m n a
al	a l
all	a l
be	b ɛ
информира	i n f ɔ r m i r a
мари	m a r i
марс	m a r s
снима	s n i m a
youtube	j u t u b ɛ
мис	m i s
рамо	r a m ɔ
формирана	f ɔ r m i r a n a
na	n a
мирни	m i r n i
нос	n ɔ s
en	ɛ n
mk	ɛ m k a
up	u p
сиромашни	s i r ɔ m a ɕ n i
day	d a j
мина	m i n a
арм	a r m
ох	ɔ x
are	a r ɛ
life	l i f ɛ
we	w ɛ
at	a t
овци	ɔ w t͡sʰ i
хана	x a n a
ри	r i
le	l ɛ
са	s a
хор	x ɔ r
фина	f i n a
ами	a m i
рос	r ɔ s
аха	a x a
man	m a n
si	s i
vi	v i
хаг	x a ɡ
инфо	i n f ɔ
da	d a
мо	m ɔ
ра	r a
pdf	p e d e ɛ f
skopje	s k ɔ p j ɛ
an	a n
ip	i p
ним	n i m
фа	f a
am	a m
university	u n i v ɛ r s i t i
сe	s ɛ
galaxy	ɡ a l a k s i
samsung	s a m s u ŋ
морнарица	m ɔ r n a r i t͡sʰ a
османи	ɔ s m a n i
via	v i a
мани	m a n i
мира	m i r a
оа	oː
аа	aː
нa	n a
хилари	x i ɮ a r i
хром	x r ɔ m
out	o u t
was	w a s
ацо	a t͡sʰ ɔ
мара	m a r a
шри	ʃ r i
ам	a m
финансира	f i n a n s i r a
шер	ʃ ɛ r
el	ɛ l
off	ɔ f
york	j ɔ r k
оро	ɔ r ɔ
умри	ʊ m r i
art	a r t
as	a s
show	ʃ o w
km	k a ɛ m
mail	m a i l
network	n ɛ t w ɔ r k
now	n o w
ралф	r a ɮ f
хорхе	x ɔ r xʲ
but	b u t
des	d ɛ s
рамна	r a m n a
ирина	i r i n a
best	b ɛ s t
black	b l a k
press	p r ɛ s
un	u n
get	ɡ ɛ t
have	h a v ɛ
информирани	i n f ɔ r m i r a n i
рис	r i s
fi	f i
ас	a s
мораа	m ɔ r aː
нe	n ɛ
рог	r ɔ ɡ
финансирана	f i n a n s i r a n a
афро	a f r ɔ
ханс	x a n s
park	p a r k
оо	oː
del	d ɛ l
group	ɡ r u p
харис	x a r i s
back	b a k
les	l ɛ s
осми	ɔ s m i
he	h ɛ
ина	i n a
мар	m a r
нора	n ɔ r a
journal	d͡ʒ u r n a l
just	d͡ʒ u s t
star	s t a r
франсоа	f r a n s oː
mm	ɛ m ɛ m
super	s u p ə r
сахара	s a x a r a
франс	f r a n s
jaс	d͡ʒ a s
van	v a n
take	t a k ɛ
монро	m ɔ n r ɔ
his	h i s
may	m a j
talk	t a l k
мори	m ɔ r i
digital	d i ɡ i t a l
heart	h ɛ a r t
if	i f
франц	f r a n t͡sʰ
царица	t͡sʰ a r i t͡sʰ a
моф	m ɔ f
iso	i s o
финансиран	f i n a n s i r a ŋ
paul	p a u l
ааа	aː
air	a i r
jас	d͡ʒ a s
ne	n ɛ
smart	s m a r t
финансирани	f i n a n s i r a n i
wall	w a l
хи	x i
dark	d a r k
анонимни	a n ɔ n i m n i
te	t ɛ
us	u s
ос	ɔ s
снимам	s n i m a m
рамос	r a m ɔ s
du	d u
human	h u m a n
name	n a m ɛ
sex	s ɛ k s
usa	u s a
аранжмани	a r a n t͡ɕ m a n i
ром	r ɔ m
хамас	x a m a s
za	z a
симни	s i m n i
синг	s i ŋ k
цифри	t͡sʰ i f r i
ши	ʃ i
data	d a t a
ооо	oː
расна	r a s n a
сиромашна	s i r ɔ m a ɕ n a
di	d i
full	f u l
im	i m
иса	i s a
смирам	s m i r a m
моро	m ɔ r ɔ
срамам	s r a m a m
audi	a u d i
il	i l
law	l a w
max	m a k s
mi	m i
pp	p e p e
рамни	r a m n i
has	h a s
mind	m i n d
way	w a j
awards	a w a r t s
est	ɛ s t
ани	a n i
химни	x i m n i
let	l ɛ t
net	n ɛ t
осмо	ɔ s m ɔ
san	s a n
формираа	f ɔ r m i r aː
ad	a d
fm	ɛ f ɛ m
last	l a s t
sun	s u n
анри	a n r i
иницира	i n i t͡sʰ i r a
нане	n a nʲ
ца	t͡sʰ a
ab	a b
grand	ɡ r a n t
алфи	a ɮ f i
ананас	a n a n a s
аранжман	a r a n t͡ɕ m a ŋ
мас	m a s
happy	h a p i
made	m a d ɛ
per	p ɛ r
еур	j ɵ ʊ r
минг	m i ŋ k
ma	m a
vida	v i d a
business	b u s i n ɛ s
мор	m ɔ r
ben	b ɛ n
family	f a m i l i
ора	ɔ r a
информирам	i n f ɔ r m i r a m
ун	ʊ n
king	k i ŋ
london	l ɔ n d ɔ n
when	w ɛ n
david	d a v i d
es	ɛ s
express	ɛ k s p r ɛ s
festival	f ɛ s t i v a l
kg	k a ɡ e
nasa	n a s a
мирисам	m i r i s a m
срамни	s r a m n i
against	a ɡ a i n s t
games	ɡ a m ɛ s
id	i d
jean	d͡ʒ ɛ a n
ti	t i
want	w a n t
ис	i s
симна	s i m n a
ex	ɛ k s
living	l i v i ŋ
stop	s t ɔ p
мос	m ɔ s
balkan	b a l k a n
инфицирани	i n f i t͡sʰ i r a n i
ирис	i r i s
охриѓани	ɔ x r i ɣ a n i
фи	f i
храниш	x r a n i ɕ
june	d͡ʒ u n ɛ
men	m ɛ n
nm	ɛ n ɛ m
say	s a j
сас	s a s
bar	b a r
lady	l a d i
ms	ɛ m ɛ s
mtv	ɛ m t e v e
war	w a r
were	w ɛ r ɛ
wi	w i
амам	a m a m
java	d͡ʒ a v a
maps	m a p s
rock	r ɔ k
st	ɛ s t e
ро	r ɔ
ура	ʊ r a
ухмр	ʊ x m ə r
финансирано	f i n a n s i r a n o
girls	ɡ ɪ r l s
guardian	ɡ u a r d i a n
left	l ɛ f t
ltd	ɛ l t e d e
алфонсо	a ɮ f ɔ n s ɔ
асанж	a s a n t͡ɕ
ени	j ɛ n i
самрак	s a m r a kʰ
сирак	s i r a kʰ
снаа	s n aː
bay	b a j
trust	t r u s t
самица	s a m i t͡sʰ a
ше	ʃ ɛ
alexander	a l ɛ k s a n d ə r
ha	h a
james	d͡ʒ a m ɛ s
информираа	i n f ɔ r m i r aː
исис	i s i s
симс	s i m s
british	b r i t i ʃ
india	i n d i a
mark	m a r k
plus	p l u s
sam	s a m
tech	t ɛ x
мане	m a nʲ
gnu	ɡ n u
huawei	h u a w e i
lan	l a n
las	l a s
russia	r u s i a
em	ɛ m
su	s u
ари	a r i
ом	ɔ m
хомо	x ɔ m ɔ
ци	t͡sʰ i
ai	a i
der	d ɛ r
search	s ɛ a r x
uk	u k
номинирана	n ɔ m i n i r a n a
нур	n ʊ r
jack	d͡ʒ a k
market	m a r k ɛ t
амир	a m i r
симонс	s i m ɔ n s
baby	b a b i
being	b e i ŋ
indian	i n d i a n
ram	r a m
une	u n ɛ
асоцира	a s ɔ t͡sʰ i r a
хо	x ɔ
box	b ɔ k s
gmail	ɡ m a i l
sms	ɛ s ɛ m ɛ s
ноа	n oː
самир	s a m i r
фасциниран	f a s t͡sʰ i n i r a ŋ
animal	a n i m a l
hell	h ɛ l
here	h ɛ r ɛ
paper	p a p ə r
und	u n d
well	w ɛ l
dan	d a n
days	d a j s
help	h ɛ l p
studio	s t u d i o
рима	r i m a
самара	s a m a r a
сиромашно	s i r ɔ m a ɕ n ɔ
anti	a n t i
cross	k r ɔ s
work	w ɔ r k
рас	r a s
edward	ɛ d w a r t
japan	d͡ʒ a p a n
li	l i
put	p u t
soul	s u l
urban	u r b a n
ar	a r
russian	r u s i a n
нимиц	n i m i t͡sʰ
check	t͡ʃ ɛ k
map	m a p
paris	p a r i s
pop	p o p
sin	s i n
ein	e i n
мри	m r i
сим	s i m
end	ɛ n d
status	s t a t u s
марица	m a r i t͡sʰ a
минас	m i n a s
раи	r a j
casa	t͡ʃ a s a
iq	i q
july	d͡ʒ u l i
visual	v i s u a l
иницирана	i n i t͡sʰ i r a n a
must	m u s t
nike	n i k ɛ
year	j ɛ a r
asia	a s i a
ba	b a
dolce	d ɔ l t͡s ɛ
par	p a r
west	w ɛ s t
