на	n a
не	n ɛ
по	p ɔ
как	k a k
из	j i z
за	z a
то	t ɔ
его	j ɛ ɡ o
он	ɔ n
от	o t
мы	m i
ты	t i
когда	k ɔ ɡ d a
мне	m nʲ ɛ
меня	m ɛ n j a
бы	b i
при	p r i
будет	b u dʲ ɛ t
кто	k t ɔ
года	ɡ ɔ d a
чтобы	t͡ɕ t ɔ b i
есть	j ɛ s t ɪ
она	ɔ n a
во	ʋ ɔ
вы	ʋ i
может	m ɔ ʑ ɛ t
после	p ɔ s lʲ ɛ
нет	n ɛ t
со	s ɔ
вот	ʋ ɔ t
чем	t͡ɕ ɛ m
быть	b i tʲ
под	p ɔ d
этом	e t ɔ m
вас	ʋ a s
россии	r ɔ s i j
да	d a
можно	m ɔ ʑ n o
просто	p r ɔ s t ɔ
том	t ɔ m
без	b ɛ z
году	ɡ ɔ d u
нас	n a s
ни	n i
там	t a m
этот	e t ɔ t
ли	l i
раз	r a z
всех	ʋ s ɛ x
один	ɔ d i n
теперь	tʲ ɛ p ɛ r ɪ
сегодня	s ɛ ɡ ɔ d nʲ a
ему	j ɛ m u
них	n i x
сша	s ɕ a
области	ɔ b l a s tʲ i
почему	p ɔ t͡ɕ ɛ m u
день	d ɛ n ɪ
пока	p ɔ k a
тем	tʲ ɛ m
всегда	ʋ s ɛ ɡ d ɑ
здесь	z dʲ ɛ s ɪ
потому	p ɔ t ɔ m u
нужно	n u ʑ n o
себе	s ɛ b ɛ
год	ɡ ɔ d
тут	t u t
свою	s ʋ ɔ j u
её	j ɛ j ɔ
нам	n a m
несколько	n ɛ s k ɔ l ɪ k ɔ
сказал	s k a z a l
тогда	t ɔ ɡ d a
вам	ʋ a m
ещё	j ɛ ɕ j ɔ
место	m ɛ s t ɔ
потом	p ɔ t ɔ m
времени	ʋ rʲ ɛ m ɛ n i
лишь	l i ɕ
дело	d ɛ l o
лучше	l u t͡ɕ ɕ ɛ
над	n a d
тот	t ɔ t
именно	i m ɛ n n o
три	t r i
всем	ʋ s ɛ m
мира	m i r a
стал	s t a l
такое	t a k ɔ j ɛ
хотя	x ɔ tʲ a
