на	n a
не	n ɛ
та	t a
це	t͡sʰ ɛ
за	z a
як	j a k
про	p r ɔ
то	t ɔ
по	p ɔ
під	p i d
якщо	j a k ɕ ɔ
року	r ɔ k u
щоб	ɕ ɔ b
чи	t͡ɕʰ i
просто	p r ɔ s t ɔ
нас	n a s
ну	n ʊ
тому	t ɔ m u
також	t a k ɔ ʒ
де	d ɛ
там	t a m
того	t ɔ ɡ ɔ
цього	t͡sʰ j ɔ ɡ ɔ
при	p r i
без	b ɛ z
яка	j a k a
чому	t͡ʃ ɔ m u
зараз	z a r a z
один	ɔ d i n
лише	l i ɕ ɛ
себе	s ɛ b ɛ
них	n i x
день	d ɛ n ɪ
щось	ɕ ɔ s ɪ
ось	ɔ s ɪ
багато	b a ɣ a tʰ ɔ
нам	n a m
ради	r a d i
тоді	t ɔ d i
цьому	t͡sʰ j ɔ m u
же	ʒ ɛ
між	m i ʒ
би	b i
ніж	n i ʒ
раз	r a z
можуть	m ɔ ʑ u tʲ
разом	r a z ɔ m
роки	r ɔ k i
такі	t a kʲ
мають	m a j u tʲ
над	n a d
питання	p i t a n nʲ a
знову	z n ɔ v u
шо	ʃ ɔ
майже	m ɛː ʒ ɛ
гроші	ɡ r ɔ ʃ i
сам	s a m
така	t a k a
трохи	t r ɔ x i
неї	n ɛ j
сказав	s k a z a v
права	p r a v a
хтось	x t ɔ s ɪ
цих	t͡sʰ i x
близько	b l i z ɪ k ɔ
якому	j a k ɔ m u
цим	t͡sʰ i m
ним	n i m
рада	r a d a
of	o f
понад	p ɔ n a d
сказати	s k a z a tʲ i
точно	t ɔ t͡ʃ n o
особливо	ɔ s ɔ b l i v ɔ
закону	z a k ɔ n u
особи	ɔ s ɔ b i
сама	s a m a
сил	s i l
часто	t͡ɕ a s t ɔ
якби	j a k b i
справи	s p r a vʲ i
днів	d n i v
маю	m a j u
and	ɑ n d
криму	k r i m u
місто	m i s t ɔ
питань	p i t a nʲ
яким	j a k i m
ними	n i m i
to	t oː
закон	z a k ɔ n
мовою	m ɔ v ɔ j u
наша	n a ɕ a
да	d a
діти	d i t i
одним	ɔ d n i m
каже	k a ʒ ɛ
справа	s p r a v a
правильно	p r a vʲ i lʲ n o
аби	a b i
син	s i n
жити	ʒ i tʲ i
зміни	z m i n i
справ	s p r a v
как	k a k
кому	k ɔ m u
мали	m a l i
десь	d ɛ s ɪ
разу	r a z u
тож	t ɔ ʒ
аж	a ʒ
разів	r a z i v
могли	m ɔ ɡ l i
народ	n a r ɔ d
якось	j a k ɔ s ɪ
звісно	z ʋ i s n o
разі	r a z i
робить	r ɔ b i tʲ
багатьох	b a ɣ a tʲ ɔ x
отже	ɔ t ʒ ɛ
ніби	n i b i
справу	s p r a v u
дати	d a tʲ i
нею	n ɛ j u
пару	p a r u
перше	p ɛ r ɕ ɛ
захисту	z a x i s t u
перші	p ɛ r ɕ i
казав	k a z a v
міст	m i s t
нормально	n ɔ r m a lʲ n o
руху	r ʊ x ʊ
газу	ɡ a z u
назад	n a z a d
приблизно	p r i b l i z n o
пізніше	p i z n i ɕ ɛ
нашу	n a ɕ u
додому	d ɔ d ɔ m u
жінок	ʒ i n o k
законом	z a k ɔ n ɔ m
мою	m ɔ j u
пісні	p i s n i
роль	r ɔ lʲ
слід	s ɫ i d
схоже	s x ɔ ʒ ɛ
погано	p ɔ ɡ a n o
програми	p r ɔ ɡ r a m i
годин	ɡ ɔ d i n
години	ɡ ɔ d i n i
змін	z m i n
мама	m a m a
нато	n a t ɔ
рух	r ʊ x
школі	ʃ k ɔ lʲ i
когось	k ɔ ɡ ɔ s ɪ
посаду	p ɔ s a d u
рамках	r a m k a x
ціни	t͡sʰ i n i
из	i z
книги	k n i ɡ i
надання	n a d a n nʲ a
команди	k ɔ m a n d i
отримання	ɔ t r i m a n nʲ a
нині	n i n i
роман	r ɔ m a n
якою	j a k ɔ j u
галузі	ɡ a ɮ u z i
гарно	ɡ a r n o
зброю	z b r ɔ j u
знав	z n a v
кажу	k a ʒ u
контроль	k ɔ n t r ɔ lʲ
загалом	z a ɣ a ɮ ɔ m
ким	k i m
га	ɡ a
газ	ɡ a z
наше	n a ɕ ɛ
одразу	ɔ d r a z u
статус	s t a t u s
курс	k ʊ r s
пішли	p i ʃ l i
бог	b ɔ ɡ
напрямку	n a p rʲ a m k u
норм	n ɔ r m
особа	ɔ s ɔ b a
пише	p i ɕ ɛ
поблизу	p ɔ b l i z u
стану	s t a n u
ціна	t͡sʰ i n a
бойових	b ɔ j ɔ v i x
міжнародних	m i ʒ n a r ɔ d n i x
нью	n j u
оон	oː n
рази	r a z i
становить	s t a n ɔ v i tʲ
залежить	z a lʲ ɛ ʑ i tʲ
мир	m i r
називають	n a z i v a j u tʲ
сезон	s ɛ z ɔ n
щастя	ɕ a s tʲ a
назва	n a z v a
посади	p ɔ s a d i
щойно	ɕ ɔ j n o
завод	z a v ɔ d
машини	m a ɕ i n i
гарна	ɡ a r n a
програма	p r ɔ ɡ r a m a
батька	b a tʲ k a
канал	k a n a ɮ
наразі	n a r a z i
пан	p a n
назву	n a z v u
нікому	n i k ɔ m u
тобою	t ɔ b ɔ j u
формі	f ɔ r m i
год	ɡ ɔ d
доки	d ɔ k i
нове	n ɔ ʋ ɛ
новому	n ɔ v ɔ m u
такому	t a k ɔ m u
брат	b r a t
гра	ɡ r a
дитину	d i t i n u
зору	z ɔ r u
форми	f ɔ r m i
зростання	z r ɔ s t a n nʲ a
кордон	k ɔ r d ɔ n
крок	k r ɔ k
пост	p ɔ s t
сказала	s k a z a ɮ a
такою	t a k ɔ j u
дому	d ɔ m u
невже	n ɛ v ʒ ɛ
особисто	ɔ s ɔ b i s t ɔ
is	i s
new	n ɛ w
базі	b a z i
користь	k ɔ r i s tʲ
назви	n a z vʲ i
заяву	z a j a v u
межі	m ɛ ʒ i
нет	n ɛ t
ноги	n ɔ ɡ i
проходить	p r ɔ x ɔ d i tʲ
робіт	r ɔ b i t
фонду	f ɔ n d u
грати	ɡ r a tʲ i
есть	j ɛ s t ɪ
заходи	z a x ɔ d i
зоні	z ɔ n i
обох	ɔ b ɔ x
продаж	p r ɔ d a ʒ
цілому	t͡sʰ i l ɔ m u
шість	ʃ i s tʲ
годину	ɡ ɔ d i n u
друг	d r ʊ ɡ
заходу	z a x ɔ d u
пора	p ɔ r a
розмір	r ɔ z m i r
рук	r ʊ k
фонд	f ɔ n d
готова	ɡ ɔ t ɔ v a
знов	z n ɔ v
миру	m i r u
можно	m ɔ ʑ n o
органи	ɔ r ɡ a n i
приводу	p r i v ɔ d u
бы	b i
жодних	ʒ ɔ d n i x
надати	n a d a tʲ i
назвою	n a z v ɔ j u
погода	p ɔ ɡ ɔ d a
прапор	p r a p ɔ r
ході	x ɔ d i
якраз	j a k r a z
дають	d a j u tʲ
