ra	r ɑ
đó	d͡ʒ oː
năm	n ə m
chính	t͡ʃ iː n
nam	n ɑ m
nhân	n h ɑː n
nên	n eː n
phát	f ɑː t
tin	t i n
ta	t ɑ
lên	l eː n
dân	d ɑː n
lý	l iː
pháp	f ɑː p
văn	v ə n
qua	k w ɑ
em	e m
hai	h ɑ i̯
ăn	ə n
kỳ	k ə
chi	t͡ʃ i
tham	t ɑ m
ban	b ɑ n
hoa	h o ɑ̯
sao	s ɑ o̯
sĩ	s eː
luôn	l u o̯ n
lịch	l ɪ t͡ʃ
tâm	t ɑː m
phân	f ɑː n
dịch	d ɪ t͡ʃ
chế	t͡ʃ ɪ
vô	v oː
tăng	t ə n ɡ
ai	ɑ i̯
tuy	t u i̯
ba	b ɑ
quân	k w ɑː n
tra	t r ɑ
bé	b e
chí	t͡ʃ iː
rõ	r ɤ
bán	b ɑː n
vui	v u i̯
trả	t r ə
di	d i
in	i n
chân	t͡ʃ ɑː n
sư	s uː
tây	t ɑː j
ít	iː t
phim	f i m
hôm	h oː m
dễ	d ɔ m
kim	k i m
ty	t y
vi	v i
vũ	v oː
giám	ɡ i ɑː m
mô	m oː
mùa	m u ɑ̯
sân	s ɑː n
trò	t r ɔː
phép	f eː p
du	d u
phá	f ɑː
đa	d͡ʒ ɑ
đô	d͡ʒ oː
mua	m u ɑ̯
nhóm	n h oː m
trai	t r ɑ i̯
so	s o
tân	t ɑː n
lo	l o
cha	t͡ʃ ɑ
hát	h ɑː t
to	t o
tịch	t ɪ t͡ʃ
lê	l eː
phó	f oː
môn	m oː n
tôn	t oː n
giai	ɡ i ɑ i̯
lâm	l ɑː m
vai	v ɑ i̯
vua	v u ɑ̯
bí	b iː
kia	k i ɑ̯
huy	h u i̯
lai	l ɑ i̯
sai	s ɑ i̯
da	d ɑ
kéo	k e o
lá	l ɑː
mai	m ɑ i̯
phú	f uː
la	l ɑ
suy	s u i̯
ma	m ɑ
tuyên	t u j eː n
hôn	h oː n
tim	t i m
trao	t r ɑ o
cũ	t͡ʃ oː
kính	k iː n
quán	k w ɑː n
lao	l ɑ o̯
nuôi	n u o̯ i
tai	t ɑ i̯
ví	v iː
phù	f uː
thịt	θ ɪ t
video	v i d e o
ly	l y
phí	f iː
tu	t u
and	ɑ n d
chăm	t͡ʃ ə m
phê	f eː
đoán	d͡ʒ o ɑː n
kê	k eː
sa	s ɑ
võ	v ɤ
lính	l iː n
đám	d͡ʒ ɑː m
vân	v ɑː n
đón	d͡ʒ oː n
tam	t ɑ m
tá	t ɑː
bom	b o m
ko	k o
of	o f
tù	t uː
giáp	ɡ i ɑː p
no	n o
săn	s ə n
quê	k w eː
tô	t oː
đo	d͡ʒ o
đáp	d͡ʒ ɑː p
sáu	s ɑː u̯
lí	l iː
ga	ɡ ɑ
tri	t r i
bi	b i
bá	b ɑː
ha	h ɑ
on	o n
phán	f ɑː n
top	t o p
trăm	t r ə m
đai	d͡ʒ ɑ i̯
james	j ɑ m e s
loan	l o ɑ̯ n
pha	f ɑ
lui	l u i̯
đe	d͡ʒ e
đua	d͡ʒ u ɑ̯
hô	h oː
hư	h oː
lam	l ɑ m
mi	m i
kịp	k ɪ p
bám	b ɑː m
đĩa	d͡ʒ e ɑ̯
kém	k eː m
ép	e p
dính	d iː n
vé	v eː
trăng	t r ə n ɡ
chín	t͡ʃ iː n
san	s ɑ n
sót	s oː t
is	i s
lô	l oː
non	n o n
van	v ɑ n
ân	ɑː n
cai	t͡ʃ ɑ i̯
hi	h i
ii	iː
chinh	t͡ʃ i n
me	m e
park	p ɑ r k
ho	h o
hán	h ɑː n
singapore	s i ŋ ɡ ɑ p o r e
chán	t͡ʃ ɑː n
luân	l u ɑː n
đan	d͡ʒ ɑ n
chăn	t͡ʃ ə n
kín	k iː n
nô	n oː
tia	t i ɑ̯
for	f o r
tuân	t u ɑː n
paris	p ɑ r i s
gián	ɡ i ɑː n
men	m e n
vây	v ɑː j
kem	k e m
lân	l ɑː n
su	s u
ghé	ɡ eː
na	n ɑ
tv	t eː v eː
ven	v e n
ôn	oː n
it	i t
kí	k iː
paul	p ɑ u̯ l
tóm	t oː m
hot	h o t
hâm	h ɑː m
lee	l eː
virus	v i r u s
all	ɑ lː
im	i m
va	v ɑ
mét	m e t
chôn	t͡ʃ oː n
nai	n ɑ i̯
with	w i θ
mark	m ɑ r k
one	o n e
am	ɑ m
béo	b e o
bê	b eː
dò	d ɔː
li	l i
xi	k s i
mary	m ɑ r i
trân	t r ɑː n
ghét	ɡ eː t
ti	t i
bar	b ɑ r
model	m o d e l
frank	f r ɑ ŋ k
nhĩ	n eː
online	o n l i n e
voi	v o i̯
inch	i n t͡ʃ
phun	f u n
tom	t o m
vu	v u
hân	h ɑː n
martin	m ɑ r t i n
go	ɡ o
kitô	k i t oː
real	r e ɑ̯ l
thomas	t o m ɑ s
tỏa	t ɔː
đếm	d͡ʒ ɪ m
nôn	n oː n
pin	p i n
sam	s ɑ m
sáp	s ɑː p
up	u p
tp	t eː p eː
euro	e u̯ r o
ni	n i
gõ	ɡ ɤ
đoan	d͡ʒ o ɑ̯ n
hò	h oː
khoai	k o ɑ i̯
al	ɑ l
lăn	l ə n
radio	r ɑ d i o
tui	t u i̯
ván	v ɑː n
châm	t͡ʃ ɑː m
jones	j o n e s
nhì	n h iː
run	r u n
sét	s eː t
trùm	t r uː m
kép	k eː p
anna	ɑ nː ɑ
simon	s i m o n
time	t i m e
tôm	t oː m
đôn	d͡ʒ oː n
series	s e r i e̯ s
los	l o s
lùn	l uː n
madrid	m ɑ d r i d
rỉ	r ɔː
son	s o n
sâm	s ɑː m
trump	t r u m p
brazil	b r ɑ z i l
chris	k r i s
don	d o n
si	s i
at	ɑ t
rose	r o s e
vẹn	v ɛ n
đè	d͡ʒ ɛ
ham	h ɑ m
israel	i s r ɑ e l
smith	s m i θ
đê	d͡ʒ eː
green	ɡ r eː n
nhai	n h ɑ i̯
oh	o h
quí	k w iː
vietnam	v i e̯ t n ɑ m
bèn	b ɛ n
bìa	b i ɑ̯
dê	d eː
fan	f ɑ n
from	f r o m
grand	ɡ r ɑ n d
hitler	h i t l e r
land	l ɑ n d
mu	m u
pa	p ɑ
ki	k i
star	s t ɑ r
tăm	t ə m
adam	ɑ d ɑ m
as	ɑ s
ben	b e n
not	n o t
phô	f oː
sun	s u n
white	w i t e
đam	d͡ʒ ɑ m
el	e l
gũi	ɡ o i̯
phím	f iː m
ao	ɑ o̯
cõi	t͡ʃ ɤ i̯
flash	f l ɑ ʃ
két	k eː t
mini	m i n i
out	o u̯ t
mĩ	m e
ngai	ŋ ɡ ɑ i̯
st	s t
he	h e
len	l e n
united	u n i t e d
chip	t͡ʃ i p
ghê	ɡ eː
ok	o k
đao	d͡ʒ ɑ o̯
cd	s eː d eː
rome	r o m e
soi	s o i̯
super	s u p e r
times	t i m e s
data	d ɑ t ɑ
dna	d n ɑ
feet	f eː t
norman	n o r m ɑ n
sir	s i r
trù	t r uː
boston	b o s t o n
bính	b iː n
free	f r eː
kevin	k e v i n
kon	k o n
ri	r i
trán	t r ɑː n
xii	k s iː
line	l i n e
lén	l eː n
pp	p eː p eː
us	u s
ford	f o r d
grant	ɡ r ɑ n t
his	h i s
iso	i s o
live	l i v e
mao	m ɑ o̯
post	p o s t
đun	d͡ʒ u n
alan	ɑ l ɑ n
nhôm	n h oː m
set	s e t
eu	e u̯
loa	l o ɑ̯
santa	s ɑ n t ɑ
studio	s t u d i o
bank	b ɑ ŋ k
florida	f l o r i d ɑ
nhát	n h ɑː t
davis	d ɑ v i s
lucas	l u t͡s ɑ s
soo	s oː
toa	t o ɑ̯
body	b o d i
if	i f
mix	m i k s
robin	r o b i n
ion	i o n
mobile	m o b i l e
moi	m o i̯
or	o r
roi	r o i̯
ron	r o n
royal	r o j ɑ l
ráp	r ɑː p
un	u n
hiv	h i v
id	i d
miami	m i ɑ̯ m i
rô	r oː
se	s e
sô	s oː
tum	t u m
ve	v e
jason	j ɑ s o n
java	j ɑ v ɑ
min	m i n
nan	n ɑ n
photo	f o t o
pop	p o p
sáo	s ɑː o
vali	v ɑ l i
phil	f i l
china	t͡ʃ i n ɑ
gi	ɡ i
iraq	i r ɑ k
keo	k e o
rán	r ɑː n
site	s i t e
kali	k ɑ l i
ken	k e n
river	r i v e r
asia	ɑ s i ɑ̯
bén	b e n
hăng	h ə n ɡ
logo	l o ɡ o
rio	r i o
găng	ɡ ə n ɡ
just	j u s t
po	p o
see	s eː
tivi	t i v i
bus	b u s
gom	ɡ o m
intel	i n t e l
ios	i o s
marcus	m ɑ r t͡s u s
oliver	o l i v e r
open	o p e n
type	t y p e
giun	ɡ i u̯ n
há	h ɑː
jo	j o
lon	l o n
maya	m ɑ j ɑ
rò	r ɔː
tua	t u ɑ̯
tuỳ	t u ə̯
văng	v ə n ɡ
best	b e s t
bit	b i t
fifa	f i f ɑ
ali	ɑ l i
diego	d i e̯ ɡ o
justin	j u s t i n
nasa	n ɑ s ɑ
nokia	n o k i ɑ̯
von	v o n
amin	ɑ m i n
gu	ɡ u
hee	h eː
kíp	k iː p
obama	o b ɑ m ɑ
ram	r ɑ m
tỳ	t ə
virginia	v i r ɡ i n i ɑ
beta	b e t ɑ
metro	m e t r o
trá	t r ɑː
usa	u s ɑ
dave	d ɑ v e
gary	ɡ ɑ r i
gieo	ɡ i e̯ o
her	h e r
julia	j u l i ɑ̯
nhô	n h oː
oan	o ɑ̯ n
order	o r d e r
won	w o n
đán	d͡ʒ ɑː n
but	b u t
chót	t͡ʃ oː t
guy	ɡ u i̯
jose	j o s e
nhá	n h ɑː
trâm	t r ɑː m
yuri	j u r i
đu	d͡ʒ u
băn	b ə n
hp	h oː p eː
ivan	i v ɑ n
jon	j o n
lu	l u
batman	b ɑ t m ɑ n
hal	h ɑ l
karl	k ɑ r l
noel	n o e l
street	s t r eː t
boris	b o r i s
fort	f o r t
ip	i p
juventus	j u v e n t u s
latin	l ɑ t i n
léo	l e o
santiago	s ɑ n t i ɑ ɡ o
suzuki	s u z u k i
system	s y s t e m
ten	t e n
bbc	b eː b eː s eː
bin	b i n
chạp	t͡ʃ ɑː p
global	ɡ l o b ɑ l
god	ɡ o d
lisa	l i s ɑ
note	n o t e
ana	ɑ n ɑ
hé	h eː
isaac	i s ɑː t͡s
liga	l i ɡ ɑ
mỳ	m ə
năn	n ə n
vá	v ɑː
bu	b u
christina	k r i s t i n ɑ
dubai	d u b ɑ i̯
gas	ɡ ɑ s
gót	ɡ oː t
has	h ɑ s
joon	j oː n
juan	j u ɑ̯ n
lăm	l ə m
plus	p l u s
rìa	r i ɑ̯
te	t e
vegas	v e ɡ ɑ s
vest	v e s t
địt	d͡ʒ ɪ t
liu	l i u̯
nano	n ɑ n o
network	n e t w o r k
ninja	n i n j ɑ
đăk	d͡ʒ ə k
abu	ɑ b u
barnes	b ɑ r n e s
bon	b o n
