de	d e
va	v a
despre	d e s p r e
era	e r a
cel	t͡ʃ e l
trebuie	t r e b u j e
ani	a nʲ
dintre	d i n t r e
într	ɨ n t r
pot	p o t
nici	n i t͡ʃʲ
unde	u n d e
fără	f ə r ə
anul	a n u
îi	ɨ j
asta	a s t a
făcut	f ə k u t
astfel	a s t f e l
lucru	l u k r u
ceva	t͡ʃ e v a
numele	n u m e l e
partea	p a r t e̯ a
perioada	p e r i o̯ a d a
câteva	k ɨ t e v a
aproape	a p r o̯ a p e
cadrul	k a d r u
asupra	a s u p r a
există	e ɡ z i s t ə
locul	l o k u
avem	a v e m
mari	m a rʲ
mea	m e̯ a
voi	v o j
aceste	a t͡ʃ e s t e
zile	z i l e
îți	ɨ t͡sʲ
bună	b u n ə
ales	a l e s
deja	d e ʒ a
drept	d r e p t
ajuns	a ʒ u n s
oamenii	o̯ a m e n i j
vom	v o m
data	d a t a
mod	m o d
deși	d e ʃʲ
casa	k a s a
celor	t͡ʃ e l o r
dumnezeu	d u m n e z e w
erau	e r a w
facă	f a k ə
suntem	s u n t e m
împotriva	ɨ m p o t r i v a
aceea	a t͡ʃ e e̯ a
fapt	f a p t
unele	u n e l e
bune	b u n e
putem	p u t e m
află	a f l ə
anului	a n u l u j
daca	d a k a
persoane	p e r s o̯ a n e
special	s p e t͡ʃ i a l
vorba	v o r b a
arată	a r a t ə
fața	f a t͡s a
ore	o r e
familia	f a m i l i a
zona	z o n a
înseamnă	ɨ n s e̯ a m n ə
exemplu	e ɡ z e m p l u
primit	p r i m i t
deci	d e t͡ʃʲ
diferite	d i f e r i t e
puteți	p u t e t͡sʲ
națională	n a t͡s i o n a l ə
scris	s k r i s
sus	s u s
the	t e
vei	v e j
centrul	t͡ʃ e n t r u
probleme	p r o b l e m e
pus	p u s
văzut	v ə z u t
adică	a d i k ə
ați	a t͡sʲ
cazul	k a z u
date	d a t e
ești	e ʃ tʲ
reprezintă	r e p r e z i n t ə
caz	k a z
dintr	d i n t r
important	i m p o r t a n t
john	ʒ o h n
minute	m i n u t e
perioadă	p e r i o̯ a d ə
simplu	s i m p l u
fiul	f j u
naționale	n a t͡s i o n a l e
județul	ʒ u d e t͡s u
mici	m i t͡ʃʲ
destul	d e s t u
devenit	d e v e n i t
echipa	e k i p a
inclusiv	i n k l u s i v
ultima	u l t i m a
acestei	a t͡ʃ e s t e j
aproximativ	a p r o k s i m a t i v
faci	f a t͡ʃʲ
funcție	f u n k t͡s i e
mihai	m i h a j
murit	m u r i t
tatăl	t a t ə l
biserica	b i s e r i k a
jurul	ʒ u r u
vreme	v r e m e
lucrurile	l u k r u r i l e
mereu	m e r e w
primele	p r i m e l e
țară	t͡s a r ə
activitatea	a k t i v i t a t e̯ a
dă	d ə
familie	f a m i l i e
statului	s t a t u l u j
țara	t͡s a r a
cam	k a m
facem	f a t͡ʃ e m
oficial	o f i t͡ʃ i a l
politică	p o l i t i k ə
privind	p r i v i n d
veți	v e t͡sʲ
cand	k a n d
formă	f o r m ə
mică	m i k ə
sistemul	s i s t e m u
zis	z i s
aveți	a v e t͡sʲ
casă	k a s ə
dupa	d u p a
publicat	p u b l i k a t
putut	p u t u t
reușit	r e u ʃ i t
vin	v i n
acestui	a t͡ʃ e s t u j
acord	a k o r d
aflat	a f l a t
ion	j o n
realizat	r e a l i z a t
tocmai	t o k m a j
țării	t͡s ə r i j
guvernul	ɡ u v e r n u
lea	l e̯ a
printr	p r i n t r
române	r o m ɨ n e
serie	s e r i e
siguranță	s i ɡ u r a n t͡s ə
succes	s u k t͡ʃ e s
fata	f a t a
folosit	f o l o s i t
istoria	i s t o r i a
majoritatea	m a ʒ o r i t a t e̯ a
mama	m a m a
place	p l a t͡ʃ e
sua	s u a
altfel	a l t f e l
femeie	f e m e j e
măcar	m ə k a r
dus	d u s
fii	f i j
orașului	o r a ʃ u l u j
problema	p r o b l e m a
începutul	ɨ n t͡ʃ e p u t u
compania	k o m p a n i a
declarat	d e k l a r a t
genul	d͡ʒ e n u
gheorghe	ɡ e̯ o r ɡ e
intrat	i n t r a t
președintele	p r e ʃ e d i n t e l e
seama	s e̯ a m a
video	v i d e̯ o
vrei	v r e j
adus	a d u s
asa	a s a
banii	b a n i j
drumul	d r u m u
forma	f o r m a
grup	ɡ r u p
mondial	m o n d i a l
respectiv	r e s p e k t i v
tale	t a l e
tuturor	t u t u r o r
istorie	i s t o r i e
orașul	o r a ʃ u
președinte	p r e ʃ e d i n t e
