to	t ɔ
ale	a ʎ e
tak	t a k
už	u ʃ
sú	s uː
nie	ɲ ɪ̯ e
aby	a b i
ktoré	k t ɔ r eː
ktorá	k t ɔ r aː
až	a ʃ
však	f ʃ a k
tu	t u
pred	p r e t
môže	m u̯ ɔ ʒ e
no	n ɔ
tým	t iː m
pozri	p ɔ z r i
tom	t ɔ m
potom	p ɔ t ɔ m
všetko	f ʃ e t k ɔ
tomu	t ɔ m u
všetky	f ʃ e t k i
vždy	v ʒ d i
toto	t ɔ t ɔ
svoje	s v ɔ j e
asi	a s i
ktorú	k t ɔ r uː
spolu	s p ɔ l u
ktorej	k t ɔ r e j
tie	c ɪ̯ e
oblasti	ɔ b l a s c i
svoju	s v ɔ j u
iné	i n eː
slovenskej	s l ɔ v e n s k e j
slovensku	s l ɔ v e n s k u
ktorých	k t ɔ r iː x
môžete	m u̯ ɔ ʒ e c e
všetkých	f ʃ e t k iː x
úplne	uː p l̩ ɲ e
ktorí	k t ɔ r iː
musí	m u s iː
tieto	c ɪ̯ e t ɔ
svojej	s v ɔ j e j
mesta	m e s t a
pár	p aː r
často	t͡ʃ a s t ɔ
ktorého	k t ɔ r eː ɦ ɔ
nachádza	n a x aː d͡z a
túto	t uː t ɔ
ďalej	ɟ a ʎ e j
ku	k u
tohto	t ɔ x t ɔ
tomto	t ɔ m t ɔ
ďalšie	ɟ a l ʃ ɪ̯ e
naše	n a ʃ e
samozrejme	s a m ɔ z r e j m e
spoločnosti	s p ɔ l ɔ t͡ʃ n ɔ s c i
svojho	s v ɔ j ɦ ɔ
táto	t aː t ɔ
veci	v e t͡s i
tých	t iː x
ktorom	k t ɔ r ɔ m
mohli	m ɔ ɦ ʎ i
napr	n a p r̩
súčasťou	s uː t͡ʃ a s c ɔ v
aspoň	a s p ɔ ɲ
než	ɲ e ʃ
nikdy	ɲ i ɡ d i
vôbec	v u̯ ɔ b e t͡s
čase	t͡ʃ a s e
systém	s i s t eː m
lepšie	ʎ e p ʃ ɪ̯ e
republiky	r e p u b ʎ i k i
týchto	t iː x t ɔ
hlavne	ɦ l a v ɲ e
mieste	m ɪ̯ e s c e
svojich	s v ɔ j i x
niekedy	ɲ ɪ̯ e k e d i
tá	t aː
zároveň	z aː r ɔ v e ɲ
hneď	ɦ ɲ e c
niektoré	ɲ ɪ̯ e k t ɔ r eː
rámci	r aː m t͡s i
sr	s r̩
stránke	s t r aː n k e
života	ʒ i v ɔ t a
možné	m ɔ ʒ n eː
môžeme	m u̯ ɔ ʒ e m e
ďalších	ɟ a l ʃ iː x
takto	t a k t ɔ
celkom	t͡s e l k ɔ m
km	k m̩
môžu	m u̯ ɔ ʒ u
pokiaľ	p ɔ k ɪ̯ a ʎ
povedal	p ɔ v e d a l
rýchlo	r iː x l ɔ
the	d ɦ e
školy	ʃ k ɔ l i
neviem	ɲ e v ɪ̯ e m
presne	p r e s ɲ e
dostal	d ɔ s t a l
keby	k e b i
nebude	ɲ e b u ɟ e
také	t a k eː
veľké	v e ʎ k eː
inak	i n a k
najlepšie	n a j ʎ e p ʃ ɪ̯ e
obce	ɔ p t͡s e
trochu	t r ɔ x u
ceny	t͡s e n i
obsahuje	ɔ p s a ɦ u j e
pomocou	p ɔ m ɔ t͡s ɔ v
predovšetkým	p r e d ɔ v ʃ e t k iː m
prípade	p r iː p a ɟ e
rada	r a d a
rôznych	r u̯ ɔ z n i x
začiatku	z a t͡ʃ ɪ̯ a t k u
dokonca	d ɔ k ɔ n t͡s a
niektorých	ɲ ɪ̯ e k t ɔ r iː x
žiadne	ʒ ɪ̯ a d ɲ e
prvé	p r̩ v eː
strane	s t r a ɲ e
aké	a k eː
hry	ɦ r i
pocit	p ɔ t͡s i t
problémy	p r ɔ b l eː m i
sám	s aː m
základe	z aː k l a ɟ e
dá	d aː
hodín	ɦ ɔ ɟ iː n
minút	m i n uː t
skupiny	s k u p i n i
množstvo	m n ɔ ʃ s t v ɔ
myslím	m i s ʎ iː m
následne	n aː s ʎ e d ɲ e
správne	s p r aː v ɲ e
ti	c i
mohol	m ɔ ɦ ɔ l
moje	m ɔ j e
priamo	p r ɪ̯ a m ɔ
výsledky	v iː s ʎ e t k i
john	j ɔ ɦ n
postupne	p ɔ s t u p ɲ e
vlastne	v l a s t ɲ e
meste	m e s c e
nakoniec	n a k ɔ ɲ ɪ̯ e t͡s
sebou	s e b ɔ v
dlho	d l̩ ɦ ɔ
jednoducho	j e d n ɔ d u x ɔ
príliš	p r iː ʎ i ʃ
rôzne	r u̯ ɔ z ɲ e
