bil	b íː l
kar	k àː r
ga	ɡ áː
bila	b ìː l a
leta	l èː t a
tem	t ɛ́ː m
ter	t ɛ́ː r
saj	s áː j
jo	j óː
bilo	b ìː l ɔ
ima	ìː m a
naj	n áː j
vam	ʋ áː m
nas	n áː s
te	t ɛ́
mu	m úː
bili	b ìː l i
gre	ɡ r èː
slovenije	s l ɔ ʋ èː n i j ɛ
času	t͡ʃ áː s u
proti	p r òː t i
strani	s t r àː n i
časa	t͡ʃ áː s a
sloveniji	s l ɔ ʋ èː n i j i
ljudi	l j ùː d i
ljudje	l j ùː d j ɛ
torej	t ɔ r ɛ́ː j
druge	d r ùː ɡ ɛ
poleg	p ɔ l éː k
letih	l èː t i x
mora	m óː r a
res	r éː s
pomeni	p ɔ m èː n i
treba	t r èː b a
vsak	ʋ s àː k
drugih	d r ùː ɡ i x
eno	ɛ̀ː n ɔ
imajo	i m áː j ɔ
katerih	k a t ɛ̀ː r i x
občine	ɔ p t͡ʃ ìː n ɛ
glede	ɡ l èː d ɛ
vseh	ʋ s éː x
št	ʃ t
letu	l èː t u
skozi	s k òː z i
glej	ɡ l ɛ́ː j
pravi	p r àː ʋ i
dveh	d ʋ éː x
različnih	r a z l ìː t͡ʃ n i x
svetu	s ʋ èː t u
ljubljani	l j u b l j àː n i
katerem	k a t ɛ̀ː r ə m
uporablja	u p ɔ r àː b l j a
imeli	i m èː l i
kljub	k l j úː p
prej	p r ɛ́ː j
tej	t ɛ́ː j
vaše	ʋ àː ʃ ɛ
vsem	ʋ s éː m
koncu	k óː n t͡s u
način	n a t͡ʃ íː n
okoli	ɔ k òː l i
niti	n ìː t i
poti	p òː t i
imamo	i m àː m ɔ
bile	b ìː l ɛ
ji	j ìː
oz	ɔ́ s
čez	t͡ʃ éː s
drugo	d r ùː ɡ ɔ
skupine	s k u p ìː n ɛ
začetku	z a t͡ʃ éː t k u
slovenskih	s l ɔ ʋ èː n s k i x
toliko	t ɔ l ìː k ɔ
manj	m áː n
enega	ɛ n éː ɡ a
imela	i m éː l a
najprej	n á j p r ɛ́ː j
stvari	s t ʋ àː r i
umrl	u m ə́ r l
slovenske	s l ɔ ʋ éː n s k ɛ
večina	ʋ ɛ t͡ʃ ìː n a
občina	ɔ p t͡ʃ ìː n a
temu	t ɛ̀ː m u
obliki	ɔ b l ìː k i
dobil	d ɔ b íː l
kasneje	k a s n ɛ́ː j ɛ
prvič	p ə́ r ʋ i t͡ʃ
svoji	s ʋ òː j i
dr	d ə́ r
john	j óː x n
leti	l èː t i
obdobju	ɔ b d óː b j u
močno	m óː t͡ʃ n ɔ
področju	p ɔ d r óː t͡ʃ j u
vode	ʋ òː d ɛ
dolgo	d ɔ̀ː ʋ ɡ ɔ
nekaterih	n ɛ k a t ɛ̀ː r i x
obstaja	ɔ p s t áː j a
težave	t ɛ ʒ àː ʋ ɛ
drugače	d r u ɡ àː t͡ʃ ɛ
ponovno	p ɔ n ɔ́ː ʋ n ɔ
njimi	n j ìː m i
občini	ɔ p t͡ʃ ìː n i
prve	p ə́ r ʋ ɛ
naša	n áː ʃ a
predstavlja	p r ɛ t s t áː ʋ l j a
sama	s àː m a
uporabljajo	u p ɔ r a b l j áː j ɔ
vsebuje	ʋ s ɛ b ùː j ɛ
začel	z àː t͡ʃ ə ʋ
člani	t͡ʃ l àː n i
ženske	ʒ èː n s k ɛ
pride	p r ìː d ɛ
druga	d r ùː ɡ a
meni	m èː n i
otroka	ɔ t r óː k a
začela	z a t͡ʃ éː l a
živi	ʒ ìː ʋ i
nima	n ìː m a
različne	r a z l ìː t͡ʃ n ɛ
zlasti	z l àː s t i
številne	ʃ t ɛ ʋ íː l n ɛ
jasno	j àː s n ɔ
morali	m ɔ r àː l i
pomočjo	p ɔ m óː t͡ʃ j ɔ
uporabo	u p ɔ r àː b ɔ
želite	ʒ ɛ l ìː t ɛ
držav	d ə́ r ʒ a ʋ
evropi	ɛ ʋ r òː p i
običajno	ɔ b i t͡ʃ áː j n ɔ
odlično	ɔ d l ìː t͡ʃ n ɔ
moramo	m ɔ r àː m ɔ
obdobje	ɔ b d óː b j ɛ
postal	p ɔ s t áː l
potrebno	p ɔ t r èː b n ɔ
sebi	s èː b i
junija	j ùː n i j a
zadnjih	z áː d n j i x
želi	ʒ èː l i
julija	j ùː l i j a
območju	ɔ b m óː t͡ʃ j u
otroke	ɔ t r óː k ɛ
vodi	ʋ òː d i
oseb	ɔ s éː p
enako	ɛ n àː k ɔ
članov	t͡ʃ l àː n ɔ ʋ
živali	ʒ i ʋ àː l i
glavni	ɡ l áː ʋ n i
knjige	k n j ìː ɡ ɛ
nahaja	n a x áː j a
očitno	ɔ t͡ʃ íː t n ɔ
tiste	t ìː s t ɛ
vsa	ʋ s áː
našli	n áː ʃ l i
podobno	p ɔ d óː b n ɔ
radi	r àː d i
zveze	z ʋ èː z ɛ
center	t͡s èː n t ə r
denarja	d ɛ n áː r j a
naši	n áː ʃ i
konca	k óː n t͡s a
vključno	ʋ k l j ùː t͡ʃ n ɔ
avgusta	a ʋ ɡ úː s t a
dobili	d ɔ b ìː l i
njeno	n j èː n ɔ
problem	p r ɔ b l éː m
slovenska	s l ɔ ʋ éː n s k a
svojim	s ʋ ɔ j ìː m
tisto	t ìː s t ɔ
čim	t͡ʃ íː m
deluje	d ɛ l ùː j ɛ
dobila	d ɔ b ìː l a
državah	d ə r ʒ áː ʋ a x
km	k ə́ m
občutek	ɔ p t͡ʃ úː t ə k
okrog	ɔ k r óː k
prvih	p ə́ r ʋ i x
sami	s àː m i
slovenskem	s l ɔ ʋ èː n s k ɛ m
društvo	d r úː ʃ t ʋ ɔ
območje	ɔ b m óː t͡ʃ j ɛ
organizacije	ɔ r ɡ a n i z àː t͡s i j ɛ
povedal	p ɔ ʋ ɛ d áː l
skupnosti	s k ùː p n ɔ s t i
igre	ìː ɡ r ɛ
možnosti	m óː ʒ n ɔ s t i
območja	ɔ b m óː t͡ʃ j a
ostal	ɔ s t áː l
oči	òː t͡ʃ i
prišel	p r ìː ʃ ə ʋ
splošno	s p l óː ʃ n ɔ
večino	ʋ ɛ t͡ʃ ìː n ɔ
številnih	ʃ t ɛ ʋ íː l n i x
aprila	a p r ìː l a
film	f íː l m
podatki	p ɔ d áː t k i
pomaga	p ɔ m áː ɡ a
prišlo	p r ìː ʃ l ɔ
sledi	s l èː d i
dal	d áː l
hiše	x ìː ʃ ɛ
moral	m ɔ r áː l
uporabi	u p ɔ r àː b i
vlade	ʋ l àː d ɛ
zgodi	z ɡ òː d i
meri	m èː r i
milijonov	m i l i j óː n ɔ ʋ
minut	m i n úː t
morate	m ɔ r àː t ɛ
posledica	p ɔ s l ɛ d ìː t͡s a
svetovni	s ʋ ɛ t ɔ́ː ʋ n i
visoko	ʋ i s óː k ɔ
decembra	d ɛ t͡s éː m b r a
državni	d ə r ʒ áː ʋ n i
končal	k ɔ n t͡ʃ áː l
pozneje	p ɔ z n ɛ́ː j ɛ
smeri	s m èː r i
barve	b àː r ʋ ɛ
društva	d r úː ʃ t ʋ a
njo	n j óː
oblike	ɔ b l ìː k ɛ
prvem	p ə́ r ʋ ɛ m
resnično	r ɛ s n ìː t͡ʃ n ɔ
sina	s ìː n a
skupini	s k u p ìː n i
spletna	s p l éː t n a
stari	s t àː r i
dobre	d ɔ̀ː b r ɛ
nami	n àː m i
njena	n j èː n a
omogoča	ɔ m ɔ ɡ óː t͡ʃ a
pesmi	p èː s m i
področja	p ɔ d r óː t͡ʃ j a
postala	p ɔ s t áː l a
prvega	p ə r ʋ èː ɡ a
tretji	t r èː t j i
zadnje	z áː d n j ɛ
zgodilo	z ɡ ɔ d ìː l ɔ
števila	ʃ t ɛ ʋ ìː l a
dobra	d ɔ̀ː b r a
nagrado	n a ɡ r àː d ɔ
ostali	ɔ s t àː l i
postane	p ɔ s t àː n ɛ
raje	r àː j ɛ
vso	ʋ s óː
številka	ʃ t ɛ ʋ íː l k a
david	d a ʋ íː t
družino	d r u ʒ ìː n ɔ
edini	ɛ d ìː n i
jezika	j èː z i k a
njihove	n j ìː x ɔ ʋ ɛ
okviru	ɔ k ʋ ìː r u
razlog	r a z l óː k
zgodbo	z ɡ óː d b ɔ
enostavno	ɛ n ɔ s t áː ʋ n ɔ
ju	j ùː
njega	n j èː ɡ a
projekt	p r ɔ j éː k t
raziskave	r a z i s k áː ʋ ɛ
skupino	s k u p ìː n ɔ
uporabe	u p ɔ r àː b ɛ
delovanja	d ɛ l ɔ ʋ áː n j a
george	ɡ ɛ óː r ɡ ɛ
katerimi	k a t ɛ r ìː m i
marca	m áː r t͡s a
ostale	ɔ s t àː l ɛ
podatkov	p ɔ d áː t k ɔ ʋ
super	s ùː p ə r
vašega	ʋ a ʃ éː ɡ a
zgodovino	z ɡ ɔ d ɔ ʋ ìː n ɔ
šlo	ʃ l óː
številko	ʃ t ɛ ʋ íː l k ɔ
bližini	b l i ʒ ìː n i
de	d ɛ́
dejavnosti	d ɛ j àː ʋ n ɔ s t i
dvema	d ʋ èː m a
evropske	ɛ ʋ r óː p s k ɛ
hrano	x r àː n ɔ
imena	i m éː n a
kakšna	k áː k ʃ n a
nekoč	n ɛ k óː t͡ʃ
pravice	p r a ʋ ìː t͡s ɛ
pregled	p r ɛ ɡ l éː t
prihaja	p r i x áː j a
slike	s l ìː k ɛ
svetovne	s ʋ ɛ t ɔ́ː ʋ n ɛ
univerze	u n i ʋ éː r z ɛ
uradno	u r áː d n ɔ
cm	t͡s ə́ m
delal	d ɛ l áː l
evropskih	ɛ ʋ r óː p s k i x
igral	i ɡ r áː l
malce	m áː l t͡s ɛ
