muy	m u ʝ
the	t e
video	b i d e o
web	we b
asi	a s i
colombia	k o l o m b ʝ a
of	o f
ah	a
dia	d ʝ a
ex	e k s
in	i n
facebook	f a θ e b o o k
pp	p e p e
tambien	t a m b ʝ e n
aqui	a k i
ii	i i
re	r e
and	a n d
york	ʝ o ɾ k
to	t o
despues	d e s p we s
tv	t b e
john	x o n
garcía	g a ɾ θ i a
lópez	l o p e θ
google	g o o g l e
dias	d ʝ a s
estan	e s t a n
videos	b i d e o s
mexicano	m e k s i k a n o
online	o n l i n e
super	s u p e ɾ
blog	b l o g
habia	a b ʝ a
jajaja	x a x a x a
uruguay	u ɾ u g wa ʝ
ok	o k
sánchez	s a ɲ t͡ʃ e θ
pa	p a
iii	i i i
jaja	x a x a
mexicana	m e k s i k a n a
rodríguez	r o d ɾ i g e θ
gonzález	g o n θ a l e θ
bolivia	b o l i b ʝ a
for	f o ɾ
on	o n
sevilla	s e b i ʎ a
alberto	a l b e ɾ t o
felipe	f e l i p e
carajo	k a ɾ a x o
gay	g a ʝ
michael	m i t͡ʃ a e l
pérez	p e ɾ e θ
ahi	ai
daniel	d a n ʝ e l
fernández	f e ɾ n a n d e θ
tenes	t e n e s
dale	d a l e
mexicanos	m e k s i k a n o s
sub	s u b
guatemala	g wa t e m a l a
art	a ɾ t
cataluña	k a t a l u ɲ a
paul	p au l
israel	i s r a e l
iv	i b
martínez	m a ɾ t i n e θ
co	k o
us	u s
bogotá	b o g o t a
et	e t
joder	x o d e ɾ
anti	a n t i
díaz	d i a θ
george	x e o ɾ x e
trump	t ɾ u m p
ed	e d
harry	a r i
man	m a n
martin	m a ɾ t i n
is	i s
algun	a l g u n
ja	x a
peter	p e t e ɾ
gómez	g o m e θ
pais	p ai s
grecia	g ɾ e θ ʝ a
súper	s u p e ɾ
am	a m
it	i t
lucas	l u k a s
andalucía	a n d a l u θ i a
chávez	t͡ʃ a b e θ
dime	d i m e
ma	m a
maria	m a ɾ ʝ a
top	t o p
an	a n
my	m i
pc	p k
rio	r ʝ o
robert	r o b e ɾ t
ue	we
razon	r a θ o n
ben	b e n
one	o n e
oscar	o s k a ɾ
per	p e ɾ
psoe	p s o e
aca	a k a
hugo	u g o
link	l i n k
mendoza	m e n d o θ a
river	r i b e ɾ
macri	m a k ɾ i
mexico	m e k s i k o
cc	k k
ee	e e
egipto	e x i p t o
hernández	e ɾ n a n d e θ
dame	d a m e
demas	d e m a s
porno	p o ɾ n o
pre	p ɾ e
xix	k s i k s
fué	f we
richard	r i t͡ʃ a ɾ d
ud	u d
go	g o
instagram	i n s t a g ɾ a m
miami	m ʝ a m i
obama	o b a m a
world	wo ɾ l d
jajajaja	x a x a x a x a
latinoamérica	l a t i n o a m e ɾ i k a
up	u p
alex	a l e k s
jean	x e a n
uu	wu
fans	f a n s
mark	m a ɾ k
max	m a k s
