finns	f ɪ n s
gör	j øː r
säger	s 'ɛː ɡ ɛ r
behöver	b ɛ h 'øː v ɛ r
nya	²n 'yː a
vilket	²v 'ɪ l k ɛ t
står	s t oː r
saker	s 'ɑː k ɛ r
tiden	²t 'iː d ɛ n
våra	²v 'oː r a
stora	²s t 'uː r a
kvinnor	²k v 'ɪ n ʊ r
tidigare	²t 'iː d ɪ ɡ a r ɛ
svårt	s v oː t
låter	l 'oː t ɛ r
vilka	²v 'ɪ l k a
världen	²v 'ɛː d ɛ n
försöker	f œ ɕ 'øː k ɛ r
vissa	²v 'ɪ s a
senare	²s 'eː n a r ɛ
största	²s t 'œ ɕ t a
dagar	²d 'ɑː ɡ a r
gamla	²ɡ 'a m l a
senaste	²s 'eː n a s t ɛ
enkelt	²'ɛ ŋ k ɛ l t
timmar	²t 'ɪ m a r
tänk	t ɛ ŋ k
betyder	b ɛ t 'yː d ɛ r
viktigt	²v 'ɪ k t ɪ k t
använder	²'a n v ɛ n d ɛ r
minuter	m ɪ n 'ʉː t ɛ r
frågor	²f r 'oː ɡ ʊ r
vägen	²v 'ɛː ɡ ɛ n
möjligt	²m 'œ j l ɪ k t
otroligt	²'uː t r uː l ɪ k t
snabbt	s n a b t
vanligt	²v 'ɑː n l ɪ k t
bilden	²b 'ɪ l d ɛ n
veckor	²v 'ɛ k ʊ r
bryr	b r yː r
fina	²f 'iː n a
klockan	²k l 'ɔ k a n
används	²'a n v ɛ n d s
äter	'ɛː t ɛ r
barnen	²b 'ɑː n ɛ n
hänt	h ɛ n t
goda	²ɡ 'uː d a
speciellt	s p ɛ s ɪ 'ɛ l t
hände	²h 'ɛ n d ɛ
fullt	f ɵ l t
övrigt	²'øː v r ɪ k t
filmen	²f 'ɪ l m ɛ n
uppsala	²'ɵ p s ɑː l a
samhället	²s 'a m h ɛ l ɛ t
tillräckligt	²t 'ɪ l r ɛ k l ɪ k t
kräver	k r 'ɛː v ɛ r
värt	v a t
lägg	l ɛ ɡ
trevligt	²t r 'eː v l ɪ k t
iaf	ɪ 'ɑː f
framtiden	²f r 'a m t iː d ɛ n
vanliga	²v 'ɑː n l ɪ ɡ a
natten	²n 'a t ɛ n
öppet	²'œ p ɛ t
vuxna	²v 'ɵ k s n a
kommentarer	k ɔ m ɛ n t 'ɑː r ɛ r
läste	²l 'ɛ s t ɛ
sociala	²s ʊ s ɪ 'ɑː l a
tyskland	²t 'ʏ s k l a n d
litet	l ɪ t 'eː t
medlemmar	²m 'eː d l ɛ m a r
riktiga	²r 'ɪ k t ɪ ɡ a
såna	²s 'oː n a
ögon	²'øː ɡ ɔ n
dåliga	²d 'oː l ɪ ɡ a
rakt	r a k t
tråkigt	²t r 'oː k ɪ k t
glöm	ɡ l œ m
