in	i n
உலக	ʊ l ɐ ɡ ɐ
tamil	t a m i l
to	t oː
and	a n d
on	ɔ n
by	b iː
is	i s
பட	p ɐ ɖ ɐ
மத	m ɐ d̪ ɐ
இலவச	ɪ l ɐ ʋ ɐ t͡ɕ ɐ
கழக	k ɐ ɻ ɐ ɡ ɐ
நகர	n̪ ɐ ɡ ɐ ɾ ɐ
at	a t
அவசர	ɐ ʋ ɐ t͡ɕ ɐ ɾ ɐ
மரண	m ɐ ɾ ɐ ɳ ɐ
it	i t
இதர	ɪ d̪ ɐ ɾ ɐ
உணர	ʊ ɳ ɐ ɾ ɐ
sex	s ɛ k s
அட	ɐ ɖ ɐ
ஊடக	uː ɖ ɐ ɡ ɐ
இட	ɪ ɖ ɐ
all	a l
இதய	ɪ d̪ ɐ j ɐ
சமய	t͡ɕ ɐ m ɐ j ɐ
or	o r
தல	t̪ ɐ l ɐ
am	a m
your	j uː r
oneindia	o n e i n d i a
சம	t͡ɕ ɐ m ɐ
as	a s
ae	a e
tv	t eː v eː
first	f i r s t
வளர	ʋ ɐ ɭ ɐ ɾ ɐ
like	l a j k
up	u p
ஓட	oː ɖ ɐ
கன	k ɐ n ɐ
la	l a
அத	ɐ d̪ ɐ
an	a n
story	s t ɔ r i
tamilnadu	t a m i l n a d u
day	d a j
project	p r o d͡ʒ ɛ k t
ஈழ	iː ɻ ɐ
will	w i l
lanka	l a n k a
title	t i t l e
நல	n̪ ɐ l ɐ
film	f i l m
ஆலய	ɑː l ɐ j ɐ
உதவ	ʊ d̪ ɐ ʋ ɐ
dr	d eː ɛ r
if	i f
நடன	n̪ ɐ ɖ ɐ n ɐ
பயண	p ɐ j ɐ ɳ ɐ
who	h oː
may	m a j
off	ɔ f
இத	ɪ d̪ ɐ
vijay	v i d͡ʒ a j
வன	ʋ ɐ n ɐ
part	p a r t
உப	ʊ b ɐ
do	d oː
full	f u l
me	m e
உயர	ʊ j ɐ ɾ ɐ
great	ɡ r e aː t
ஆட	ɑː ɖ ɐ
கள	k ɐ ɭ ɐ
free	f r eː
id	i d
தள	t̪ ɐ ɭ ɐ
actress	a k t r ɛ s
jaffna	d͡ʒ a f n a
list	l i s t
our	uː r
out	a u̯ t
மர	m ɐ ɾ ɐ
af	a f
black	b l a k
அமர	ɐ m ɐ ɾ ɐ
அழ	ɐ ɻ ɐ
march	m a r t͡ʃ
years	j ɛ r s
book	b uː k
watch	w a t͡ʃ
actor	a k t o r
award	a w a r d
nadu	n a d u
so	s oː
vikatan	v i k a t a n
ஊரக	uː ɾ ɐ ɡ ɐ
work	w ɔ r k
சமண	t͡ɕ ɐ m ɐ ɳ ɐ
வள	ʋ ɐ ɭ ɐ
april	a p r i l
august	a u̯ ɡ u s t
dmk	d eː ɛ m k a
family	f a m i l i
hindu	h i n d u
sun	s u n
top	t o p
