de	d e
çok	t͡ʃ o k
büyük	b y j y c
zaman	z a m a n
mi	m i
ise	i s e
oldu	o ɫ d u
önce	ø n d͡ʒ e
artık	a ɾ t ɯ k
bana	b a n a
tarafından	t a ɾ a f ɯ n d a n
veya	v e j aː
olduğunu	o ɫ d u u n u
diye	d i j e
olur	o ɫ u ɾ
birlikte	b i ɾ l i c t e
devam	d e v a m
sana	s a n a
önemli	ø n e m l i
ancak	a n d͡ʒ a k
biri	b i ɾ i
bunu	b u n u
karşı	k a ɾ ʃ ɯ
arasında	a ɾ a s ɯ n d a
insanlar	i n s a n l a ɾ
istanbul	i s t a n b u ɫ
senin	s e n i n
bunun	b u n u n
eden	e d e n
hakkında	h a k k ɯ n d a
bazı	b a z ɯ
geri	ɟ e ɾ i
olacak	o ɫ a d͡ʒ a k
gelen	ɟ e l e n
onu	o n u
biraz	b i ɾ a z
gece	ɟ e d͡ʒ e
yani	j aː n iː
ayrıca	a j ɾ ɯ d͡ʒ a
eski	e s c i
etti	e t t i
ilgili	i l ɟ i l i
yapılan	j a p ɯ ɫ a n
bize	b i z e
vardır	v a ɾ d ɯ ɾ
kez	c e z
üzerine	y z e ɾ i n e
geldi	ɟ e l d i
mu	m u
sizin	s i z i n
bulunan	b u ɫ u n a n
üzerinde	y z e ɾ i n d e
geliyor	ɟ e l i j o ɾ
ediyor	e d i j o ɾ
onun	o n u n
bizi	b i z i
kimse	c i m s e
yerine	j e ɾ i n e
yılında	j ɯ ɫ ɯ n d a
günü	ɟ y n y
istiyorum	i s t i j o ɾ u m
demek	d e m e c
bak	b a k
ortaya	o ɾ t a j a
sizi	s i z i
yapan	j a p a n
hafta	h a f t a
oluyor	o ɫ u j o ɾ
ona	o n a
kendini	c e n d i n i
olabilir	o ɫ a b i l i ɾ
tekrar	t e c ɾ a ɾ
ardından	a ɾ d ɯ n d a n
geçen	ɟ e t͡ʃ e n
başkanı	b a ʃ k a n ɯ
bence	b e n d͡ʒ e
dedi	d e d i
yerde	j e ɾ d e
olması	o ɫ m a s ɯ
yeniden	j e n i d e n
boyunca	b o j u n d͡ʒ a
mutlu	m u t ɫ u
takip	t a c i p
yol	j o ɫ
zamanda	z a m a n d a
yaptığı	j a p t ɯ ɯ
başladı	b a ʃ ɫ a d ɯ
buna	b u n a
ediyorum	e d i j o ɾ u m
olsa	o ɫ s a
sonunda	s o n u n d a
gereken	ɟ e ɾ e c e n
olmayan	o ɫ m a j a n
birkaç	b i ɾ k a t͡ʃ
ederim	e d e ɾ i m
istiyor	i s t i j o ɾ
kolay	k o ɫ a j
yanında	j a n ɯ n d a
şeyler	ʃ e j l e ɾ
yere	j e ɾ e
anda	a n d a
vardı	v a ɾ d ɯ
yaptı	j a p t ɯ
çıktı	t͡ʃ ɯ k t ɯ
abd	a b d
edilen	e d i l e n
seviyorum	s e v i j o ɾ u m
söyledi	s ø j l e d i
yanlış	j a n ɫ ɯ ʃ
şeyi	ʃ e j i
akşam	a k ʃ a m
avrupa	a v ɾ u p a
nedir	n e d i ɾ
olmuş	o ɫ m u ʃ
verdi	v e ɾ d i
dünyanın	d y n j aː n ɯ n
teknik	t e c n i c
ülke	y l c e
değildir	d e i l d i ɾ
yardımcı	j a ɾ d ɯ m d͡ʒ ɯ
çıkan	t͡ʃ ɯ k a n
aldı	a ɫ d ɯ
herhangi	h e ɾ h a n ɟ i
kaldı	k a ɫ d ɯ
varsa	v a ɾ s a
yüzden	j y z d e n
hareket	h a ɾ e c e t
konusunda	k o n u s u n d a
nedeniyle	n e d e n i j l e
tabi	t aː b iː
veren	v e ɾ e n
bundan	b u n d a n
eylül	e j l y l
tamamen	t a m aː m e n
başına	b a ʃ ɯ n a
böylece	b ø j l e d͡ʒ e
dedim	d e d i m
den	d e n
dün	d y n
kalan	k a ɫ a n
kendine	c e n d i n e
musunuz	m u s u n u z
ahmet	a h m e t
arada	a ɾ a d a
belediye	b e l e d i j e
dolayı	d o ɫ a j ɯ
ele	e l e
ister	i s t ɛ ɾ
olursa	o ɫ u ɾ s a
yolu	j o ɫ u
izmir	i z m i ɾ
milli	m i l l i
the	t e
verilen	v e ɾ i l e n
altı	a ɫ t ɯ
evde	e v d e
izin	i z i n
satın	s a t ɯ n
ilçe	i l t͡ʃ e
içine	i t͡ʃ i n e
rahat	ɾ a h a t
sahibi	s aː h i b i
sistemi	s i s t e m i
benden	b ɛ n d ɛ n
dolu	d o ɫ u
işi	i ʃ i
sonucu	s o n u d͡ʒ u
soru	s o ɾ u
te	t e
yoktur	j o k t u ɾ
ciddi	d͡ʒ i d d i
eve	e v e
kendimi	c e n d i m i
mart	m a ɾ t
yıllık	j ɯ ɫ ɫ ɯ k
geçti	ɟ e t͡ʃ t i
güvenlik	ɟ y v e n l i c
kadınlar	k a d ɯ n l a ɾ
nisan	n i s a n
yılı	j ɯ ɫ ɯ
ifade	i f aː d e
yapıyor	j a p ɯ j o ɾ
birini	b i ɾ i n i
dış	d ɯ ʃ
isteyen	i s t e j e n
kesin	c e s i n
onların	o n ɫ a ɾ ɯ n
sırasında	s ɯ ɾ a s ɯ n d a
yönetim	j ø n e t i m
bulundu	b u ɫ u n d u
değilim	d e i l i m
edildi	e d i l d i
nin	n i n
onları	o n ɫ a ɾ ɯ
durumda	d u ɾ u m d a
etme	e t m e
gitti	ɟ i t t i
kesinlikle	c e s i n l i c l e
konuda	k o n u d a
kızı	k ɯ z ɯ
nefret	n e f ɾ e t
sonrası	s o n ɾ a s ɯ
temel	t e m e l
ülkenin	y l c e n i n
ağustos	a u s t o s
durumu	d u ɾ u m u
edecek	e d e d͡ʒ e c
konusu	k o n u s u
sanırım	s a n ɯ ɾ ɯ m
sonraki	s o n ɾ a c i
öldü	ø l d y
diyor	d i j o ɾ
doğum	d o u m
kendisi	c e n d i s i
zorunda	z o ɾ u n d a
aldığı	a ɫ d ɯ ɯ
alıp	a ɫ ɯ p
arasındaki	a ɾ a s ɯ n d a c i
bakanı	b a k a n ɯ
başında	b a ʃ ɯ n d a
bunları	b u n ɫ a ɾ ɯ
herkesin	h e ɾ c e s i n
islam	i s ɫ a m
izle	i z l e
merkez	m e ɾ c e z
new	n e w
onlara	o n ɫ a ɾ a
sitesi	s i t e s i
bey	b e j
bunların	b u n ɫ a ɾ ɯ n
gerekiyor	ɟ e ɾ e c i j o ɾ
hayatta	h a j a t t a
işe	i ʃ e
kullanılan	k u ɫ ɫ a n ɯ ɫ a n
yanı	j a n ɯ
yap	j a p
çalışan	t͡ʃ a ɫ ɯ ʃ a n
çoğu	t͡ʃ o u
ön	ø n
adına	a d ɯ n a
bakalım	b a k a ɫ ɯ m
bakın	b a k ɯ n
haline	h a l i n e
john	ʒ o h n
seninle	s e n i n l e
yayın	j a j ɯ n
yıldır	j ɯ ɫ d ɯ ɾ
zarar	z a ɾ a ɾ
önünde	ø n y n d e
adını	a d ɯ n ɯ
hayatını	h a j a t ɯ n ɯ
mayıs	m a j ɯ s
olmalı	o ɫ m a ɫ ɯ
sayısı	s a j ɯ s ɯ
yana	j a n a
üzerinden	y z e ɾ i n d e n
adlı	a d ɫ ɯ
araştırma	a ɾ a ʃ t ɯ ɾ m a
dan	d a n
içerisinde	i t͡ʃ e ɾ i s i n d e
oldum	o ɫ d u m
oluşan	o ɫ u ʃ a n
serbest	s e ɾ b e s t
sırada	s ɯ ɾ a d a
kurulu	k u ɾ u ɫ u
olmadığını	o ɫ m a d ɯ ɯ n ɯ
sık	s ɯ k
yaşayan	j a ʃ a j a n
ziyaret	z i j aː ɾ e t
başlayan	b a ʃ ɫ a j a n
birliği	b i ɾ l i j ɪ
kardeşim	k a ɾ d e ʃ i m
