اس	ə s
ان	ə n
جس	d͡ʒ ə s
اپنے	ə p n eː
گا	ɡ ɑː
کرنے	k ə ɾ n eː
رہے	ɾ ə ɦ eː
تک	t̪ ə k
والے	ʋ ɑː l eː
ہونے	ɦ uː n eː
جائے	d͡ʒ ɑː eː
اپنی	ə p n iː
کرتے	k ə ɾ t̪ eː
پھر	pʰ ə ɾ
گئے	ɡ ə eː
رہا	ɾ ə ɦ ɑː
ہر	ɦ ə ɾ
گئی	ɡ ə iː
گی	ɡ iː
پی	p iː
انہوں	ə n ɦ õː
جاتا	d͡ʒ ɑː t̪ ɑː
اسے	ə s eː
دے	d̪ eː
بن	b ə n
رہی	ɾ ə ɦ iː
دی	d̪ iː
مگر	m ə ɡ ə ɾ
کہا	k ə ɦ ɑː
جا	d͡ʒ ɑː
اسی	ə s iː
ہوتی	ɦ uː t̪ iː
ہمارے	ɦ ə m ɑː ɾ eː
والی	ʋ ɑː l iː
کرتا	k ə ɾ t̪ ɑː
سی	s iː
وسلم	ʋ ə s l ə m
کرے	k ə ɾ eː
لیا	l ɪ j ɑː
شروع	ʃ ə ɾ uː
ایسے	iː s eː
جانے	d͡ʒ ɑː n eː
ہوتے	ɦ uː t̪ eː
دوران	d̪ uː ɾ ɑː n
ٹی	ʈ iː
جاتی	d͡ʒ ɑː t̪ iː
پارٹی	p ɑː ɾ ʈ iː
کئی	k ə iː
ایسا	iː s ɑː
جائیں	d͡ʒ ɑː ẽː
آئے	ɑː eː
امریکی	ə m ɾ iː k iː
نواز	n ə ʋ ɑː z
یہی	j ə ɦ iː
دوسرے	d̪ oː s ɾ eː
دیں	d̪ ẽː
جاتے	d͡ʒ ɑː t̪ eː
دیگر	d̪ eː ɡ ə ɾ
سامنے	s ɑː m n eː
تھیں	t̪ʰ ẽː
علاوہ	ɪ l ɑː ʋ ɑ
ایس	iː s
جبکہ	d͡ʒ ə b k ɑ
میڈیا	m eː ɖ ɪ j ɑː
ہماری	ɦ ə m ɑː ɾ iː
سکتے	s ə k t̪ eː
والوں	ʋ ɑː l õː
دوسری	d̪ oː s ɾ iː
لگا	l ə ɡ ɑː
لیگ	l eː ɡ
بی	b iː
ڈی	ɖ iː
کہتے	k ə ɦ t̪ eː
بارے	b ɑː ɾ eː
این	ɛː n
دیکھ	d̪ eː kʰ
پوری	p uː ɾ iː
چاہیے	t͡ʃ ɑː ɦ ɪ j eː
ایسی	iː s iː
بنانے	b ə n ɑː n eː
مل	m ə l
آنے	ɑː n eː
ترین	t̪ ə ɾ iː n
سر	s ə ɾ
ہزار	ɦ ə z ɑː ɾ
بھر	bʱ ə ɾ
دیکھا	d̪ eː kʰ ɑː
آف	ɑː f
عالمی	ɑː l ə m iː
کار	k ɑː ɾ
کرتی	k ə ɾ t̪ iː
عرب	ə ɾ b
روپے	ɾ oː p eː
کہیں	k ə ɦ ẽː
کردیا	k ə ɾ d̪ ɪ j ɑː
جسٹس	d͡ʒ ə s ʈ ə s
مولانا	m oː l ɑː n ɑː
کورٹ	k oː ɾ ʈ
لیں	l ẽː
کرکے	k ə ɾ k eː
سرکاری	s ə ɾ k ɑː ɾ iː
جسے	d͡ʒ ə s eː
اہل	ə ɦ ə l
بنایا	b ə n ɑː j ɑː
سکتی	s ə k t̪ iː
نئے	n ə eː
تحت	t̪ ə ɦ ə t̪
چاہتے	t͡ʃ ɑː ɦ ə t̪ eː
فی	f iː
فرمایا	f ə ɾ m ɑː j ɑː
لی	l iː
لینے	l ɛː n eː
آتا	ɑː t̪ ɑː
حسن	ɦ ə s ə n
سید	s iː d̪
آر	ɑː ɾ
رکھ	ɾ ə kʰ
رکھنے	ɾ ə kʰ n eː
لکھا	l ə kʰ ɑː
وی	ʋ iː
تر	t̪ ə ɾ
رکھتے	ɾ ə kʰ t̪ eː
صلى	s ə l l ɑː
گردی	ɡ ə ɾ d̪ iː
ادارے	ɪ d̪ ɑː ɾ eː
حالات	ɦ ɑː l ɑː t̪
