aa	ɑː
aans	ɑː n s
acht	ɑ x t
adabei	aː d̥ a b̥ a ɛ̯
adachsl	ɑː d̥ ɑ ɡ̥ s l̩
adress	ɑ d̥ r e̞ s
adresserl	ɑ d̥ r e̞ s ɐ l
adresserln	ɑ d̥ r e̞ s ɐ l n̩
adressn	ɑ d̥ r e̞ s n̩
alla	ɑ l ɑː
allanig	ɑ l ɑː n i ç
alloa	ɑ l ɔ ɐ̯
amoi	aː m ɔ e
ans	ɑˑ n s
anser	aː n s ɐ
antn	ɑ n d̥ː n̩
aufblattln	ɑ ɔ̯ f b̥ l ɑˑ d̥ l̩ n
auffa	a fː ɐ
auffe	ɑ ɔ̯ f ɛ
auffi	a fː e
auffiarn	ɑ ɔ̯ fː i ɐ̯ n
auffün	ɑ ɔ̯ fː yː n
aufgåb	ɑ ɔ̯ f ɡ̥ ɔ b̥
aufmåchn	ɑ ɔ̯ f m ɔ x ɴ̩
aufregn	ɑ ɔ̯ f r eː ŋ
aug	ɑ ɔ̯ ɡ̥
ausfün	ɑ ɔ̯ s f yː n
ausgschamt	a u̯ s ɡ̥ ʃ ɑː m d̥
auslånd	ɑ ɔ̯ s l ɔ n d̥
aussa	a sː ɐ
ausse	a u̯ sː ɛ
aussi	a sː i
auto	ɑ ɔ̯ d̥ː o
baa	b̥ ɑː
badln	b̥ ɑː d̥ l̩ n
badlt	b̥ ɑː d̥ l d̥
bam	b̥ aː m
bana	b̥ ɑː n ɐ
bandl	b̥ ɑ n d̥ l̩
banln	b̥ ɑː n l̩ n
banlt	b̥ ɑː n l d̥
bapperl	b̥ ɑ b̥ ɐ l
bappn	b̥ ɑ b̥ m
barterl	b̥ a ɐ̯ t ɐ l
batz	b̥ ɑː d̥ s
bayern	b̥ a i̯ ɐ n
beda	b̥ ɛː d̥ ɐ
bedeitn	b̥ e̞ d̥ ɑ ɛ̯ d̥ː n̩
bediena	b̥ e̞ d̥ iː n ɐ
bedienan	b̥ e̞ d̥ iː n ɐ n
beicht	b̥ æː ç d̥
beichtn	b̥ æː ç d̥ n
beidl	b̥ ɛ̃ː d ɫ
beidln	b̥ æː d̥ l̩ n
beinånd	b̥ a ɛ̯ n ɔ n d̥
beinånder	b̥ a ɛ̯ n ɒ n d̥ ɐ
beisl	b̥ a ɛ s l̩
bergradl	b̥ e̞ ɐ̯ ɡ̥ r ɑː d̥ l̩
bersch	b̥ e̞ ɐ̯ ʃ
bes	b̥ ɛ i̯ s
bessa	b̥ e s ɐ
bett	b̥ e t
bettn	b̥ e tː n̩
biaschtl	b̥ i ɐ ʃ d̥ l̩
biaschtln	b̥ i ɐ ʃ d̥ l̩ n
biaschtn	b̥ i ɐ̯ ʃ d̥ n̩
bichsn	b̥ i ɡ̥ s n̩
bindn	b̥ i n d n̩
birn	b̥ i ɐ n
bistoin	b̥ i s t o i̯ n
bittschee	b̥ i d̥ ʃ eː
bixn	b̥ i ɡ̥ s n̩
blaaz	p l ɒː t s
blad	b̥ l ɑː d̥
bladl	b̥ l aː d̥ l̩
blahn	b̥ l aː n
blau	b̥ l a ʊ̯
bleame	b̥ l e̞ ɐ m ɛ
bleaml	b̥ l e̞ ɐ m l̩
bleampl	b̥ l e̞ ɐ m b̥ː l̩
blearn	b̥ l e ɐ̯ n
bleckn	b̥ l e kː ŋ̩
bled	b̥ l eː d̥
bledsinn	b̥ l eː d̥ s i n
bleibn	b̥ l æː m̩
bleschl	b̥ l ɛ ʃ l̩
bliatn	b̥ l i ɐ̯ d̥ː n̩
blitzgneißer	b̥ l i d̥ s ɡ̥ n æː sː ɐ
blooz	p l oː t s
bluat	b̥ l u ɐ d̥
blutzer	b̥ l u d̥ s ɐ
blåsn	b̥ l ɔː s n̩
blåz	b̥ l oː d̥ s
boa	b̥ ɔ ɐ̯
boarisch	b̥ o ɐ̯ r ɪ ʃ
bock	b̥ o k
boi	b̥ ɔ ɪ̯
boid	b̥ ɔ e d̥
boin	b̥ ɔ̝ ɪ̯ n
boschbot	b̥ o ʃ b̥ o d̥
brad	b̥ r ɑː d̥
brandln	b̥ r ɑ n d̥ l̩ n
brauchn	b̥ r ɑ ɔ̯ x ŋ
braun	b̥ r a ʊ̯ n
brenna	b̥ r e n ɐ
briaf	b̥ r i ɐ f
bringa	b̥ r i ŋ ɐ
brixn	b̥ ʀ ɪ k s n̩
broad	b̥ r ɔ ɐ̯ d̥
brouda	b̥ r o u̯ d̥ ɐ
