adabei	aː d̥ a b̥ a ɛ̯
adachsl	ɑː d̥ ɑ ɡ̥ s l̩
adress	ɑ d̥ r e̞ s
adresserl	ɑ d̥ r e̞ s ɐ l
adresserln	ɑ d̥ r e̞ s ɐ l n̩
adressn	ɑ d̥ r e̞ s n̩
anser	aː n s ɐ
antn	ɑ n d̥ː n̩
aufgåb	ɑ ɔ̯ f ɡ̥ ɔ b̥
aug	ɑ ɔ̯ ɡ̥
auslånd	ɑ ɔ̯ s l ɔ n d̥
auto	ɑ ɔ̯ d̥ː o
baa	b̥ ɑː
bam	b̥ aː m
bana	b̥ ɑː n ɐ
bandl	b̥ ɑ n d̥ l̩
bapperl	b̥ ɑ b̥ ɐ l
bappn	b̥ ɑ b̥ m
barterl	b̥ a ɐ̯ t ɐ l
batz	b̥ ɑː d̥ s
bayern	b̥ a i̯ ɐ n
beda	b̥ ɛː d̥ ɐ
beichtn	b̥ æː ç d̥ n
beidl	b̥ ɛ̃ː d ɫ
beisl	b̥ a ɛ s l̩
bergradl	b̥ e̞ ɐ̯ ɡ̥ r ɑː d̥ l̩
bersch	b̥ e̞ ɐ̯ ʃ
bett	b̥ e t
biaschtl	b̥ i ɐ ʃ d̥ l̩
biaschtn	b̥ i ɐ̯ ʃ d̥ n̩
bichsn	b̥ i ɡ̥ s n̩
birn	b̥ i ɐ n
bistoin	b̥ i s t o i̯ n
bixn	b̥ i ɡ̥ s n̩
blaaz	p l ɒː t s
bladl	b̥ l aː d̥ l̩
bleame	b̥ l e̞ ɐ m ɛ
bleaml	b̥ l e̞ ɐ m l̩
bleampl	b̥ l e̞ ɐ m b̥ː l̩
bledsinn	b̥ l eː d̥ s i n
bleschl	b̥ l ɛ ʃ l̩
blitzgneißer	b̥ l i d̥ s ɡ̥ n æː sː ɐ
blooz	p l oː t s
bluat	b̥ l u ɐ d̥
blutzer	b̥ l u d̥ s ɐ
blåz	b̥ l oː d̥ s
boa	b̥ ɔ ɐ̯
boarisch	b̥ o ɐ̯ r ɪ ʃ
bock	b̥ o k
boi	b̥ ɔ ɪ̯
boin	b̥ ɔ̝ ɪ̯ n
boschbot	b̥ o ʃ b̥ o d̥
briaf	b̥ r i ɐ f
brixn	b̥ ʀ ɪ k s n̩
brouda	b̥ r o u̯ d̥ ɐ
bruada	b̥ r u ɐ̯ d̥ ɐ
bruck	b̥ r u k
bruckn	b̥ r u k x ŋ̩
brånd	b̥ r ɒ̃ː n d̥
bsteck	b̥ ʃ d̥ e ɡ̥
bsuach	b̥ s u ɐ̯ x
bsuf	b̥ s uː f
bua	b̥ u ɐ̯
buach	b̥ u ɐ̯ x
buam	b̥ u ɐ̯ m
buama	b̥ u ɐ̯ m ɐ
buchsn	b̥ u ɡ̥ s n̩
buidl	b̥ u i̯ d̥ l̩
burgamoasta	b u ɐ̯ ɡ̊ ɐ m o ɐ̯ sː d̥ ɐ
burgermaster	b̥ u ɐ̯ ɡ̥ ɐ m ɑː s d̥ ɐ
bursch	b̥ u ɐ̯ ʃ
burtståg	b̥ u ɐ̯ d̥ s d̥ ɔ ɡ̥
burzltåg	b̥ u ɐ̯ d̥ s l̩ d̥ ɔ ɡ̥
buserer	b̥ u s ɐ r ɐ
butta	b u t a
buxn	b̥ u ɡ̥ s n̩
bweis	b̥ v æː s
båd	b̥ ɔː d̥
båhn	b̥ ɒ̃ː n
bånd	b̥ ɒ̃ː n d̥
bånk	b̥ ɒ̃ː ŋ k
bånkert	b̥ ɒ̃ ŋ ɡ̥ ɐ d̥
bårt	b̥ ɔ ɐ̯ d̥
büd	b̥ yː d̥
büllichsduafer	b̥ y l i ç s d̥ u ɐ f ɐ
dackn	d̥ ɑ ɡ̥ː ɴ̩
dam	d̥ ɑː m
damenradl	d̥ ɑː m ɐ n r ɑː d̥ l̩
daubn	d̥ a u̯ m
deansdåg	d̥ ɛ ɐ̯ n s d̥ ɔ ɡ̥
deife	d̥ a ɛ̯ f ɛ
deitschland	d̥ a i̯ t͡ʃ l ɒ n d̥
della	d̥ ɛ l ɐ
deschek	d̥ e̞ ʃ e̞ k
dia	d̥ iː ɐ̯
dichter	d i ç t a
diensdåg	d̥ i n s d̥ ɔ ɡ̥
dillo	d̥ ɪ l o
disch	d̥ i ʃː
dodl	d̥ oː d l̩
dokta	d̥ o k t ɐ
dram	d̥ r aː m
dreg	d̥ r eː ɡ̊
dreier	d̥ r æː ɐ
dreiradl	d̥ r æː r ɑː d̥ l̩
duaf	d̥ u ɐ f
dunnersdåg	d̥ u n ɐ s d̥ ɔ ɡ̥
durscht	d̥ u ɐ̯ ʃ d̥
dåch	d̥ ɔ χ
dåg	d̥ ɔː ɡ̊
dåmpf	d̥ ɒ̃ m b̥ f
