ཀ	* k a
ཀ་ཀ་ནི	* k a k a n i
ཀ་ཀ་རང	* k a k a r a ŋ
ཀ་ཀོ་ལ	* k a k o l a
ཀ་ཁུ་བྷ་ཡ	* k a kʰ u p h a j a
ཀ་གཉིས་པ	* k a g ȵ i s p a
ཀ་ཏ་མན་ཏུ	k a ˥˥ t a ˥˥ m ɛ̃ ˩˨ t u ˥˥
ཀ་པ་ལ	* k a p a l a
ཀ་བ	* k a b a
ཀ་འཁོར་བ	* k aᵑ kʰ o r b a
ཀ་ར	* k a r a
ཀ་རུ	* k a r u
ཀ་ལག	* k a l a k
ཀ་ཤི་མིར	* k a ɕ i m i r
ཀན་མ	* k a n m a
ཀིའུ	k i u ˥˥
ཀུ་མུད	* k u m u t
ཀུ་ལིག	* k u l i k
ཀུན	* k u n
ཀུན་སྤྱོད	* k u n s pʲ o t
ཀུམ་བི་ར	* k u m b i r a
ཀེ་ར	* k e r a
ཀོག	* k o k
ཀོག་གིས	* k o k ɡ i s
ཀོག་ཤི	* k o k ɕ i
ཀྱལ་ཀ	* kʲ a l k a
ཀྱི	* kʲ i
ཀྲམ	* k r a m
ཀྲམ་སྐྱུར	* k r a m s kʲ u r
ཀྲུང་གོ	ʈ͡ʂ u ŋ ˥˥ k o ˥˥
ཀྲུམས	* k r u m s
ཀྲུའུ་ཞི	ʈ͡ʂ u ˥˥ ɕ i ˥˥
ཀྲོ་མ་ཀྲུ	ʈ͡ʂ u ˥˥ m aː ˥˥ ʈ͡ʂ uˑ
ཀླད	* k l a t
ཀླད་ཀོར	* k l a t k o r
ཀླད་པ	* k l a t p a
ཀླུང	* k l u ŋ
ཀླུང་མ	* k l u ŋ m a
ཀློག	* k l o k
ཁ	* kʰ a
ཁ་ཆེ	* kʰ a t͡ɕʰ e
ཁ་ཆེའི་ཆོས་ཁང	kʰ aˑ t͡ɕʰ ɛːˑ ʔ iˑ t͡ɕʰ øːˑ kʰ a ŋˑ
ཁ་པར	kʰ a ˥˥ p aː ˥˥
ཁ་བཏགས	* kʰ a p t a k s
ཁ་བྱང	* kʰ a bʲ a ŋ
ཁ་འདབ	* kʰ aⁿ d a p
ཁ་ལག	* kʰ a l a k
ཁ་ལོ་བ	* kʰ a l o b a
ཁ་སང	* kʰ a s a ŋ
ཁང	* kʰ a ŋ
ཁང་པ	* kʰ a ŋ p a
ཁངས	* kʰ a ŋ s
ཁབ	* kʰ a p
ཁམ་བུ	* kʰ a m b u
ཁམས	* kʰ a m s
ཁར	* kʰ a r
ཁུ་ནག	* kʰ u n a k
ཁུག	* kʰ u k
ཁུག་སྣ	* kʰ u k z n a
ཁུལ	* kʰ u l
ཁོ	* kʰ o
ཁོག་པ	* kʰ o k p a
ཁོག་ལྡིར	* kʰ o k l d i r
ཁོང	* kʰ o ŋ
ཁོལ	* kʰ o l
ཁོལ་པོ	* kʰ o l p o
ཁོལ་མོ	* kʰ o l m o
ཁྭ	* kʰʷ a
ཁྱགས་དཔྱངས	* kʰʲ a k s t pʲ a ŋ s
ཁྱི	* kʰʲ i
ཁྱིམ	* kʰʲ i m
ཁྱིམ་ཚང	* kʰʲ i m t͡sʰ a ŋ
ཁྱིམ་རྒྱུད	* kʰʲ i m r ɡʲ u t
ཁྱུང	* kʰʲ u ŋ
ཁྱེད་རང	* kʰʲ e t r a ŋ
ཁྲག	* kʰ r a k
ཁྲག་ཁྲིག	* kʰ r a k kʰ r i k
