abaixa-ho	ə β 'a ʃ ə uw
abandona	ə β ə n d 'o n ə
abandonament	ə β ə n d u n ə m 'e n
abandonaments	ə β ə n d u n ə m 'e n s
abandonen	ə β ə n d 'o n ə n
abandonessin	ə β ə n d u n 'e s i n
abandoni	ə β ə n d 'o n i
abandonin	ə β ə n d 'o n i n
abandono	ə β ə n d 'o n u
abaratiment	ə β ə ɾ ə t i m 'e n
abaratiments	ə β ə ɾ ə t i m 'e n s
abarrocament	ə β ə r u k ə m 'e n
abassegadora	ə β ə s ə ɣ ə ð 'o ɾ ə
abastament	ə β ə s t ə m 'e n
abastiment	ə β ə s t i m 'e n
abatiment	ə β ə t i m 'e n
abatre'l	ə β 'a t ɾ ə l
abdomen	ə b d 'o m ə n
ablacions	ə β l ə s i 'o n s
ablació	ə β l ə s i 'o
aboca	ə β 'o k ə
abocament	ə β u k ə m 'e n
abocaments	ə β u k ə m 'e n s
abona	ə β 'o n ə
abonament	ə β u n ə m 'e n
abonaments	ə β u n ə m 'e n s
abonen	ə β 'o n ə n
aboni	ə β 'o n i
aboquen	ə β 'o k ə n
aboqui	ə β 'o k i
aborda	ə β 'o ɾ ð ə
aborden	ə β 'o ɾ ð ə n
abordessin	ə β u ɾ ð 'e s i n
abordi	ə β 'o ɾ ð i
abordin	ə β 'o ɾ ð i n
abraona	ə β ɾ ə 'o n ə
abruptament	ə β ɾ u p t ə m 'e n
absent	ə p s 'e n
absenta	ə p s 'e n t ə
absents	ə p s 'e n s
absolt	ə p s 'ɔ l t
absolts	ə p s 'ɔ l t s
absolutament	ə p s u l u t ə m 'e n
absorbent	ə p s u ɾ β 'e n
absort	ə p s 'ɔ r t
abstinents	ə p s t i n 'e n s
abstrets	ə p s t ɾ 'e t s
abstreure's	ə p s t ɾ 'ɛ uw ɾ ə s
absurd	ə p s 'u r t
absurdament	ə p s u ɾ ð ə m 'e n
abundantment	ə β u n d ə m m 'e n
abundosa	ə β u n d 'o z ə
acabament	ə k ə β ə m 'e n
acabessin	ə k ə β 'e s i n
acadèmicament	ə k ə ð ə m i k ə m 'e n
acarament	ə k ə ɾ ə m 'e n
acarnissament	ə k ə r n i s ə m 'e n
acarona	ə k ə ɾ 'o n ə
acatament	ə k ə t ə m 'e n
accelera	ə k s ə l 'e ɾ ə
acceleradament	ə k s ə l ə ɾ ə ð ə m 'e n
acceleren	ə k s ə l 'e ɾ ə n
accent	ə k s 'e n
accents	ə k s 'e n s
accepta	ə k s 'e p t ə
acceptablement	ə k s ə p t ə b b l ə m 'e n
accepten	ə k s 'e p t ə n
acceptes	ə k s 'e p t ə s
acceptessin	ə k s ə p t 'e s i n
accepti	ə k s 'e p t i
acceptin	ə k s 'e p t i n
accepto	ə k s 'e p t u
accessos	ə k s 'e s u s
accident	ə k s i ð 'e n
accidentalment	ə k s i ð ə n t ə l m 'e n
accidents	ə k s i ð 'e n s
acciona	ə k s i 'o n ə
acciones	ə k s i 'o n ə s
acer	ə s 'e r
aclaparadora	ə k l ə p ə ɾ ə ð 'o ɾ ə
aclaparadorament	ə k l ə p ə ɾ ə ð u ɾ ə m 'e n
aclaparadores	ə k l ə p ə ɾ ə ð 'o ɾ ə s
aclaridora	ə k l ə ɾ i ð 'o ɾ ə
aclariment	ə k l ə ɾ i m 'e n
aclariments	ə k l ə ɾ i m 'e n s
acoblament	ə k u b b l ə m 'e n
acoblen	ə k 'o b b l ə n
acollidora	ə k u ʎ i ð 'o ɾ ə
acolliment	ə k u ʎ i m 'e n
acomiadament	ə k u m i ə ð ə m 'e n
acomiadaments	ə k u m i ə ð ə m 'e n s
acomodament	ə k u m u ð ə m 'e n
acompanyament	ə k u m p ə ɲ ə m 'e n
acompanyaments	ə k u m p ə ɲ ə m 'e n s
acompliment	ə k u m p l i m 'e n
aconsella	ə k u n s 'e ʎ ə
aconsellen	ə k u n s 'e ʎ ə n
aconselli	ə k u n s 'e ʎ i
aconsellin	ə k u n s 'e ʎ i n
aconsello	ə k u n s 'e ʎ u
acontenta	ə k u n t 'e n t ə
acontenten	ə k u n t 'e n t ə n
acord	ə k 'ɔ r t
acordessin	ə k u ɾ ð 'e s i n
acords	ə k 'ɔ r s
acosta't	ə k 'ɔ s t ə t
acosta-t'hi	ə k 'ɔ s t ə t i
acostament	ə k u s t ə m 'e n
acostaments	ə k u s t ə m 'e n s
acostessin	ə k u s t 'e s i n
