-al	a l
-as	a s
-ař	a r̝
-ctvo	t͡s t v o
-dlo	d l o
-ický	ɪ t͡s k iː
-ium	ɪ j u m
-ička	ɪ t͡ʃ k a
-jedy	j ɛ d ɪ
-ka	k a
-krát	k r aː t
-li	l ɪ
-lis	l ɪ s
-na	n a
-né	n ɛː
-ní	n iː
-o	o
-ol	o l
-ost	o s t
-ovec	o v ɛ t͡s
-ovka	o f k a
-ovné	o v n ɛː
-plný	p l n iː
-sko	s k o
-ský	s k iː
-stvo	s t v o
-ství	s t v iː
-tel	t ɛ l
-yl	ɪ l
-ák	aː k
-át	aː t
-ář	aː r̝
-ýr	iː r
-č	t͡ʃ
-čtina	t͡ʃ c ɪ n a
-ština	ʃ c ɪ n a
-ův	uː f
102letá	s t o d v ou̯ l ɛ t aː
102letý	s t o d v ou̯ l ɛ t iː
140kilometrový	s t o t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ k ɪ l o m ɛ t r o v iː
15procentní	p a t n aː t͡s c ɪ p r o t͡s ɛ n t ɲ iː
16letá	ʃ ɛ s t n aː t͡s c ɪ l ɛ t aː
17letého	s ɛ d m n aː t͡s c ɪ l ɛ t ɛː ɦ o s ɛ d u m n aː t͡s c ɪ l ɛ t ɛː ɦ o
21letého	j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ o j ɛ d ɛ n a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ o
22letou	d v a a d v a t͡s ɛ c ɪ l ɛ t ou̯
22letý	d v a a d v a t͡s ɛ c ɪ l ɛ t iː
23letého	t r̝ ɪ a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ o
23letý	t r̝ ɪ a d v a t͡s ɛ c ɪ l ɛ t iː
24hodinovou	t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ ɦ o ɟ ɪ n o v ou̯
24hodinový	t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ ɦ o ɟ ɪ n o v iː
24letá	t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ l ɛ t aː
24letého	t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ o
24letý	t͡ʃ t ɪ r̝ ɪ a d v a t͡s ɛ c ɪ l ɛ t iː
250mililitrový	d v j ɛ s c ɛ p a d ɛ s aː c ɪ m ɪ l ɪ l ɪ t r o v iː
26letý	ʃ ɛ s t a d v a t͡s ɛ c ɪ l ɛ t iː
26členná	ʃ ɛ s t a d v a t͡s ɛ c ɪ t͡ʃ l ɛ n aː
26členný	ʃ ɛ s t a d v a t͡s ɛ c ɪ t͡ʃ l ɛ n iː
28letou	o s m a d v a t͡s ɛ c ɪ l ɛ t ou̯
29letého	d ɛ v j ɛ t a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ o
30denní	t r̝ ɪ t͡s ɛ c ɪ d ɛ ɲ iː
35milimetrový	p j ɛ t a t r̝ ɪ t͡s ɛ c ɪ m ɪ l ɪ m ɛ t r o v iː
37letá	s ɛ d m a t r̝ ɪ t͡s ɛ c ɪ l ɛ t aː
37letý	s ɛ d m a t r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
38letou	o s m a t r̝ ɪ t͡s ɛ c ɪ l ɛ t ou̯
38letý	o s m a t r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
42procentní	d v a a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ p r o t͡s ɛ n t ɲ iː
42procentního	d v a a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ p r o t͡s ɛ n t ɲ iː ɦ o
43kilowattovou	t r̝ ɪ a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ k ɪ l o v a t o v ou̯
43kilowattový	t r̝ ɪ a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ k ɪ l o v a t o v iː
48letý	o s m a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
49letému	d ɛ v j ɛ t a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t ɛː m u
49letý	d ɛ v j ɛ t a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
500kilometrový	p j ɛ c ɪ s ɛ t k ɪ l o m ɛ t r o v iː
50letého	p a d ɛ s aː c ɪ l ɛ t ɛː ɦ o
50letý	p a d ɛ s aː c ɪ l ɛ t iː
51letý	j ɛ d n a p a d ɛ s aː c ɪ l ɛ t iː j ɛ d ɛ n a p a d ɛ s aː c ɪ l ɛ t iː
56minutové	ʃ ɛ s t a p a d ɛ s aː c ɪ m ɪ n u t o v ɛː
56minutový	ʃ ɛ s t a p a d ɛ s aː c ɪ m ɪ n u t o v iː
58leté	o s m a p a d ɛ s aː c ɪ l ɛ t ɛː
58letého	o s m a p a d ɛ s aː c ɪ l ɛ t ɛː ɦ o
58letý	o s m a p a d ɛ s aː c ɪ l ɛ t iː
60letého	ʃ ɛ d ɛ s aː c ɪ l ɛ t ɛː ɦ o
60letý	ʃ ɛ d ɛ s aː c ɪ l ɛ t iː
62letý	d v a a ʃ ɛ d ɛ s aː c ɪ l ɛ t iː
65letý	p j ɛ t a ʃ ɛ d ɛ s aː c ɪ l ɛ t iː
71stránkové	j ɛ d n a s ɛ d m d ɛ s aː c ɪ s t r aː n k o v ɛː j ɛ d n a s ɛ d u m d ɛ s aː c ɪ s t r aː n k o v ɛː
71stránkový	j ɛ d n a s ɛ d m d ɛ s aː c ɪ s t r aː n k o v iː j ɛ d n a s ɛ d u m d ɛ s aː c ɪ s t r aː n k o v iː
