'ch	χ
'chi	χ iː
'da	d a
'dag	d a ɡ
'ddchi	χ iː
'i	i̯
'm	m
'ma	m a
'mond	m ɔ n d
'n	n
'na	n a
'ny	n i
'r	r
'rhen	r̥ eː n
'sti	s d iː
'th	θ
'u	i̯
'y	ə
a	aː
ab	a b
abad	a b a d
abadaeth	a b a d a i̯ θ
abadaethau	a b a d e i̯ θ a i̯
abadau	a b a a i̯
abades	a b a d ɛ s
abadesau	a b a d ɛ s a i̯
aball	a b a ɬ
aballu	a b a ɬ i
abatai	a b a t a i̯
abathocroalaidd	a b a θ ɔ k r ɔ a l a i̯ ð
abatir	a b a t ɪ r
abatiroedd	a b a t iː r ɔ i̯ ð
abaty	a b a t i
aber	a b ɛ r
aberaeron	a b ɛ r e i̯ r ɔ n
aberafan	a b ɛ r a v a n
aberdaugleddau	a b ɛ r d a i̯ ɡ l eː ð a i̯
aberdyfi	a b ɛ r d ə v i
aberdâr	a b ɛ r d aː r
abergele	a b ɛ r ɡ eː l ɛ
abergofiant	a b ɛ r ɡ ɔ v j a n t
abergwaun	a b ɛ r ɡ w a i̯ n
aberhonddu	a b ɛ r h ɔ n ð i
abermaw	a b ɛ r m a u̯
abertawe	a b ɛ r t a u̯ ɛ
aberteifi	a b ɛ r t e i̯ v i
aberth	a b ɛ r θ
aberthaf	a b ɛ r θ a
aberthau	a b ɛ r θ a i̯
aberthged	a b ɛ r θ ɡ ɛ d
aberthgedau	a b ɛ r θ ɡ eː d a i̯
aberthu	a b ɛ r θ i
aberthwr	a b ɛ r θ ʊ r
aberystwyth	a b ɛ r ə s d w ɪ θ
abl	a b a l
abladol	a b l a d ɔ l
abo	a b ɔ
abostl	a b ɔ s d l
abostol	a b ɔ s d ɔ l
absen	a b s ɛ n
absennaf	a b s ɛ n a
absennau	a b s ɛ n ɛ
absennol	a b s ɛ n ɔ l
absennu	a b s ɛ n i
absenoldeb	a b s ɛ n ɔ l d ɛ b
absoliwt	a p s ɔ l ɪ u̯ t
abwyd	a b ʊ i̯ d
abwydyn	a b ʊ i̯ d ɪ n
ac	a k
academaidd	a k a d ɛ m a i̯ ð
academi	a k a d ɛ m i
academydd	a k a d ɛ m ɪ ð
academyddion	a k a d ɛ m ə ð j ɔ n
academïau	a k a d ɛ m iː a i̯
acen	a k ɛ n
aceniad	a k ɛ n j a d
aceniadau	a k ɛ n j a d a i̯
acenion	a k ɛ n j ɔ n
acennaf	a k ɛ n a
acennu	a k ɛ n i
acer	a k ɛ r
aceri	a k eː r i
ach	a χ
acha	a χ a
achan	a χ a n
achles	a χ l ɛ s
achlesaf	a χ l ɛ s a
achlesau	a χ l ɛ s a i̯
achlesu	a χ l ɛ s i
achlod	a χ l ɔ d
achlust	a χ l ɪ s d
achlysur	a χ l ə s ɪ r
achlysuro	a χ l ə s iː r ɔ
achlysurol	a χ l ə s iː r ɔ l
achlysuron	a χ l ə s iː r ɔ n
achoedd	aː χ ɔ i̯ ð
achos	a χ ɔ s
achosaf	a χ ɔ s a
achosi	a χ ɔ s i
achosion	a χ ɔ s j ɔ n
achres	a χ r ɛ s
achub	a χ ɪ b
achubadwy	a χ ɪ b a d ʊ i̯
achubedig	a χ ɪ b eː d ɪ ɡ
achubiad	a χ ɪ b j a d
achubiaeth	a χ ɪ b j a i̯ θ
achubol	a χ iː b ɔ l
achubwr	a χ iː b ʊ r
achubwyr	a χ ɪ b w ɪ r
achubydd	a χ iː b ɪ ð
achwre	a χ r ɛ
achwyn	a χ ʊ i̯ n
achwyniad	a χ ʊ i̯ n j a d
achwyniadau	a χ ʊ i̯ n j a d a i̯
achwynwr	a χ ʊ i̯ n ʊ r
achwynwyr	a χ ʊ i̯ n w ɪ r
achwynydd	a χ ʊ i̯ n j ɪ ð
achydd	a χ ɪ ð
achyddiaeth	a χ ə ð j a i̯ θ
achyddion	a χ ə ð j ɔ n
achyddol	a χ ə ð ɔ l
aciwbigo	a k ɪ u̯ b iː ɡ ɔ
acryl	a k r ɪ l
acrylig	a k r ɪ l ɪ ɡ
act	a k t
actau	a k t a i̯
acti	a k t i
actiaf	a k t j a
actiniwm	a k t ɪ n j ʊ m
actio	a k t j ɔ
actor	a k t ɔ r
actores	a k t oː r ɛ s
actoresau	a k t ɔ r ɛ s a i̯
actorion	a k t ɔ r j ɔ n
acw	a k ʊ
ad	aː d
adael	a d a i̯ l
adail	a d a i̯ l
adain	a d a i̯ n
adainredyn	a d a i̯ n r eː d ɪ n
adalw	a d a l u
adalwadwy	a d a l w a d ʊ i̯
adanedd	a d a n ɛ ð
adar	a d a r
adara	a d a r a
adardai	a d a r d a i̯
adardy	a d a r d i
adareg	a d a r ɛ ɡ
adaregol	a d a r eː ɡ ɔ l
adaregwyr	a d a r ɛ ɡ w ɪ r
adaregydd	a d a r eː ɡ ɪ ð
adargi	a d a r ɡ i
adargraffiad	a d a r ɡ r a f j a d
adargraffiadau	a d a r ɡ r a f j a d a i̯
adargraffu	a d a r ɡ r a f i
adargwn	a d a r ɡ ʊ n
adarwr	a d a r ʊ r
adarwyr	a d a r w ɪ r
adarydd	a d a r ɪ ð
adarydda	a d a r ə ð a
adaryddiaeth	a d a r ə ð j a i̯ θ
adaryddion	a d a r ə ð j ɔ n
adawed	a d a u̯ ɛ d
adborth	a d b ɔ r θ
adborthion	a d b ɔ r θ j ɔ n
adda	a ð a
addas	a ð a s
addasiad	a ð a s j a d
addasrwydd	a ð a s r ʊ i̯ ð
addasu	a ð a s i
addawa	a ð a u̯ a
addawaf	a ð a u̯ a v
addaweb	a ð a u̯ ɛ b
addawebau	a ð a u̯ eː b a i̯
addawiff	a ð a u̯ ɪ f
addawith	a ð a u̯ ɪ θ
addef	a ð ɛ v
addefiad	a ð ɛ v j a d
addewid	a ð ɛ u̯ ɪ d
addfwyn	a ð v ʊ i̯ n
addfwynder	a ð v ʊ i̯ n d ɛ r
addien	a ð i ɛ n
addo	a ð ɔ
addoladwy	a ð ɔ l a d ʊ i̯
addoldy	a ð ɔ l d i
addolgar	a ð ɔ l ɡ a r
addoli	a ð oː l i
addoliad	a ð ɔ l j a d
addolwr	a ð oː l ʊ r
addolwyr	a ð ɔ l w ɪ r
adduned	a ð iː n ɛ d
addunedu	a ð ɪ n eː d i
adduno	a ð iː n ɔ
addurn	a ð ɪ r n
addurnau	a ð ɪ r n a i̯
addurnedig	a ð ɪ r n eː d ɪ ɡ
addurniad	a ð ɪ r n j a d
addurno	a ð ɪ r n ɔ
addurnol	a ð ɪ r n ɔ l
addurnwr	a ð ɪ r n j ʊ r
addysg	a ð ɪ s ɡ
addysga	a ð ə s ɡ a
addysgais	a ð ə s ɡ a i̯ s
addysgaist	a ð ə s ɡ a i̯ s d
addysgau	a ð ə s ɡ a i̯
addysgiadol	a ð ə s ɡ j a d ɔ l
addysgoch	a ð ə s ɡ ɔ χ
addysgodd	a ð ə s ɡ ɔ ð
addysgol	a ð ə s ɡ ɔ l
addysgon	a ð ə s ɡ ɔ n
addysgu	a ð ə s ɡ i
addysgwch	a ð ə s ɡ ʊ χ
addysgwr	a ð ə s ɡ ʊ r
adeg	a d ɛ ɡ
adegau	a d eː ɡ a i̯
adeilad	a d e i̯ l a d
adeiladaeth	a d e i̯ l a d a i̯ θ
adeiladaethau	a d e i̯ l a d e i̯ θ a i̯
adeiladau	a d e i̯ l a d a i̯
adeiladol	a d e i̯ l a d ɔ l
adeiladu	a d e i̯ l a d i
adeiladwaith	a d e i̯ l a d w a i̯ θ
adeiladweithiau	a d e i̯ l a d w e i̯ θ j a i̯
adeiladwr	a d e i̯ l a d ʊ r
adeiladwyr	a d e i̯ l a d w ɪ r
adeiledd	a d e i̯ l ɛ ð
adeileddeg	a d e i̯ l eː ð ɛ ɡ
adeileddiaeth	a d e i̯ l ɛ ð j a i̯ θ
adeileddol	a d e i̯ l eː ð ɔ l
adeileddu	a d e i̯ l eː ð i
adeileddwr	a d e i̯ l eː ð ʊ r
adeiliad	a d e i̯ l j a d
adeinbiws	a d e i̯ n b ɪ u̯ s
adeinefydd	a d e i̯ n eː v ɪ ð
adeiniog	a d e i̯ n j ɔ ɡ
aden	a d ɛ n
adenedigaeth	a d ɛ n ɛ d iː ɡ a i̯ θ
adenedigaethau	a d ɛ n ɛ d ɪ ɡ e i̯ θ a i̯
adenilladwy	a d ɛ n ɪ ɬ a d ʊ i̯
adennill	a d ɛ n ɪ ɬ
adenydd	a d eː n ɪ ð
aderyn	a d eː r ɪ n
adfach	a d v a χ
adfachu	a d v a χ i
adfail	a d v a i̯ l
adfeddiannu	a d v ɛ ð j a n i
adfeiliad	a d v e i̯ l j a d
adfeiliadau	a d v e i̯ l j a d a i̯
adfeiliedig	a d v e i̯ l j eː d ɪ ɡ
adfeilio	a d v e i̯ l j ɔ
adfeilion	a d v e i̯ l j ɔ n
adfent	a d v ɛ n t
adfer	a d v ɛ r
adfera	a d v eː r a
adferadwy	a d v ɛ r a d ʊ i̯
adferaf	a d v eː r a
adferai	a d v eː r a i̯
adferais	a d v eː r a i̯ s
adferaist	a d v eː r a i̯ s t
adferan	a d v eː r a n
adferant	a d v eː r a n t
adferech	a d v eː r ɛ χ
adfered	a d v eː r ɛ d
adferedig	a d v ɛ r eː d ɪ ɡ
adferem	a d v eː r ɛ m
adferen	a d v eː r ɛ n
adferent	a d v eː r ɛ n t
adferer	a d v eː r ɛ r
adferes	a d v eː r ɛ r
adferest	a d v eː r ɛ s t
adferet	a d v eː r ɛ t
adferf	a d v ɛ r v
adferfol	a d v ɛ r v ɔ l
adferi	a d v eː r i
adferiad	a d v ɛ r j a d
adferiadau	a d v ɛ r j a d a i̯
adferiadwyr	a d v ɛ r j a d ə ð w ɪ r
adferiadydd	a d v ɛ r j a d ɪ ð
adferiadyddion	a d v ɛ r j a d ə ð j ɔ n
adferid	a d v eː r ɪ d
adferiedydd	a d v ɛ r j eː d ɪ ð
adferir	a d v eː r ɪ r
adferit	a d v eː r ɪ t
adfero	a d v eː r ɔ
adferodd	a d v eː r ɔ ð
adferol	a d v eː r ɔ l
adferom	a d v eː r ɔ m
adferont	a d v eː r ɔ n t
adfersai	a d v ɛ r s a i̯
adfersen	a d v ɛ r s ɛ n
adferset	a d v ɛ r s ɛ t
adferswn	a d v ɛ r s ʊ n
adferwch	a d v eː r ʊ χ
adferwn	a d v eː r ʊ n
adferwr	a d v eː r ʊ r
adferwyr	a d v ɛ r w ɪ r
adfilwr	a d v iː l ʊ r
adfilwyr	a d v ɪ l w ɪ r
adflas	a d v l a s
adflasau	a d v l a s a i̯
adfyd	a d v ɪ d
adfydau	a d v ə d a i̯
adfydus	a d v ə d ɪ s
adfyw	a d v ɪ u̯
adfywiad	a d v ɪ u̯ j a d
adfywiadau	a d v ɪ u̯ j a d a i̯
adfywiedig	a d v ɪ u̯ j eː d ɪ ɡ
adfywio	a d v ɪ u̯ j ɔ
adfywiol	a d v ɪ u̯ j ɔ l
adgynorthwyydd	a d ɡ ə n ɔ r θ ʊ i̯ ɪ ð
adio	a d j ɔ
adladd	a d l a ð
adlais	a d l a i̯ s
adlam	a d l a m
adlamau	a d l a m a i̯
adlamu	a d l a m i
adlaw	a d l a u̯
adlef	a d l ɛ v
adlefau	a d l eː v a i̯
adleisiau	a d l e i̯ s j a i̯
adleisio	a d l e i̯ s j ɔ
adlen	a d l ɛ n
adleoli	a d l ɛ oː l i
adleoliad	a d l ɛ ɔ l j a d
adlewyrch	a d l ɛ u̯ ɪ r χ
adlewyrchiad	a d l ɛ u̯ ə r χ j a d
adlewyrchu	a d l ɛ u̯ ə r χ i
adlewyrchydd	a d l ɛ u̯ ə r χ ɪ ð
adloniad	a d l ɔ n j a d
adloniadol	a d l ɔ n j a d ɔ l
adloniant	a d l ɔ n j a n t
adlonni	a d l ɔ n i
adlunio	a d l ɪ n j ɔ
adlyn	a d l ɪ n
adlynol	a d l ə n ɔ l
adlynu	a d l ə n i
adlŷn	a d l iː n
adnabod	a d n a b ɔ d
adnabyddaf	a d n a b ə ð a v
adnabyddant	a d n a b ə ð a n t
adnabyddi	a d n a b ə ð i
adnabyddiaeth	a d n a b ə ð j a i̯ θ
adnabyddus	a d n a b ə ð ɪ s
adnabyddwch	a d n a b ə ð ʊ χ
adnabyddwn	a d n a b ə ð ʊ n
adnau	a d n a i̯
adnebydd	a d n eː b ɪ ð
adneuo	a d n e i̯ ɔ
adnewyddiad	a d n e u̯ ə ð j a d
adnewyddu	a d n e u̯ ə ð i
adnod	a d n ɔ d
adnodd	a d n ɔ ð
adnoddau	a d n ɔ ð a ɨ̯
adolygaf	a d ɔ l ə ɡ a v
adolygiad	a d ɔ l ə ɡ j a d
adolygiadau	a d ɔ l ə ɡ j a d a i̯
adolygiaeth	a d ɔ l ə ɡ j a i̯ θ
adolygol	a d ɔ l ə ɡ ɔ l
adolygu	a d ɔ l ə ɡ i
adolygwyr	a d ɔ l ə ɡ w ɪ r
adolygydd	a d ɔ l ə ɡ ɪ ð
adosod	a d ɔ s ɔ d
adra	a d r a
adran	a d r a n
adre	a d r ɛ
adref	a d r ɛ
adrodd	a d r ɔ ð
adroddaf	a d r oː ð a
adroddiad	a d r ɔ ð j a d
adroddwr	a d r oː ð ʊ r
adsefydlu	a d s ɛ v ə d l i
aduniad	a d ɪ n j a d
aduno	a d iː n ɔ
adwaen	a d w a i̯ n
adwaenai	a d w e i̯ n a i̯
adwaenant	a d w e i̯ n a n t
adwaenech	a d w e i̯ n ɛ χ
adwaenem	a d w e i̯ n ɛ m
adwaenent	a d w e i̯ n ɛ n t
adwaenid	a d w e i̯ n ɪ d
adwaenir	a d w e i̯ n ɪ r
adwaenit	a d w e i̯ n ɪ t
adwaenoch	a d w e i̯ n ɔ χ
adwaenom	a d w e i̯ n ɔ m
adwaenost	a d w e i̯ n ɔ s d
adwaenwch	a d w e i̯ n ʊ χ
adwaenwn	a d w e i̯ n ʊ n
adwaenynt	a d w e i̯ n ɪ n t
adwaith	a d w a i̯ θ
adweinaf	a d w e i̯ n a v
adweini	a d w e i̯ n i
adweinid	a d w e i̯ n ɪ d
adweinir	a d w e i̯ n ɪ r
adweinyddu	a d w e i̯ n ə ð i
adweithedd	a d w e i̯ θ ɛ ð
