aachen	aː χ ə n
aachens	aː ç ɛ n s
aal	aː l
aale	ʔ aː l ə
aalen	ʔ a a l ə n
aales	ʔ aː l ə s
aals	ʔ aː l s
aas	aː s
aases	aː z ə s
aasgeier	aː s g ə iː ɐ
ab	a p
abakus	ʔ a p ʔ aː k uː s
abarbeite	ʔ a p ʔ a ʁ b ə iː t ə
abarbeiten	a b a ʁ b aɪ̯ t ə n
abarbeitend	ʔ a p ʔ a ʁ b a eː t ɛ n t
abarbeitende	ʔ a p ʔ a ʁ b a eː t ɛ n d ə
abarbeitendem	ʔ a p ʔ a ʁ b a eː t ɛ n d ə m
abarbeitenden	ʔ a p ʔ a ʁ b a eː t ɛ n d ə n
abarbeitender	ʔ a p ʔ a ʁ b a eː t ɛ n d ɐ
abarbeitendes	ʔ a p ʔ a ʁ b a eː t ɛ n d ə s
abarbeitest	ʔ a p ʔ a ʁ b a eː t ɛ s t
abarbeitet	ʔ a p ʔ a ʁ b ə iː t ə t
abarbeitete	ʔ a p ʔ a ʁ b ə iː t ə t ə
abarbeiteten	ʔ a p ʔ a ʁ b ə iː t ə t ə n
abarbeitetest	ʔ a p ʔ a ʁ b a eː t eː t ɛ s t
abarbeitetet	ʔ a p ʔ a ʁ b ə iː t ə t ə t
abarbeitung	ʔ a p ʔ a ʁ b ə iː t ʊ ŋ
abarbeitungsgeschwindigkeit	ʔ a p ʔ a ʁ b a eː t ʊ ŋ s g ɛ ʃ v ɪ n d ɪ k k ə iː t
abarbeitungsgeschwindigkeiten	ʔ a p ʔ a ʁ b a eː t ʊ ŋ s g ɛ ʃ v ɪ n d ɪ k k ə iː t ə n
abarbeitungsreihenfolge	ʔ a p ʔ a ʁ b a eː t ʊ ŋ s ʁ a eː ɛ n f ɔ l g ə
abarbeitungsreihenfolgen	ʔ a p ʔ a ʁ b a eː t ʊ ŋ s ʁ a eː ɛ n f ɔ l g ə n
abart	a p ʔ aː ʁ t
abarten	ʔ a p ʔ a ʁ t ə n
abartig	ʔ a p ʔ a ʁ t ɪ ç
abartige	ʔ a p ʔ a ʁ t ɪ g ə
abartigem	ʔ a p ʔ a ʁ t ɪ g ə m
abartigen	ʔ a p ʔ a ʁ t ɪ g ə n
abartiger	ʔ a p ʔ a ʁ t ɪ g ɐ
abartiges	ʔ a p ʔ a ʁ t ɪ g ə s
abb	ʔ a p
abband	ʔ a p b a n t
abbanden	ʔ a p b a n d ə n
abbandest	ʔ a p b a n d ɛ s t
abbandet	ʔ a p b a n d ə t
abbandst	ʔ a p b a n t s t
abbat	ʔ a p b aː t
abbaten	ʔ a p b aː t ə n
abbatest	ʔ a p b aː t ɛ s t
abbatet	ʔ a p b aː t ə t
abbatst	ʔ a p b a t s t
abbau	ʔ a p b a oː
abbaue	ʔ a p b a oː ə
abbauen	ʔ a p b a oː ə n
abbauende	ʔ a p b a oː ʔ ɛ n d eː
abbauenden	ʔ a p b a oː ʔ ɛ n d ə n
abbauendes	ʔ a p b a oː ʔ ɛ n d ə s
abbaufortschritt	ʔ a p b a oː f ɔ ʁ t s t s ʁ ɪ t
abbaufortschritts	ʔ a p b a oː f ɔ ʁ t s t s ʁ ɪ t t s
abbaufortschrittsmessung	ʔ a p b a oː f ɔ ʁ t s t s ʁ ɪ t t s m ɛ s z ʊ ŋ
abbaufront	ʔ a p b a oː f ʁ ɔ n t
