'n	m
'ne	n ə
'nem	n ə m
'nen	n ə n
'ner	n ɐ
'türlich	t yː ɐ̯ l ɪ ç
a	ʔ aː
aa	aː
aachen	aː x ə n
aachener	aː x ə n ɐ
aachenerin	aː x ə n ə ʁ ɪ n
aad	aː ʔ aː d eː
aake	aː k ə
aakerbeere	aː k ɐ b eː ʁ ə
aalartig	aː l ʔ aː ɐ̯ t ɪ k
aalauge	aː l a ʊ̯ ɡ ə
aalen	aː l ə n
aalfang	ɑː l f a ŋ
aalfell	aː l f ɛ l
aalfett	aː l f ɛ t
aalfischer	aː l f ɪ ʃ ɐ
aalförmig	aː l f œ ʁ m ɪ ç
aalglatt	aː l ɡ l a t
aalgleich	aː l ɡ l a ɪ̯ ç
aalhaut	aː l h a ʊ̯ t
aalkorb	aː l k ɔ ʁ p
aalleiter	aː l l a ɪ̯ t ɐ
aalmolch	aː l m ɔ l ç
aalmutter	aː l m ʊ t ɐ
aalmuttern	aː l m ʊ t ɐ n
aalquappe	aː l k v a p ə
aalraupe	aː l ʁ a ʊ̯ p ə
aalreuse	aː l ʁ ɔ ɪ̯ z ə
aalreusen	aː l ʁ ɔ ɪ̯ z n̩
aalräucherei	aː l ʁ ɔ ɪ̯ ç ə ʁ a ɪ̯
aalräuchereien	aː l ʁ ɔ ɪ̯ ç ə ʁ a ɪ̯ ə n
aalspeer	aː l ʃ p eː ɐ̯
aalstechen	aː l ʃ t ɛ ç n̩
aalstrich	aː l ʃ t ʁ ɪ ç
aalsuppe	aː l z ʊ p ə
aaltierchen	aː l t iː ɐ̯ ç ə n
aalähnlich	aː l eː n l ɪ ç
aar	aː ɐ̯
aargau	aː ɐ̯ ɡ a ʊ̯
aase	aː z ə
aasen	aː z ə n
aaser	aː z ɐ
aasfressend	aː s f ʁ ɛ s n̩ t
aasfresser	aː s f ʁ ɛ s ɐ
aasig	aː s ɪ k
aasjäger	aː s j eː ɡ ɐ
aasjägerei	aː s j eː ɡ ə ʁ a ɪ̯
aaskäfer	aː s k eː f ɐ
aasseite	aː s z a ɪ̯ t ə
aasvogel	aː s f oː ɡ l̩
abaka	ʔ a b aː k aː
abalienation	a p ʔ a l i̯ e n a t͡s i̯ oː n
abarbeiten	a b a ʁ b a ɪ̯ t ə n
abartig	a p a ʁ t ɪ k
abartung	a p ʔ aː ɐ̯ t ʊ ŋ
abaton	a b a t ɔ n
abaxial	a p ʔ a k s i̯ aː l
abbaggerung	a p b a ɡ ə ʀ ʊ ŋ
abbasidische	a b a z iː d ɪ ʃ ə
abbaubar	a p b a ʊ̯ b aː ʁ
abbaubarkeit	a p b a ʊ̯ b aː ɐ̯ k a ɪ̯ t
abbauen	a p b a ʊ̯ ə n
abbauprodukt	a p b a ʊ̯ p r o d ʊ k t
abbeissen	a p b a ɪ̯ s ə n
abbeißen	a p b a ɪ̯ s n̩
abberufung	a p b ə ʁ uː f ʊ ŋ
abbestellen	a p b ə ʃ t ɛ l ə n
abbestellung	a p b ə ʃ t ɛ l ʊ ŋ
abbezahlen	a p b ə t s aː l ə n
abbezahlt	a b ə t s aː l t
abbezahlung	a p b ə t͡s aː l ʊ ŋ
abbiegung	a p b iː ɡ ʊ ŋ
abbildungstechnologie	a p b ɪ l d ʊ ŋ s t ɛ ç n o l o ɡ iː
abbinden	a p b ɪ n d ə n
abbiss	a p b ɪ s
abblasen	a p b l aː s n̩
abbleiben	a p b l a ɪ̯ b n̩
abblendlicht	a p b l ɛ n t l ɪ ç t
abblitzen	a p b l ɪ t͡s ə n
abblitzer	a p b l ɪ t͡s ɐ
abblühen	ʔ a p b l yː ə n
abbrecher	a p b ʁ ɛ ç ɐ
abbrennen	a p b ʁ ɛ n ə n
abbreviation	a b ʁ e v i̯ a t͡s i̯ oː n
abbreviatur	a b ʁ e v i̯ a t uː ɐ̯
abbruch	a p b ʁ ʊ χ
abbruchbirne	a p b ʁ ʊ x b ɪ ʁ n ə
abbruchkante	a p b ʁ ʊ x k a n t ə
abbrummen	a p b ʁ ʊ m ə n
abbusseln	a p b ʊ s l̩ n
abc	a b e t s eː
abcashen	a p k ɛ ʃ n̩
abchasisch	a p χ aː z ɪ ʃ
abchecken	a p t͡ʃ ɛ k n̩
abdachen	a p d a x n̩
abdampfen	a p d a m p͡f n̩
abdampfentöler	a p d a m p f ɛ n t øː l ɐ
abdanken	ʔ a p d a ŋ k ŋ̩
abdankung	a p d a ŋ k ʊ ŋ
