'n	m
'ne	n ə
'nem	n ə m
'nen	n ə n
'ner	n ɐ
'türlich	t yː ɐ̯ l ɪ ç
a	ʔ aː
aad	aː ʔ aː d eː
abc	a b e t s eː
adhs	aː d eː h aː ʔ ɛ s
akh	a k a h aː
alg	aː ʔ ɛ l ɡ eː
asean	aː z e a n
aa	aː
aachen	aː x ə n
aachener	aː x ə n ɐ
aachenerin	aː x ə n ə ʁ ɪ n
aake	aː k ə
aakerbeere	aː k ɐ b eː ʁ ə
aal	aː l
aalauge	aː l a ʊ̯ ɡ ə
aale	ʔ aː l ə
aalen	aː l ə n
aales	ʔ aː l ə s
aalfang	ɑː l f a ŋ
aalfell	aː l f ɛ l
aalfett	aː l f ɛ t
aalfischer	aː l f ɪ ʃ ɐ
aalhaut	aː l h a ʊ̯ t
aalkorb	aː l k ɔ ʁ p
aalleiter	aː l l a ɪ̯ t ɐ
aalmolch	aː l m ɔ l ç
aalmutter	aː l m ʊ t ɐ
aalmuttern	aː l m ʊ t ɐ n
aalquappe	aː l k v a p ə
aalraupe	aː l ʁ a ʊ̯ p ə
aalreuse	aː l ʁ ɔ ɪ̯ z ə
aalreusen	aː l ʁ ɔ ɪ̯ z n̩
aalräucherei	aː l ʁ ɔ ɪ̯ ç ə ʁ a ɪ̯
aalräuchereien	aː l ʁ ɔ ɪ̯ ç ə ʁ a ɪ̯ ə n
aals	ʔ aː l s
aalspeer	aː l ʃ p eː ɐ̯
aalstechen	aː l ʃ t ɛ ç n̩
aalstrich	aː l ʃ t ʁ ɪ ç
aalsuppe	aː l z ʊ p ə
aaltierchen	aː l t iː ɐ̯ ç ə n
aar	aː ɐ̯
aargau	aː ɐ̯ ɡ a ʊ̯
aas	aː s
aase	aː z ə
aaser	aː z ɐ
aasfresser	aː s f ʁ ɛ s ɐ
aasjäger	aː s j eː ɡ ɐ
aasjägerei	aː s j eː ɡ ə ʁ a ɪ̯
aaskäfer	aː s k eː f ɐ
aasseite	aː s z a ɪ̯ t ə
aasvogel	aː s f oː ɡ l̩
abaka	ʔ a b aː k aː
abalienation	a p ʔ a l i̯ e n a t͡s i̯ oː n
abartung	a p ʔ aː ɐ̯ t ʊ ŋ
abaton	a b a t ɔ n
abbaggerung	a p b a ɡ ə ʀ ʊ ŋ
abbaubarkeit	a p b a ʊ̯ b aː ɐ̯ k a ɪ̯ t
abbauprodukt	a p b a ʊ̯ p r o d ʊ k t
abbeissen	a p b a ɪ̯ s ə n
abberufung	a p b ə ʁ uː f ʊ ŋ
abbestellen	a p b ə ʃ t ɛ l ə n
abbestellung	a p b ə ʃ t ɛ l ʊ ŋ
abbezahlung	a p b ə t͡s aː l ʊ ŋ
abbiegung	a p b iː ɡ ʊ ŋ
abbildung	a p b ɪ l d ʊ ŋ
abbildungstechnologie	a p b ɪ l d ʊ ŋ s t ɛ ç n o l o ɡ iː
abbinden	a p b ɪ n d ə n
abbiss	a p b ɪ s
abbitte	ʔ a p b ɪ t ə
abbitten	ʔ a p b ɪ t ə n
abblendlicht	a p b l ɛ n t l ɪ ç t
abblitzen	a p b l ɪ t͡s ə n
abblitzer	a p b l ɪ t͡s ɐ
abblühen	ʔ a p b l yː ə n
abbrecher	a p b ʁ ɛ ç ɐ
abbrennen	a p b ʁ ɛ n ə n
abbreviation	a b ʁ e v i̯ a t͡s i̯ oː n
abbreviatur	a b ʁ e v i̯ a t uː ɐ̯
abbruch	a p b ʁ ʊ χ
abbruchbirne	a p b ʁ ʊ x b ɪ ʁ n ə
abbruchkante	a p b ʁ ʊ x k a n t ə
abchasisch	a p χ aː z ɪ ʃ
abdampfentöler	a p d a m p f ɛ n t øː l ɐ
abdankung	a p d a ŋ k ʊ ŋ
abdankungsgrund	a p d a ŋ k ʊ ŋ s ɡ ʁ ʊ n t
abdankungsgrundes	a p d a ŋ k ʊ ŋ s ɡ ʁ ʊ n d ə s
abdankungsgründe	a p d a ŋ k ʊ ŋ s ɡ ʁ ʏ n d ə
abdeckung	a p d ɛ k ʊ ŋ
abdomen	a p d oː m ə n
abdomens	a p d oː m ə n s
abdomina	a p d oː m i n a
abdruck	a p d ʁ ʊ k
abduktor	a p d ʊ k t oː ɐ̯
abend	aː b ə n t
abendbrot	aː b ə n t b r oː t
abendessen	aː m t ɛ s ə n
abendgrauen	aː b ə n t ɡ r a ʊ̯ ə n
abendkasse	aː b ə n t k a s ə
abendkleider	aː b ə n t k l a ɪ̯ d ɐ
