bbr	b aː b i l u
bbt	b ɛ b ɛ t
bbwt	b ɛ b uː t
bdt	b ɛ d ɛ t
bdš	b ɛ d ɛ ʃ
bgs	b ɛ ɡ ɛ s
bhd	b ɛ h ɛ d
bhn	b ɛ h ɛ n
bht	b ɛ h ɛ t
bhꜣ	b ɛ h ɑ
bhꜣw	b ɛ h ɑ uː
bjf	b i f
bjk	b aː j V k
bjn	b aː j i n
bjnt	b a j n V t
bjrwnygꜣt	b i r uː n iː ɡ ɑ t
bjt	b i j a t
bjtj	b i j aː t V j
bjꜣ	b i ɑ
bjꜣt	b i ɑ t
bjꜣyt	b i ɑ iː t
bkꜣ	b ɛ k ɑ
bn	b ɛ n
bnbnt	b ɛ n b ɛ n ɛ t
bnr	b i n i j
bns	b ɛ n ɛ s
bntj	b ɛ n t i
bntwt	b ɛ n t uː t
bnw	b ɛ n uː
bnš	b ɛ n ɛ ʃ
brwgtj	b ɛ r uː ɡ t i
bs	b ɛ s
btj	b ɛ t i
btꜣ	b ɛ t ɑ
bw	b uː
bwt	b uː t
bwtj	b uː t i
bzj	b ɛ z i
bšj	b ɛ ʃ i
bšṯ	b ɛ ʃ ɛ t͡ʃ
bḥ	b ɛ h
bḥdt	b ɛ h d ɛ t
bḥn	b ɛ h ɛ n
bḥnj	b ɛ h ɛ n i
bḥnt	b ɛ h n ɛ t
bḥs	b ɛ h ɛ s
bḥw	b ɛ h uː
bḥz	b ɛ h ɛ z
bḫnt	b ɛ x n ɛ t
bṯ	b ɛ t͡ʃ
bẖbẖ	b ɛ ç b ɛ ç
bꜣ	b e j
bꜣbꜣrw	b ɑ b ɑ r uː
bꜣgj	b i ʀ kʼ i t
bꜣgsw	b ɑ ɡ s uː
bꜣj	b ɑ i
bꜣjr	b ɑ i r
bꜣk	b aː ʀ a k
bꜣkt	b a ʀ k a t
bꜣkw	b a ʀ k u w
bꜣkꜣ	b ɑ k ɑ
bꜣs	b ɑ s
bꜣst	b ɑ s ɛ t
bꜣstt	b u ʀ i s t i t
bꜣt	b aː ʀ a t
