a cappella	ˌ ɑ k ə ˈ p ɛ l ə
a closed mouth gathers no feet	ə ˈ k l oʊ z d ˌ m aʊ θ ˈ ɡ æ ð ɚ z n oʊ ˈ f iː t
a day after the fair	ə ˈ d eɪ ˌ æ f t ɚ ð ə ˈ f ɛ ɚ
a for effort	ˈ eɪ f ə ɹ ˈ ɛ f ɚ t
a fortiori	ˌ eɪ ˌ f o ɹ ʃ i ˈ o ɹ ˌ aɪ
a friend in need is a friend indeed	ə ˌ f ɹ ɛ n d ə n ˈ n i d ɪ z ə ˌ f ɹ ɛ n d ɪ n ˈ d i d
a la	ɑ l ɑ
a little bird told me	ə ˌ l ɪ t l b ɜ ɹ d ˈ t oʊ l d m i
a little bit of bread and no cheese	ə ˈ l ɪ t l ˈ b ɪ t ə v ˈ b ɹ ɛ d n̩ n oʊ ˈ t͡ʃ i z
a lot	ə ˈ l ɑ t
a priori	ˌ ɑ p ɹ i ˈ o ɹ i
a quo	ɑ ˈ k w oʊ
a ton	ə ˈ t ɑ n
a whole nother	ə ˈ h oʊ l ˌ n ʌ ð ə ɹ
a woman needs a man like a fish needs a bicycle	ə ˈ w ʊ m ə n ˌ n i d z ə ˈ m æ n l aɪ k ə ˈ f ɪ ʃ ˌ n i d z ə ˈ b aɪ ˌ s ɪ k ə l
a woman without a man is like a fish without a bicycle	ə ˈ w ʊ m ə n w ɪ ð ˌ aʊ t ə ˈ m æ n ɪ z l aɪ k ə ˈ f ɪ ʃ w ɪ ð ˌ aʊ t ə ˈ b aɪ ˌ s ɪ k ə l
a-burton	ə ˈ b ɝ t n̩
a-hole	ˈ eɪ h oʊ l
a-list	ˈ eɪ ˌ l ɪ s t
a-okay	ˌ eɪ oʊ ˈ k eɪ
a-sharp major	ˈ eɪ ʃ ɑ ɹ p ˈ m eɪ d ʒ ɚ
a-sharp minor	ˈ eɪ ʃ ɑ ɹ p ˈ m aɪ n ɚ
aa	ˈ ɑ ɑ
aabenraa	ˈ ɔ b ə n ˌ ɹ ɔ
aabomycin	ˌ æ b oʊ ˈ m aɪ s ɪ n
aachen	ˈ ɑ k ə n
aacom	ˈ eɪ k ɑ m
aalborg	ˈ ɔ l ˌ b ɔ ɹ ɡ
aalii	ɑ ˈ l i ˌ i
aalst	ɑ l s t
aam	ɑ m
aandblom	ˈ ɑ n t b l ɑ m
aar	ɑ ɹ
aardvark	ˈ ɑ ɹ d v ɑ ɹ k
aardwolf	ˈ ɑ ɹ d ˌ w ʊ l f
aardwolfs	ˈ ɑ ɹ d ˌ w ʊ l f s
aardwolves	ˈ ɑ ɹ d ˌ w ʊ l v z
aare	ˈ ɑ ɹ ə
aargau	ˈ ɑ ɹ ˌ ɡ aʊ
aarhus	ˈ ɑ ɹ ˌ u s
aaron	ˈ ɛ ə ɹ ə n
aaron's beard	ˈ ɛ ɹ ə n z b ɪ ɹ d
aaron's rod	ˈ ɛ ɹ ə n z ɹ ɑ d
aaronic	æ ɹ ˈ ɑ n ɪ k
aaronical	æ ɹ ɑ ˈ n ɪ k ə l
aaronite	ˈ æ ɹ ə ˌ n aɪ t
aarp	eɪ eɪ ɑ ɹ ˈ p i
aarschot	ˈ ɑ ɹ s k ɔ t
aasvogel	ˈ ɑ s ˌ f oʊ ɡ ə l
aba	ə ˈ b ɑ
abaca	ˈ æ b ə ˌ k ɑ
abacavir	ə ˈ b æ k ə ˌ v ɪ ɹ
abaci	ˈ æ b ə ˌ k aɪ
aback	ə ˈ b æ k
abackward	ə ˈ b æ k w ə d
abacost	ˈ æ b ə k ɑ s t
abaddon	ə ˈ b æ d n̩
abaft	ə ˈ b æ f t
abaht	ə ˈ b ɑ t
abalone	æ b ə ˈ l oʊ n i
abampere	æ ˈ b æ m p ɪ ɹ
aband	ə ˈ b æ n d
abandonedly	ə ˈ b æ n d n̩ ə d l i
abandoner	ə ˈ b æ n d ə n ɚ
abapical	æ ˈ b æ p ɪ k l
abarognosis	ˌ æ b ə ɹ ə ɡ ˈ n oʊ s ɪ s
abased	ə ˈ b eɪ s t
abasedly	ə ˈ b eɪ s ə d l i
abash	ə ˈ b æ ʃ
abashedly	ə ˈ b æ ʃ ɪ d l i
abashedness	ə ˈ b æ ʃ ɪ d n ɪ s
abashless	ə ˈ b æ ʃ l ə s
abashment	ə ˈ b æ ʃ m ə n t
abatis	ˈ æ b ə t ə s
abatised	ˈ æ b ə ˌ t i d
abattoir	ˈ æ b ə ˌ t w ɑ ɹ
abattoirs	ˈ æ b ə ˌ t w ɑ ɹ s
abaza	ə ˈ b ɑ z ə
abba	ˈ æ b ə
abbess	ˈ æ b ɪ s
abbotcies	ˈ æ b ə t s i s
abbotcy	ˈ æ b ə t s i
abbreviate	ə ˈ b ɹ i v i eɪ t
abbreviated	ə ˈ b ɹ i v i ˌ eɪ t ɪ d
abbreviation	ə ˌ b ɹ i v i ˈ eɪ ʃ n̩
abbreviator	ə ˈ b ɹ i v i ˌ eɪ t ɚ
abdication	ˌ æ b d ə ˈ k eɪ ʃ ə n
abdler	ˌ eɪ ˌ b iː ˌ d iː ˈ ɛ l ɚ
abdomen	ˈ æ b d ə m ə n
abdomens	ˈ æ b d ə m ə n s
abdominal	æ b ˈ d ɑ m ə n l̩
abdominal decompression	æ b ˈ d ɑ m ə n ə l d i k ə m ˈ p ɹ ɛ ʃ ə n
abdominal gestation	æ b ˈ d ɑ m ə n l̩ d͡ʒ ɛ ˈ s t eɪ ʃ n̩
abdominal inguinal ring	æ b ˈ d ɑ m ə n l̩ ˈ ɪ ŋ ɡ w ɪ n l̩ ɹ ɪ ŋ
abdominal muscle	æ b ˈ d ɑ m ə n l̩ ˈ m ʌ s l̩
abdominal quadrant	æ b ˈ d ɑ m ə n l̩ ˈ k w ɑ d ɹ n̩ t
abdominal reflex	æ b ˈ d ɑ m ə n l̩ ˈ ɹ i f l ɜ k s
abdominal section	æ b ˈ d ɑ m ə n l̩ ˈ s ɜ k ʃ n̩
abdominalia	ˌ æ b d ɑ m ɪ ˈ n eɪ l i ə
abdominous	æ b ˈ d ɑ m ə n ə s
abduced	æ b ˈ d u s t
abducens	æ b ˈ d u ˌ s ɛ n z
abducens nerve	æ b ˈ d u ˌ s ɛ n z ˌ n ɝ v
abductee	ˌ æ b d ʌ k ˈ t i
abduction	æ b ˈ d ʌ k ʃ n̩
abdul	ə b ˈ d ʊ l
abdullah	ˌ ɑ b d ʊ l ˈ ɑ
abeam	ə ˈ b i m
abear	ə ˈ b ɛ ɹ
abecedarian	ˌ eɪ b i ˌ s i ˈ d ɛ ɹ i ə n
abecedary	ˌ eɪ b i ˈ s i d ɚ i
abed	ə ˈ b ɛ d
abele	ə ˈ b i l
abelmosk	ˈ eɪ b ə l ˌ m ɑ s k
abelonian	ˌ æ b ə ˈ l oʊ n i ə n
abeng	ə ˈ b ɛ ŋ
abercrombie	ˈ æ b ɚ ˌ k ɹ ɑ m b i
aberdare	ˌ æ b ə ɹ ˈ d ɛ ɹ
aberdeen	ˌ æ b ɚ ˈ d i n
abernant	ˈ æ b ɚ n ə n t
aberr	ə ˈ b ɝ
aberrant	ə ˈ b ɛ ɹ ə n t
aberrants	ə ˈ b ɛ ɹ ə n t
abetter	ə ˈ b ɛ t ɚ
abettor	ə ˈ b ɛ t ɚ
abhisheka	ˌ ə b ɪ ˈ ʃ eɪ k ə
abhor	æ b ˈ h ɔ ɹ
abhorred	æ b ˈ h ɔ ɹ d
abhorrence	æ b ˈ h ɔ ɹ n̩ s
abhorrent	æ b ˈ h ɔ ɹ ə n t
abhorrer	æ b ˈ h ɔ ɹ ɚ
abide	ə ˈ b aɪ d
abided	ə ˈ b aɪ d ə d
abides	ə ˈ b aɪ d s
abies	ˈ eɪ b i ˌ i z
abigail	ˈ a b ɪ ɡ eɪ l
