achab	aː k a b
adam	a d a m
antecrist	a n t i k r iː s t
aprill	a p r iː l
artoys	a r t ɔ i̯ s
aschewednysday	a s k w ɛ d n z d ɛ i
barrokschire	b a r k ʃ iː r
bathe	b aː ð
bedeford	b ɛ d f oː r d
bedefordschire	b ɛ d f oː r d ʃ iː r
bethleem	b ɛ d l eː m
boloyne	b u l i n
boseham	b ɔ z h a m
breteyn	b r ɛ t æ i̯ n
bristowe	b r i s t ɔ u̯
burgoyne	b u r ɡ i u̯ n
cales	k æ l ə s
caleys	k a l i s
cante	k a n t
cantebrigge	k a m b r i d͡ʒ
cantebriggeschire	k a m b r i d͡ʒ ə ʃ iː r
carlele	k a r l eː l
caunterbury	k a n t ə r b u r iː
charlewayn	t ʃ a r l ə s w æ i̯ n
chaucer	t͡ʃ a u̯ s eː r
cherborow	t͡ʃ ɛ r b u r uː
chestre	t͡ʃ ɛ s t r ə
chestreschire	t͡ʃ ɛ s t r ə ʃ iː r
coloyne	k u l i n
cornwayle	k ɔ r n w aː l
crist	k r i s t
cristemasse	k r i s m a s
cristen	k r i s t iː n
cristendom	k r i s t ə n d ɔ m
cristenhode	k r i s t ɛ n h ɔː d
cristien	k r i s t i ɛː n
cristiente	k r i s t i a n i t eː
dane	d aː n
dauid	d aː v i d
dauphin	d a u̯ f iː n
denemarke	d a n m a r k
depe	d eː p
derby	d a r b iː
derbyschire	d a r b i ʃ iː r
dorsete	d ɔ r s ɛ t
duch	d i u̯ t ʃ
duchish	d i u̯ t͡ʃ i ʃ
edward	ɛ d w a r d
ely	eː l iː
engelond	ɛ n ɡ ə l ɔ̝ː n d
engle	ɛ n ɡ l ə
englisch	i n ɡ l i ʃ
europe	ɛ u̯ r ɔː p
eve	eː v
everwik	ɛ v ə r w i k
fraunce	f r a n s
friday	f r eː d æ i̯
furie	f i u̯ r iː
geffrey	d͡ʒ ɛ f r æ i̯
georgie	d͡ʒ ɔː r d͡ʒ iː
germanie	d͡ʒ ɛ r m a n iː
hampteschire	h a m p t ə ʃ iː r
hereford	h ɛ r f oː r d
herefordschire	h ɛ r f oː r d ʃ iː r
hertford	h ɛ r f oː r d
hertfordschire	h ɛ r f oː r d ʃ iː r
humbre	h u m b r ə
i	i
iair	i a iː r
inde	i n d
irish	iː r i ʃ
irisshman	iː r i ʃ m a n
irlond	iː r l ɔ n d
iseland	iː s l a n d
israel	i z r a ɛ l
jafeth	d ʒ aː f ɛ t
james	d ʒ aː m
jew	d͡ʒ i u̯
jewery	d ʒ i u̯ r iː
jewesse	d ʒ i u̯ ɛ s
jewly	d ʒ i u̯ l iː
jhesu	d ʒ eː z i u̯
jhesus	d ʒ eː z u s
john	d͡ʒ ɔː a n
jude	d ʒ i u̯ d eː
judew	j uː d ɛ u̯
judewissh	j uː d ɛ u̯ i ʃ
juno	d͡ʒ i u̯ n oː
kent	k ɛ n t
knout	k n uː t
lancastreschire	l a n k a s t r ə ʃ iː r
latyn	l a t i n
ledes	l eː d ə s
lemynster	l œ m i n s t ə r
lettowe	l ɛ t ɔ u̯
lincolne	l i n k ə l
lincolneschire	l i n k ə l n ə ʃ iː r
londoun	l u n d u n
lucifer	l i u̯ s i f ə r
lyde	l eː d
macomet	m a k ɔ m ɛ t
mahown	m a h uː n
malverne	m a l v ə r n
marie	m a r iː
mars	m a r s
mercurie	m a r k i u̯ r iː
messyas	m ɛ s iː
michel	m i t͡ʃ a ɛː l
michelmasse	m i x ə l m a s
monday	m oː n d æ i̯
muse	m i u̯ z
neptunus	n ɛ p t i u̯ n u s
newgate	n i u̯ ə ɡ aː t
nicholas	n i k ɔ l a s
normand	n ɔ r m a n d
normandie	n ɔ r m a n d iː
northfolk	n ɔ r f ɔ l k
northhumbre	n ɔ r θ h u m b r ə
northumberlond	n ɔ r θ h u m b ə r l ɔ̝ː n d
nowel	n ɔ u̯ ɛ l
ostrich	ɔ s t r iː k
oxenford	ɔ k s ə f oː r d
oxenfordschire	ɔ k s ə n f oː r d ʃ iː r
pan	p a n
paradys	p a r a d i s
parays	p a r a iː s
parys	p a r i s
pask	p a s k
pentecoste	p ɛ n t k ɔ s t
peter	p eː t ə r
phebe	f eː b eː
phebus	f ɛː b u s
picardie	p i k a r d iː
poul	p uː l
