a	a
abadiano	a b a d i a n o
abendu	a b e n d u
abendualdi	a b e n d u a l d i
aberasturi	a b e ɾ a s̺ t u ɾ i
abkhazia	a b k a s̻ i a
aboitiz	a b o i̯ t i s̺
abundi	a b u n d i
abundio	a b u n d i o
adolba	a d o l b a
afganistan	a f ɡ a n i s̺ t a n
afganistanek	a f ɡ a n i s̺ t a n e k
agirre	a ɡ i r e
agoitz	a ɡ o i̯ t͡s̻
aimar	a i̯ m a r
ainara	a i̯ n a ɾ a
aingeru	a i̯ n ɡ e ɾ u
ainhoa	a i̯ n o a
aintzane	a i̯ n t͡s̻ a n e
aitor	a i̯ t o r
aitziber	a i̯ t͡s̻ i b e r
aitzol	a i̯ t͡s̻ o l
aketx	a k e t͡ʃ
aketza	a k e t͡s̻ a
akitania	a k i t a n i a
alain	a l a i̯ n
albania	a l b a n i a
alemania	a l e m a n i a
algarbe	a l ɡ a r b e
aljeria	a l x e ɾ i a
altsasu	a l t͡s̺ a s̺ u
altzaga	a l t͡s̻ a ɡ a
amaia	a m a i̯ a
andaia	a n d a i̯ a
andaluzia	a n d a l u s̺ i a
ander	a n d e r
andoain	a n d o a i̯ n
andoni	a n d o n i
andorra	a n d o r a
angola	a n ɡ o l a
antartika	a n t a r t i k a
antigua	a n t i ɡ w a
anton	a n t o n
antsoain	a n t͡s̺ o a i̯ n
antton	a n c o n
antxieta	a n t͡ʃ i e t a
antxon	a n t͡ʃ o n
apolo	a p o l o
araba	a ɾ a b a
arantxa	a ɾ a n t͡ʃ a
arantzazu	a ɾ a n t͡s̻ a s̺ u
arbona	a r b o n a
arellano	a ɾ e ʎ a n o
argentina	a r ɡ e n t i n a
aristotele	a ɾ i s̺ t o t e l e
armenia	a r m e n i a
arnaut	a r n a u̯ t
aroztegi	a ɾ o s̺ t e ɡ i
arrangoitze	a r a n ɡ o i̯ t͡s̻ e
arrasate	a r a s̺ a t e
arrieta	a r i e t a
arrigorriaga	a r i ɡ o r i a ɡ a
artizarra	a r t i s̺ a r a
atena	a t e n a
australia	a u̯ s̺ t r a l i a
austria	a u̯ s̺ t r i a
azerbaijan	a s̺ e r b a i̯ d͡ʒ a n
azkarate	a s̺ k a ɾ a t e
azkarraga	a s̻ k a r a ɡ a
azkoitia	a s̺ k o i̯ t i a
azpeitia	a s̺ p e i̯ t i a
b	b e
baiona	b a i̯ o n a
bangladesh	b a n ɡ l a d e s̺
barbuda	b a r b u d a
barrundia	b a r u n d i a
basajaun	b a s̺ a d͡ʒ a u̯ n
basusarri	b a s̺ u s̺ a r i
beasain	b e a s̺ a i̯ n
belgika	b e l ɡ i k a
bentaberri	b e n t a b e r i
bentaberrik	b e n t a b e r i k
bentaberriko	b e n t a b e r i k o
bentaberrin	b e n t a b e r i n
bentaberrira	b e n t a b e r i ɾ a
bentaberriraino	b e n t a b e r i ɾ a i̯ n o
bentaberrirako	b e n t a b e r i ɾ a k o
bentaberrirantz	b e n t a b e r i ɾ a n t͡s̻
bentaberrirekin	b e n t a b e r i ɾ e k i n
bentaberriren	b e n t a b e r i ɾ e n
bentaberrirengan	b e n t a b e r i ɾ e n ɡ a n
