'tain	t ɛ̃
a'ec	a ‿ ɛ k
aalandais	a l ɑ̃ d ɛ
aalandaise	a l ɑ̃ d ɛ z
aalénien	a l e n j ɛ̃
aar	a ʁ
aaron	a a ʁ ɔ̃
aaronais	a a ʁ ɔ n ɛ
aaronaise	a a ʁ ɔ n ɛ z
aaronique	a a ʁ ɔ n i k
aaroniques	a a ʁ ɔ n i k
aas	a a
aast	a s
aastais	a s t ɛ
aastaise	a a s t ɛ z
ab	a b e
ababouiné	a b a b w i n e
ababouinée	a b a b w i n e
abaca	a b a k a
abacas	a b a k a
abaciste	a b a s i s t
abacost	a b a k ɔ s t
abactérien	a b a k t e ʁ j ɛ̃
abactérienne	a b a k t e ʁ j ɛ n
abactériémique	a b a k t e ʁ j e m i k
abacule	a b a k y l
abacules	a b a k y l
abada	a b a d a
abadai	a b a d e
abadaient	a b a d ɛ
abadais	a b a d ɛ
abadait	a b a d ɛ
abadant	a b a d ɑ̃
abadas	a b a d a
abadasse	a b a d a s
abadassent	a b a d a s
abadassiez	a b a d a s j e
abadassions	a b a d a s j ɔ̃
abade	a b a d
abader	a b a d e
abadera	a b a d ʁ a
abaderaient	a b a d ʁ ɛ
abaderais	a b a d ʁ ɛ
abaderait	a b a d ʁ ɛ
abaderas	a b a d ʁ a
abaderiez	a b a d ə ʁ j e
abaderions	a b a d ə ʁ j ɔ̃
abaderons	a b a d ʁ ɔ̃
abaderont	a b a d ʁ ɔ̃
abades	a b a d
abadiez	a b a d j e
abadions	a b a d j ɔ̃
abadons	a b a d ɔ̃
abadâmes	a b a d a m
abadât	a b a d a
abadâtes	a b a d a t
abadèrent	a b a d ɛ ʁ
abadé	a b a d e
abadées	a b a d e
abadés	a b a d e
abaient	a b ɛ
abaierait	a b e ʁ ɛ
abaieras	a b e ʁ a
abaierons	a b e ʁ ɔ̃
abainville	a b ɛ̃ v i l
abainvillois	a b ɛ̃ v i l w a
abainvilloise	a b ɛ̃ v i j w a z
abaissa	a b e s a
abaissable	a b e s a b l
abaissables	a b e s a b l
abaissai	a b e s e
abaissaient	a b e s ɛ
abaissais	a b e s ɛ
abaissait	a b e s ɛ
abaissant	a b e s ɑ̃
abaissante	a b e s ɑ̃ t
abaissants	a b e s ɑ̃
abaissas	a b e s a
abaissasse	a b e s a s
abaissassent	a b e s a s
abaissasses	a b e s a s
abaissassiez	a b e s a s j e
abaissassions	a b e s a s j ɔ̃
abaissera	a b e s ʁ a
abaisserai	a b e s ʁ e
abaisseraient	a b e s ʁ ɛ
abaisserais	a b e s ʁ ɛ
abaisserait	a b e s ʁ ɛ
abaisseras	a b e s ʁ a
abaisserez	a b e s ʁ e
abaisseriez	a b e s ə ʁ j e
abaisserions	a b e s ə ʁ j ɔ̃
abaisserons	a b e s ʁ ɔ̃
abaisseront	a b e s ʁ ɔ̃
abaisses	a b ɛ s
abaisseur	a b e s œ ʁ
abaisseurs	a b e s œ ʁ
abaisseuse	a b e s ø z
abaissez	a b e s e
abaissiez	a b e s j e
abaissions	a b e s j ɔ̃
abaissons	a b e s ɔ̃
abaissâmes	a b e s a m
abaissât	a b e s a
abaissâtes	a b e s a t
abaissèrent	a b e s ɛ ʁ
abaissée	a b e s e
abaissées	a b e s e
abaissés	a b e s e
abajoue	a b a ʒ u
abala	a b a l a
abalaient	a b a l ɛ
abalant	a b a l ɑ̃
abalassions	a b a l a s j ɔ̃
abaler	a b a l e
abaleriez	a b a l ə ʁ j e
abales	a b a l
abaliez	a b a l j e
abaliéna	a b a l j e n a
abaliénai	a b a l j e n e
abaliénaient	a b a l j e n ɛ
abaliénais	a b a l j e n ɛ
abaliénait	a b a l j e n ɛ
abaliénant	a b a l j e n ɑ̃
abaliénas	a b a l j e n a
abaliénasse	a b a l j e n a s
abaliénasses	a b a l j e n a s
abaliénassions	a b a l j e n a s j ɔ̃
abaliénation	a b a l j e n a s j ɔ̃
abaliénations	a b a l j e n a s j ɔ̃
abaliéner	a b a l j e n e
abaliénera	a b a l j ɛ n ʁ a
abaliénerai	a b a l j ɛ n ʁ e
abaliéneraient	a b a l j ɛ n ʁ ɛ
abaliénerais	a b a l j ɛ n ʁ ɛ
abaliénerait	a b a l j ɛ n ʁ ɛ
abaliéneras	a b a l j ɛ n ʁ a
abaliénerez	a b a l j ɛ n ʁ e
abaliéneriez	a b a l j e n ə ʁ j e
abaliénerions	a b a l j e n ə ʁ j ɔ̃
abaliénerons	a b a l j ɛ n ʁ ɔ̃
abaliéneront	a b a l j ɛ n ʁ ɔ̃
abaliénez	a b a l j e n e
abaliéniez	a b a l j e n j e
abaliénions	a b a l j e n j ɔ̃
abaliénons	a b a l j e n ɔ̃
abaliénâmes	a b a l j e n a m
abaliénât	a b a l j e n a
abaliénâtes	a b a l j e n a t
abaliénèrent	a b a l j e n ɛ ʁ
abaliéné	a b a l j e n e
abaliénée	a b a l j e n e
abaliénées	a b a l j e n e
abaliénés	a b a l j e n e
abalogeaient	a b a l ɔ ʒ ɛ
abalogeant	a b a l ɔ ʒ ɑ̃
abalogeas	a b a l ɔ ʒ a
abalogeasses	a b a l ɔ ʒ a s
abaloger	a b a l ɔ ʒ e
abalogerais	a b a l ɔ ʒ ʁ ɛ
abalogeras	a b a l ɔ ʒ ʁ a
abalogerons	a b a l ɔ ʒ ʁ ɔ̃
abalogeât	a b a l ɔ ʒ a
abalogèrent	a b a l ɔ ʒ ɛ ʁ
abalone	a b a l ɔ n
abalones	a b a l ɔ n
abalourdir	a b a l u ʁ d i ʁ
abalée	a b a l e
abalés	a b a l e
abancourt	a b ɑ̃ k u ʁ
abancourtois	a b ɑ̃ k u ʁ t w a
abancourtoise	a b ɑ̃ k u ʁ t w a z
abancourtoises	a b ɑ̃ k u ʁ t w a z
abandonnable	a b ɑ̃ d ɔ n a b l
abandonnai	a b ɑ̃ d ɔ n e
abandonnais	a b ɑ̃ d ɔ n ɛ
abandonnas	a b ɑ̃ d ɔ n a
abandonnasse	a b ɑ̃ d ɔ n a s
abandonnassent	a b ɑ̃ d ɔ n a s
abandonnasses	a b ɑ̃ d ɔ n a s
abandonnassiez	a b ɑ̃ d ɔ n a s j e
abandonnassions	a b ɑ̃ d ɔ n a s j ɔ̃
abandonnataire	a b ɑ̃ d ɔ n a t ɛ ʁ
abandonnataires	a b ɑ̃ d ɔ n a t ɛ ʁ
abandonnateur	a b ɑ̃ d ɔ n a t œ ʁ
abandonnateurs	a b ɑ̃ d ɔ n a t œ ʁ
abandonnatrice	a b ɑ̃ d ɔ n a t ʁ i s
abandonnatrices	a b ɑ̃ d ɔ n a t ʁ i s
abandonnements	a b ɑ̃ d ɔ n m ɑ̃
abandonnerai	a b ɑ̃ d ɔ n ʁ e
abandonneraient	a b ɑ̃ d ɔ n ʁ ɛ
abandonnerais	a b ɑ̃ d ɔ n ʁ ɛ
abandonnerait	a b ɑ̃ d ɔ n ʁ ɛ
abandonneras	a b ɑ̃ d ɔ n ʁ a
abandonnerez	a b ɑ̃ d ɔ n ʁ e
abandonnerions	a b ɑ̃ d ɔ n ə ʁ j ɔ̃
abandonnerons	a b ɑ̃ d ɔ n ʁ ɔ̃
abandonneront	a b ɑ̃ d ɔ n ʁ ɔ̃
abandonneur	a b ɑ̃ d ɔ n œ ʁ
abandonneurs	a b ɑ̃ d ɔ n œ ʁ
abandonneuse	a b ɑ̃ d ɔ n ø z
abandonneuses	a b ɑ̃ d ɔ n ø z
abandonnions	a b ɑ̃ d ɔ n j ɔ̃
abandonnique	a b ɑ̃ d ɔ n i k
abandonniques	a b ɑ̃ d ɔ n i k
abandonnons	a b ɑ̃ d ɔ n ɔ̃
abandonnâmes	a b ɑ̃ d ɔ n a m
abandonnâtes	a b ɑ̃ d ɔ n a t
abandonnément	a b ɑ̃ d ɔ n e m ɑ̃
abandons	a b ɑ̃ d ɔ̃
abandouna	a b ɑ̃ d u n a
abandounait	a b ɑ̃ d u n ɛ
abandounassent	a b ɑ̃ d u n a s
abandounasses	a b ɑ̃ d u n a s
abandounassions	a b ɑ̃ d u n a s j ɔ̃
abandouner	a b ɑ̃ d u n e
abandouneraient	a b ɑ̃ d u n ʁ ɛ
abandounerait	a b ɑ̃ d u n ʁ ɛ
abandounions	a b ɑ̃ d u n j ɔ̃
abandounâmes	a b ɑ̃ d u n a m
abandounées	a b ɑ̃ d u n e
abaque	a b a k
abaques	a b a k
abarticulaire	a b a ʁ t i k y l ɛ ʁ
abasie	a b a z i
abasies	a b a z i
abasourdie	a b a s u ʁ d i
abasourdir	a b a s u ʁ d i ʁ
abasourdira	a b a z u ʁ d i ʁ a
abasourdirai	a b a z u ʁ d i ʁ e
abasourdiraient	a b a z u ʁ d i ʁ ɛ
abasourdirais	a b a z u ʁ d i ʁ ɛ
abasourdirait	a b a z u ʁ d i ʁ ɛ
abasourdiras	a b a z u ʁ d i ʁ a
abasourdirent	a b a z u ʁ d i ʁ
abasourdirez	a b a z u ʁ d i ʁ e
abasourdiriez	a b a z u ʁ d i ʁ j e
abasourdirions	a b a z u ʁ d i ʁ j ɔ̃
abasourdirons	a b a z u ʁ d i ʁ ɔ̃
abasourdiront	a b a z u ʁ d i ʁ ɔ̃
abasourdis	a b a s u ʁ d i
abasourdissaient	a b a z u ʁ d i s ɛ
abasourdissais	a b a z u ʁ d i s ɛ
abasourdissait	a b a z u ʁ d i s ɛ
abasourdissant	a b a s u ʁ d i s ɑ̃
abasourdissante	a b a z u ʁ d i s ɑ̃ t
abasourdissantes	a b a z u ʁ d i s ɑ̃ t
abasourdissants	a b a z u ʁ d i s ɑ̃
abasourdisse	a b a z u ʁ d i s
abasourdissement	a b a z u ʁ d i s m ɑ̃
abasourdissent	a b a z u ʁ d i s
abasourdisses	a b a z u ʁ d i s
abasourdissez	a b a z u ʁ d i s e
abasourdissiez	a b a z u ʁ d i s j e
abasourdissions	a b a z u ʁ d i s j ɔ̃
abasourdissons	a b a z u ʁ d i s ɔ̃
abasourdîmes	a b a z u ʁ d i m
abasourdît	a b a z u ʁ d i
abasourdîtes	a b a z u ʁ d i t
abatacept	a b a t a s ɛ p t
abatant	a b a t ɑ̃
abattable	a b a t a b l
abattaient	a b a t ɛ
abattais	a b a t ɛ
