'tain	t ɛ̃
a	a
ab	a b e
abs	a b e ɛ s
ace	a s
acea	a s e a
acl	a s e ɛ l
adm	a d m
adn	a d e ɛ n
adq	a d e k y
afm	a e f ɛ m
afp	a ɛ f p e
afpc	a ɛ f p e s e
agp	a ʒ e p e
aléna	a l e n a
anp	a ɛ n p e
aoc	a o s e
api	a p e i
arn	a e ʁ ɛ n
arym	a ʁ i m
asbl	a ɛ s b e ɛ l
avc	a v e s e
azerty	a z ɛ ʁ t i
aalénien	a l e n j ɛ̃
aar	a ʁ
aaron	a a ʁ ɔ̃
aast	a s
abainville	a b ɛ̃ v i l
abancourt	a b ɑ̃ k u ʁ
abbaretz	a b a ʁ ɛ
abbasside	a b a s i d
abbecourt	a b k u ʁ
abbeville	a b v i l
abbevillois	a b v i l w a
abbevilloise	a b v i l w a z
abby	a b i
abbécourt	a b e k u ʁ
abdallah	a b d a l a
abdeslam	a b d ə s l a m
abdias	a b d i a
abdoul	a b d u l
abdoulaye	a b d u l a j
abdoulla	a b d u l a
abeau	a b o
abeille	a b ɛ j
abel	a b ɛ l
abelin	a b l ɛ̃
abelone	a b l ɔ n
aberdeen	a b ɛ ʁ d i n
abidjan	a b i d ʒ ɑ̃
abidjanais	a b i d ʒ a n ɛ
abidjanaise	a b i d ʒ a n ɛ z
abitbol	a b i t b ɔ l
abiteboul	a b i t b u l
abitibi	a b i t i b i
abitibien	a b i t i b j ɛ̃
abitibienne	a b i t i b j ɛ n
abkhaze	a b k a z
abkhazie	a b k a z i
ablon	a b l ɔ̃
ablons	a b l ɔ̃
abomey	a b ɔ m ɛ
aborigène	a b ɔ ʁ i ʒ ɛ n
abou	a b u
abraham	a b ʁ a a m
abruzzes	a b ʁ y z
absalom	a p s a l ɔ m
abyssinie	a b i s i n i
abélard	a b e l a ʁ
abélia	a b e l j a
acadiana	a k a d j a n a
acadie	a k a d i
acadien	a k a d j ɛ̃
acarnanie	a k a ʁ n a n i
accous	a k u s
achache	a ʃ a ʃ
achanti	a ʃ ɑ̃ t i
achantis	a ʃ ɑ̃ t i
achaïe	a k a i
achille	a ʃ i l
achour	a ʃ u ʁ
achoura	a ʃ u ʁ a
achéménide	a k e m e n i d
achéménès	a k e m e n ɛ s
achéron	a k e ʁ ɔ̃
acre	a k ʁ
actes	a k t
acton	a k t ɔ̃
actéon	a k t e ɔ̃
adam	a d ɑ̃
adeline	a d l i n
adiabène	a d j a b ɛ n
adimi	a d i m i
adjani	a d ʒ a n i
adolphe	a d ɔ l f
adrien	a d ʁ i j ɛ̃
adrienne	a d ʁ i j ɛ n
adèle	a d ɛ l
adélard	a d e l a ʁ
adélaïde	a d e l a i d
