abevile	a b ə v i l ə
affrique	a f ɾ i k ə
alemaigne	a l ə m a ɲ ə
alveret	a l v ə ɾ eː θ
anglois	a n ɡ l o i̯ s
brandan	b ɾ a n d a n
cantorbire	k a n t u r b i r ə
charles	t͡ʃ a ɾ l ə s
charlon	t ʃ a r l o n
cornuaille	k o r n u a ʎ ə
engleis	e n ɡ l e i̯ s
escoce	e s k o t͡s ə
estiene	e s t i͡ɛ n ə
france	f ɾ a n s ə
galois	ɡ a l o i̯ s
giu	d͡ʒ i w
grezois	ɡ ɾ ə z o i̯ s
henri	h a n ɾ i
jehan	d ʒ ə ã n
jhesu	d ʒ ə z y
marion	m a ɾ i u n
ostriche	ɔ s t r i t͡ʃ ə
paris	p a ɾ i s
peitiers	p e i̯ t j eː ɾ s
pol	p ɔ l
sarragoce	s a r a ɡ u t͡s ə
abateiz	a b a t i s
able	a b l ə
abregier	a b ɾ ə d͡ʒ j eː ɾ
abscondre	a p s k u n d ɾ ə
acater	a k a t eː ɾ
achater	a t ʃ a t eː ɾ
acheter	a t͡ʃ ə t eː ɾ
acoil	a k ɔ ʎ
acoillir	a k u ʎ i r
aconter	a k u n t eː ɾ
acort	a k ɔ ɾ t
acroistre	a k ɾ e i̯ s t ɾ ə
acueil	a k u͡ɛ ʎ
agenoillier	a d͡ʒ ə n u ʎ eː ɾ
aguisier	a ɡ y i̯ z j eː ɾ
aide	a i̯ d ə
aidier	a i̯ d j eː ɾ
aignel	a ɲ ɛ l
aigre	a i̯ ɡ ɾ ə
ainz	a i̯ n t s
aiudha	a j u ð ə
aiue	a j y ə
alemant	a l ə m a n t
alez	a l æ t s
alkimie	a l k i m j ə
almosne	a l m ɔ s n ə
aloer	a l u eː r
als	a l s
amant	a m a n t
ambe	ã m b ə
amenable	a m ə n a b l ə
ancessor	a n t͡s ə s oː ɾ
ancestre	a n t͡s ɛ s t ɾ ə
anciien	a n t͡s i j e n
andeus	a n d e u̯ s
andous	a n d o u̯ s
andui	a n d y i̯
angoisse	a n ɡ o i̯ s ə
angoissier	a n ɡ o i̯ s j eː ɾ
aost	a u s t
apelet	a p ə l æ θ
aprandre	a p ɾ a n d ɾ ə
aprendre	a p ɾ ã n d ɾ ə
aprés	a p ɾ ɛ s
aquerre	a k w ɛ r ə
arere	a ɾ eː ɾ ə
arester	a r e s t eː ɾ
argent	a ɾ d͡ʒ e n t
armeure	a ɾ m ə y ɾ ə
armeüre	a ɾ m ə y ɾ ə
armour	a ɾ m u ɾ
armure	a ɾ m y ɾ ə
arçon	a ɾ s u n
asembler	a s a m b l eː ɾ
asez	a s eː t s
asne	a s n ə
asnerez	a z n ə ɾ e t͡s
asseoir	a s ə o i̯ ɾ
auques	a w k ə s
autre	a l t ɾ ə
autrement	a l t ɾ ə m e n t
aux	a u̯ s
avancement	a v a n s ə m a n t
avancier	a v a n t͡s j eː ɾ
avoir	a v e i̯ ɾ
bacheler	b a t͡ʃ ə l eː ɾ
barre	b a r ə
baud	b a l t
beau	b ɛ̯ a w
beaus	b e̯ a w s
bel	b ɛ l
bellezour	b ɛ l ə d͡z o u̯ r
berser	b e ɾ s eː ɾ
bevrage	b ɛ v r a d͡ʒ ə
bien	b i͡ɛ n
bientost	b j ɛ n t oː t
blanc	b l a n k
blunt	b l u n t
boche	b u t ʃ ə
boiel	b o i̯ j ɛ l
bois	b o i̯ s
boiste	b o i̯ s t ə
boivre	b e i̯ v ɾ ə
bon	b u n
bone	b u n ə
borgeis	b u ɾ d ʒ e i̯ s
boschage	b o s k a d͡ʒ ə
boteille	b u t e ʎ ə
boverece	b u v ə ɾ e t͡s ə
branche	b ɾ a n t͡ʃ ə
bronie	b ɾ u n j ə
bruiere	b ɾ y j eː ɾ ə
brun	b ɾ y n
buen	b u͡ɛ n
cadhuna	k a ð u n a
carpel	k a ɾ p ɛ l
casse	k a s ə
ceinture	t͡s e i̯ n t y ɾ ə
cel	t͡s ə l
cent	s ã n t
cerchier	t͡s ɛ ɾ k eː ɾ
cercle	s ɛ ɾ k l ə
cerise	t͡s ə ɾ i z ə
cervoise	s ɛ ɾ v o̯ ɛ z ə
chace	t ʃ a t s ə
chacie	k a t͡ʃ i ə
chacier	k a t͡ʃ j eː ɾ
chaloir	t͡ʃ a l o i̯ ɾ
champ	k a m p
change	t͡ʃ a n d͡ʒ ə
chanp	t ʃ a m p
chant	t ʃ a n t
chantant	t ʃ a n t a n t
chanter	t͡ʃ a n t eː ɾ
chançon	t ʃ a n t s u n
chapele	t͡ʃ a p ɛ l ə
char	t͡ʃ a ɾ
chasse	t ʃ a s ə
chastel	t͡ʃ a s t ɛ l
chat	k a t
chauce	k a l t ʃ ə
chaucier	t͡ʃ a u̯ t͡s j eː ɾ
chauderon	t͡ʃ a u̯ d ə ɾ u n
chaudiere	t͡ʃ a u̯ d j ɛ ɾ ə
chaudun	k a l d y n
chaufer	t͡ʃ a l f eː ɾ
chaut	k a l t
cheance	k a n ʃ ə
chemin	k ə m i n
cheminee	t͡ʃ ə m i n eː ə
cheoir	k a e i̯ ɾ
chesne	t͡ʃ ɛ s n ə
cheval	t͡ʃ ə v a l
chevalerez	t͡ʃ ə v a l ə ɾ e t͡s
chevaus	t ʃ ə v a u̯ s
chevel	t͡ʃ ə v e l
cheveu	t͡ʃ ə v e l
cheville	t͡ʃ ə v i ʎ ə
chevir	t͡ʃ ə v i ɾ
chevrerez	t͡ʃ ɛ v ɾ ə ɾ e t͡s
chief	t ʃ j eː f
chien	t ʃ j ɛ n
choe	t͡ʃ ɔ ə
choete	t͡ʃ ɔ ɛ t ə
chois	t͡ʃ o i̯ s
chose	t͡ʃ o z ə
ciel	t s i͡ɛ l
cinc	t͡s i n k
cinquante	s i n k a n t ə
cisel	t͡s i z ɛ l
citeien	t s i t e i̯ j e n
citet	t s i t eː θ
cive	t͡s i v ə
clef	k l ɛ f
cler	k l eː ɾ
cloie	k l e i̯ ð ə
coaillier	k u a ʎ i̯ eː ɾ
codoin	k u ð u i̯ ɲ
coille	k u ʎ ə
coillir	k u ʎ i r
coillu	k u ʎ y
coisier	k e j z j eː ɾ
col	k ɔ l
coleiz	k u l i s
comencement	k u m a n s ə m a n t
comencier	k u m a n t͡s j eː ɾ
compaignon	k u m p a ɲ u n
concevoir	k u n t͡s ə v o i̯ ɾ
conchiier	k o n k i eː ɾ
contre	k u n t ɾ ə
contree	k u n t ɾ eː ə
cope	k u p ə
cor	k ɔ ɾ
corage	k u ɾ a d͡ʒ ə
cors	k ɔ ɾ s
cort	k u ɾ t
corteis	k u ɾ t e i̯ s
cortine	k u ɾ t i n ə
cosdre	k u z d ɾ ə
cose	k ɔ z ə
coste	k ɔ s t ə
costet	k u s t eː θ
coup	k ɔ u̯ p
covrir	k u v ɾ i ɾ
credance	k ɾ ə ð a n t͡s ə
crestienté	k ɾ ɛ s t j ɛ n t eː
crier	k ɾ i eː ɾ
croire	k ɾ e i̯ ð ɾ ə
crois	k ɾ o i̯ s
croistre	k ɾ o i̯ s t ɾ ə
croste	k ɾ u s t ə
cue	k w ɛ
cuens	k u͡ɛ n s
cuer	k w ɛ ɾ
cueudre	k w e w d r ə
cuidier	k y i̯ d j eː ɾ
culchet	k u l t ʃ æ θ
damage	d a m a d ʒ ə
dame	d a m ə
damoisele	d a m o i̯ z ɛ l ə
dampner	d a m n eːː
dangier	d a n d ʒ j eː ɾ
date	d a t ə
deable	d e a b l ə
deboissier	d e b o j s j ɛ r
deffendre	d e f a n d ɾ ə
defors	d ə f ɔ ɾ s
demain	d ə m a i̯ n
dent	d a n t
descendre	d e s t͡s a n d ɾ ə
desçandre	d e s t͡s a n d r ə
dete	d e t ə
deus	d e u̯ s
devoir	d ə v e i̯ ɾ
diemenche	d i m a n ʃ ə
dis	d i s
don	d u n
donjon	d u n d͡ʒ u n
donkes	d u n k ə s
doze	d o d͡z ə
dreit	d ɾ e i̯ t
droit	d ɾ o i̯ t
duel	d u͡ɛ l
duit	d y i̯ t
dun	d u n
eage	a a d͡ʒ ə
ef	eː f
embaudir	a m b a u̯ d i ɾ
empereor	a m p ə ɾ e u̯ ɾ
emperer	a m p ə ɾ eː ɾ
empereriz	ẽ m p ə ɾ ə ɾ i t͡s
empire	a m p i ɾ ə
emprendre	a m p ɾ a n d ɾ ə
en	a n
encombrer	e n k u m b ɾ eː ɾ
encontrer	e n k u n t ɾ eː ɾ
endurer	e n d y ɾ eː ɾ
enemi	ã n ə m i
enfant	ã n f ã n t
enfes	a n f ə s
engignement	a n ʒ i ɲ ə m a n t
enoindre	e n u i̯ n d ɾ ə
ensemble	a n s a m b l ə
entendre	a n t a n d ɾ ə
envair	a n v a i ɾ
erbe	ɛ ɾ b ə
eschauder	e k a u̯ d e ɾ
escheoir	e s t͡ʃ ə o i̯ ɾ
esclipsement	e k l i p s ə m ã n t
escroe	e k r u ə
escuier	e s k y j eː ɾ
