's	s̪
afganastan	a f ɣ a n ə s t̪ aː n
afghanastàn	a f ɣ a n ə s t̪ aː n
aifreann	a f ɾʲ ə n̪ˠ
aigneas	a kʲ n̪ ə s̪
ailean	a l a n
ailidh	a l ɪ
ailig	a l ɪ kʲ
ailis	a l ɪ ʃ
aimeireagaidh	ə m ɛ ɾʲ ə k a j
airmeinea	ɛ ɾʲ m ɪ ɲ ə
alasdair	a l̪ˠ ə s̪ t̪ ə ð
alba	a l̪ˠ a p ə
albannach	a l̪ˠ a p ə n̪ˠ ə x
albàinis	a ɫ̪ p ɛː n ɪ ʃ
amhlaidh	ã ũ l̪ˠ a j
angaidh	a ŋ k ɪ
anna	a n̪ˠ a
annag	a n̪ˠ a k
anndra	ã ũ n̪ˠ t̪ ɾ ə
aodh	ɯː ɣ
aonghas	n̪ˠ ɯ ə s̪
arcaibh	a ɾ k i v
art	a rˠ t̪
asarbaideàn	a s ə r p ɪ dʲ aː n
b	p
babaidh	p a p ɪ
bachrain	b a x r ɛ ɲ
barabal	p a ɾ a p ə l̪ˠ
barraigh	p a rˠ a j
bealaruisis	b j a l̪ˠ ə r u ʃ ɪ ʃ
bealltainn	b̥ a u l̪ˠ t̪ i ɲ
beathag	b̥ ɛ h a k
beathan	pʲ a h a n
beileag	p e l a k
beilg	ə v e l e kʲ
beurla	b̥ eː rˠ l̪ˠ ə
beàrnaraigh	b̥ j aː rˠ n ə ɾ a j
bhatarsaigh	v a h t ə rˠ s̪ a i
bhreatainn	v ɾʲ ɛ h t̪ ɪ ɲ
breatainn	p ɾʲ ɛ h t̪ ɪ ɲ
brìde	b̥ ɾʲ iː tʲ ə
brìghde	b̥ ɾʲ iː tʲ ə
c	kʰ
cailean	kʰ a l a n
cailleannach	kʰ a ʎ a n̪ˠ ə x
caimbeul	kʰ a i m p ə l̪ˠ
caluim	kʰ a l̪ˠ ɪ m
calum	kʰ a l̪ˠ ə m
camshron	k a m a r ə n
caoimhe	k ɤ i v ə
carghas	kʰ a ɾ a ə s̪
catrìona	kʰ a tʰ ɾ ĩː n ə
ceana	kʲʰ ɛ n ə
ceanaidh	kʰ e n ɪ
ceilteach	cʰ e l tʲ ə x
ceit	kʰ e h t̪
ceiteag	kʰ e h tʲ a k
ceitidh	kʰ e h tʲ ɪ
chaimbeul	x a i m p ə l̪ˠ
chaluim	x a l̪ˠ ɪ m
chalum	kʰ a l̪ˠ ə m
chuimrigh	x u m u ɾ ɪ
chèitean	ç eː h tʲ a n
ciorstaidh	kʲʰ i ɾʲ s̪ t̪ ɪ
ciorstan	kʲ i rˠ s̪ t̪ a n
coinneach	kʰ ɤ ɲ ə x
colla	kʰ u l̪ˠ ə
criosaidh	kʰ ɾʲ i s̪ ɪ
crìosd	kʰ ɾʲ i ə s̪ t̪
cròthais	ə x r ɔː ɪ ʃ
cròthaisis	kʰ ɾ ɔː ɪ ʃ ɪ ʃ
cuaigear	kʰ u ə kʲ ə ɾ
cuimreach	k u m u ɾ ə x
cuimrich	k u m u ɾ ɪ ç
cuimrigh	kʰ u m u ɾ ɪ
cuimris	kʰ ɯ m ɯ rʲ ɪ ʃ
curstaidh	kʰ u rˠ s̪ t̪ ɪ
cèitean	kʰʲ eː h tʲ a n
còrnais	kʰ ɔː rˠ n̪ˠ ɪ ʃ
d	t̪
daibhidh	d̪̊ a i i
deirdre	tʲ ɛ r t ɾ ə
deòrsa	tʲ ɔː ɾ s̪ ə
dhòmhnaill	ɣ ɔ̃ː ɪ ʎ
dhòmhnall	ɣ̊ õː ə l̪ˠ
diardaoin	d̥ ə ɻ̥ d̪̊ ɯ̃ː ɲ
diciadain	d̥ ʒ ə kʲʰ i ə t̪ i ɲ
didòmhnaich	d̥ ʒ ə d̪̊ ɔ̃ː n ɪ ç
dihaoine	d̥ ʒ ə h ɯː ɲ ə
diluain	d̥ ʒ ə l̪ˠ ũ ə̃ ɲ
dimàirt	d̥ʲ ə m ãː rˠ s̪ t̪
diorbhail	tʲ i r i v ə l̪ˠ
disathairne	d̥ ʒ i s̪ ɑ ɑ rˠ ɲ
diùra	tʲ uː ɾ a
dochaidh	d̪̊ oː x ɪ
doileag	t̪ ɔ l a k
doilidh	t̪ ɔ l ɪ
dolaidh	t̪ ɔ l̪ˠ ɪ
