ͷ	t͡s
άρτα	a r t a
αβάγιστος	a v a ʝ i s t o s
αζιλίσης	a z i l i s e̝ s
αἰ	a i̯
αἰάκων	e a k o n
αἰάντεσι	a i̯ á n t e s i
αἰάντεσιν	a i̯ á n t e s i n
αἰάντεσσι	a i̯ á n t e s s i
αἰάντεσσιν	a i̯ á n t e s s i n
αἰάντοιιν	a i̯ á n t o i̯ i n
αἰάντοιν	a i̯ á n t o i̯ n
αἰάντοιϊν	a i̯ á n t o i̯ i n
αἰάντων	a i̯ á n t ɔː n
αἰέν	a i̯ é n
αἰήτην	a i̯ ɛ̌ː t ɛː n
αἰήτης	a i̯ ɛ̌ː t ɛː s
αἰήτου	a i̯ ɛ̌ː t uː
αἰήτῃ	a i̯ ɛ̌ː t ɛː i̯
αἰαία	a i̯ ǎ i̯ aː
αἰακίδαο	a i̯ a k í d aː o
αἰακίδης	a i̯ a k í d ɛː s
αἰακός	a i̯ a k ó s
αἰαῖος	a i̯ â i̯ o s
αἰγί	a i̯ ɡ í
αἰγίδα	a i̯ ɡ í d a
αἰγίδες	a i̯ ɡ í d e s
αἰγίδιον	a i̯ ɡ í d i o n
αἰγίλωψ	a i̯ ɡ í l ɔː p s
αἰγίνης	e ʝ i n a
αἰγίνῃ	e ʝ i n a
αἰγίοχος	a i̯ ɡ í o kʰ o s
αἰγίς	a i̯ ɡ í s
αἰγίσθοιο	a i̯ ɡ í s tʰ o i̯ o
αἰγαί	a i̯ ɡ ǎ i̯
αἰγαῖον	a i̯ ɡ â i̯ o n
αἰγαῖος	a i̯ ɡ â i̯ o s
αἰγείρινος	a i̯ ɡ ěː r i n o s
αἰγεύς	a i̯ ɡ ě u̯ s
αἰγιαλεύς	a i̯ ɡ i a l ě u̯ s
αἰγιαλοφύλαξ	a i̯ ɡ i a l o pʰ ý l a k s
αἰγιαλοῖς	a i̯ ɡ i a l ô i̯ s
αἰγιαλός	a i̯ ɡ i a l ó s
αἰγινήταις	a i̯ ɡ iː n ɛ̌ː t a i̯ s
αἰγινήτης	a i̯ ɡ iː n ɛ̌ː t ɛː s
αἰγινητῶν	a i̯ ɡ iː n ɛː t ɔ̂ː n
αἰγινῆται	a i̯ ɡ iː n ɛ̂ː t a i̯
αἰγιόχοιο	a i̯ ɡ i ó kʰ o i̯ o
αἰγοκέφαλος	a i̯ ɡ o k é pʰ a l o s
αἰγοπρόσωπος	a i̯ ɡ o p r ó s ɔː p o s
αἰγοῖν	a i̯ ɡ ô i̯ n
αἰγοῖϊν	a i̯ ɡ ô i̯ i n
αἰγυπιός	a i̯ ɡ y p i ó s
αἰγυπτία	a i̯ ɡ y p t í aː
αἰγυπτίαι	a i̯ ɡ y p t í a i̯
αἰγυπτίαιν	a i̯ ɡ y p t í a i̯ n
αἰγυπτίαις	a i̯ ɡ y p t í a i̯ s
αἰγυπτίαν	a i̯ ɡ y p t í aː n
αἰγυπτίας	a i̯ ɡ y p t í aː s
αἰγυπτίοιν	a i̯ ɡ y p t í o i̯ n
αἰγυπτίοις	a i̯ ɡ y p t í o i̯ s
αἰγυπτίου	a i̯ ɡ y p t í uː
αἰγυπτίους	a i̯ ɡ y p t í uː s
αἰγυπτίω	a i̯ ɡ y p t í ɔː
αἰγυπτίων	a i̯ ɡ y p t í ɔː n
αἰγυπτίᾳ	a i̯ ɡ y p t í aː i̯
αἰγυπτίῳ	a i̯ ɡ y p t í ɔː i̯
αἰγυπτιακός	a i̯ ɡ y p t i a k ó s
αἰγυπτιστί	a i̯ ɡ y p t i s t í
αἰγυπτιώδης	a i̯ ɡ y p t i ɔ̌ː d ɛː s
αἰγυπτιῶν	a i̯ ɡ y p t i ɔ̂ː n
αἰγυπτογενής	a i̯ ɡ y p t o ɡ e n ɛ̌ː s
αἰγωλιός	a i̯ ɡ ɔː l i ó s
αἰγόκερας	a i̯ ɡ ó k e r a s
αἰγόκερως	a i̯ ɡ ó k e r ɔː s
αἰγόλεθρος	a i̯ ɡ ó l e tʰ r o s
αἰγός	a i̯ ɡ ó s
αἰγύπτια	a i̯ ɡ ý p t i a
αἰγύπτιε	a i̯ ɡ ý p t i e
αἰγύπτιοι	a i̯ ɡ ý p t i o i̯
αἰγύπτιον	a i̯ ɡ ý p t i o n
αἰγύπτιος	a i̯ ɡ ý p t i o s
αἰγύπτῳ	a i̯ ɡ ý p t ɔː i̯
αἰγῶν	a i̯ ɡ ɔ̂ː n
αἰδέομαι	a i̯ d é o m a i̯
αἰδίλης	e ð i l i s
αἰδεῖσθαι	a i̯ d êː s tʰ a i̯
αἰδηψός	a i̯ d ɛː p s ó s
αἰδοί	a i̯ d ǒ i̯
αἰδοίη	a i̯ d ǒ i̯ ɛː
αἰδοίοισιν	a i̯ d ǒ i̯ o i̯ s i n
αἰδοῖ	a i̯ d ô i̯
αἰδοῖα	a i̯ d ô i̯ a
αἰδοῖον	a i̯ d ô i̯ o n
αἰδοῖος	a i̯ d ô i̯ o s
αἰδοῦς	a i̯ d ûː s
αἰδός	a i̯ d ó s
αἰδώς	a i̯ d ɔ̌ː s
αἰδῶ	a i̯ d ɔ̂ː
αἰεί	a i̯ ěː
αἰείμνηστα	a i̯ ěː m n ɛː s t a
αἰείμνηστε	a i̯ ěː m n ɛː s t e
αἰείμνηστοι	a i̯ ěː m n ɛː s t o i̯
αἰείμνηστον	a i̯ ěː m n ɛː s t o n
αἰείμνηστος	a i̯ ěː m n ɛː s t o s
αἰειγενέτης	a i̯ eː ɡ e n é t ɛː s
αἰειγενετάων	a i̯ eː ɡ e n e t ǎː ɔː n
αἰειμνήστοιν	a i̯ eː m n ɛ̌ː s t o i̯ n
αἰειμνήστοις	a i̯ eː m n ɛ̌ː s t o i̯ s
αἰειμνήστου	a i̯ eː m n ɛ̌ː s t uː
αἰειμνήστους	a i̯ eː m n ɛ̌ː s t uː s
αἰειμνήστω	a i̯ eː m n ɛ̌ː s t ɔː
αἰειμνήστων	a i̯ eː m n ɛ̌ː s t ɔː n
αἰειμνήστῳ	a i̯ eː m n ɛ̌ː s t ɔː i̯
αἰειμνηστότατος	a i̯ eː m n ɛː s t ó t a t o s
αἰειμνηστότερος	a i̯ eː m n ɛː s t ó t e r o s
αἰετός	a i̯ e t ó s
αἰζηός	a i̯ z d ɛː ó s
αἰζηῶν	a i̯ z d ɛː ɔ̂ː n
αἰθάλεια	a i̯ tʰ á l eː a
αἰθάλη	a i̯ tʰ á l ɛː
αἰθάλῃ	a i̯ tʰ á l ɛː i̯
αἰθέρ'	a i̯ tʰ é r
αἰθέρα	a i̯ tʰ é r a
αἰθέρε	a i̯ tʰ é r e
αἰθέρι	a i̯ tʰ é r i
αἰθέριος	a i̯ tʰ é r i o s
αἰθέρος	a i̯ tʰ é r o s
αἰθήρ	a i̯ tʰ ɛ̌ː r
αἰθίοπος	a i̯ tʰ í o p o s
αἰθίοψ	a i̯ tʰ í o p s
αἰθαλία	a i̯ tʰ a l í aː
αἰθαλίδεω	a i̯ tʰ a l í d e ɔː
αἰθαλίδης	a i̯ tʰ a l í d ɛː s
αἰθαλίη	a i̯ tʰ a l í ɛː
αἰθαλίων	a i̯ tʰ a l í ɔː n
αἰθαλόεις	a i̯ tʰ a l ó eː s
αἰθαλός	a i̯ tʰ a l ó s
αἰθιοπία	a i̯ tʰ i o p í aː
αἰθιοπίς	a i̯ tʰ i o p í s
αἰθιοπική	a i̯ tʰ i o p i k ɛ̌ː
αἰθιοπικός	a i̯ tʰ i o p i k ó s
αἰθομένοιο	a i̯ tʰ o m é n o i̯ o
αἰθούσης	a i̯ tʰ ǔː s ɛː s
αἰθούσῃ	a i̯ tʰ ǔː s ɛː i̯
αἰθόμενος	a i̯ tʰ ó m e n o s
αἰκία	a i̯ k ǐː aː
αἰκίζω	a i̯ k í z d ɔː
αἰκατερίνη	a i̯ k a t e r ǐː n ɛː
αἰλούροιν	a i̯ l ǔː r o i̯ n
αἰλούροις	a i̯ l ǔː r o i̯ s
αἰλούρου	a i̯ l ǔː r uː
αἰλούρους	a i̯ l ǔː r uː s
αἰλούρω	a i̯ l ǔː r ɔː
αἰλούρων	a i̯ l ǔː r ɔː n
αἰλούρῳ	a i̯ l ǔː r ɔː i̯
αἰμίλιος	a i̯ m í l i o s
αἰμιλία	a i̯ m i l í aː
αἰνά	a i̯ n á
αἰνέω	a i̯ n é ɔː
αἰνήν	a i̯ n ɛ̌ː n
αἰνίγματος	a i̯ n í ŋ m a t o s
αἰνεία	a i̯ n ěː aː
αἰνείαν	a i̯ n ěː aː n
αἰνείαο	a i̯ n ěː aː o
αἰνείας	a i̯ n ěː aː s
αἰνείου	a i̯ n ěː uː
αἰνείᾳ	a i̯ n ěː aː i̯
αἰνεσίδημος	a i̯ n e s í d ɛː m o s
αἰνετός	a i̯ n e t ó s
αἰνησίδημος	a i̯ n ɛː s i d ɛː m o s
αἰνόν	a i̯ n ó n
αἰνός	a i̯ n ó s
αἰνότατε	a i̯ n ó t a t e
αἰνότατος	a i̯ n ó t a t o s
αἰνῆς	a i̯ n ɛ̂ː s
αἰνῇ	a i̯ n ɛ̂ː i̯
αἰνῶς	a i̯ n ɔ̂ː s
αἰξί	a i̯ k s í
αἰξίν	a i̯ k s í n
αἰολία	a i̯ o l í aː
αἰολίς	a i̯ o l í s
αἰολεύς	a i̯ o l ě u̯ s
αἰολικός	a i̯ o l i k ó s
αἰολόπωλος	a i̯ o l ó p ɔː l o s
αἰολόστομος	a i̯ o l ó s t o m o s
αἰπέος	a i̯ p é o s
αἰπήν	a i̯ p ɛ̌ː n
αἰπεινός	a i̯ p eː n ó s
αἰπεῖ	a i̯ p êː
αἰπόλια	a i̯ p ó l i a
αἰπόλιον	a i̯ p ó l i o n
αἰπόλος	a i̯ p ó l o s
αἰπός	a i̯ p ó s
αἰπύ	a i̯ p ý
αἰπύν	a i̯ p ý n
αἰπύς	a i̯ p ý s
αἰσάλων	a i̯ s á l ɔː n
αἰσίοδος	a i̯ s í o d o s
αἰσθάνεσθαι	a i̯ s tʰ á n e s tʰ a i̯
αἰσθάνεται	a i̯ s tʰ á n e t a i̯
αἰσθάνομαι	a i̯ s tʰ á n o m a i̯
αἰσθήσει	a i̯ s tʰ ɛ̌ː s eː
αἰσθήσεις	a i̯ s tʰ ɛ̌ː s eː s
αἰσθήσεσι	a i̯ s tʰ ɛ̌ː s e s i
αἰσθήσεσιν	a i̯ s tʰ ɛ̌ː s e s i n
αἰσθήσεων	a i̯ s tʰ ɛ̌ː s e ɔː n
αἰσθήσεως	a i̯ s tʰ ɛ̌ː s e ɔː s
αἰσθανομένων	a i̯ s tʰ a n o m é n ɔː n
αἰσθανόμενοι	a i̯ s tʰ a n ó m e n o i̯
αἰσθανόμενος	a i̯ s tʰ a n ó m e n o s
αἰσθησέοιν	a i̯ s tʰ ɛː s é o i̯ n
αἰσθητής	a i̯ s tʰ ɛː t ɛ̌ː s
αἰσθητικός	a i̯ s tʰ ɛː t i k ó s
αἰσθομένη	a i̯ s tʰ o m é n ɛː
αἰσθόμενοι	a i̯ s tʰ ó m e n o i̯
αἰσθόμενος	a i̯ s tʰ ó m e n o s
αἰσιμίδης	a i̯ s i m í d ɛː s
αἰσχίνης	a i̯ s kʰ í n ɛː s
αἰσχίονα	a i̯ s kʰ í o n a
αἰσχίονος	a i̯ s kʰ í o n o s
αἰσχίων	a i̯ s kʰ í ɔː n
αἰσχοῖν	a i̯ s kʰ ô i̯ n
αἰσχρά	a i̯ s kʰ r á
αἰσχράν	a i̯ s kʰ r ǎː n
αἰσχράς	a i̯ s kʰ r ǎː s
αἰσχρέ	a i̯ s kʰ r é
αἰσχρή	a i̯ s kʰ r ɛ̌ː
αἰσχρήμων	a i̯ s kʰ r ɛ̌ː m ɔː n
αἰσχραί	a i̯ s kʰ r ǎ i̯
αἰσχραῖν	a i̯ s kʰ r â i̯ n
αἰσχραῖς	a i̯ s kʰ r â i̯ s
αἰσχροί	a i̯ s kʰ r ǒ i̯
αἰσχροκερδής	a i̯ s kʰ r o k e r d ɛ̌ː s
αἰσχρολογία	a i̯ s kʰ r o l o ɡ í aː
αἰσχρολογίαι	a i̯ s kʰ r o l o ɡ í a i̯
αἰσχρολογίαν	a i̯ s kʰ r o l o ɡ í aː n
αἰσχρολογίας	a i̯ s kʰ r o l o ɡ í aː s
αἰσχρολόγος	a i̯ s kʰ r o l ó ɡ o s
αἰσχρολόγως	a i̯ s kʰ r o l ó ɡ ɔː s
αἰσχροποιΐα	a i̯ s kʰ r o p o i̯ í aː
αἰσχροποιέω	a i̯ s kʰ r o p o i̯ é ɔː
αἰσχροποιός	a i̯ s kʰ r o p o i̯ ó s
αἰσχροπρᾶγος	a i̯ s kʰ r o p r âː ɡ o s
αἰσχροσύνη	a i̯ s kʰ r o s ý n ɛː
αἰσχροτάτα	a i̯ s kʰ r o t á t aː
αἰσχροτάταιν	a i̯ s kʰ r o t á t a i̯ n
