a	a
aeʻo	a e̯ ʔ o
aha	a h a
ahi	a h i
ahiahi	a h i a h i
ahimakani	a h i m a k a n i
aho	a h o
ahupuaʻa	a h u p u a ʔ a
ai	a i̯
aia	a i̯ a
aigupita	a i̯ k u p i k a
aikāne	a i̯ k aː n e
aina	a i̯ n a
aka	a k a
akaaka	a k a a k a
akahele	a k a h e l e
akamai	a k a m a i̯
akaʻai	a k a ʔ a i̯
ake	a k e
akeakamai	a k e a k a m a i̯
akemāmā	a k e m aː m aː
ako	a k o
aku	a k u
akua	a k u a
akula	a k u l a
akā	a k aː
ala	a l a
alahao	a l a h a o̯
alaila	a l a i̯ l a
alakaʻi	a l a k a ʔ i
alaloa	a l a l o a
alana	a l a n a
alani	a l a n i
alanui	a l a n u i
alapaʻi	a l a p a ʔ i
alawai	a l a w a i̯
alelo	a l e l o
alika	a l i k a
aliʻi	a l i ʔ i
alo	a l o
aloha	a l o h a
ama	a m a
amo	a m o
ana	a n a
anahulu	a n a h u l u
anamanaʻo	a n a m a n a ʔ o
anapuni	a n a p u n i
anawaena	a n a w a e̯ n a
ane	a n e
ani	a n i
aniani	a n i a n i
anilā	a n i l aː
ano	a n o
anu	a n u
anuanu	a n u a n u
anuhea	a n u h e a
ao	a o̯
aokealoa	a o̯ k e a l o a
aotearoa	a o̯ k e a l o a
aouli	a o̯ u l i
apau	a p a u̯
au	a u̯
auau	a u̯ a u̯
aumiki	a u̯ m i k i
aumoe	a u̯ m o e
aupuni	a u̯ p u n i
auē	a u̯ eː
awa	a w a
awakea	a w a k e a
awatea	a w a k e a
awāwa	a w aː w a
aʻa	a ʔ a
aʻe	a ʔ e
aʻela	a ʔ e l a
aʻo	a ʔ o
aʻole	a ʔ o l e
aʻu	a ʔ u
banagaladesa	p a n a k a l a k e k a
beniamina	p e n i a m i n a
beretania	p e l e k aː n i a
betelehema	p e k e l e h e m a
botuana	p o k u a n a
burunei	p u l u n e i̯
daniela	k a n i e l a
daniʻela	k a n i ʔ e l a
doreka	k o l e k a
dāvida	k aː w i k a
e	e
ea	e a
ehu	e h u
elika	e l i k a
emi	e m i
eʻe	e ʔ e
gaberiela	k a p e l i e l a
galatia	k a l a k i a
galilaia	k a l i l a i̯ a
gaza	k a k a
