־אי	a i
־י	i
־יה	i j a
־יהו	j a h u
א	ʔ
אב	a v
אבא	a b a
אבגדי	a v ɡ a d i
אבגר	a v ɡ a r
אבגתא	a v a ɡ t a
אבד	a v a d
אבדה	a v e d a
אבדון	a v a d o n
אבה	a b a
אבהות	a b a h u t
אבהי	a v a h i
אבוב	a b u v
אבובן	a b u v a n
אבוד	a v u d
אבוי	a v o i
אבולוציה	e v o l u t͡s j a
אבולוציוני	e v o l u t͡s j o n i
אבוס	e v u s
אבות	a v o t
אבזם	a v z a m
אבזקה	a v z a k a
אבזקת	a v z a k a t
אבחה	i v χ a
אבטחה	a v t a χ a
אבטיח	a v a t i a χ
אביב	a v i v
אביה	a v i j a
אביהוד	a v i h u d
אבימלך	a v i m e l e χ
אביר	a b i ʁ
אבישלום	a v i ʃ a l o m
אבן	e b e n
אבנון	a v n u n
אבנט	a v n e t
אבנטים	a v n e t i m
אבנימוס	a v n i m o s
אבץ	a v a t͡s
אבק	a v a k
אברה	e v ʁ a
אברהם	a v r a h a m
אברם	a v ʁ a m
אבשלום	a v ʃ a l o m
אגג	a ɡ a ɡ
אגודל	a ɡ u d a l
אגוז	e ɡ o z
אגזוז	e ɡ z o z
אגם	a ɡ a m
אגן	a ɡ a n
אגס	a ɡ a s
אגרוף	e ɡ ʁ o f
אגרטל	a ɡ a ʁ t a l
אג״ח	a ɡ a χ
אדום	a d o m
אדון	a d o n
אדוני	a d o j n e j
אדיגיה	a d i ɡ e j a
אדיר	a d i ʁ
אדישות	a d i ʃ u t
אדם	a d a m
אדמה	a d a m a
אדנירם	a d o j n i r ɔ m
אדריכל	a d ʁ i χ a l
אהב	a h a v
אהבה	ʔ a h a b aː
אהד	a h a d
אהה	a h a
אהוב	a h u v
אהובה	a h u v a
אהל	a h a l
אהרן	a h a ʁ o n
או	ʔ e
אובדן	o v d a n
אובדני	o v d a n i
אובך	o v e χ
אוגר	o ɡ e ʁ
אודם	o d e m
אוהל	o h e l
אוויר	a v i ʁ
אווירה	a v i ʁ a
אוזן	o j z ɛ n
אוח	o a χ
אוטיזם	o t i z e m
אויב	o j e v
אוכל	o j χ a l
אוכלוסייה	u χ l u s i j a
אוכמנית	u χ m a n i t
אולי	u l a j
