a	aː
aach	ɔː x
aadem	ɔː t ə m
aademseppel	ɔː t ə m s e p ə l
aademsepple	ɔː t ə m s e p l ə
aadler	ɔː t l a
aagust	ɔː k u ʃ t
aam	ɔː m
aan	ɔː n
aananner	ɔː n a n a
aanannerbappe	ɔː n a n a p a p ə
aanannerbinne	ɔː n a n a p i n ə
aanannergehn	ɔː n a n a k eː n
aanbacke	ɔː n p a k ə
aanbappe	ɔː n p a p ə
aanbasse	ɔː n p a s ə
aanbiede	ɔː n p iː r ə
aanbinne	ɔː n p i n ə
aandacht	ɔː n t a x t
aandun	ɔː n t uː n
aanfang	ɔː n f a ŋ
aanfeng	ɔː n f ɛ ŋ
aanfenger	ɔː n f ɛ ŋ ɐ
aanstreiche	ɔː n ʃ t r a ɪ̯ ç ə
aanstrengung	ɔː n ʃ t r ɛ ŋ u ŋ
aanung	ɔː n u ŋ
aanzugh	ɔː n t͡s uː ç
aapehoer	ɔː p ə h oː ɐ
aarem	ɔː r ə m
aarich	ɔː r i ç
aarmel	ɔː r m l̩
aarmut	ɔː r m uː t
aarsch	ɔː ʃ
aarschback	ɔː ʃ p a k
aarschdaarem	ɔː ʃ t ɔː r ə m
aarschdäärem	ɔː ʃ t ɛː r ə m
aarschloch	ɔː ʃ l o x
aart	ɔː t
aarvet	ɔː r v ə t
aarveter	ɔː r v ə t a
abakaschi	a p a k a ʃ iː
abakatt	a p a k a t
abakattebaam	a p a k a t ə p ɔː m
abakus	aː p a k u s
abaschur	a p a ʃ uː r
abbau	a p a ʊ̯
abbildung	a p p i l d u ŋ
abhengich	a p h ɛ ŋ i ç
abiotisch	a p i oː t i ʃ
abiu	a p i ʊ̯
aborischënë	a p o r i ʃ e n e
aborischënës	a p o r i ʃ e n e s
abrass	a p r a s
achs	a k s
achse	a k s ə
acht	a x t
achteck	a x t e k
achtel	a x t l̩
achtzen	a x t͡s ə n
acker	a k a
advent	a t v ɛ n t
advente	a t v ɛ n t ə
aff	a f
affe	a f ə
afrikaaner	a f r i k ɔː n a
akaschu	a k a ʃ uː
all	a l
allmechtich	a l m e ç t i ç
als	a l s
aluminium	a l u m iː n i u m
amigo	a m iː k o
amulett	a m u l e t
angel	a ŋ ə l
anner	a n a
antrich	a n t r i ç
april	a p r i l
arschentin	a r ʃ ə n t iː n
arschentina	a r ʃ ə n t iː n a
arschentinas	a r ʃ ə n t iː n a s
arschentinisch	a r ʃ ə n t iː n i ʃ
arschentino	a r ʃ ə n t iː n o
arschentinos	a r ʃ ə n t iː n o s
asilee	a s i l eː
assaih	a s a iː
assaihpallem	a s a iː pʰ a l ə m
astre	a ʃ t r ə
asëitona	a s e ɪ̯ t oː n a
au	a ʊ̯
aue	a ʊ̯ ə
august	a ʊ̯ k u ʃ t
aussihn	a ʊ̯ s s iː n
australiaaner	a ʊ̯ ʃ t r a l i ɔː n a
australje	a ʊ̯ ʃ t r a l j ə
auto	a ʊ̯ t o
aviong	a v i ɔ ŋ
awer	a v ə ɾ
baad	p ɔː t
baade	p ɔː r ə
baadezimmer	p ɔː r ə t͡s i m ɐ
baal	p ɔː l
baam	p ɔː m
baart	p ɔː t
balke	p a l k ə
banann	p a n a n
bananne	p a n a n ə
bascharell	p a ʃ a r e l
batt	p a t
batte	p a t ə
battrich	p a t r i ç
beeder	p eː r ɐ
beel	p eː l
beem	p eː m
been	p eː n
beer	p eː ɐ
beil	p a ɪ̯ l
beise	p a ɪ̯ s ə
belche	p e l ç ə
belsnickel	p e l s n i k ə l
bentevi	p ɛ n t ə v iː
benutze	p ə n u t͡s ə
berrich	p ɛ r i ç
bia	p iː a
bias	p iː a s
bicher	p i ç a
bichs	p i k s
bier	p iː a
bild	p i l t
bildche	p i l t ç ə
bilder	p i l t a
bingje	p i ŋ j ə
bingjebaam	p i ŋ j ə p ɔː m
bingjebeemche	p i ŋ j ə p eː m ç ə
biru	p i r u
blaat	p l ɔː t
blau	p l a ʊ̯
bleive	p l a ɪ̯ v ə
bletter	p l e t a
blo	p l oː
blud	p l uː t
blude	p l uː t ə
blumm	p l u m
blumme	p l u m ə
bluse	p l uː s ə
blusje	p l u s j ə
boddem	p o r ə m
bohn	p oː n
bohne	p oː n ə
bolasch	p o l a ʃ
bolasche	p o l a ʃ ə
bolo	p o l o
bolos	p o l o s
boot	p oː t
bopp	p o p
borrich	p ɔ r i ç
borriche	p ɔ r i ç ə
brasil	p r a s iː l
brauche	p r a ʊ̯ x ə
braud	p r a ʊ̯ t
braun	p r a ʊ̯ n
breid	p r a ɪ̯ t
brenne	p r ɛ n ə
brick	p r i k
brief	p r iː f
brieh	b r iː
brille	p r i l ə
brod	p r oː t
bruch	p r u x
brumme	p r u m ə
brunne	p r u n ə
brust	p r u ʃ t
brësiliaaner	p r e s i l i ɔː n a
brësiliaanisch	p r e s i l i ɔː n i ʃ
bub	p uː p
buch	p u x
buger	p uː k ɐ
burgees	p u r k eː s
burgeese	p u r k eː s ə
burgeesin	p u r k eː s i n
buss	p u s
butter	p u t a
bäer	p ɛː a
bäerche	p ɛː a ç ə
bäre	p ɛː r ə
bärin	p ɛː r i n
bërinschela	p e r i n ʃ eː l a
bërinschelas	p e r i n ʃ eː l a s
casais	k a s a ɪ̯ s
casal	k a s a l
china	ʃ iː n a
chinees	ʃ i n eː s
chineese	ʃ i n eː s ə
chineesisch	ʃ i n eː s i ʃ
cinema	s i n eː m a
codorna	kʰ o t ɔ n a
cogumelo	k o k u m eː l o
daa	t ɔː
daab	t ɔː p
daabheet	t ɔː p h eː t
daabheit	t ɔː p h a ɪ̯ t
daaf	t ɔː f
daafe	t ɔː f ə
daafel	t ɔː f l̩
daagh	t ɔː x
daaghs	t ɔː x s
daal	t ɔː l
daarem	t ɔː r ə m
dach	t a x
dachs	t a k s
damm	t a m
damp	t a m p
dank	t a ŋ k
danke	t a ŋ k ə
dann	t a n
dart	t a t
das	t a s
daume	t a ʊ̯ m ə
de	t ə
decher	t e ç a
deer	t eː a
deere	t eː r ə
dein	t a ɪ̯ n
deitsch	t a ɪ̯ t͡ʃ
deitsche	t a ɪ̯ t͡ʃ ə
deitschem	t a ɪ̯ t͡ʃ ə m
deitscher	t a ɪ̯ t͡ʃ a
deitsches	t a ɪ̯ t͡ʃ ə s
deitschland	t a ɪ̯ t͡ʃ l a n t
deivel	t a ɪ̯ v l̩
demm	t ɛ m
denne	t ɛ n ə
der	t ɐ
dezember	t eː t͡s ɛ m p a
dich	t i ç
dick	t i k
die	t i
dier	t iː a
diere	t iː r ə
dieser	t iː s ɐ
digraf	t i k r aː f
dinn	t i n
disch	t i ʃ
do	t oː
dochter	t o x t ɐ
dod	t oː t
dorn	t ɔ n
dorrich	t ɔ ɪ ç
dorst	t ɔ ʃ t
doss	t o s
dossje	t o s j ə
draam	t r ɔː m
draum	t r a ʊ̯ m
dreen	t r eː n
drehe	t r eː ə
drei	t r a ɪ̯
dreim	t r a ɪ̯ m
dreime	t r a ɪ̯ m ə
dreive	t r a ɪ̯ v ə
dreizen	t r a ɪ̯ t͡s ə n
drinke	t r i ŋ k ə
drock	t r o k
du	t uː
dulle	t u l ə
dun	t oː n
