a	aː
aadem	ɔː t ə m
aademseppel	ɔː t ə m s e p ə l
aademsepple	ɔː t ə m s e p l ə
aadler	ɔː t l a
aagust	ɔː k u ʃ t
aandacht	ɔː n t a x t
aanfang	ɔː n f a ŋ
aanfeng	ɔː n f ɛ ŋ
aanfenger	ɔː n f ɛ ŋ ɐ
aanstreiche	ɔː n ʃ t r a ɪ̯ ç ə
aanstrengung	ɔː n ʃ t r ɛ ŋ u ŋ
aanung	ɔː n u ŋ
aanzugh	ɔː n t͡s uː ç
aapehoer	ɔː p ə h oː ɐ
aarem	ɔː r ə m
aarmel	ɔː r m l̩
aarmut	ɔː r m uː t
aarsch	ɔː ʃ
aarschback	ɔː ʃ p a k
aarschdaarem	ɔː ʃ t ɔː r ə m
aarschdäärem	ɔː ʃ t ɛː r ə m
aarschloch	ɔː ʃ l o x
aart	ɔː t
aarvet	ɔː r v ə t
aarveter	ɔː r v ə t a
abakaschi	a p a k a ʃ iː
abakatt	a p a k a t
abakattebaam	a p a k a t ə p ɔː m
abakus	aː p a k u s
abaschur	a p a ʃ uː r
abbau	a p a ʊ̯
abbildung	a p p i l d u ŋ
abiu	a p i ʊ̯
aborischënë	a p o r i ʃ e n e
aborischënës	a p o r i ʃ e n e s
abrass	a p r a s
achs	a k s
achse	a k s ə
achteck	a x t e k
achtel	a x t l̩
acker	a k a
advent	a t v ɛ n t
advente	a t v ɛ n t ə
aff	a f
affe	a f ə
afrikaaner	a f r i k ɔː n a
aluminium	a l u m iː n i u m
amigo	a m iː k o
amulett	a m u l e t
angel	a ŋ ə l
antrich	a n t r i ç
april	a p r i l
arschentina	a r ʃ ə n t iː n a
arschentinas	a r ʃ ə n t iː n a s
arschentino	a r ʃ ə n t iː n o
arschentinos	a r ʃ ə n t iː n o s
asilee	a s i l eː
assaih	a s a iː
assaihpallem	a s a iː pʰ a l ə m
astre	a ʃ t r ə
asëitona	a s e ɪ̯ t oː n a
au	a ʊ̯
aue	a ʊ̯ ə
august	a ʊ̯ k u ʃ t
australiaaner	a ʊ̯ ʃ t r a l i ɔː n a
australje	a ʊ̯ ʃ t r a l j ə
auto	a ʊ̯ t o
aviong	a v i ɔ ŋ
baad	p ɔː t
baadezimmer	p ɔː r ə t͡s i m ɐ
baal	p ɔː l
baam	p ɔː m
baart	p ɔː t
balke	p a l k ə
banann	p a n a n
bananne	p a n a n ə
bascharell	p a ʃ a r e l
batt	p a t
batte	p a t ə
battrich	p a t r i ç
beeder	p eː r ɐ
beel	p eː l
beem	p eː m
been	p eː n
beer	p eː ɐ
beil	p a ɪ̯ l
belche	p e l ç ə
belsnickel	p e l s n i k ə l
bentevi	p ɛ n t ə v iː
berrich	p ɛ r i ç
bia	p iː a
bias	p iː a s
bicher	p i ç a
bichs	p i k s
bier	p iː a
bild	p i l t
