't	ə t
aap	aː ˨ p
achte	ɑ x t ə
adverb	a t v ɛ ʁ ə p
alabonneur	ɑ l ɑ b ɔ n œ ʀ
albaanje	a l b aː n j ə
alltiits	a l t iː t͡s
alltits	a l t i t͡s
altied	ɑ l t iː t
amboss	a m b ɔ s
ambäteere̩	a m b ɛ t eː ʁ ə
amerika	a m e ʁ i k aː
ananas	a n a n a s
ananasse	a n a n a s ə
aomezeik	ɔː m ə z ɛ i̯ k
aosterberg	ɔː s t ə ʁ b æ ʁ ə ç
aostrem	ɔː s t ʁ ə m
ape̩l	a p ə l
ape̩lsiin	a p ə l s iː n
apporteere	a p ɔ ʁ t eː ʁ ə
aprikue̩s	a p ʁ i k u ə̯ s
april	ɑ p ʀ i l
apréll	a p ʀ e l
astrein	ɑ s t ʀ ɛː ˨ n
augusst	ɑ u̯ ɣ u s t
augustus	ɑ u̯ ɣ ʏ s t ə s
aunder	a u̯ n d ə ʁ
auss	a u̯ s
auv	a u̯ f
auvermännke	a u̯ v ə ʁ m æ n k ə
avvencere	ɑ v ə n s eː ʀ ə
avventouw	ɑ v ə n t ɔ ʋ
aïsch	a i̯ ʃ
aïsche	a i̯ ˦ ʃ ə
baakhaove	b aː k h ɔː v ə
baars	b aː ˨ ʁ s
baart	b aː t
baasch	b aː ˨ ʃ
backe	b a k ə
bacterie	b ɑ k t eː ² ʀ i
baer	b æː ʀ
baere	b æː ʀ ə
baerge	b æː ʁ ə ɣ ə
bakktaïnt	b a k t a i̯ ˦ n t
bakprum	b a k p ʁ u m
baktant	b a k t a n t
bal	b ɑ l
ball	b a ˦ l
balle	b ɑ l ə
banaan	b a n aː n
baolder	b ɔː l d ə ʁ
baom	b ɔ̀ː m
basstele	b a s t ə l ə
bats	b ɑ t͡s
beer	b eː ʀ
beeslue̩k	b eː s l u ə̯ k
beestlue̩k	b eː s t l u ə̯ k
bee̩rlue̩k	b e ə̯ ʁ l u ə̯ k
begenn	b ə ɣ e n
belvend	b æ l v ə n t
berg	b æ ˦ ʀ ə ç
berkelieër	b æ ʁ ə k ə l i ə̯ ʁ
bestósse	b ə s t o s ə
besöëk	b ə z ø ə̯ k
besöëke	b ə z ø ə̯ k ə
betuënong	b ə t u ə̯ n o ŋ
beuk	b øː ˦ k
bezel	b eː z ə l
be̩c͜hriipe̩	b ə ɣ ʁ iː p ə
be̩schäie̩	b ə ʃ ɛ i̯ j ə
be̩schǫǫt	b ə ʃ ɔː t
