't	ə t
aap	aː ˨ p
adverb	a t v ɛ ʁ ə p
albaanje	a l b aː n j ə
amboss	a m b ɔ s
amerika	a m e ʁ i k aː
ananas	a n a n a s
ananasse	a n a n a s ə
aosterberg	ɔː s t ə ʁ b æ ʁ ə ç
aostrem	ɔː s t ʁ ə m
ape̩l	a p ə l
ape̩lsiin	a p ə l s iː n
aprikue̩s	a p ʁ i k u ə̯ s
apréll	a p ʀ e l
augusst	ɑ u̯ ɣ u s t
auss	a u̯ s
auv	a u̯ f
auvermännke	a u̯ v ə ʁ m æ n k ə
aïsch	a i̯ ʃ
aïsche	a i̯ ˦ ʃ ə
baakhaove	b aː k h ɔː v ə
baars	b aː ˨ ʁ s
baart	b aː t
baasch	b aː ˨ ʃ
baer	b æː ʀ
baerge	b æː ʁ ə ɣ ə
bakktaïnt	b a k t a i̯ ˦ n t
bakprum	b a k p ʁ u m
baktant	b a k t a n t
ball	b a ˦ l
banaan	b a n aː n
baolder	b ɔː l d ə ʁ
beeslue̩k	b eː s l u ə̯ k
beestlue̩k	b eː s t l u ə̯ k
bee̩rlue̩k	b e ə̯ ʁ l u ə̯ k
begenn	b ə ɣ e n
belvend	b æ l v ə n t
berkelieër	b æ ʁ ə k ə l i ə̯ ʁ
besöëk	b ə z ø ə̯ k
betuënong	b ə t u ə̯ n o ŋ
bezel	b eː z ə l
be̩schǫǫt	b ə ʃ ɔː t
bie̩r	b i ə̯ ʁ
blierik	b l iː ʁ e k
blik	b l i k
blike̩r	b l i k ə ʁ
blike̩rin	b l i k ə ʁ i n
blitterswik	b l e t ə ʁ s ʋ e k
bloutsliër	b l o u̯ t s l i ə̯ ʀ
blängong	b l ɛ ŋ o ŋ
bobien	b o b iː n
bokent	b oː k ə n t
boom	b oː m
boot	b oː t
botter	b o t ə ʁ
botterting	b o t ə ʁ t i ŋ
botts	b o t͡s
bouk	b ɔ u̯ k
boum	b ɔ u̯ m
box	b o k s
boxerenk	b o k s ə ʁ e ŋ k
bree	b ʁ eː
brokeze	b ʁ oː k ə z ə
broër	b ʀ ɔ ə̯ ʁ
bruud	b ʁ u ə̯ t
bruudbäcker	b ʁ u ə̯ d b æ ˦ k ə ʁ
bruude	b ʁ u ə̯ d ə
bruudmääl	b r u ə̯ t m e ə̯ l
brämtǫl	b ʁ ɛ m t ɔ l
bräse̩m	b ʁ ɛ s ə m
brässem	b ʁ æ s ə m
brässeme	b ʁ æ s ə m ə
brö	b ʁ øː
bröck	b ʁ ø k
bröll	b ʀ ø l
bröu	b ʁ ø y̯
brą̈se̩m	b ʁ æ s ə m
buljong	b u l j o ŋ
bäcker	b æ k ə ʁ
bälflöör	b ɛ l f l øː ʁ
bärrech	b ɜ ʁ ə ç
bäärt	b e ə̯ t
bé	b e
békker	b e k ə ʁ
béër	b e ə̯ ʁ
böük	b œ y̯ k
c͜he̩bit	ɣ ə b i t
c͜hoodre̩nät	ɣ oː d ʁ ə n ɛ t
daach	d aː ˦ x
daade̩l	d aː d ə l
daag	d aː ˦ x
dakk	d a k
date̩l	d a t ə l
deeg	d eː ç
deepde	d eː b d ə
degde̩	d e ɡ d ə
delekatess	d e l ə k a t ɛ s
denk	d e ŋ k
desch	d e ʃ
detere	d eː t ə ʁ ə
dochter	d o x t ə ʁ
doeter	d ɔ ə̯ t ə ʁ
donkelheid	d o ŋ k ə l h ɛ i̯ t
