't	t
a	aː
aachtel	aː χ t e l
aadler	aː d l ɐ
aalbes	aː l b e s
aangel	aː ŋ e l
aarbecht	aː r b e χ t
aarbechter	aː r b e χ t e r
aarbechterfamill	aː r b e χ t e r f ɑ m i l
aarbechterin	aː r b e χ t e r i n
aarbechterklass	aː r b e χ t e r k l ɑ s
aarbechtsaccident	aː r b e χ t s ɑ k s i d æ n t
aarbechtsalldag	aː r b e χ t s ɑ l d aː χ
aarbechtsbedéngungen	aː r b e χ t s b ə d e ŋ u ŋ ə n
aarbechtsblat	aː r b e χ t s b l aː t
aarbechtsdag	aː r b e χ t s d aː χ
aarbechtsdokter	aː r b e χ t s d o k t ɐ
aarbechtsdoktesch	aː r b e χ t s d o k t ə ʃ
aarbechtserlabnes	aː r b e χ t s e r l aː b n e s
aarm	aː r m
aarmut	aː m u t
aart	aː r t
aasch	aː ʃ
aaschbak	aː ʃ b aː k
aascht	aː ʃ t
aaxt	aː k s t
aaxten	aː k s t ə n
aband	aː b ɑ n t
absurditéit	ɑ p z u ʀ d i t ə ɪ̯ t
abt	ɑ p t
abänn	aː b æ n
adler	aː d l e r
aen	aː e n
af	aː f
afennoss	aː f e n n o s
agäng	aː ɡ æ n ɡ
ahorn	ʔ aː h ɔ ʁ n
aker	aː k e ʀ
alg	ɑ l k
alphabet	ɑ l f ɑ b eː t
alstad	aː l ʃ t aː t
alzem	a l t s e m
ambulanz	ɑ m b u l ɑ n t͡s
ament	a m æ n t
ananas	a n a n a s
anchois	ã ʃ v aː
andeelung	a n d eː l u ŋ
angscht	a ŋ ʃ t
animatioun	a n i m a s j e u̯ n
antigel	a n t i ʒ æ l
apdikt	a p d i k t
apel	aː p e l
apelbatz	aː p e l b a t s
aper	aː p e ʀ
aperhoer	aː p e ʀ h o e ʀ
apostroph	a p o s t ʀ o f
appell	a p æ l
aprikos	a p ʀ i k oː s
ar	aː ʀ
arithmetik	a ʀ i t m eː t i k
arroganz	a ʀ o ɡ a n s
arterie	ɑ ʀ t eː ʀ i ə
ass	ɑ s
assurance	a s y ʀ ã s
astrologie	a s t ʀ o l o ʒ i
atelier	ɑ t ə l j eː
aubergine	o b e r ʒ i n
auteur	oː t øː e ʀ
aviatioun	a v j a s j e u̯ n
avion	a v j õ
awanderung	a v a n d e ʀ u ŋ
awar	a v aː
awunner	a v u n e ʀ
baachfrell	b aː χ f ʀ æ l
baachnénga	b aː χ n e ŋ aː
baarf	b aː f
baarmhäerzegkeet	b aː m h eː ʀ t s e χ k eː t
baart	b aː t
baatsch	b aː t ʃ
bad	b aː t
badminton	b æ t m i n t e n
bak	b aː k
bal	b aː l
ball	b a l
bam	b aː m
bampiipsert	b aː m p iː p s e ʀ t
band	b a n t
bandscheif	b a n t ʃ a i̯ f
bankrott	b a ŋ k ʀ o t
bann	b a n
bascht	b a ʃ t
basketball	b aː s k e t b a l
bass	b a s
batteralzem	b ɑ t ə ʀ ɑ l t͡s ə m
batz	b a t s
beamten	b e a m t e n
becher	b æ χ e ʀ
bedeelegung	b e d eː l e ʁ u ŋ
bedeitung	b e d a i̯ t u ŋ
bedruch	b e d ʀ u χ
beel	b eː l
been	b eː n
bees	b eː s
begierlechkeet	b e ɡ iː ʀ l e χ k eː t
begrëff	b e ɡ ʀ e f
behandlung	b ə h ɑ n d l u ŋ
behälter	b e h æ l t e ʀ
bekassinn	b e k a s i n
belsch	b æ l ʃ
belschen	b æ l ʃ e n
bemierkung	b e m i e̯ k u ŋ
bensin	b æ n z iː n
beruff	b e ʀ u f
beréierung	b e ʀ e i̯ ʀ u ŋ
besserung	b æ s e ʀ u ŋ
bestanddeel	b e ʃ t a n d eː l
bestiechung	b ə ʃ t i ə̯ ɕ u ŋ
besuch	b e z u χ
betounung	b ə t ə ʊ n u ŋ
betrag	b ə t ʀ aː χ
beträg	b ə t ʀ ɛː ɕ
bett	b æ t
bettseechesch	b æ t z eː χ e ʃ
