က	k a ʔ
ကက္ကုသန်	k ʌ k k a o s ɔ n
ကကၠဴ	k a k͡l a u
ကချေၚ်	k a cʰ ə n
ကစိန်	k a c i n
ကဆိၚ်	k a cʰ o ɪ ŋ
ကဆေဝ်	k a cʰ e i
ကဆံ	k a cʰ ɒ m
ကဆံၚ်	k a cʰ ɒ ŋ
ကညောန်	k a ɲ ɔː n
ကတပံင်	k a t a p ɒ ŋ
ကတာ	k a t a
ကတ်	k ɔ t
ကထိုန်	k a tʰ a ɪː n
ကဒါတ်	k a d ɑ t
ကပေါဝ်	k a p ɔː ə
ကပ်	k ɔ p
ကမ်	k ɔ m
ကရေင်	k a r e a ŋ
ကလေၚ်	k a l e a ŋ
ကဝက်	k ə w ɛ k
ကဝဲ	k a ʔ w ɔ a
ကဝ်	k ɔ̀
ကဝ်ဖှဳ	k ɑ w f ɪ
ကသပ်	k a ʔ s ɔ p
ကာ	k aː
ကာပ္ပလဳ	k a p p ə l i
ကာမ	k aː m a
ကာလယဲ	k a l a ʔ j ò a
ကာဲ	k a j
ကိတ်	k i t
ကိုတ်	k ɒ t
ကိုန်	k ɒ n
ကိုပ်ကၠာ	k ɔː p k͡l aː
ကီုလေဝ်	k a m l éː
ကုန်	k u n
ကေက်	k ɔ k
ကော	k a o
ကောန်	k o n
ကောန်စိုတ်	k o n c ɑ t
ကောန်တြုံ	k o n k r a o h
ကောန်ၚာ်	k o n ŋ a̤ i k
ကောန်ၚာ်တြုံ	k o n ŋ a̤ i k k r a o h
ကောန်ၚာ်ဗြဴ	k o n
ကောပ်	k o p
ကောံပါ	k o m p a
ကဴ	k aː w
ကဵု	k ɔ ʔ
ကံ	k ɔ m
ကံက်	k ɔ k
က္ည	k a ɲ a
က္ဍိုပ်	d aː p
က္တောဝ်	k a t oː
က္သေဲ	k a s e a
က္ၜင်ကျာ	b a ŋ c a
က္ၜၚ်	b a ŋ
ကျာ	c a
ကျာန်	c a n
ကျာန်ထၜေါအ်ရဳ	t͡ɕ a n tʰ a b u r i
ကျာံ	c a m
ကျာ်	c a i k
ကျာ်ခမဳ	c a i k kʰ a ʔ m ɒ ə
ကျေနာန်	t͡ɕ n a n
ကြပ်	k a ʔ r ɔ p
ကြုက်	k r ə k
ကြုတ်	k r u t
ကြောပ်	k r o p
ကြေဲ	k r e a
ကြေၚ်	k r e a ŋ
ကြဳု	k r ɒ m
ကွ	k͡w a
ကွာ	k w a
ကွာင်	k w a ɲ
ကွာန်	k w a n
ကွာဲ	k w a i
ကွာ်	k w a c
ကွေန်	k ə w e n
ကွး	k w a h
ကှ်ခြံက်	kʰ r ɔ k
