aha	a h a
ahakoa	a h a k o a
ahau	a h a u
ahi	a h i
ahiahi	a h i a h i
ahitereiria	a h i t e r e i r i a
aho	a h o
ahu	a h u
ai	a i
aihikirīmi	a i h i k i r iː m i
aikiha	a i k i h a
aitu	a i t u
aka	a k a
akaaka	a k a a k a
akeake	a k e a k e
akiaki	a k i a k i
ako	a k o
aku	a k u
ama	a m a
amapaea	a m a p a e a
amo	a m o
ana	a n a
anake	a n a k e
anaterope	a n a t e r o p e
ane	a n e
anea	a n e a
anga	a ŋ a
angaanga	a ŋ a a ŋ a
angiangi	a ŋ i a ŋ i
anu	a n u
anō	a n oː
ao	a o
aoraki	a o r a k i
aotearoa	a o t e a r o a
ara	a r a
arame	a r a m e
aramona	a r a m o n a
arero	a r e r o
arewhana	a r e ɸ a n a
ari	a r i
ariari	a r i a r i
ariki	a r i k i
aro	a r o
aroha	a r o h a
aru	a r u
ata	a t a
ataarangi	a t a a r a ŋ i
atamai	a t a m a i
atarau	a t a r a u
atawhai	a t a ɸ a i
ate	a t e
atiti	a t i t i
ato	a t o
atu	a t u
atua	a t u a
au	a u
aua	a u a
auahi	a u a h i
auau	a u a u
aupuru	a u p u r u
awa	a w a
awe	a w e
e	e
ehu	e h u
eke	e k e
emepaea	e m e p a e a
erinipara	e r i n i p a r a
h	h
ha	h a
hae	h a e
haeana	h a e a n a
haere	h a e r e
haina	h a i n a
haka	h a k a
hakari	h a k a r i
haki	h a k i
hama	h a m a
hana	h a n a
hanga	h a ŋ a
hapa	h a p a
hara	h a r a
harakeke	h a r a k e k e
harawīni	h a r a w iː n i
haumaru	h a u m a r u
hawaiki	h a w a i k i
he	h e
hei	h e i
heke	h e k e
hepara	h e p a r a
hepetema	h e p e t e m a
hera	h e r a
heretaunga	h e r e t a u ŋ a
heru	h e r u
heu	h e u
heuheu	h e u h e u
hewa	h e w a
hia	h i a
hiko	h i k o
hiku	h i k u
hina	h i n a
hinahina	h i n a h i n a
hinekōrako	h i n e k oː r a k o
hinga	h i ŋ a
hinu	h i n u
hipi	h i p i
hiriwa	h i r i w a
hironga	h i r o ŋ a
hiruhārama	h i r u h aː r a m a
hoa	h o a
hoari	h o a r i
hoe	h o e
hoko	h o k o
hongi	h o ŋ i
hongipua	h o ŋ i p u a
honu	h o n u
hopatāone	h o p a t aː o n e
hope	h o p e
hopi	h o p i
horo	h o r o
hua	h u a
huaki	h u a k i
hue	h u e
huhu	h u h u
hui	h u i
huia	h u i a
huitene	h u i t e n e
huka	h u k a
hukapapa	h u k a p a p a
huke	h u k e
hune	h u n e
hunga	h u ŋ a
hura	h u r a
huri	h u r i
huru	h u r u
hā	h aː
hākaro	h aː k a r o
hākete	h aː k e t e
hāmana	h aː m a n a
hāmonika	h aː m o n i k a
hānara	h aː n a r a
hāngī	h aː ŋ iː
hānuere	h aː n u e r e
hātarei	h aː t a r e i
hāwini	h aː w i n i
hīkoi	h iː k o i
hītori	h iː t o r i
hōiho	h oː i h o
hōkete	h oː k e t e
hōrana	h oː r a n a
hōri	h oː r i
hōtēra	h oː t eː r a
hōu	h oː u
hū	h uː
hūngoingoi	h uː ŋ o i ŋ o i
hūrae	h uː r a e
i	i
ia	i a
iaia	i a i a
ihowā	i h o w aː
ihu	i h u
ika	i k a
ikura	i k u r a
inanga	i n a ŋ a
ingarihi	i ŋ a r i h i
inoi	i n o i
inu	i n u
io	i o
ioio	i o i o
ira	i r a
iro	i r o
iwa	i w a
iwi	i w i
k	k
kaha	k a h a
kaho	k a h o
kahu	k a h u
kahurangi	k a h u r a ŋ i
kai	k a i
kaiana	k a i a n a
kaikōura	k a i k oː u r a
kaimoana	k a i m o a n a
kaitiakitanga	k a i t i a k i t a ŋ a
kakakaka	k a k a k a k a
kakano	k a k a n o
kakara	k a k a r a
kakau	k a k a u
kakā	k a k aː
kamo	k a m o
kanae	k a n a e
kangarū	k a ŋ a r uː
kano	k a n o
kaokao	k a o k a o
kapa	k a p a
kapi	k a p i
kapiti	k a p i t i
kapu	k a p u
kapua	k a p u a
karaka	k a r a k a
karakia	k a r a k i a
karakiatia	k a r a k i a t i a
karakotaera	k a r a k o t a e r a
karani	k a r a n i
karapu	k a r a p u
karehākoa	k a r e h aː k o a
kareni	k a r e n i
kari	k a r i
karo	k a r o
karon	k a r o n
karoro	k a r o r o
karu	k a r u
katatē	k a t a t eː
kati	k a t i
kato	k a t o
katoa	k a t o a
kau	k a u
kaumātua	k a u m aː t u a
kauri	k a u r i
kawa	k a w a
kawe	k a w e
kawereo	k a w e r e o
kawhe	k a ɸ e
kawhi	k a ɸ i
kea	k e a
kehu	k e h u
kei	k e i
keke	k e k e
kererū	k e r e r uː
keri	k e r i
kete	k e t e
kia	k i a
kiekie	k i e k i e
kihikihitara	k i h i k i h i t a r a
kiko	k i k o
kikorangi	k i k o r a ŋ i
kina	k i n a
kini	k i n i
kino	k i n o
kiore	k i o r e
kipa	k i p a
kiri	k i r i
kirihimete	k i r i h i m e t e
kirikiriroa	k i r i k i r i r o a
kirikiti	k i r i k i t i
kirīmi	k i r iː m i
kite	k i t e
kiwi	k i w i
kiwikiwi	k i w i k i w i
koata	k o a t a
koe	k o e
kohe	k o h e
kohekohe	k o h e k o h e
kohu	k o h u
koko	k o k o
kokomo	k o k o m o
komo	k o m o
konga	k o ŋ a
kopa	k o p a
kope	k o p e
kore	k o r e
koro	k o r o
koromatua	k o r o m a t u a
koru	k o r u
kotahi	k o t a h i
kotiate	k o t i a t e
kotoreke	k o t o r e k e
koura	k o u r a
koutou	k o u t o u
kuihi	k u i h i
kuihipere	k u i h i p e r e
kuku	k u k u
kukū	k u k uː
kumete	k u m e t e
kumikumi	k u m i k u m i
kumu	k u m u
kupu	k u p u
kura	k u r a
kuru	k u r u
kurī	k u r iː
kutu	k u t u
kuīni	k u iː n i
kā	k aː
kāha	k aː h a
kāhui	k aː h u i
kāinga	k aː i ŋ a
kākano	k aː k a n o
kākā	k aː k aː
kākāpō	k aː k aː p oː
kākāriki	k aː k aː r i k i
kāmera	k aː m e r a
kānapera	k aː n a p e r a
kānga	k aː ŋ a
kāpata	k aː p a t a
kārani	k aː r a n i
kārapu	k aː r a p u
kārikiuri	k aː r i k i u r i
kārohirohi	k aː r o h i r o h i
kātoa	k aː t o a
kāwai	k aː w a i
kāwana	k aː w a n a
kāwanatanga	k aː w a n a t a ŋ a
kāwhe	k aː ɸ e
kī	k iː
kīnaki	k iː n a k i
kīngi	k iː ŋ i
kō	k oː
kōauau	k oː a u a u
kōhanga	k oː h a ŋ a
kōhua	k oː h u a
kōhue	k oː h u e
kōkō	k oː k oː
kōpaki	k oː p a k i
kōpī	k oː p iː
kōpū	k oː p uː
kōrero	k oː r e r o
kōrua	k oː r u a
kōura	k oː u r a
kōuraura	k oː u r a u r a
kōwhai	k oː ɸ a i
m	m
mahaki	m a h a k i
mahana	m a h a n a
mahuru	m a h u r u
mai	m a i
maihao	m a i h a o
maikuku	m a i k u k u
maina	m a i n a
maitai	m a i t a i
maka	m a k a
makanui	m a k a n u i
makariri	m a k a r i r i
makawe	m a k a w e
maki	m a k i
makimaki	m a k i m a k i
makorā	m a k o r aː
mamao	m a m a o
mana	m a n a
manaaki	m a n a a k i
