abad	a b a d
abadi	a b a d i
abadikan	a b a d i k a n
abadiyyat	a b a d i j a t
abah	a b a h
abaka	a b a k a
abakus	a b a k u s
abal	a b a l
abalone	a b a l o n e
abar	a b a r
abdb	e b i d i b i
abdikasi	a b d i k a s i
abduktor	a b d u k t o r
abet	a b ə t
abid	a b i t
abiogenesis	a b i o ɡ e n ə s i s
abomasum	a b o m a s u m
abrak	a b r a k
absah	a b s a h
absen	a b s ə n
absisa	a b s i s a
absolusi	a b s o l u s i
absorptif	a b s o r p t i f
abstrak	a b s t r a k
abuh	a b u h
abuk	a b o k
abur	a b u r
abus	a b u s
abuya	a b u j a
acak	a t͡ʃ a k
acan	a t͡ʃ a n
acane	a t͡ʃ a n ə
acanoi	a t͡ʃ a n o j
acapi	a t͡ʃ a p i
acar	a t͡ʃ a r
acara	a t͡ʃ a r a
aceh	a t͡ʃ e h
acik	a t͡ʃ i k
acop	ɑ t͡ʃ o p
acuan	a t͡ʃ u a n
ada	a d a
adab	a d a b
adakah	a d a k a h
adaptasi	a d a p t a s i
adat	a d a t
adawat	ʕ a d a w a t
adegan	a d e ɡ a n
adelfogami	a d e l f o ɡ a m i
adi	a d i
adik	a d e k
adikuasa	a d i k u a s a
adil	a d e l
adinda	a d i n d a
ading	a d e ŋ
adiwira	a d i w i r a
adoi	a d o j
adu	a d u
aduh	a d o h
aduktor	a d u k t o r
aerodinamik	e r o d a j n a m i k
aerologi	e r o l o ɡ i
afrika	a f r i k a
afrikaans	a f r i k a n s
agak	a ɡ a k
agaknya	a ɡ a k ɲ a
agama	a ɡ a m a
agar	a ɡ a
agas	a ɡ a s
agensi	a ɡ e n s i
agresif	a ɡ r e s i f
agung	a ɡ o ŋ
ah	a h
ahad	a h a t
ahli	a h l i
ahmak	a h m a ʔ
aikido	a i k i d o
ain	a e n
ainu	a i̯ n u
air	a e
ais	a e s
ajaib	a d͡ʒ a e b
ajaibkhanah	a d͡ʒ a i b x a n a h
ajak	a d͡ʒ a ʔ
ajal	a d͡ʒ a l
aje	a d͡ʒ ə
akak	a k a ʔ
akan	a k a n
akang	a k a ŋ
akar	a k a
akaun	a k a u n
akhbar	a x b a ɾ
akhdar	a x d a
akhir	a x i r
akhlak	a h l a k
aki	a k i
akibat	a k i b a t
aklan	a k l a n
akromion	a k r o m i o n
aksi	a k s i
akta	a k t a
aktinium	a k t i n i o m
aktivitet	a k t i v i t e t
aktiviti	a k t i v i t i
aku	a k u
alam	a l a m
alamak	a l a m a k
alamat	a l a m a t
alang	a l a ŋ
alap	a l a p
alas	a l a s
alasan	a l a s a n
alatan	a l a t a n
albania	a l b e n i a
algoritma	a l ɡ o r i t m a
alih	a l e h
alir	a l e
alkohol	a l k o h o l
allah	a l l a h
alpa	a l p a
alu	a l u
aluminium	a l u m i n i o m
alur	a l o
amacam	a m a t͡ʃ a m
amah	a m a h
aman	a m a n
amang	a m a ŋ
amaran	a m a r a n
amat	a m a t
amatur	a m a t o
ambah	a m b a h
ambai	a m b a j
ambang	a m b a ŋ
ambat	a m b a t
amben	a m b e n
ambil	a m b e k
ambin	a m b i n
amenda	a m ə n d a
amende	a m ə n d ə
amerika	a m e r i k a
amerisium	a m e r i s i o m
amoi	a m o j
ampu	a m p u
ampun	a m p u n
amput	a m p u t
amuk	a m o k
ana	a n a
anak	a n a k
analisa	a n a l i s a
anda	a n d a
andak	a n d a ʔ
andal	a n d a l
andam	a n d a m
andartu	a n d a r t u
andau	ɑ n d ɑ w
aneh	a n e h
angan	a ŋ a n
anggap	a ŋ ɡ a p
angguk	a ŋ ɡ u k
anggur	a ŋ ɡ o
angin	a ŋ e n
angka	a ŋ k a
angkasa	a ŋ k a s a
angkasawan	a ŋ k a s a w a n
angkat	a ŋ k a t
angkup	a ŋ k u p
angkut	a ŋ k o t
angpau	a ŋ p a w
angsa	a ŋ s a
angsana	a ŋ s a n a
aniaya	a n i a j a
animasi	a n i m a s i
anjung	a n d͡ʒ o ŋ
anoa	a n o a
antah	a n t a h
antan	a n t a n
antara	a n t a r a
antarabangsa	a n t a r a b a ŋ s a
antartika	a n t a r t i k a
antelop	a n t ə l o p
anteng	a n t ə ŋ
antuk	a n t o k
anu	a n u
anugerah	a n u ɡ ə r a h
anut	a n u t
anyam	a ɲ a m
apa	a p a
apabila	a p a b i l a
apasal	a p a s a l
ape	a p ə
apertur	a p ə r t u r
apesal	a p ə s a l
api	a p i
apit	a p i t
apitoksin	a p i t o k s i n
aplikasi	a p l i k a s i
apm	e j p i e m
apmm	e p i e m e m
apung	a p u ŋ
aq	a k j uː
ar	a
ara	a r a
arab	a r a b
arah	a r a h
arak	a r a k
aral	a r a l
arang	a r a ŋ
arau	a r a u̯
arbaa	a b a ʔ ə
arca	a r t͡ʃ a
ardi	a d i
ardvark	a r t v a k
aren	a r ɛ n
argon	a r ɡ ɔ n
argus	a r ɡ u s
ari	a r i
arked	a r k e d
arkib	a k e b
arkus	a r k u s
armada	a m a d a
armadillo	a m a d i l o
armenia	a r m e n i a
arnab	a n a b
arsenik	a r s ə n i k
arus	a r o s
asa	a s a
asah	a s a h
asap	a s a p
asfalt	a s f a t
asid	a s i d
asin	a s i n
asing	a s e ŋ
asli	a s l i
asrama	a s r a m a
asta	a s t a
astakona	a s t a k o n a
astatin	a s t a t e n
astrofizik	a s t r o f i z i k
astu	a s t u
asuh	a s u h
asuransi	a s u r a n s i
asyura	a ʃ u r a
atap	a t a p
atas	a t a h
atm	e t i e m
atmosfera	a t m o s f e r a
atok	a t o k
atom	a t o m
atuk	a t o k
atur	a t o
auditorium	a w d i t o r i u m
aur	a u r
australia	a u s t r a l i a
auta	a u̯ t a
autistik	a u t i s t i k
autokrasi	a u t o k r a s i
autokrat	a u t o k r a t
autokratik	a w t o k r a t i k
automatik	a w t o m a t i k
automaton	a w t o m a t o n
awak	a w a k
awal	a w a l
awam	a w a m
awan	a w a n
awang	a w a ŋ
awas	a w a s
awda	a w d a
awek	a w e k
awet	a w e t
awning	a w n i ŋ
aya	a j a
ayah	a j a h
ayahanda	a j a h a n d a
ayam	a j a m
ayan	a j a n
ayat	a j a t
ayaw	ɑ j ɑ w
ayon	ɑ j o n
ayu	a j u
ayuk	a j o k
ayun	a j o n
ayut	a j o t
azam	a d͡ʒ a m
azerbaijan	a z ə b a i̯ d͡ʒ a n
bab	b a p
baba	b a b a
