a	a
ablegøyer	ɑ b l ə ² ɡ œ ʏ ə r
abonnera	ɑ b ʊ n eː r ɑ
abortiv	ɑ b ɔ ʁ t iː ʋ
abraham	² aː b r a a m
absolutisme	ɑ b s ʊ l ʉ t ɪ s m ə
acre	æ ɪ k ə r
adalhending	² aː a l h ɛ n d ɪ ŋ
adel	¹ aː d ə l
adelgod	² aː ə l ɡ uː
adept	ɑ d ɛ p t
adla	² aː d l a
adle	² a d l ə
administrasjon	ɑ d m ɪ n ɪ s t r ɑ ʂ uː n
afrikansk	ɑ f r i k ɑː n s k
aftan	ɑ̂ f t ɑ n
agder	² a ɡ d ə r
age	² ɑː j ə
ageleg	² ɑː ɡ ə l ɛ
agg	ɑ ɡː
agje	² ɑː j ə
agjen	² ɑː j ə n
agn	ɑ ŋ n
agurk	a ɡ ʉ r k
agurktid	a ɡ ʉ r k t iː
aillj	a ʎː
ailltj	ɑ ɬ c
ainnføtes	a ɲː f œː t e s
ainnjsles	a ɲ ʂ l ɛ s
ainnpusten	a ɲː p ʉ s t n̩
ainnsles	a ɲ ʂ l ɛ s
aka	² a k a
ake	² ɑː k ə
akjån	² ɑː ç oː n
akka	² ɑ k k ɑ
akkar	² ɑ kː ɑ r
akke	² ɑ k k ə
akkorart	a k k u r a ʂ t
akkord	ɑ k ɔ r d
aksel	² ɑ k s ɛ l
akselerasjon	a k s l r a ʃ uː n
aksent	ɑ k s ɑ ŋ
aksla	² ɑ k s l ɑ
aktiv	ɑ k t ɪ ʋ
aktsam	² a k t s a m
aktør	ɑ k t øː r
alaskar	a l a s k a r
alaskisk	a l a s k i s k
alde	² ɑ l d ə
alder	ɑ l d ɛ r
aldri	² ɑ l d r ɪ
alfabet	a l f a b eː t
alke	² a l k ə
all	a d l
alle	a l l eː
alltid	ɑ l t ɪ
allting	ɑ l t ɪ ŋ
allvitande	² ɑ lː ʋ iː t ɑ n d ə
alm	ɑ l m
almen	ɑ l m ə n
alna	² a l n a
alt	ɑ l t
altso	ɑ l t s ɔ
altså	ɑ l t s ɔ
alver	² a l v e r
alvera	a l v æː r a
alvorleg	ɑ l ʋ oː r l ɛ
ambassadør	ɑ m b ɑ s ɑ d øː r
ambisjon	ɑ m b ɪ ʂ uː n
ambolt	a m b o̞ ʎ̥ c
amerikanar	aː m ə r i k aː n aː r
ammetåke	² ɑ m m ə t oː k ə
ananas	ɑ nː ɑ n ɑ s
anarki	ɑ n ɑ r k iː
and	a n
anda	² ɑ n d ɑ
andebu	² a nː ə b ʉ
andektig	ɑ n d ɛ k t ɪ
andlet	² ɑ n l eː t
ane	ɑː n ə
anga	² ɑ ŋ ŋ ɑ
angar	² ɑ ŋ ŋ ɑ r
ange	² ɑ n j ə
angje	² ɑ n j eː
angjen	² ɑ ŋ j ə n
angripa	ɑ n ɡ r iː p ɑ
ankel	² ɑ ŋ k ə l
anmarsj	² ɑ n m ɑ ʂ
annan	² ɑ nː ɑ n
annjsles	a ɲ ʂ l ɛ s
annleis	² a nː l ɛ ɪː s
ansikt	² ɑ n s ɪ k t
ansleis	a ɲ ʃ l ɛ s
anten	a n t ɛ n
antibiotikum	a n t i b i uː t i k ʉ m
antilope	ɑ n t ɪ ² l uː p ə
apal	² aː p a l
apald	² aː p a l
apokalypse	a p u k a l y p s ə
arbeid	² a r b ɛ ɪː
arbeida	² a r b ɛ ɪː a
arbeidsmann	² a r b ɛ ɪː s m a nː
arena	ɑ r eː n ɑ
argument	ɑ r ɡ ʉ m ɛ n t
arkja	ɑ r ç ɑ
arm	ɑ r m
arme	² ɑ r m ə
arming	² ɑ r m ɪ ŋ
arn	a n
arnbjørn	a m b j œ n
arndor	² a n d u
arne	aː ɳ ə
arnfinn	² a n f ɪ nː
arnstein	² a n s t ɛ ɪː n
arntor	² a n t u r
arnved	² a n v ə
arnvid	² a n v ɪ
arrdelfin	² ɑ r d ɛ l f iː n
arv	ɑ r ʋ
arva	² a r v a
arved	² a r v ə
arvid	² a r v i d
ase	² ɑː s ə
asgeir	² a s j ɛ ɪ r
ask	ɑ s k
aslak	ɑː s l ɑ k
asperen	² a s p ə ɳ
astrid	² a s t r ɪ
at	ɑ tː
atal	² ɑː t ɑ l
ateist	ɑ t ə ɪ s t
atomvåpen	aː t uː m ʋ ɒː p ɛ n
atride	² a t r ə
att	ɑ tː
attan	² ɑ t t ə n
attanfor	a t a n f ɔ r
attantil	² ɑ tː ɑ n t ɪ l
atten	ɑ t n̩
attende	ɑ t ² ɛ n d ɛ
atter	ɑ tː ɛ r
attmed	² ɑ t m eː
attom	² a tː ʊ m
au	œ ʊː
aud	œ ʊː
auda	² œ ʊː a
aude	² œ ʊː ə
audgeir	² œ ʊː j ɛ ɪ r
audmund	² œ ʊː m ʊ n
audun	² œ ʊː d ʉ n
audvard	² œ ʊː v a r
auga	² æ ʉ̯ ɑ
auge	² æ ʉ̯ ɡ ə
augestikkar	ø ʉ ɡ ə s t i k a r
auget	² æ ʉ̯ ɡ ə
auka	² œ ʊː k a
auke	² œ ʊː k ə
aur	æ ʉ̯ r
aure	² œ ʊː r ə
aurride	² œ ʊː r ə
aust	œ ʊ̯ s t
austmann	² œ ʊ̯ s t m a nː
austmarkmus	² æ ʉ s t m ɑ r k m ʉ s
austover	œ ʊ s t oː v ə r
austre	² æ ʉ s t r ə
austrheim	² œ ʊ s t r ɛ ɪː m
automat	æ ʉ t ʊ m ɑː t
av	ɑː ʋ
avbragdsleg	ɑ ʋ b r ɑ ɡ ʂ l ɛ
avgjera	ɑː ʋ j eː r ɑ
avgjerd	² ɑː ʋ j eː r
avhengig	ɑː ʋ h ɛ ŋː ɪ
avhoppar	aː ʋ h ɔ p a r
avis	ɑ ʋ iː s
avisa	ɑ ʋ iː s ɑ
avisene	ɑ ʋ iː s n̩ ə
aviser	ɑ ʋ iː s ə r
avkastning	ɑː ʋ k ɑ s t n ɪ ŋ
avl	ɑ ʋ l
avla	a ʋ l a
avstand	aː ʋ s t a n
avund	² ɑː ʋ ʉ n
avundsjuk	ɑː ʋ u ɲː ʃ ʉː k
b	b
bacon	b eː k ə n
bad	b ɑː
badstove	² b a s s t oː v ə
bainn	b ɑ ɲː
bak	b ɑː k
bakbord	b aː k b uː r
bakhall	² b ɑː k h ɑ l
bakke	² b a kː ə
bakkje	² b ɑ ç ç ə n
bakkjen	² b ɑ ç ç ə n
bal	b ɑː l
balje	² b ɑ l j ə
ball	b a lː
banan	b a n aː n
band	b æ n d
bank	b ɑ ŋ k
bankkvelv	b ɑ ŋ k k ʋ ɛ l ʋ
banne	² b a n n e
bannlyse	b a nː ² l yː s e
bar	b ɑː ɾ
bard	b aː r
barkje	² b ɑ r ç ə
barkjen	² b ɑ r ç ə n
barkjuke	b a r ɕ ʉ k
barlind	² b a lː ɪ n
barm	b ɑ r m
barn	b aː n
barnehage	² b ɑ r n ə h ɑˑ j ə
bart	b a r t
be	b eː
beda	² b eː ɑ
bede	² b eː ə
begge	² b ɛ ɡː ə
