асколдъ	a s k ɔ l d ʊ
афетъ	a fʲ ɛ t ʊ
батꙑевъ	b a t ɔ j ɛː ʋ
ватрь	ʋ a t rʲ
володимѣръ	ʋ ɔ l ɔ d i m eː r ʊ
вѧчеславъ	ʋ ɛ̃ t͡ɕ ɛ s l ɑ ʋ ʊ
вꙑшьгородъ	ʋ ɯ ɕ ɡ ɔ r ɔː d
галичь	ɡ a lʲ i t͡ɕ
дирдъ	d i r d ʊ
дънѣпръ	d nʲ eː p r
дънѣстръ	d nʲ eː s t r
жирославъ	ʑ i r ɔ s l a ʋ
игорь	j i ɡ ɔ r ɪ
киевъ	k i j ɛ ʋ ʊ
китаи	k i t a j
кꙑевъ	k ɔ j ɛː ʋ
львовъ	l ɪ ʋ ɔ ʋ ʊ
мокоши	m ɔ k ɔ ɕ i
мокошиѭ	m ɔ k ɔ ɕ i j u
мокошь	m ɔ k ɔ ɕ ɪ
мѣньскъ	m eː n ɪ s k ʊ
персида	p ɛ r s i d ɑ
перунъ	p ɛ r u n ʊ
припѧть	p r i p ɛ̃ t ɪ
псалътꙑрь	p s a l t ɯ rʲ
римъ	r i m ʊ
русь	r u s ɪ
свѧтославъ	s ʋ ɛ̃ t ɔ s l ɑ ʋ ʊ
симарьглъ	s i m ɑ r ɪ ɡ l ʊ
симовъ	s i m ɔ ʋ ʊ
симъ	s i m ʊ
сионъ	s i ɔ n ʊ
стрибогъ	s t r i b ɔ ɡ ʊ
хамъ	x a m
хърсъ	x ɔ r s
чьрниговъ	t͡ɕ ɔ r nʲ i ɡ ɔː ʋ
а	a
аблоко	a b l ɔ k ɔ
аблъко	a b l k ɔ
абꙑ	a b ɯ
авва	a ʋ ʋ a
авъгустъ	a ʋ ɡ u s t
агньць	a ɡ nʲ ɛ t͡sʲ
агнѧ	a ɡ nʲ a
агода	a ɡ ɔ d a
адъ	a d
азъ	a z
аскъ	a s k
баба	b a b a
багръ	b a ɡ r
багъръ	b a ɡ ɔ r
банꙗ	b a nʲ a
баранъ	b a r a n
батѧ	b a tʲ a
безмьздьнꙑи	b ɛ z m ɪ z d ɪ n ɯ j ɪ
безмѣнъ	b ɛ z m eː n ʊ
безъ	b ɛ z
берегъ	b ɛ r ɛ ɡ ʊ
береза	b ɛ r ɛ z ɑ
беремѧ	b ɛ r ɛ m ɛ̃
бити	b i t i
благо	b l a ɡ ɔ
блаженъ	b l a ʑ ɛ n ʊ
блудъ	b l u d
блъха	b l ɔ x a
блѫдъ	b l u d
бо	b ɔ
бобръ	b oː b r
богъ	b ɔ ɡ ʊ
божьница	b ɔ ʑ ɪ n i t͡sʲ ɑ
бозьница	b ɔ z ɪ n i t͡sʲ ɑ
болого	b oː l ɔ ɡ ɔ
боль	b ɔ l ɪ
борода	b ɔ r ɔ d a
бородатъ	b ɔ r ɔ d a t
бороти	b ɔ r oː t i
борьць	b ɔ r ɪ t͡sʲ ɪ
брада	b r a d a
брадатъ	b r a d a t
братиꙗ	b r a tʲ i j a
братъ	b r a t
братьскъ	b r a tʲ ɛ s k
бръвь	b r ɔ ʋʲ
брѣгъ	b r eː ɡ ʊ
брѣза	b r eː z ɑ
букꙑ	b u k ɯ
бълоха	b l ɔ x a
бързо	b ɔ r z ɔ
бързъ	b ɔ r z
бѣгати	b eː ɡ ɑ t i
бѣлъ	b eː l ʊ
бѣль	b eː l ɪ
бѣсовьскъ	b eː s ɔ ʋ ɪ s k ʊ
бѣсъ	b eː s ʊ
бꙋкꙑ	b u k ɯ
бꙑкъ	b ɯ k
бꙑти	b ɯ t i
бꙑтие	b ɯ t i j ɛ
ва	ʋ a
вама	ʋ a m a
вами	ʋ a mʲ i
вамъ	ʋ a m
варъ	ʋ a r
варѧгъ	ʋ a rʲ a ɡ
васъ	ʋ a s
ваю	ʋ a j u
везти	ʋ ɛ z t i
величье	ʋ ɛ l i t͡ɕ ɪ j ɛ
вельблѫдъ	ʋ ɛ l ɪ b l õ d ʊ
вельми	ʋ ɛ l ɪ m i
вельможа	ʋ ɛ l ɪ m ɔ ʑ ɑ
вепрь	ʋ ɛ p r ɪ
вередити	ʋ ɛ r ɛ d i t i
веремѧ	ʋ ɛ r ɛ m ɛ̃
веретено	ʋ ɛ r ɛ t ɛ n oː
вести	ʋ ɛ s t i
вино	ʋ i n oː
витѧзь	ʋ i t ɛ̃ z ɪ
вишьневъ	ʋ i ɕ ɪ n ɛ ʋ ʊ
вишьнꙗ	ʋ i ɕ ɪ n ɑ
властити	ʋ l a s tʲ i tʲ i
влачити	ʋ l a t͡ɕ i tʲ i
вода	ʋ ɔ d a
воинъ	ʋ oː j i n
волосъ	ʋ ɔ l ɔ s ʊ
волочити	ʋ ɔ l ɔ t͡ɕ i t i
вонꙗти	ʋ ɔ nʲ a tʲ i
