a	ɐ
aa	ɐ ɐ
aaas	ɐ ɐ ɐ s
aabic	ɐ ɐ b i k
aacd	ɐ ɐ k d ʒ
aaron	ɐ ɐ ɾ õ
aasp	ɐ ɐ s p
ab	ɐ b
aba	ɐ b ɐ
abac	ɐ b ɐ k
abacate	ɐ b ɐ k ɐ t ʃ i
abacaxi	ɐ b ɐ k ɐ ʃ i
abacaxis	ɐ b ɐ k ɐ ʃ i j s
abade	ɐ b ɐ d ʒ i
abadessa	ɐ b ɐ d e s ɐ
abadia	ɐ b ɐ d ʒ i ɐ
abaeté	ɐ b ɐj t ɛ
abafa	ɐ b ɐ f ɐ
abafada	ɐ b ɐ f ɐ d ɐ
abafadas	ɐ b ɐ f ɐ d ɐ s
abafado	ɐ b ɐ f ɐ d u
abafamento	ɐ b ɐ f ɐ m ẽ t u
abafando	ɐ b ɐ f ɐ̃ d u
abafar	ɐ b ɐ f ɐ ɹ
abafou	ɐ b ɐ f ow
abagge	ɐ b ɐ ɡ ʒ i
abaixa	ɐ b ɐj ʃ ɐ
abaixando	ɐ b ɐj ʃ ɐ̃ d u
abaixar	ɐ b ɐj ʃ ɐ ɹ
abaixo	ɐ b ɐj ʃ u
abaixou	ɐ b ɐj ʃ ow
abajur	ɐ b ɐ ʒ u ɹ
abal	ɐ b ɐw
abala	ɐ b ɐ l ɐ
abalada	ɐ b ɐ l ɐ d ɐ
abaladas	ɐ b ɐ l ɐ d ɐ s
abalado	ɐ b ɐ l ɐ d u
abalados	ɐ b ɐ l ɐ d u s
abalam	ɐ b ɐ l ɐ̃w̃
abalando	ɐ b ɐ l ɐ̃ d u
abalar	ɐ b ɐ l ɐ ɹ
abalaram	ɐ b ɐ l ɐ ɾ ɐ̃w̃
abalo	ɐ b ɐ l u
abalos	ɐ b ɐ l u s
abalou	ɐ b ɐ l ow
abamec	ɐ b ɐ̃ m e k
abanando	ɐ b ɐ n ɐ̃ d u
abanar	ɐ b ɐ n ɐ ɹ
abandona	ɐ b ɐ̃ d õ n ɐ
abandonada	ɐ b ɐ̃ d o n ɐ d ɐ
abandonadas	ɐ b ɐ̃ d o n ɐ d ɐ s
abandonado	ɐ b ɐ̃ d o n ɐ d u
abandonados	ɐ b ɐ̃ d o n ɐ d u s
abandonam	ɐ b ɐ̃ d õ n ɐ̃w̃
abandonamos	ɐ b ɐ̃ d o n ɐ̃ m u s
abandonando	ɐ b ɐ̃ d o n ɐ̃ d u
abandonar	ɐ b ɐ̃ d o n ɐ ɹ
abandonaram	ɐ b ɐ̃ d o n ɐ ɾ ɐ̃w̃
abandonarem	ɐ b ɐ̃ d o n ɐ ɾ ẽj̃
abandonaria	ɐ b ɐ̃ d o n ɐ ɾ i ɐ
abandonará	ɐ b ɐ̃ d o n ɐ ɾ ɐ
abandonasse	ɐ b ɐ̃ d o n ɐ s i
abandone	ɐ b ɐ̃ d õ n i
abandonei	ɐ b ɐ̃ d o n ej
abandonem	ɐ b ɐ̃ d õ n ẽj̃
abandono	ɐ b ɐ̃ d õ n u
abandonou	ɐ b ɐ̃ d õ n ow
abandoná	ɐ b ɐ̃ d o n ɐ
abap	ɐ b ɐ p
abarca	ɐ b ɐ ɹ k ɐ
abarcar	ɐ b ɐ ɹ k ɐ ɹ
abarrotada	ɐ b ɐ ʁ o t ɐ d ɐ
abarrotado	ɐ b ɐ ʁ o t ɐ d u
abarrotados	ɐ b ɐ ʁ o t ɐ d u s
abarrotar	ɐ b ɐ ʁ o t ɐ ɹ
abas	ɐ b ɐ s
abastada	ɐ b ɐ s t ɐ d ɐ
abastadas	ɐ b ɐ s t ɐ d ɐ s
abastados	ɐ b ɐ s t ɐ d u s
abastece	ɐ b ɐ s t e s i
abastecem	ɐ b ɐ s t e s ẽj̃
abastecendo	ɐ b ɐ s t e s ẽ d u
abastecer	ɐ b ɐ s t e s e ɹ
abasteceu	ɐ b ɐ s t e s ew
abastecida	ɐ b ɐ s t e s i d ɐ
abastecidas	ɐ b ɐ s t e s i d ɐ s
abastecido	ɐ b ɐ s t e s i d u
abastecidos	ɐ b ɐ s t e s i d u s
abastecimento	ɐ b ɐ s t e s ĩ m ẽ t u
abate	ɐ b ɐ t ʃ i
abatedouro	ɐ b ɐ t e d ow ɾ u
abatedouros	ɐ b ɐ t e d ow ɾ u s
abatem	ɐ b ɐ t ẽj̃
abater	ɐ b ɐ t e ɹ
abateram	ɐ b ɐ t e ɾ ɐ̃w̃
abates	ɐ b ɐ t ʃ i s
abateu	ɐ b ɐ t ew
abatida	ɐ b ɐ t ʃ i d ɐ
abatidas	ɐ b ɐ t ʃ i d ɐ s
abatido	ɐ b ɐ t ʃ i d u
abatidos	ɐ b ɐ t ʃ i d u s
abatimento	ɐ b ɐ t ʃ ĩ m ẽ t u
abatimentos	ɐ b ɐ t ʃ ĩ m ẽ t u s
abav	ɐ b ɐ v
abb	ɐ b b
abba	ɐ b b ɐ
abbado	ɐ b b ɐ d u
abbas	ɐ b b ɐ s
abbc	ɐ b b k
abbey	ɐ b b e i
abbott	ɐ b b o t ʃ t ʃ
abc	ɐ b k
abcca	ɐ b k k ɐ
abcd	ɐ b k d ʒ
abcem	ɐ b s ẽj̃
abcfarma	ɐ b k f ɐ ʁ m ɐ
abcz	ɐ b k s
abd	ɐ b d ʒ
abdala	ɐ b d ɐ l ɐ
abdalla	ɐ b d ɐw l ɐ
abdallah	ɐ b d ɐw l ɐ
abdc	ɐ b d ʒ k
abdel	ɐ b d ɛw
abdellah	ɐ b d ɛw l ɐ
abdelmassih	ɐ b d ew m ɐ s i
abdenur	ɐ b d e n u ɹ
abdic	ɐ b d ʒ i k
abdica	ɐ b d ʒ i k ɐ
abdicar	ɐ b d ʒ i k ɐ ɹ
abdicou	ɐ b d ʒ i k ow
abdo	ɐ b d u
abdome	ɐ b d õ m i
abdominais	ɐ b d o m ĩ n ɐj s
abdominal	ɐ b d o m ĩ n ɐw
abdul	ɐ b d u w
abdullah	ɐ b d u w l ɐ
abdômen	ɐ b d ʒ o m ẽ
abe	ɐ b i
abeccs	ɐ b e k k s
